gene	MintM1	MintM2	MintM3	gene2	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C010g05329	0	0	0	MvSl-1064-A1-R4_A1g00325	2	0
MinSal-1389-A1-17072018_C010g05344	0	0	0	MvSl-1064-A1-R4_A1g00545	18	18
MinSal-1389-A1-17072018_C008g04998	0	0	0	MvSl-1064-A1-R4_A1g00567	562.634	609.863
MinSal-1389-A1-17072018_C015g08730	0	0	0	MvSl-1064-A1-R4_A1g00659	313	261
MinSal-1389-A1-17072018_C009g06014	0	0	0	MvSl-1064-A1-R4_A1g00686	66.4448	88.8671
MinSal-1389-A1-17072018_C004g03098	0	0	0	MvSl-1064-A1-R4_A1g00697	1210.94	1412.82
MinSal-1389-A1-17072018_C003g02623	17.3941	26.8364	23.2829	MvSl-1064-A1-R4_A1g00716	296.99	353.656
MinSal-1389-A1-17072018_C013g08548	0	0	0	MvSl-1064-A1-R4_A1g00720	862.19	799.483
MinSal-1389-A1-17072018_C013g08611	1148	889	1058	MvSl-1064-A1-R4_A1g00841	62	68
MinSal-1389-A1-17072018_C007g07806	0	0	0	MvSl-1064-A1-R4_A1g00852	0	13.2569
MinSal-1389-A1-17072018_C006g04232	0	0	0	MvSl-1064-A1-R4_A1g00875	4	4
MinSal-1389-A1-17072018_C015g08739	112	98	89	MvSl-1064-A1-R4_A1g00996	2055.19	2065.75
MinSal-1389-A1-17072018_C003g02398	0	0	0	MvSl-1064-A1-R4_A1g01190	529.291	620.113
MinSal-1389-A1-17072018_C013g08589	0	0	0	MvSl-1064-A1-R4_A1g01191	809	710
MinSal-1389-A1-17072018_C009g06191	0	0	0	MvSl-1064-A1-R4_A1g01230	1126	1095
MinSal-1389-A1-17072018_C013g08525	0	0	0	MvSl-1064-A1-R4_A1g01234	1369	1323
MinSal-1389-A1-17072018_C013g08597	38	56	9	MvSl-1064-A1-R4_A1g01370	2255	1604
MinSal-1389-A1-17072018_C013g08596	0	0	0	MvSl-1064-A1-R4_A1g01371	316	311
