gene	MvSlM1	MvSlM2
MvSl-1064-A1-R4_A1g00004	2074	1808
MvSl-1064-A1-R4_A1g00005	1802	1670
MvSl-1064-A1-R4_A1g00006	3827	4169
MvSl-1064-A1-R4_A1g00007	6444	6670
MvSl-1064-A1-R4_A1g00008	3818	4390
MvSl-1064-A1-R4_A1g00009	1822	3695
MvSl-1064-A1-R4_A1g00013	3414.55	2937.46
MvSl-1064-A1-R4_A1g00020	119.976	136.274
MvSl-1064-A1-R4_A1g00021	1113.45	1358.66
MvSl-1064-A1-R4_A1g00027	72	67
MvSl-1064-A1-R4_A1g00028	508.485	418
MvSl-1064-A1-R4_A1g00030	4974.33	5439.12
MvSl-1064-A1-R4_A1g00032	15385	14996
MvSl-1064-A1-R4_A1g00033	829	814
MvSl-1064-A1-R4_A1g00035	750	976
MvSl-1064-A1-R4_A1g00036	995	1016
MvSl-1064-A1-R4_A1g00037	955	707
MvSl-1064-A1-R4_A1g00038	0	0
MvSl-1064-A1-R4_A1g00039	4752	5783
MvSl-1064-A1-R4_A1g00040	18	16
MvSl-1064-A1-R4_A1g00046	336	289
MvSl-1064-A1-R4_A1g00047	691	723
MvSl-1064-A1-R4_A1g00048	639	623
MvSl-1064-A1-R4_A1g00049	981	896
MvSl-1064-A1-R4_A1g00050	904	549
MvSl-1064-A1-R4_A1g00051	1969	2334
MvSl-1064-A1-R4_A1g00053	3505	2939
MvSl-1064-A1-R4_A1g00054	200	158
MvSl-1064-A1-R4_A1g00055	890	1244
MvSl-1064-A1-R4_A1g00056	2622	10651
MvSl-1064-A1-R4_A1g00057	555	777
MvSl-1064-A1-R4_A1g00061	3166	3468
MvSl-1064-A1-R4_A1g00062	1588.25	1601.51
MvSl-1064-A1-R4_A1g00063	1210	1128
MvSl-1064-A1-R4_A1g00064	6553	8756
MvSl-1064-A1-R4_A1g00065	3458	3840
MvSl-1064-A1-R4_A1g00066	7587.89	6198.95
MvSl-1064-A1-R4_A1g00067	1501	1487
MvSl-1064-A1-R4_A1g00068	645	747
MvSl-1064-A1-R4_A1g00069	2719	1688
