gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A1-R4_A1g00001	37.0852	23.9241	37.0962	8.98545	82.2611	40.4695
MvSl-1064-A1-R4_A1g00012	3.35636	0.78761	0	0	1.7971	3.05999
MvSl-1064-A1-R4_A1g00088	95.194	103.082	72.2621	86.4977	29.9217	47.5132
MvSl-1064-A1-R4_A1g00090	0	0	0	0	0	2
MvSl-1064-A1-R4_A1g00094	0	0	2.03112	4	1.3216	0
MvSl-1064-A1-R4_A1g00095	41.1687	76.6547	252.579	316.247	216.053	181.196
MvSl-1064-A1-R4_A1g00096	0	0	0	0	2	2
MvSl-1064-A1-R4_A1g00101	78	81	14	9	14	33
MvSl-1064-A1-R4_A1g00103	21.1714	18.5803	9.26156	4.10733	3.21148	8.28207
MvSl-1064-A1-R4_A1g00105	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00114	519.883	744.758	315.437	372.856	342.572	370.07
MvSl-1064-A1-R4_A1g00117	27.3236	32.6825	41.2764	30.4935	74.8752	73.1284
MvSl-1064-A1-R4_A1g00121	551.565	760.871	1130.92	1791.75	669.481	638.693
MvSl-1064-A1-R4_A1g00123	19.09	22.1797	7.04206	5.02538	13.3047	14.2355
MvSl-1064-A1-R4_A1g00124	238.991	291.34	34.512	18.4299	296.528	350.223
MvSl-1064-A1-R4_A1g00125	245.412	235.2	364.266	363.401	195.067	218.157
MvSl-1064-A1-R4_A1g00131	95	118	150	175	186	167
MvSl-1064-A1-R4_A1g00135	3.68869	5.03259	1.48706	1.50168	30.431	39.1839
MvSl-1064-A1-R4_A1g00138	8.0487	19.0552	8.05398	10.0832	7.04379	14.1822
MvSl-1064-A1-R4_A1g00139	32.463	22.2681	28.3894	25.3999	44.08	53.1231
MvSl-1064-A1-R4_A1g00140	2.54307	4.953	4.97338	3.43894	5.44852	3.71907
MvSl-1064-A1-R4_A1g00145	68.8491	63.0948	367.388	526.951	51.7505	38.2035
MvSl-1064-A1-R4_A1g00146	31	29	178.18	179	18.4889	28.079
MvSl-1064-A1-R4_A1g00148	2	2	1	1	0	1
MvSl-1064-A1-R4_A1g00156	238.188	237.094	187.641	171.581	258.361	294.574
MvSl-1064-A1-R4_A1g00158	5675.21	7409.76	2143.12	3946.89	2627.21	5722.37
MvSl-1064-A1-R4_A1g00161	9.07961	9	2	0	4	4
MvSl-1064-A1-R4_A1g00169	64.0453	131.475	239.491	420.408	112.447	159.32
MvSl-1064-A1-R4_A1g00171	13.0534	23.245	5.16293	10.5156	9.4554	14.4274
MvSl-1064-A1-R4_A1g00173	53353	50768	467	215	1255	1798
MvSl-1064-A1-R4_A1g00176	183.744	243.415	188.694	301.098	193.558	163.166
MvSl-1064-A1-R4_A1g00177	9	9	6	8	7	9
MvSl-1064-A1-R4_A1g00183	209.458	251.955	365.991	453.494	190.78	207.54
MvSl-1064-A1-R4_A1g00187	173.766	153.447	171.507	225.895	99.2742	120.431
MvSl-1064-A1-R4_A1g00190	328	438	105	105	214	214
MvSl-1064-A1-R4_A1g00191	1527.78	1665.56	2546.3	4912.64	1040.56	1134.29
MvSl-1064-A1-R4_A1g00195	97.4777	56.3034	34.9741	29.853	677.639	743.634
MvSl-1064-A1-R4_A1g00196	2.7287	1.1583	6.64967	3.99145	0	3.14085
MvSl-1064-A1-R4_A1g00198	285.472	209.678	84.5116	86.13	207.733	259.638
MvSl-1064-A1-R4_A1g00199	1	1	1	0	0	0
MvSl-1064-A1-R4_A1g00201	1135.35	1930.21	665.513	979.106	458.105	580.898
MvSl-1064-A1-R4_A1g00202	0	0	3	4	0	1
MvSl-1064-A1-R4_A1g00204	0	0	1.84428	0	2.15566	1.06669
MvSl-1064-A1-R4_A1g00213	28.749	25.3354	7.97754	4.62905	21.6753	28.9767
MvSl-1064-A1-R4_A1g00216	35.6129	28.9671	51.2417	71.0426	14.6664	28.0823
MvSl-1064-A1-R4_A1g00219	609.726	519.024	129.548	129.56	242.093	399.051
MvSl-1064-A1-R4_A1g00223	32.8416	52.9749	7.60294	2.17841	81.6146	110.627
MvSl-1064-A1-R4_A1g00224	23.8754	6.41136	7.45716	7.26866	83.6469	50.1861
MvSl-1064-A1-R4_A1g00226	1.05079	1.05769	6.26431	8.29773	1.98119	0
MvSl-1064-A1-R4_A1g00227	257.537	163.625	214.225	346.181	166.781	259.557
MvSl-1064-A1-R4_A1g00232	27.1494	25.1236	65.2277	44.1095	32.543	50.3283
MvSl-1064-A1-R4_A1g00234	93.6196	140.81	34.5211	46.0681	13.8712	36.0886
MvSl-1064-A1-R4_A1g00236	13301.3	14866	4565.09	6781.21	4764.34	5424.31
