gene	rich1	rich2
MvSl-1064-A1-R4_A1g00001	37.0962	8.98545
MvSl-1064-A1-R4_A1g00002	566.238	600.169
MvSl-1064-A1-R4_A1g00003	485.58	300.531
MvSl-1064-A1-R4_A1g00004	2907	4687
MvSl-1064-A1-R4_A1g00005	1406	2312
MvSl-1064-A1-R4_A1g00006	9491	17170
MvSl-1064-A1-R4_A1g00007	3904	4934
MvSl-1064-A1-R4_A1g00008	2501	3163
MvSl-1064-A1-R4_A1g00009	2809	5712
MvSl-1064-A1-R4_A1g00010	222.668	517.423
MvSl-1064-A1-R4_A1g00011	90	151
MvSl-1064-A1-R4_A1g00012	0	0
MvSl-1064-A1-R4_A1g00013	2609	1813
MvSl-1064-A1-R4_A1g00014	582.547	167.37
MvSl-1064-A1-R4_A1g00015	572	141
MvSl-1064-A1-R4_A1g00016	94	34
MvSl-1064-A1-R4_A1g00017	68	65
MvSl-1064-A1-R4_A1g00018	1.00683	1.0153
MvSl-1064-A1-R4_A1g00019	19.0299	25.1158
MvSl-1064-A1-R4_A1g00020	31.4358	14.3975
MvSl-1064-A1-R4_A1g00021	330.831	256.348
MvSl-1064-A1-R4_A1g00022	1.42216	5.26208
MvSl-1064-A1-R4_A1g00023	48.1693	26.1435
MvSl-1064-A1-R4_A1g00024	0	0
MvSl-1064-A1-R4_A1g00025	12	12
MvSl-1064-A1-R4_A1g00026	604.774	818.342
MvSl-1064-A1-R4_A1g00027	140	153
MvSl-1064-A1-R4_A1g00028	117	76
MvSl-1064-A1-R4_A1g00029	343.03	639.358
MvSl-1064-A1-R4_A1g00030	3168.37	6783.33
MvSl-1064-A1-R4_A1g00031	14	12
MvSl-1064-A1-R4_A1g00032	8251	11485
MvSl-1064-A1-R4_A1g00033	237	222
MvSl-1064-A1-R4_A1g00034	0	0
MvSl-1064-A1-R4_A1g00035	181	149
MvSl-1064-A1-R4_A1g00036	677	932
MvSl-1064-A1-R4_A1g00037	1243	1702
MvSl-1064-A1-R4_A1g00038	0	2
MvSl-1064-A1-R4_A1g00039	2994	4242
MvSl-1064-A1-R4_A1g00040	18	19
MvSl-1064-A1-R4_A1g00041	4	1
MvSl-1064-A1-R4_A1g00042	0	0
MvSl-1064-A1-R4_A1g00043	23.0857	6.00222
MvSl-1064-A1-R4_A1g00044	0	0
MvSl-1064-A1-R4_A1g00045	2	0
MvSl-1064-A1-R4_A1g00046	142	123
MvSl-1064-A1-R4_A1g00047	958	1649
MvSl-1064-A1-R4_A1g00048	570	560
MvSl-1064-A1-R4_A1g00049	735	925
MvSl-1064-A1-R4_A1g00050	2064	3097
MvSl-1064-A1-R4_A1g00051	3151	5424
MvSl-1064-A1-R4_A1g00052	459	224
MvSl-1064-A1-R4_A1g00053	1889	2769
MvSl-1064-A1-R4_A1g00054	170	288
MvSl-1064-A1-R4_A1g00055	499	888
MvSl-1064-A1-R4_A1g00056	3978	8505
MvSl-1064-A1-R4_A1g00057	816	1259
MvSl-1064-A1-R4_A1g00058	38	43
MvSl-1064-A1-R4_A1g00059	425	651.959
MvSl-1064-A1-R4_A1g00060	95	103
MvSl-1064-A1-R4_A1g00061	2973	4420
MvSl-1064-A1-R4_A1g00062	1617.12	1971.19
MvSl-1064-A1-R4_A1g00063	630	789
MvSl-1064-A1-R4_A1g00064	3498	7917
MvSl-1064-A1-R4_A1g00065	1356	1542
MvSl-1064-A1-R4_A1g00066	11103.9	16218.3
MvSl-1064-A1-R4_A1g00067	5	8
MvSl-1064-A1-R4_A1g00068	22	27
MvSl-1064-A1-R4_A1g00069	1725	2006
MvSl-1064-A1-R4_A1g00070	2146	2702
MvSl-1064-A1-R4_A1g00071	339	243
MvSl-1064-A1-R4_A1g00072	3918	2592
MvSl-1064-A1-R4_A1g00073	3982	766
MvSl-1064-A1-R4_A1g00074	11448	16317
MvSl-1064-A1-R4_A1g00075	0	0
MvSl-1064-A1-R4_A1g00076	2305	2712
MvSl-1064-A1-R4_A1g00077	2770	5204
MvSl-1064-A1-R4_A1g00078	12395	21728
MvSl-1064-A1-R4_A1g00079	783	1112
MvSl-1064-A1-R4_A1g00080	279	487
MvSl-1064-A1-R4_A1g00081	62.6253	69.5448
MvSl-1064-A1-R4_A1g00082	0	0
MvSl-1064-A1-R4_A1g00083	0	0
MvSl-1064-A1-R4_A1g00084	0	0
MvSl-1064-A1-R4_A1g00085	0.519109	0
MvSl-1064-A1-R4_A1g00086	2.60383	9.43308
MvSl-1064-A1-R4_A1g00087	622.429	558.84
MvSl-1064-A1-R4_A1g00088	72.2621	86.4977
MvSl-1064-A1-R4_A1g00089	0	0
MvSl-1064-A1-R4_A1g00090	0	0
MvSl-1064-A1-R4_A1g00091	0	0
MvSl-1064-A1-R4_A1g00092	15.7842	11.7477
MvSl-1064-A1-R4_A1g00093	38.0557	67.2033
MvSl-1064-A1-R4_A1g00094	2.03112	4
MvSl-1064-A1-R4_A1g00095	252.579	316.247
MvSl-1064-A1-R4_A1g00096	0	0
MvSl-1064-A1-R4_A1g00097	14.45	14.5269
MvSl-1064-A1-R4_A1g00098	0	0
MvSl-1064-A1-R4_A1g00099	81.9618	81.6963
MvSl-1064-A1-R4_A1g00100	26.3325	50.235
MvSl-1064-A1-R4_A1g00101	14	9
MvSl-1064-A1-R4_A1g00102	11.0392	9.03061
MvSl-1064-A1-R4_A1g00103	9.26156	4.10733
MvSl-1064-A1-R4_A1g00104	0.999032	0.990192
MvSl-1064-A1-R4_A1g00105	0	0
MvSl-1064-A1-R4_A1g00106	14.104	10.0708
MvSl-1064-A1-R4_A1g00107	4.08201	9.34784
MvSl-1064-A1-R4_A1g00108	278	279
MvSl-1064-A1-R4_A1g00109	8767	15786
MvSl-1064-A1-R4_A1g00110	2559	2708
MvSl-1064-A1-R4_A1g00111	0	0
MvSl-1064-A1-R4_A1g00112	49.901	39.2854
MvSl-1064-A1-R4_A1g00113	2366	1430
MvSl-1064-A1-R4_A1g00114	315.437	372.856
MvSl-1064-A1-R4_A1g00115	31.9553	60.4351
MvSl-1064-A1-R4_A1g00116	0	0
MvSl-1064-A1-R4_A1g00117	41.2764	30.4935
MvSl-1064-A1-R4_A1g00118	285.847	467.733
MvSl-1064-A1-R4_A1g00119	33	51.9714
MvSl-1064-A1-R4_A1g00120	209.328	186.242
MvSl-1064-A1-R4_A1g00121	1130.92	1791.75
MvSl-1064-A1-R4_A1g00122	138.541	198.554
MvSl-1064-A1-R4_A1g00123	7.04206	5.02538
MvSl-1064-A1-R4_A1g00124	34.512	18.4299
MvSl-1064-A1-R4_A1g00125	364.266	363.401
MvSl-1064-A1-R4_A1g00126	2353	3366
MvSl-1064-A1-R4_A1g00127	14783.7	8700.66
MvSl-1064-A1-R4_A1g00128	32	21
MvSl-1064-A1-R4_A1g00129	4	4
MvSl-1064-A1-R4_A1g00130	228.976	534.282
MvSl-1064-A1-R4_A1g00131	150	175
MvSl-1064-A1-R4_A1g00132	233.052	199.289
MvSl-1064-A1-R4_A1g00133	1.00517	2.00712
MvSl-1064-A1-R4_A1g00134	252.314	263.109
MvSl-1064-A1-R4_A1g00135	1.48706	1.50168
MvSl-1064-A1-R4_A1g00136	638.161	709.318
MvSl-1064-A1-R4_A1g00137	0	0
MvSl-1064-A1-R4_A1g00138	8.05398	10.0832
MvSl-1064-A1-R4_A1g00139	28.3894	25.3999
MvSl-1064-A1-R4_A1g00140	4.97338	3.43894
MvSl-1064-A1-R4_A1g00141	10.823	10.085
MvSl-1064-A1-R4_A1g00142	58.179	71.7971
MvSl-1064-A1-R4_A1g00143	703.341	657.683
MvSl-1064-A1-R4_A1g00144	2632	4608
MvSl-1064-A1-R4_A1g00145	367.388	526.951
MvSl-1064-A1-R4_A1g00146	178.18	179
MvSl-1064-A1-R4_A1g00147	0	0
MvSl-1064-A1-R4_A1g00148	1	1
MvSl-1064-A1-R4_A1g00149	218.77	261.1
MvSl-1064-A1-R4_A1g00150	13.8977	5
MvSl-1064-A1-R4_A1g00151	787.266	1080.64
MvSl-1064-A1-R4_A1g00152	623.451	802.625
MvSl-1064-A1-R4_A1g00153	3969	5211
MvSl-1064-A1-R4_A1g00154	514	879
MvSl-1064-A1-R4_A1g00155	443.724	620.627
MvSl-1064-A1-R4_A1g00156	187.641	171.581
MvSl-1064-A1-R4_A1g00157	1053.63	1177.7
MvSl-1064-A1-R4_A1g00158	2143.12	3946.89
MvSl-1064-A1-R4_A1g00159	270.364	555.735
MvSl-1064-A1-R4_A1g00160	40.494	39.7578
MvSl-1064-A1-R4_A1g00161	2	0
MvSl-1064-A1-R4_A1g00162	9.1395	0
MvSl-1064-A1-R4_A1g00163	4.48591	3.25787
MvSl-1064-A1-R4_A1g00164	7.25104	2.15924
MvSl-1064-A1-R4_A1g00165	3607	4063
MvSl-1064-A1-R4_A1g00166	1314.52	1879.55
MvSl-1064-A1-R4_A1g00167	54.3625	35.0699
MvSl-1064-A1-R4_A1g00168	854.763	761.91
MvSl-1064-A1-R4_A1g00169	239.491	420.408
MvSl-1064-A1-R4_A1g00170	207.831	231.496
MvSl-1064-A1-R4_A1g00171	5.16293	10.5156
MvSl-1064-A1-R4_A1g00172	155.873	137.52
MvSl-1064-A1-R4_A1g00173	467	215
MvSl-1064-A1-R4_A1g00174	27615.3	16756.3
MvSl-1064-A1-R4_A1g00175	3168	3953
MvSl-1064-A1-R4_A1g00176	188.694	301.098
MvSl-1064-A1-R4_A1g00177	6	8
