gene	rich1	rich2	water1	water2	di1	di2
MvSl-1064-A2-R4_A2g00001	22.6775	12.7782	60.8716	57.3888	86.6857	42.9264
MvSl-1064-A2-R4_A2g00012	0	0	1.66975	0.0162075	1.7971	3.05999
MvSl-1064-A2-R4_A2g00137	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00138	11	6.01053	2.65776	5.43523	0.51181	2.5453
MvSl-1064-A2-R4_A2g00149	795	620	371	434.022	400	473
MvSl-1064-A2-R4_A2g00151	11.3215	20.1937	19.7267	19.8962	15.4737	20.2678
MvSl-1064-A2-R4_A2g00152	18	23	186	264	87	133
MvSl-1064-A2-R4_A2g00155	1003.34	1220.82	19209.3	17937.6	3280.33	3191.62
MvSl-1064-A2-R4_A2g00156	20.8395	105.712	330.778	384.615	57.9129	59.8362
MvSl-1064-A2-R4_A2g00159	157.65	211.728	17.7528	35.1132	5	9
MvSl-1064-A2-R4_A2g00165	132.691	127.692	61.2188	86.4033	53.4353	58.3067
MvSl-1064-A2-R4_A2g00166	106.789	153.856	34.8934	51.4433	105.214	93.7868
MvSl-1064-A2-R4_A2g00167	11.4391	8.38116	71.4083	119.919	23.0052	19.5925
MvSl-1064-A2-R4_A2g00173	296.561	282.431	475.845	522.483	165.994	161.267
MvSl-1064-A2-R4_A2g00174	899.769	935.923	2517.68	2373.49	499.705	604
MvSl-1064-A2-R4_A2g00175	2.43799	2.57911	62.4514	45.8419	11.1316	5.17546
MvSl-1064-A2-R4_A2g00177	42.3124	48.2813	198.653	158.113	63.0391	140.85
MvSl-1064-A2-R4_A2g00178	420	454	1304	1064	727.78	580.09
MvSl-1064-A2-R4_A2g00180	1.03292	5.20154	1.04238	1.08572	0	0
MvSl-1064-A2-R4_A2g00188	5	10	48	46.7886	20	27
MvSl-1064-A2-R4_A2g00189	613.827	886.061	3884.53	3095.34	1004.78	1723.5
MvSl-1064-A2-R4_A2g00190	33	33.3508	202.993	115	56.3743	46.2074
MvSl-1064-A2-R4_A2g00191	253.033	758.41	353.479	239.401	366.584	641.383
MvSl-1064-A2-R4_A2g00198	17	10.1375	35.6128	42.6755	15.4402	10.7692
MvSl-1064-A2-R4_A2g00212	291.027	317.56	186.916	207.333	181.585	123.953
MvSl-1064-A2-R4_A2g00213	368.019	326.391	297.372	300.173	252.501	190.461
MvSl-1064-A2-R4_A2g00214	96.6797	94.8761	131.135	95.9612	235.728	311.121
MvSl-1064-A2-R4_A2g00219	25.9996	9.41355	110.158	204.304	74.7954	66.1615
MvSl-1064-A2-R4_A2g00221	8.3227	6.34664	9.65796	8.36555	3.18311	4.14054
MvSl-1064-A2-R4_A2g00224	41.5094	32.4419	45.3561	30.1535	70.6338	39.7527
MvSl-1064-A2-R4_A2g00228	1	0	5	2	7.80565	7.23596
MvSl-1064-A2-R4_A2g00230	404	455	199	166	201	167
MvSl-1064-A2-R4_A2g00233	5	5	0	5	122	167
MvSl-1064-A2-R4_A2g00234	1.0228	3.04288	0	0	1.00412	0
MvSl-1064-A2-R4_A2g00236	559.611	551.956	1837	2349.33	1097.31	934.036
MvSl-1064-A2-R4_A2g00243	34.6293	40.3105	34.9618	18.4683	18.0549	12.8089
MvSl-1064-A2-R4_A2g00244	70.3573	60.2146	88.65	76.8838	31.8264	58.5741
MvSl-1064-A2-R4_A2g00252	9.11022	3.03385	30.1186	34.2593	6.05222	7.05647
MvSl-1064-A2-R4_A2g00254	7929.99	7714.99	5414.95	3700.92	4261.61	4117.08
MvSl-1064-A2-R4_A2g00257	1.10916	0	0	1.06569	0	0
MvSl-1064-A2-R4_A2g00259	0	0	1.23442	0	0	0
MvSl-1064-A2-R4_A2g00260	1.0539	2.01257	1.02665	0	3.55804	1.20611
MvSl-1064-A2-R4_A2g00262	0	0	0	0	1.11614	0
MvSl-1064-A2-R4_A2g00271	6.91175	19.1933	22.5041	67.2811	50.9742	88.3186
MvSl-1064-A2-R4_A2g00275	0	0	0	3.75778	0	0
MvSl-1064-A2-R4_A2g00276	0	1.00514	3	3.00485	1.00384	0
MvSl-1064-A2-R4_A2g00282	13.2331	10.353	291.43	316.333	77.9573	140.956
MvSl-1064-A2-R4_A2g00284	3.74129	11.0457	33.2557	32.9055	8.80823	15.7218
MvSl-1064-A2-R4_A2g00285	1.03669	0	0	0	125.122	161.937
MvSl-1064-A2-R4_A2g00287	3	8	0	1	0	0
MvSl-1064-A2-R4_A2g00291	433	525.761	472	622	355	477
MvSl-1064-A2-R4_A2g00302	55	52	5	7	7	2
MvSl-1064-A2-R4_A2g00305	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00316	810.809	765.362	1941.71	1820.53	876.731	1121.98
MvSl-1064-A2-R4_A2g00317	2	2	1	2	72.2807	68.7302
MvSl-1064-A2-R4_A2g00320	1.14509	2.33346	3.34904	5.51489	1.14489	0
MvSl-1064-A2-R4_A2g00321	87.9089	253.541	177.744	117.826	167.537	84.3216
MvSl-1064-A2-R4_A2g00330	279.54	332.593	1356.45	2200.03	667.465	1012.12
MvSl-1064-A2-R4_A2g00331	187.152	152.15	609.549	1143.97	384.938	626.335
MvSl-1064-A2-R4_A2g00332	21.9386	26.6936	30.0236	51.4845	24.1136	20.6541
MvSl-1064-A2-R4_A2g00334	66	86	130	166	109.292	91.095
MvSl-1064-A2-R4_A2g00337	0	0	0	5.2871	3.44585	1.29488
MvSl-1064-A2-R4_A2g00338	3	2	4	8.62578	5	2
MvSl-1064-A2-R4_A2g00340	841.443	604.193	2799.8	2900.88	1366.66	1407.63
MvSl-1064-A2-R4_A2g00341	2.04231	4	13	16.1729	13.1606	12.1738
MvSl-1064-A2-R4_A2g00342	56	39	36	52	36	42
MvSl-1064-A2-R4_A2g00343	462.35	496.038	708.189	642.109	548.743	607.486
MvSl-1064-A2-R4_A2g00344	16.9509	35.6599	315.761	273.981	137.705	156.766
MvSl-1064-A2-R4_A2g00346	13.5867	19.0191	328.838	370.378	197.652	254.845
MvSl-1064-A2-R4_A2g00347	1.01453	1.01328	0	2.07279	0	6.22726
MvSl-1064-A2-R4_A2g00348	11.4085	10.9245	3.16237	13.3207	0	2.04295
MvSl-1064-A2-R4_A2g00350	17.6325	20.2217	16.1484	17.4741	11.7719	20.2629
MvSl-1064-A2-R4_A2g00359	267.837	254.448	2158.28	3571.52	581.569	897.823
MvSl-1064-A2-R4_A2g00360	0	0	1	12	2	2
MvSl-1064-A2-R4_A2g00361	2.21576	2	12	20	25.7678	28.0395
MvSl-1064-A2-R4_A2g00362	1	2	8	17	76	77
MvSl-1064-A2-R4_A2g00364	21.9034	30.5119	24.5993	13.7906	15.0055	14.9797
MvSl-1064-A2-R4_A2g00385	3	3	15	24	3	7
MvSl-1064-A2-R4_A2g00390	540.276	518.303	98.6989	99	151.123	145.424
MvSl-1064-A2-R4_A2g00396	4	3	12	12	14	14
MvSl-1064-A2-R4_A2g00399	2	0	1	1	1	1
MvSl-1064-A2-R4_A2g00401	690.297	709.836	987.879	823.727	1421.99	1309.83
MvSl-1064-A2-R4_A2g00402	77.7218	116.22	28.5989	15.4337	114.924	174.435
MvSl-1064-A2-R4_A2g00404	173.135	133.024	898.363	1147.53	896.851	859.554
MvSl-1064-A2-R4_A2g00408	2.30576	1.20454	1.3636	3.63537	0	17.5698
MvSl-1064-A2-R4_A2g00411	1.14147	0	0	0	0	0.788221
MvSl-1064-A2-R4_A2g00412	0	0	1	0	0	0
MvSl-1064-A2-R4_A2g00415	228.471	217.403	137.372	193.043	189.559	154.19
MvSl-1064-A2-R4_A2g00419	154	166	164	338	207	155
MvSl-1064-A2-R4_A2g00424	583.81	614.265	382.595	484.668	226.214	336.29
MvSl-1064-A2-R4_A2g00426	5	3	3	3	79.2103	149.495
MvSl-1064-A2-R4_A2g00427	4.00136	3.00153	6.00421	12.0364	1.00208	3.00954
MvSl-1064-A2-R4_A2g00428	0	0	0	3	1	0
MvSl-1064-A2-R4_A2g00429	1	3	8.00608	19.0081	5	1
MvSl-1064-A2-R4_A2g00430	164.163	170.201	261	228.183	195	176.113
MvSl-1064-A2-R4_A2g00433	1034	1125	1458	1361	750	694
MvSl-1064-A2-R4_A2g00436	5.02152	9.03673	19.5421	11.0901	3.01532	1.00095
MvSl-1064-A2-R4_A2g00438	63.5417	72.759	158.579	138.489	72.3016	89.5547
