Agogue	Genes	Sets	MinSalT	MldSil1	MldSil2	MsuDip1	MsuDip2
ORTHAg00000	420	38	8	8	11	7	3
ORTHAg00001	341	38	7	5	13	7	2
ORTHAg00009	138	38	5	5	5	3	3
ORTHAg00010	135	38	2	4	4	5	6
ORTHAg00015	111	30	2	6	4	5	5
ORTHAg00016	110	38	3	2	2	3	3
ORTHAg00017	107	33	5	7	9	4	2
ORTHAg00027	90	32	3	5	5	1	1
ORTHAg00032	86	34	3	4	2	1	3
ORTHAg00039	81	38	2	2	2	1	1
ORTHAg00047	78	36	2	2	2	3	3
ORTHAg00051	76	38	2	2	2	2	2
ORTHAg00054	75	31	2	3	3	0	1
ORTHAg00066	72	37	2	3	3	0	1
ORTHAg00071	70	37	2	2	2	0	2
ORTHAg00074	69	38	2	2	2	2	2
ORTHAg00077	69	30	4	2	1	3	3
ORTHAg00089	66	38	2	2	2	1	1
ORTHAg00092	66	28	2	3	2	4	2
ORTHAg00133	59	37	2	2	2	0	2
ORTHAg00136	59	36	3	2	2	1	1
ORTHAg00144	58	36	2	2	2	2	2
ORTHAg00155	57	38	2	2	2	1	1
ORTHAg00164	56	28	4	2	2	1	1
ORTHAg00175	55	36	2	2	2	1	1
ORTHAg00182	54	38	2	2	2	2	2
ORTHAg00183	54	35	2	2	2	0	1
ORTHAg00216	52	29	2	2	2	1	2
ORTHAg00222	51	38	2	2	2	1	1
ORTHAg00244	50	25	2	3	4	1	0
ORTHAg00260	49	33	2	2	2	1	1
ORTHAg00379	44	27	2	2	2	0	1
ORTHAg00396	43	36	2	2	2	1	1
ORTHAg00474	42	24	3	3	2	0	2
ORTHAg00527	41	27	2	4	4	1	2
ORTHAg00689	40	26	3	2	3	1	1
ORTHAg01023	39	26	2	2	2	0	2
ORTHAg05560	37	27	2	2	2	1	2
ORTHAg05561	37	32	2	2	2	1	1
ORTHAg05967	36	24	3	2	2	0	0
ORTHAg05969	36	25	2	2	2	3	2
ORTHAg07397	27	17	3	2	2	1	2
