haploid	location	geneswith_TE	TE_total	TE_interval	totalte	totalgene	haploid	prop_withte	haploid	Te_prop	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	
A1	centerplus0k	1346	30646	3142	3142	10451	A1	0.128791503	A1	0.102525615	9105	511	421	177	110	50	34	9	19	7	5	1	1	1	0	0	0	0									
A1	upstream5k	1004	30646	3664	6806	10451	A1	0.096067362	A1	0.119558833	8101	700	620	353	273	156	93	37	45	27	21	7	10	6	0	2	0	0	0	0	0						
A1	upstream10k	719	30646	3332	10138	10451	A1	0.068797244	A1	0.108725445	7382	838	774	411	347	192	152	89	91	54	44	18	24	13	12	5	3	1	0	1	0						
A1	upstream15k	600	30646	3269	13407	10451	A1	0.057410774	A1	0.106669712	6782	968	844	469	388	246	198	124	119	71	74	51	30	26	24	17	7	6	3	3	0						
A1	upstream20k	552	30646	3205	16612	10451	A1	0.052817912	A1	0.104581348	6230	1037	977	527	443	270	240	138	155	77	79	59	45	47	39	37	10	11	9	11	3	2	2	0	1	0	
A1	downstream5k	1025	30646	3709	6851	10451	A1	0.098076739	A1	0.121027214	8080	702	626	378	250	160	89	56	45	20	23	8	8	4	0	1	1	0	0								
A1	downstream10k	708	30646	3433	10284	10451	A1	0.067744713	A1	0.112021145	7372	833	741	423	348	212	164	91	95	48	54	16	22	12	10	5	2	2	1	0	0						
A1	downstream15k	616	30646	3357	13641	10451	A1	0.058941728	A1	0.109541213	6756	931	860	453	414	257	213	146	113	72	66	43	38	24	26	15	6	6	4	2	2	0	0				
A1	downstream20k	554	30646	3535	17176	10451	A1	0.053009281	A1	0.115349475	6202	1013	956	503	456	274	269	174	145	95	89	66	44	34	34	37	14	15	8	11	2	8	2	0	0		
A2	centerplus0k	1331	30460	3116	3116	10451	A2	0.127356234	A2	0.102298096	9120	505	424	168	105	53	33	6	18	9	7	1	0	1	0	1	0	0	0	0							
A2	upstream5k	1033	30460	3665	6781	10451	A2	0.098842216	A2	0.120321733	8087	710	651	343	268	141	101	39	35	22	24	11	9	7	0	2	1	0	0								
A2	upstream10k	721	30460	3272	10053	10451	A2	0.068988614	A2	0.107419567	7366	841	807	409	331	199	161	96	84	34	42	19	25	16	9	5	5	0	1	0	0						
A2	upstream15k	609	30460	3326	13379	10451	A2	0.058271936	A2	0.109192383	6757	972	884	467	390	240	198	117	127	68	63	43	34	28	18	19	10	4	6	5	0						
A2	upstream20k	560	30460	3131	16510	10451	A2	0.053583389	A2	0.102790545	6197	1040	1010	529	460	260	233	155	150	71	71	44	53	45	39	32	14	8	14	12	6						
A2	downstream5k	1059	30460	3768	6884	10451	A2	0.101330016	A2	0.123703217	8061	722	663	343	257	162	75	55	40	27	26	8	5	4	0	2	0	0	0	2	1	0	0	1	0		
A2	downstream10k	714	30460	3371	10255	10451	A2	0.068318821	A2	0.110669731	7347	841	755	430	364	213	153	93	90	41	47	21	21	15	8	5	3	2	1	0	0						
A2	downstream15k	617	30460	3410	13665	10451	A2	0.059037413	A2	0.111950098	6730	940	867	458	423	289	200	132	123	58	58	39	44	28	22	16	8	4	6	3	2	0	0				
A2	downstream20k	562	30460	3401	17066	10451	A2	0.053774758	A2	0.111654629	6168	1033	964	497	466	325	257	162	149	88	79	46	50	36	36	33	24	10	9	8	2	6	2	0	1	0	
																																					
																																					
																																					
																																					
				30646	30460																																
																																					
