biasstatus	bias	A1	interval	numbera1cor	prop	total	a2umbercor	prop2	diffnrcor	diffpropcor
DE	aup	A1	cupstream2K	14	0.1	140	18	0.128571429	-4	-0.028571429
DE	aup	A1	bupstream2K-10K	23	0.164285714	140	25	0.178571429	-2	-0.014285714
DE	aup	A1	aupstream10K020K	20	0.142857143	140	17	0.121428571	3	0.021428571
DE	aup	A1	ddownstream2K	15	0.107142857	140	14	0.1	1	0.007142857
DE	aup	A1	edownstream2K-10K	23	0.164285714	140	24	0.171428571	-1	-0.007142857
DE	aup	A1	fdownstream10K020K	26	0.185714286	140	23	0.164285714	3	0.021428571
DE	bdown	A1	cupstream2K	20	0.098522167	203	19	0.093596059	1	0.004926108
DE	bdown	A1	bupstream2K-10K	41	0.201970443	203	37	0.18226601	4	0.019704433
DE	bdown	A1	aupstream10K020K	24	0.118226601	203	25	0.123152709	-1	-0.004926108
DE	bdown	A1	ddownstream2K	22	0.108374384	203	24	0.118226601	-2	-0.009852217
DE	bdown	A1	edownstream2K-10K	39	0.192118227	203	30	0.147783251	9	0.044334975
DE	bdown	A1	fdownstream10K020K	19	0.093596059	203	25	0.123152709	-6	-0.02955665
NON	cnull	A1	cupstream2K	366	0.042732049	8565	374	0.043666083	-8	-0.000934034
NON	cnull	A1	bupstream2K-10K	1064	0.124226503	8565	1057	0.123409224	7	0.00081728
NON	cnull	A1	aupstream10K020K	998	0.116520724	8565	1017	0.118739054	-19	-0.00221833
NON	cnull	A1	ddownstream2K	351	0.040980736	8565	349	0.040747227	2	0.000233508
NON	cnull	A1	edownstream2K-10K	1043	0.121774664	8565	1071	0.125043783	-28	-0.003269119
NON	cnull	A1	fdownstream10K020K	1024	0.119556334	8565	1026	0.119789842	-2	-0.000233508
