target_id	a1s1	a1s2
MvSl-1064-A1-R4_A1g00002	384.318	437.596
MvSl-1064-A1-R4_A1g00003	686.285	774.134
MvSl-1064-A1-R4_A1g00004	1469	1504
MvSl-1064-A1-R4_A1g00005	1218	1042
MvSl-1064-A1-R4_A1g00006	3521	2957
MvSl-1064-A1-R4_A1g00007	4632	3947
MvSl-1064-A1-R4_A1g00008	5403	3567
MvSl-1064-A1-R4_A1g00009	5574	2951
MvSl-1064-A1-R4_A1g00010	80.9178	50.8896
MvSl-1064-A1-R4_A1g00011	75	37
MvSl-1064-A1-R4_A1g00013	1328.39	1366.4
MvSl-1064-A1-R4_A1g00014	485	403
MvSl-1064-A1-R4_A1g00015	903	751
MvSl-1064-A1-R4_A1g00016	119	105
MvSl-1064-A1-R4_A1g00017	39	22
MvSl-1064-A1-R4_A1g00018	0	0
MvSl-1064-A1-R4_A1g00019	73.9291	67.1505
MvSl-1064-A1-R4_A1g00020	114.753	74.7711
MvSl-1064-A1-R4_A1g00021	833.708	1016.89
MvSl-1064-A1-R4_A1g00022	5.84215	10.8065
MvSl-1064-A1-R4_A1g00023	18.9122	28.8157
MvSl-1064-A1-R4_A1g00024	263	339
MvSl-1064-A1-R4_A1g00025	23	48
MvSl-1064-A1-R4_A1g00026	455.49	559.342
MvSl-1064-A1-R4_A1g00027	49	43
MvSl-1064-A1-R4_A1g00028	471	420
MvSl-1064-A1-R4_A1g00029	85	92
MvSl-1064-A1-R4_A1g00030	1331.85	1174.52
MvSl-1064-A1-R4_A1g00031	467	401
MvSl-1064-A1-R4_A1g00032	13036	12303
MvSl-1064-A1-R4_A1g00033	424	401
MvSl-1064-A1-R4_A1g00034	0	1
MvSl-1064-A1-R4_A1g00035	815	711
MvSl-1064-A1-R4_A1g00036	788	748
MvSl-1064-A1-R4_A1g00037	504	555
MvSl-1064-A1-R4_A1g00038	3	0
MvSl-1064-A1-R4_A1g00039	6188	5435
MvSl-1064-A1-R4_A1g00040	43	34
MvSl-1064-A1-R4_A1g00041	2	1
MvSl-1064-A1-R4_A1g00042	0	1.21039
MvSl-1064-A1-R4_A1g00043	14.9065	12.5386
MvSl-1064-A1-R4_A1g00044	0	0
MvSl-1064-A1-R4_A1g00045	0	1
MvSl-1064-A1-R4_A1g00046	288	314
MvSl-1064-A1-R4_A1g00047	705	581
MvSl-1064-A1-R4_A1g00048	538	532
MvSl-1064-A1-R4_A1g00049	786	761
MvSl-1064-A1-R4_A1g00050	1064	497
MvSl-1064-A1-R4_A1g00051	3159	2078
MvSl-1064-A1-R4_A1g00052	42	33
MvSl-1064-A1-R4_A1g00053	2083	1752
MvSl-1064-A1-R4_A1g00054	108	86
MvSl-1064-A1-R4_A1g00055	606	752
MvSl-1064-A1-R4_A1g00056	8636	5525
MvSl-1064-A1-R4_A1g00057	530	385
MvSl-1064-A1-R4_A1g00058	28	18
MvSl-1064-A1-R4_A1g00059	234	131.919
MvSl-1064-A1-R4_A1g00060	97	174
MvSl-1064-A1-R4_A1g00061	2797	2643
MvSl-1064-A1-R4_A1g00062	1272.97	1228.27
MvSl-1064-A1-R4_A1g00063	641	602
MvSl-1064-A1-R4_A1g00064	5711	5025
MvSl-1064-A1-R4_A1g00065	3083	3216
MvSl-1064-A1-R4_A1g00066	4772.09	4108.49
MvSl-1064-A1-R4_A1g00067	42	49
MvSl-1064-A1-R4_A1g00068	33	33
MvSl-1064-A1-R4_A1g00069	944	1222
MvSl-1064-A1-R4_A1g00070	3202	3240
MvSl-1064-A1-R4_A1g00071	366	342
MvSl-1064-A1-R4_A1g00072	3519	5193
MvSl-1064-A1-R4_A1g00073	385	533
MvSl-1064-A1-R4_A1g00074	11712	7314
MvSl-1064-A1-R4_A1g00075	0	2
MvSl-1064-A1-R4_A1g00076	2733	2412
MvSl-1064-A1-R4_A1g00077	1997	1703
MvSl-1064-A1-R4_A1g00078	4108	2963
MvSl-1064-A1-R4_A1g00079	1131	1761
MvSl-1064-A1-R4_A1g00080	1130	1350
MvSl-1064-A1-R4_A1g00081	1411.93	1857.87
MvSl-1064-A1-R4_A1g00083	2.02479	1.0251
MvSl-1064-A1-R4_A1g00084	1	1
MvSl-1064-A1-R4_A1g00098	0	0
MvSl-1064-A1-R4_A1g00106	51.7683	45.3465
MvSl-1064-A1-R4_A1g00107	1.04227	2.10855
MvSl-1064-A1-R4_A1g00108	784	550
MvSl-1064-A1-R4_A1g00109	2174	1496
MvSl-1064-A1-R4_A1g00110	4951	5441
MvSl-1064-A1-R4_A1g00111	1	0
MvSl-1064-A1-R4_A1g00112	441.347	507.607
MvSl-1064-A1-R4_A1g00113	4276	5288
MvSl-1064-A1-R4_A1g00118	371.876	338.087
MvSl-1064-A1-R4_A1g00120	167.757	160.749
MvSl-1064-A1-R4_A1g00144	2081	1468
MvSl-1064-A1-R4_A1g00150	13	16
MvSl-1064-A1-R4_A1g00153	2888	3279
MvSl-1064-A1-R4_A1g00154	957	817
MvSl-1064-A1-R4_A1g00155	1469.88	1122.81
MvSl-1064-A1-R4_A1g00163	170.383	198.653
MvSl-1064-A1-R4_A1g00165	3795	3794
MvSl-1064-A1-R4_A1g00168	258.961	386.58
MvSl-1064-A1-R4_A1g00175	1408	1224
MvSl-1064-A1-R4_A1g00184	1359	1283
MvSl-1064-A1-R4_A1g00185	5798	5413
MvSl-1064-A1-R4_A1g00186	3399	3344
MvSl-1064-A1-R4_A1g00193	9108	8198
MvSl-1064-A1-R4_A1g00194	126.954	134.358
MvSl-1064-A1-R4_A1g00209	656.152	604.158
MvSl-1064-A1-R4_A1g00210	787	740
MvSl-1064-A1-R4_A1g00211	9463	9195
MvSl-1064-A1-R4_A1g00215	562	472
MvSl-1064-A1-R4_A1g00230	337	421
MvSl-1064-A1-R4_A1g00233	31.3977	24.7276
MvSl-1064-A1-R4_A1g00241	2219	2160
MvSl-1064-A1-R4_A1g00242	856	961
MvSl-1064-A1-R4_A1g00245	725	482
MvSl-1064-A1-R4_A1g00246	1070	1098
