target_id	A2_1	A2_2
MvSl-1064-A2-R4_A2g00002	14860	8526
MvSl-1064-A2-R4_A2g00004	1854	1780
MvSl-1064-A2-R4_A2g00005	1274	1424
MvSl-1064-A2-R4_A2g00006	3553	3849
MvSl-1064-A2-R4_A2g00007	4203	4282
MvSl-1064-A2-R4_A2g00008	2955	4632
MvSl-1064-A2-R4_A2g00009	2517	3442
MvSl-1064-A2-R4_A2g00010	136	134.688
MvSl-1064-A2-R4_A2g00013	2879	2655
MvSl-1064-A2-R4_A2g00014	117	207
MvSl-1064-A2-R4_A2g00015	127	226
MvSl-1064-A2-R4_A2g00016	13	27
MvSl-1064-A2-R4_A2g00017	78	52
MvSl-1064-A2-R4_A2g00018	0	0
MvSl-1064-A2-R4_A2g00019	416.942	322.345
MvSl-1064-A2-R4_A2g00021	1383.52	1523.95
MvSl-1064-A2-R4_A2g00022	2.3673	2.56753
MvSl-1064-A2-R4_A2g00023	17.7684	19.5326
MvSl-1064-A2-R4_A2g00024	496	579
MvSl-1064-A2-R4_A2g00025	50	31
MvSl-1064-A2-R4_A2g00026	944.122	688.4
MvSl-1064-A2-R4_A2g00028	755	702
MvSl-1064-A2-R4_A2g00029	7006	5500
MvSl-1064-A2-R4_A2g00030	13483	12022
MvSl-1064-A2-R4_A2g00031	649	448
MvSl-1064-A2-R4_A2g00032	13541	14318
MvSl-1064-A2-R4_A2g00033	587	568
MvSl-1064-A2-R4_A2g00034	0	0
MvSl-1064-A2-R4_A2g00035	605	696
MvSl-1064-A2-R4_A2g00036	870	888
MvSl-1064-A2-R4_A2g00037	596	509
MvSl-1064-A2-R4_A2g00038	0	0
MvSl-1064-A2-R4_A2g00039	4886	5957
MvSl-1064-A2-R4_A2g00040	56	46
MvSl-1064-A2-R4_A2g00041	2	0
MvSl-1064-A2-R4_A2g00043	2.01835	2.03556
MvSl-1064-A2-R4_A2g00044	0	0
MvSl-1064-A2-R4_A2g00045	0	0
MvSl-1064-A2-R4_A2g00046	294	320
MvSl-1064-A2-R4_A2g00047	658	708
MvSl-1064-A2-R4_A2g00048	612	610
MvSl-1064-A2-R4_A2g00049	966	791
MvSl-1064-A2-R4_A2g00050	998	1202
MvSl-1064-A2-R4_A2g00051	1746	2418
MvSl-1064-A2-R4_A2g00052	33	68
MvSl-1064-A2-R4_A2g00053	1915	2226
