gene	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00002	476.728	408.22	581.42	510.314
MvSl-1064-A1-R4_A1g00004	1501	1469	1780	1854
MvSl-1064-A1-R4_A1g00005	1040	1217	1424	1270
MvSl-1064-A1-R4_A1g00006	3022	3597	3922	3615
MvSl-1064-A1-R4_A1g00007	3944	4624	4280	4205
MvSl-1064-A1-R4_A1g00008	3559	5391	4628	2952
MvSl-1064-A1-R4_A1g00009	2947	5557	3442	2508
MvSl-1064-A1-R4_A1g00010	63.5081	104.201	69.6127	62.6231
MvSl-1064-A1-R4_A1g00011	36.6436	76.2124	44.3303	39.9838
MvSl-1064-A1-R4_A1g00013	1346.38	1318	1478.39	1470.92
MvSl-1064-A1-R4_A1g00014	44.5106	114.274	172	91
MvSl-1064-A1-R4_A1g00015	46	162	217	125
MvSl-1064-A1-R4_A1g00016	20	31	27	13
MvSl-1064-A1-R4_A1g00017	21	36	49	72
MvSl-1064-A1-R4_A1g00018	0	0	0	0
MvSl-1064-A1-R4_A1g00019	61.3034	60.1219	53.616	80.72
MvSl-1064-A1-R4_A1g00020	59.7929	96.9562	90.1091	64.6622
MvSl-1064-A1-R4_A1g00021	1073.1	850.515	397.723	376.478
MvSl-1064-A1-R4_A1g00022	9.95741	3.77018	4.46481	5.78004
MvSl-1064-A1-R4_A1g00023	43.8465	39.8289	38.4795	31.7709
MvSl-1064-A1-R4_A1g00024	0	1	0	0
MvSl-1064-A1-R4_A1g00025	41	21	32	51
MvSl-1064-A1-R4_A1g00026	980.825	763.423	991.789	1291.66
MvSl-1064-A1-R4_A1g00027	43	49	52	64
MvSl-1064-A1-R4_A1g00028	128	161	271.301	264.87
MvSl-1064-A1-R4_A1g00029	81.8175	79.4565	45.7207	42.2225
MvSl-1064-A1-R4_A1g00030	925.707	1019.74	1002.92	958.495
MvSl-1064-A1-R4_A1g00031	418	488	463	664
MvSl-1064-A1-R4_A1g00032	12238	13005	14266	13475
MvSl-1064-A1-R4_A1g00033	404	425	570	588
MvSl-1064-A1-R4_A1g00034	1	0	0	0
MvSl-1064-A1-R4_A1g00035	710	815	696	605
MvSl-1064-A1-R4_A1g00036	748	788	887	870
MvSl-1064-A1-R4_A1g00037	554	504	509	595
MvSl-1064-A1-R4_A1g00038	1	3	0	0
MvSl-1064-A1-R4_A1g00039	5457	6199	5979	4905
MvSl-1064-A1-R4_A1g00040	36	44	48	54
MvSl-1064-A1-R4_A1g00041	0	2	0	2
MvSl-1064-A1-R4_A1g00042	0	0	0	1.17989
MvSl-1064-A1-R4_A1g00043	9	21	22	6.06395
MvSl-1064-A1-R4_A1g00044	0	0	0	0
MvSl-1064-A1-R4_A1g00045	1	0	2	0
MvSl-1064-A1-R4_A1g00046	314	288	320	293
MvSl-1064-A1-R4_A1g00047	568	688	693	648
MvSl-1064-A1-R4_A1g00048	532	538	610	611
MvSl-1064-A1-R4_A1g00049	761	786	789	965
MvSl-1064-A1-R4_A1g00050	496	1064	1202	997
MvSl-1064-A1-R4_A1g00051	2078	3157	2413	1746
MvSl-1064-A1-R4_A1g00052	33	42	68	34
MvSl-1064-A1-R4_A1g00053	1710	2032	2149	1871
MvSl-1064-A1-R4_A1g00054	86	108	161	106
MvSl-1064-A1-R4_A1g00055	750	602	945	1204
MvSl-1064-A1-R4_A1g00056	5526	8632	7302	7395
MvSl-1064-A1-R4_A1g00057	384	529	557	528
MvSl-1064-A1-R4_A1g00058	29	40	30	32
MvSl-1064-A1-R4_A1g00059	131.957	234	217	198.971
MvSl-1064-A1-R4_A1g00060	183	102	104	190
MvSl-1064-A1-R4_A1g00061	2639	2793	2884	2683
MvSl-1064-A1-R4_A1g00062	1195.34	1245.68	1644.8	1461.3
MvSl-1064-A1-R4_A1g00063	604	646	691	682
MvSl-1064-A1-R4_A1g00064	5029	5707	7289	6594
MvSl-1064-A1-R4_A1g00065	3216	3082	3061	2991
MvSl-1064-A1-R4_A1g00066	4558.52	5330.63	6406.2	4680.12
MvSl-1064-A1-R4_A1g00067	49	42	43	79
MvSl-1064-A1-R4_A1g00068	34	33	32	69
MvSl-1064-A1-R4_A1g00069	1221	944	1315	1667
MvSl-1064-A1-R4_A1g00070	3237	3201	2773	3069
MvSl-1064-A1-R4_A1g00071	342	374	290	282
MvSl-1064-A1-R4_A1g00072	5191	3539	4080	5269
MvSl-1064-A1-R4_A1g00073	533	385	1023	828
MvSl-1064-A1-R4_A1g00074	7463	12021	8586	6417
MvSl-1064-A1-R4_A1g00075	2	0	0	1
MvSl-1064-A1-R4_A1g00076	2411	2731	3008	3063
MvSl-1064-A1-R4_A1g00077	1703	1997	2221	1874
MvSl-1064-A1-R4_A1g00078	2962	4103	2517	1540
MvSl-1064-A1-R4_A1g00079	1754	1128	448	611
MvSl-1064-A1-R4_A1g00080	1365	1141	570	550
MvSl-1064-A1-R4_A1g00081	1735.81	1321.06	208.67	274.43
MvSl-1064-A1-R4_A1g00083	1.02202	2.02334	1.06696	0
MvSl-1064-A1-R4_A1g00084	1	1	0	0
MvSl-1064-A1-R4_A1g00106	32.3343	37.4616	55.4767	67.7362
MvSl-1064-A1-R4_A1g00107	75.9946	70.3345	14.2629	15.5696
MvSl-1064-A1-R4_A1g00108	546	779	622	591
MvSl-1064-A1-R4_A1g00109	2188	3142	3014	2282
MvSl-1064-A1-R4_A1g00110	5446	4950	6731	7362
MvSl-1064-A1-R4_A1g00111	1	1	1	3
MvSl-1064-A1-R4_A1g00112	115.276	65.8166	228.008	269.492
MvSl-1064-A1-R4_A1g00113	5284	4276	5119	5287
MvSl-1064-A1-R4_A1g00367	342	371	276	281
MvSl-1064-A1-R4_A1g00368	1241	1611	1790	1369
MvSl-1064-A1-R4_A1g00369	2374	2868	2930	2719
MvSl-1064-A1-R4_A1g00370	2394	2572	2675	2742
MvSl-1064-A1-R4_A1g00371	3179.27	3512.99	2994	3135
MvSl-1064-A1-R4_A1g00372	2958	3262	4014	3914
MvSl-1064-A1-R4_A1g00373	690	1011	1325	1087
MvSl-1064-A1-R4_A1g00374	4438	3424	4709	5154
MvSl-1064-A1-R4_A1g00375	509.637	402.446	272.769	403.949
MvSl-1064-A1-R4_A1g01392	831	1188	1042	939
MvSl-1064-A1-R4_A1g01393	1465	1507	2159	2348
MvSl-1064-A1-R4_A1g00209	1523.19	1448.81	690.415	718.595
MvSl-1064-A1-R4_A1g01415	1936	1896	3216	2561
MvSl-1064-A1-R4_A1g00290	2474	2918	3210	3749
MvSl-1064-A1-R4_A1g01138	5.01839	7.01325	11419.1	13206.1
MvSl-1064-A1-R4_A1g00772	269	504	400	265
MvSl-1064-A1-R4_A1g01389	1960	2658	2204	1733
MvSl-1064-A1-R4_A1g01388	474	958	1202	962
MvSl-1064-A1-R4_A1g01252	2342	2456	3184	3120
MvSl-1064-A1-R4_A1g01253	2254	2690	1754	1315
MvSl-1064-A1-R4_A1g00800	2430.23	3105.48	1793.51	1730.38
MvSl-1064-A1-R4_A1g00801	190	299	319	228
MvSl-1064-A1-R4_A1g00589	6	4	1	2
MvSl-1064-A1-R4_A1g00591	752	479	23	45
MvSl-1064-A1-R4_A1g00593	5332	4687	5533	6240
MvSl-1064-A1-R4_A1g00608	47.2625	43.9116	0	31.6914
MvSl-1064-A1-R4_A1g00641	234.492	354	64.575	76.7882
MvSl-1064-A1-R4_A1g00726	3374	4348	3704	3419
MvSl-1064-A1-R4_A1g00120	531.237	457.002	921.17	1045
MvSl-1064-A1-R4_A1g00246	1112	1086	2256.23	2353.79
MvSl-1064-A1-R4_A1g00215	195.897	237.164	147.918	157.76
MvSl-1064-A1-R4_A1g00233	7.08146	12.2429	1	1
MvSl-1064-A1-R4_A1g00165	4664	4349	3270	3329
MvSl-1064-A1-R4_A1g00481	178.341	156.204	198.302	186.246
MvSl-1064-A1-R4_A1g00718	406	531	1287	919
MvSl-1064-A1-R4_A1g00254	912	745	207	291
MvSl-1064-A1-R4_A1g00359	7531	8885	9157	6461
MvSl-1064-A1-R4_A1g00281	1662	1498	1684	2114
MvSl-1064-A1-R4_A1g00280	3999	4259	5827	5245
MvSl-1064-A1-R4_A1g00168	1279.29	1003.34	363.133	548.375
MvSl-1064-A1-R4_A1g00648	1311	1306	2318	2372
MvSl-1064-A1-R4_A1g00647	4949	8045	6955	5854
MvSl-1064-A1-R4_A1g00492	470.921	451.108	251.596	525.956
MvSl-1064-A1-R4_A1g00778	561	372	710	693
MvSl-1064-A1-R4_A1g00779	4004	3806	6722	7383
MvSl-1064-A1-R4_A1g01282	3.15644	2.06513	216.609	216.67
MvSl-1064-A1-R4_A1g00869	11089	18750	11202	8606
MvSl-1064-A1-R4_A1g00405	454	728	477	442
MvSl-1064-A1-R4_A1g00404	182	178	266	247
MvSl-1064-A1-R4_A1g00403	2205	2498	2003	1869
MvSl-1064-A1-R4_A1g00402	4416	4625	5038	5123
MvSl-1064-A1-R4_A1g00401	2470	4594	4000	2290
MvSl-1064-A1-R4_A1g00400	760	646	293	475
MvSl-1064-A1-R4_A1g00399	3616	5803	6823	4213
MvSl-1064-A1-R4_A1g00398	4924	5730	5895	5101
MvSl-1064-A1-R4_A1g00397	9332	13573	13479	10591
MvSl-1064-A1-R4_A1g00396	3433	4230	4211	3589
MvSl-1064-A1-R4_A1g00395	6196	5923	5745	5771
MvSl-1064-A1-R4_A1g00394	1218	1816	1940	1466
MvSl-1064-A1-R4_A1g00393	2	1	2	3
MvSl-1064-A1-R4_A1g00392	1	0	3	3
MvSl-1064-A1-R4_A1g00391	2445	2358	2847	2764
MvSl-1064-A1-R4_A1g00390	676	624	721	745
MvSl-1064-A1-R4_A1g00389	2203.45	2127.6	502	540
MvSl-1064-A1-R4_A1g00384	1	1	0	0
MvSl-1064-A1-R4_A1g00383	1569	1164	2576	3172
MvSl-1064-A1-R4_A1g00380	1755.58	1936.8	1415.9	1535.01
MvSl-1064-A1-R4_A1g00379	37	28	16	17
MvSl-1064-A1-R4_A1g01189	2417	1899	3527	3574
MvSl-1064-A1-R4_A1g01375	670.668	838.089	1182	1085
MvSl-1064-A1-R4_A1g01376	1667	1507	2952	4005
MvSl-1064-A1-R4_A1g01378	260.895	252.713	115	238.787
MvSl-1064-A1-R4_A1g00624	4110	4922	3068	2841
MvSl-1064-A1-R4_A1g00185	5402	5797	8244	8595
MvSl-1064-A1-R4_A1g00186	3348	3401	4282	3747
MvSl-1064-A1-R4_A1g01038	1103	2125	11804	8301
MvSl-1064-A1-R4_A1g01383	845.624	935.401	1790.36	2209.77
MvSl-1064-A1-R4_A1g00230	485	374	9880	10650
MvSl-1064-A1-R4_A1g00824	1620.44	2525.87	480.925	279.343
MvSl-1064-A1-R4_A1g00568	848	744	733	937
MvSl-1064-A1-R4_A1g00575	3865	3720	3519	2978
MvSl-1064-A1-R4_A1g00576	363	254	259	367
MvSl-1064-A1-R4_A1g00757	43.6817	106.757	61	86
MvSl-1064-A1-R4_A1g00756	25	23	23.4451	32
MvSl-1064-A1-R4_A1g00752	416.206	465.958	14	22
MvSl-1064-A1-R4_A1g00751	5810	5600	4928	5481
MvSl-1064-A1-R4_A1g00750	1352	1161	1389	1522
MvSl-1064-A1-R4_A1g00594	1062.78	1274.29	477	697
MvSl-1064-A1-R4_A1g00749	4808	3169	2272	4235
MvSl-1064-A1-R4_A1g00745	538.582	495.119	3478	3687
MvSl-1064-A1-R4_A1g01135	1058	1217	3152	2858
MvSl-1064-A1-R4_A1g00245	453	706	481	268
MvSl-1064-A1-R4_A1g00635	555.969	426.104	29.1031	63.642
MvSl-1064-A1-R4_A1g00241	2778	2856	5361	4864
MvSl-1064-A1-R4_A1g00242	762	711	1367	1266
MvSl-1064-A1-R4_A1g00270	1194	1223	544	708
MvSl-1064-A1-R4_A1g00269	7542	7735	262	433
MvSl-1064-A1-R4_A1g00098	0	0	0	0
MvSl-1064-A1-R4_A1g00763	260.302	201.286	45.3934	94.0311
MvSl-1064-A1-R4_A1g00211	9180.05	9448	11462	12790
MvSl-1064-A1-R4_A1g00210	737.727	790	867	774
MvSl-1064-A1-R4_A1g01418	352.19	234.859	240.123	313.981
MvSl-1064-A1-R4_A1g00292	2554	3172	1928	1562
MvSl-1064-A1-R4_A1g00406	738	910	1120	1117
