gene	logFC	FDR
1	MinSal-1389-A1-17072018_C001g00009	-0.838207198582168	0.00197083166064849
2	MinSal-1389-A1-17072018_C001g00013	-1.52881748866376	1.38682744649605e-11
3	MinSal-1389-A1-17072018_C001g00020	-6.35095744809759	5.1599059342597e-51
4	MinSal-1389-A1-17072018_C001g00030	-1.04736291872433	3.55027991687106e-06
5	MinSal-1389-A1-17072018_C001g00037	-0.927703233407255	0.0370992389574427
6	MinSal-1389-A1-17072018_C001g00039	-0.949247370069121	1.98973329046432e-05
7	MinSal-1389-A1-17072018_C001g00040	-1.22909560871833	1.29163461434908e-08
8	MinSal-1389-A1-17072018_C001g00047	-0.873679709561691	6.81497480370882e-05
9	MinSal-1389-A1-17072018_C001g00051	-1.86011405471324	2.42394011220913e-11
10	MinSal-1389-A1-17072018_C001g00054	-1.95625472518587	2.26142027596666e-14
11	MinSal-1389-A1-17072018_C001g00056	-1.30149237163123	9.61727527890577e-07
12	MinSal-1389-A1-17072018_C001g00060	-0.93712124891267	1.2499877049428e-05
13	MinSal-1389-A1-17072018_C001g00063	-1.02145833438589	1.70157922416149e-06
14	MinSal-1389-A1-17072018_C001g00071	-1.07764769539987	2.89204817322269e-06
15	MinSal-1389-A1-17072018_C001g00084	-2.6512202698399	6.79278857210327e-11
16	MinSal-1389-A1-17072018_C001g00091	-1.33447516499458	1.56010873147253e-08
17	MinSal-1389-A1-17072018_C001g00094	-1.32237795650202	0.0204669462868492
18	MinSal-1389-A1-17072018_C001g00095	-0.806831045442336	0.000231472862410602
19	MinSal-1389-A1-17072018_C001g00096	-1.18383962701652	3.67959527622029e-06
20	MinSal-1389-A1-17072018_C001g00099	-1.26682554000492	0.000212104606394382
21	MinSal-1389-A1-17072018_C001g00102	-1.41100641730309	3.48766634422236e-10
22	MinSal-1389-A1-17072018_C001g00105	-2.9167437712065	6.77818002656265e-28
23	MinSal-1389-A1-17072018_C001g00109	-1.50717838040338	1.0045898023254e-11
24	MinSal-1389-A1-17072018_C001g00113	-1.47371355014722	0.00307367121833978
25	MinSal-1389-A1-17072018_C001g00117	-0.531724371461602	0.0228575313147623
26	MinSal-1389-A1-17072018_C001g00120	-0.702907737097825	0.00126730272442466
27	MinSal-1389-A1-17072018_C001g00130	-2.27903071624332	7.67233113068318e-25
28	MinSal-1389-A1-17072018_C001g00138	-2.78319133780381	5.76424745567224e-20
29	MinSal-1389-A1-17072018_C001g00139	-2.91067552400519	9.89818053302918e-37
30	MinSal-1389-A1-17072018_C001g00142	-0.747839224583435	0.000768288696055508
31	MinSal-1389-A1-17072018_C001g00145	-1.67728052543773	1.88692326349715e-14
32	MinSal-1389-A1-17072018_C001g00156	-1.13068036899446	7.29747977771874e-07
33	MinSal-1389-A1-17072018_C001g00160	-5.84063207341949	4.35688280851525e-73
34	MinSal-1389-A1-17072018_C001g00162	-0.859602373184183	8.8077329313592e-05
35	MinSal-1389-A1-17072018_C001g00164	-0.5420369312801	0.0130013707409608
36	MinSal-1389-A1-17072018_C001g00170	-1.86540162708672	3.15746921939131e-17
37	MinSal-1389-A1-17072018_C001g00173	-0.909324660172785	6.35155327954814e-05
38	MinSal-1389-A1-17072018_C001g00179	-0.681336737604069	0.00272497070375712
39	MinSal-1389-A1-17072018_C001g00180	-1.52694904490625	4.55739598037203e-12
40	MinSal-1389-A1-17072018_C001g00188	-1.17073462276655	7.57215045700271e-08
41	MinSal-1389-A1-17072018_C001g00196	-0.753974464180918	0.00265991045053825
42	MinSal-1389-A1-17072018_C001g00198	-1.63431739336189	3.31117443761266e-14
43	MinSal-1389-A1-17072018_C001g00200	-1.13726048796577	3.78116444698308e-06
