gene	FDR	logFC
MvSl-1064-A1-R4_A1g00001	0.154510962127862	-1.07891506083628
MvSl-1064-A1-R4_A1g00002	0.282103560509418	0.367811423054257
MvSl-1064-A1-R4_A1g00003	0.00257931068122368	-1.12529277990075
MvSl-1064-A1-R4_A1g00004	2.45107354778963e-06	1.14660527423457
MvSl-1064-A1-R4_A1g00005	0.315515476714984	0.275097505000147
MvSl-1064-A1-R4_A1g00006	4.59710710900689e-11	1.90252942724735
MvSl-1064-A1-R4_A1g00007	0.17768051313181	-0.367787727990672
MvSl-1064-A1-R4_A1g00008	0.249997676910569	-0.334668689440061
MvSl-1064-A1-R4_A1g00009	0.0566717163429435	0.776015573242914
MvSl-1064-A1-R4_A1g00010	2.3056465529507e-09	2.65937472099899
MvSl-1064-A1-R4_A1g00011	0.00157543946194192	1.63776293612762
MvSl-1064-A1-R4_A1g00013	0.444265366804822	-0.259834377529948
MvSl-1064-A1-R4_A1g00014	0.000383560903764229	2.65197312877976
MvSl-1064-A1-R4_A1g00015	0.00156399655111383	2.8072388750497
MvSl-1064-A1-R4_A1g00016	0.00154528265303225	2.49926323361381
MvSl-1064-A1-R4_A1g00017	0.0660402170506495	0.958644213043532
MvSl-1064-A1-R4_A1g00019	1.48145580471792e-07	-2.34856463978223
MvSl-1064-A1-R4_A1g00020	3.95571636981564e-05	-2.23412486847506
MvSl-1064-A1-R4_A1g00021	3.99258857752014e-08	-1.82777013881416
MvSl-1064-A1-R4_A1g00023	0.00142403269977229	-1.60412374837164
MvSl-1064-A1-R4_A1g00024	7.31966291102033e-19	-9.62183585706804
MvSl-1064-A1-R4_A1g00025	0.0931719350501944	-1.07565363494383
MvSl-1064-A1-R4_A1g00026	0.0676974084971136	-0.525990721864782
MvSl-1064-A1-R4_A1g00027	0.00119027473557925	1.28908982461435
MvSl-1064-A1-R4_A1g00028	1.23428522088408e-06	-2.00072917613711
MvSl-1064-A1-R4_A1g00029	0.00145592909531055	-1.02463513374562
MvSl-1064-A1-R4_A1g00030	0.799563894998555	0.0838298137048691
MvSl-1064-A1-R4_A1g00031	2.8439206421052e-31	-4.88541108558035
MvSl-1064-A1-R4_A1g00032	0.190389661150097	-0.430086363713187
MvSl-1064-A1-R4_A1g00033	3.76831899209889e-07	-1.61020381999232
MvSl-1064-A1-R4_A1g00035	3.44165631331455e-10	-2.14859962523091
MvSl-1064-A1-R4_A1g00036	0.670875780939207	-0.128605475493101
MvSl-1064-A1-R4_A1g00037	0.000232915803074896	1.0214848804211
MvSl-1064-A1-R4_A1g00039	0.208142732904541	-0.35332838157893
MvSl-1064-A1-R4_A1g00040	0.608095223780322	0.331059826696719
MvSl-1064-A1-R4_A1g00046	0.00678323387978587	-1.00129955493806
MvSl-1064-A1-R4_A1g00047	0.000166785716929066	1.05347618928521
MvSl-1064-A1-R4_A1g00048	0.851935979423933	0.0670301660089402
MvSl-1064-A1-R4_A1g00049	0.936435673509053	0.0255750082048022
MvSl-1064-A1-R4_A1g00050	3.71952051377041e-08	2.0170720351929
MvSl-1064-A1-R4_A1g00051	3.40250495822512e-05	1.16420915739859
MvSl-1064-A1-R4_A1g00052	3.97221318508525e-10	-2.60818982727801
MvSl-1064-A1-R4_A1g00053	0.285887301887136	-0.279766792786468
MvSl-1064-A1-R4_A1g00054	0.162034986719942	0.53129687306618
MvSl-1064-A1-R4_A1g00055	0.166786472636455	-0.455777257656313
MvSl-1064-A1-R4_A1g00056	0.936283815805296	0.0509465935830592
MvSl-1064-A1-R4_A1g00057	0.0110868939911714	0.818576616524543
MvSl-1064-A1-R4_A1g00058	0.252299495408209	0.615773943211236
MvSl-1064-A1-R4_A1g00059	1.74342582825239e-05	1.55849723746858
MvSl-1064-A1-R4_A1g00060	0.272045686388631	-0.547916960304577
MvSl-1064-A1-R4_A1g00061	0.180188987378495	0.340966017682853
