gene	FDR
MvSl-1064-A1-R4_A1g00001	0.629254047085494
MvSl-1064-A1-R4_A1g00002	0.844293309459066
MvSl-1064-A1-R4_A1g00003	0.893166812423091
MvSl-1064-A1-R4_A1g00004	0.999445115877479
MvSl-1064-A1-R4_A1g00005	0.593403736039632
MvSl-1064-A1-R4_A1g00006	0.865920610598974
MvSl-1064-A1-R4_A1g00007	0.6101247100099
MvSl-1064-A1-R4_A1g00008	0.167101552762191
MvSl-1064-A1-R4_A1g00009	1
MvSl-1064-A1-R4_A1g00010	0.224992711894501
MvSl-1064-A1-R4_A1g00011	0.329929697871364
MvSl-1064-A1-R4_A1g00013	0.0187788052810187
MvSl-1064-A1-R4_A1g00014	0.742374145173132
MvSl-1064-A1-R4_A1g00015	0.419285395856527
MvSl-1064-A1-R4_A1g00016	0.263141424094359
MvSl-1064-A1-R4_A1g00017	0.939181714061653
MvSl-1064-A1-R4_A1g00019	0.215796835086925
MvSl-1064-A1-R4_A1g00020	0.741381855248432
MvSl-1064-A1-R4_A1g00021	0.978585877479303
MvSl-1064-A1-R4_A1g00023	0.0297155923246483
MvSl-1064-A1-R4_A1g00024	8.92991132521404e-16
MvSl-1064-A1-R4_A1g00025	0.651451280102064
MvSl-1064-A1-R4_A1g00026	0.957966171814623
MvSl-1064-A1-R4_A1g00027	0.810584638417939
MvSl-1064-A1-R4_A1g00028	0.00580966330477383
MvSl-1064-A1-R4_A1g00029	1.8504313348199e-22
MvSl-1064-A1-R4_A1g00030	3.0262259710583e-12
MvSl-1064-A1-R4_A1g00031	0.459297909992158
MvSl-1064-A1-R4_A1g00032	0.866802949154609
MvSl-1064-A1-R4_A1g00033	0.149290512975583
MvSl-1064-A1-R4_A1g00035	0.755600768036401
MvSl-1064-A1-R4_A1g00036	0.996781186252445
MvSl-1064-A1-R4_A1g00037	0.586678759809136
MvSl-1064-A1-R4_A1g00039	0.127660509497438
MvSl-1064-A1-R4_A1g00040	1
MvSl-1064-A1-R4_A1g00046	0.591204513724345
MvSl-1064-A1-R4_A1g00047	0.68474212601968
MvSl-1064-A1-R4_A1g00048	0.82342385775426
MvSl-1064-A1-R4_A1g00049	0.857281782615709
MvSl-1064-A1-R4_A1g00050	0.381214107430248
MvSl-1064-A1-R4_A1g00051	0.0592393586421546
MvSl-1064-A1-R4_A1g00052	1.20473496033369e-31
MvSl-1064-A1-R4_A1g00053	0.245547500553679
MvSl-1064-A1-R4_A1g00054	0.375376928616757
MvSl-1064-A1-R4_A1g00055	0.61731673012921
MvSl-1064-A1-R4_A1g00056	0.616631377011814
MvSl-1064-A1-R4_A1g00057	0.804982935763107
MvSl-1064-A1-R4_A1g00058	0.501911214451529
MvSl-1064-A1-R4_A1g00059	0.790085344511924
MvSl-1064-A1-R4_A1g00060	0.887905054348032
MvSl-1064-A1-R4_A1g00061	0.860020657913081
MvSl-1064-A1-R4_A1g00062	0.998725096263271
MvSl-1064-A1-R4_A1g00063	0.146044101334011
MvSl-1064-A1-R4_A1g00064	0.857281782615709
MvSl-1064-A1-R4_A1g00065	0.712041358548429
MvSl-1064-A1-R4_A1g00066	0.889873486950277
MvSl-1064-A1-R4_A1g00067	7.82516269604699e-38
MvSl-1064-A1-R4_A1g00068	4.8412583128961e-24
MvSl-1064-A1-R4_A1g00069	0.0949996744743607
MvSl-1064-A1-R4_A1g00070	0.128458827646706
MvSl-1064-A1-R4_A1g00071	0.386583562243778
MvSl-1064-A1-R4_A1g00072	0.15504358397443
MvSl-1064-A1-R4_A1g00073	0.535794476702725
MvSl-1064-A1-R4_A1g00074	0.313179714296262
MvSl-1064-A1-R4_A1g00076	0.542524190603031
MvSl-1064-A1-R4_A1g00077	0.522448032134054
MvSl-1064-A1-R4_A1g00078	0.227988753460922
MvSl-1064-A1-R4_A1g00079	1
MvSl-1064-A1-R4_A1g00080	1
MvSl-1064-A1-R4_A1g00081	1
MvSl-1064-A1-R4_A1g00087	1
MvSl-1064-A1-R4_A1g00088	1
MvSl-1064-A1-R4_A1g00092	0.1081279175507
MvSl-1064-A1-R4_A1g00093	1
MvSl-1064-A1-R4_A1g00095	0.00260219336703051
MvSl-1064-A1-R4_A1g00099	0.771831609276169
MvSl-1064-A1-R4_A1g00100	0.254207431056302
MvSl-1064-A1-R4_A1g00101	1
MvSl-1064-A1-R4_A1g00106	0.385288373269627
MvSl-1064-A1-R4_A1g00107	0.202574857572812
MvSl-1064-A1-R4_A1g00108	0.561696514785114
MvSl-1064-A1-R4_A1g00109	0.491430698215582
MvSl-1064-A1-R4_A1g00110	0.511815754636832
MvSl-1064-A1-R4_A1g00112	0.148087380574651
MvSl-1064-A1-R4_A1g00113	0.808636553950892
MvSl-1064-A1-R4_A1g00114	1
MvSl-1064-A1-R4_A1g00115	0.988914153925106
MvSl-1064-A1-R4_A1g00117	0.172726395616231
MvSl-1064-A1-R4_A1g00118	0.928475560260672
MvSl-1064-A1-R4_A1g00119	0.479400119725518
MvSl-1064-A1-R4_A1g00120	1
MvSl-1064-A1-R4_A1g00121	0.361023622998712
MvSl-1064-A1-R4_A1g00122	0.26795884340751
MvSl-1064-A1-R4_A1g00124	0.925208170443801
MvSl-1064-A1-R4_A1g00125	0.198361361259488
MvSl-1064-A1-R4_A1g00126	1
MvSl-1064-A1-R4_A1g00127	1
MvSl-1064-A1-R4_A1g00128	1
MvSl-1064-A1-R4_A1g00130	1
MvSl-1064-A1-R4_A1g00131	0.581114645475639
MvSl-1064-A1-R4_A1g00132	0.874877443143861
MvSl-1064-A1-R4_A1g00134	0.691762796201455
MvSl-1064-A1-R4_A1g00136	1
MvSl-1064-A1-R4_A1g00139	0.620224953240766
MvSl-1064-A1-R4_A1g00142	0.916668193918381
MvSl-1064-A1-R4_A1g00143	0.082722541403372
MvSl-1064-A1-R4_A1g00144	0.98850334421407
MvSl-1064-A1-R4_A1g00145	0.0573135216726361
MvSl-1064-A1-R4_A1g00146	0.2885779304204
MvSl-1064-A1-R4_A1g00149	0.755476641457939
MvSl-1064-A1-R4_A1g00151	1
MvSl-1064-A1-R4_A1g00152	0.643024699782128
MvSl-1064-A1-R4_A1g00153	0.166570427391022
MvSl-1064-A1-R4_A1g00154	0.137133606238774
MvSl-1064-A1-R4_A1g00155	0.260577758917756
MvSl-1064-A1-R4_A1g00156	0.831983779793582
MvSl-1064-A1-R4_A1g00157	0.223528327350006
MvSl-1064-A1-R4_A1g00158	1
MvSl-1064-A1-R4_A1g00159	1
MvSl-1064-A1-R4_A1g00160	1
MvSl-1064-A1-R4_A1g00163	0.421438603323606
MvSl-1064-A1-R4_A1g00164	0.0838025584292895
MvSl-1064-A1-R4_A1g00165	0.304897962346298
MvSl-1064-A1-R4_A1g00166	1
MvSl-1064-A1-R4_A1g00167	0.594226978086674
MvSl-1064-A1-R4_A1g00168	0.529018238424375
MvSl-1064-A1-R4_A1g00169	0.93059898803768
MvSl-1064-A1-R4_A1g00170	0.150800141857029
MvSl-1064-A1-R4_A1g00172	0.905801149122137
MvSl-1064-A1-R4_A1g00173	1
MvSl-1064-A1-R4_A1g00174	1
MvSl-1064-A1-R4_A1g00175	0.927291161979297
MvSl-1064-A1-R4_A1g00176	0.183007140552318
MvSl-1064-A1-R4_A1g00178	0.94078969400212
MvSl-1064-A1-R4_A1g00179	0.434973355525528
MvSl-1064-A1-R4_A1g00180	0.979008323247218
MvSl-1064-A1-R4_A1g00181	0.599216957288027
MvSl-1064-A1-R4_A1g00182	0.829308384998239
MvSl-1064-A1-R4_A1g00183	0.190115145746855
MvSl-1064-A1-R4_A1g00184	0.000330392418238005
MvSl-1064-A1-R4_A1g00185	0.468551246003898
MvSl-1064-A1-R4_A1g00186	0.284629512953424
MvSl-1064-A1-R4_A1g00187	1
MvSl-1064-A1-R4_A1g00188	0.00147972866953371
MvSl-1064-A1-R4_A1g00189	1
MvSl-1064-A1-R4_A1g00190	1
MvSl-1064-A1-R4_A1g00191	1
MvSl-1064-A1-R4_A1g00192	0.0511185746422469
MvSl-1064-A1-R4_A1g00193	0.0883218802613732
MvSl-1064-A1-R4_A1g00194	0.446194238655788
MvSl-1064-A1-R4_A1g00195	1.40957335410803e-11
MvSl-1064-A1-R4_A1g00197	0.0726249909887267
MvSl-1064-A1-R4_A1g00198	0.417383808932357
MvSl-1064-A1-R4_A1g00200	0.367821590628847
MvSl-1064-A1-R4_A1g00201	1
