gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00009	0.99841191552017	0.0396642655707164
2	MvSl-1064-A1-R4_A1g00040	1.61114915966049	0.0112153755515028
3	MvSl-1064-A1-R4_A1g00079	0.757484222256741	0.0360561578759687
4	MvSl-1064-A1-R4_A1g00080	0.974337164526638	0.0114511179017751
5	MvSl-1064-A1-R4_A1g00081	1.2210615817229	0.00152350193007621
6	MvSl-1064-A1-R4_A1g00087	1.00978088582513	0.011837599826906
7	MvSl-1064-A1-R4_A1g00088	1.72234813597106	0.000476505288107578
8	MvSl-1064-A1-R4_A1g00093	1.24619562022903	0.0386637944892613
9	MvSl-1064-A1-R4_A1g00101	2.13185315609292	0.000721062483122232
10	MvSl-1064-A1-R4_A1g00114	1.20868952163834	0.000684292625054688
11	MvSl-1064-A1-R4_A1g00120	0.973078798148347	0.0186703476786421
12	MvSl-1064-A1-R4_A1g00126	1.23318430178967	1.16805107959455e-06
13	MvSl-1064-A1-R4_A1g00127	5.38266578894478	2.2747252038736e-13
14	MvSl-1064-A1-R4_A1g00128	4.50437512844595	4.91554630441254e-45
15	MvSl-1064-A1-R4_A1g00130	2.22822402941194	1.52087027173047e-07
16	MvSl-1064-A1-R4_A1g00136	1.219402220092	0.00041916294525439
17	MvSl-1064-A1-R4_A1g00151	1.08521945013916	0.000307977395605215
18	MvSl-1064-A1-R4_A1g00158	1.02494840917562	0.0210155306682413
19	MvSl-1064-A1-R4_A1g00159	1.38689960057543	0.00136614049517296
20	MvSl-1064-A1-R4_A1g00160	1.50161443870084	0.00121433784978347
21	MvSl-1064-A1-R4_A1g00166	1.80797365521412	1.70978682790678e-11
22	MvSl-1064-A1-R4_A1g00173	5.47463030108013	2.28047381394127e-22
23	MvSl-1064-A1-R4_A1g00174	5.58740625687131	2.77059998766331e-12
24	MvSl-1064-A1-R4_A1g00187	0.962576218627485	0.0269268514274026
25	MvSl-1064-A1-R4_A1g00189	1.44863290652007	0.000314461315945595
26	MvSl-1064-A1-R4_A1g00190	1.22227748525291	0.00238948799597008
27	MvSl-1064-A1-R4_A1g00191	0.938293091991878	0.00158653464981712
28	MvSl-1064-A1-R4_A1g00201	1.93940298118656	5.71545723317877e-09
29	MvSl-1064-A1-R4_A1g00219	1.1991611294845	0.00414351023911856
30	MvSl-1064-A1-R4_A1g00234	2.60281027771676	5.11500150228517e-06
31	MvSl-1064-A1-R4_A1g00235	2.10965019360027	2.34646519805366e-15
32	MvSl-1064-A1-R4_A1g00236	1.85050365622624	9.89243509337322e-10
33	MvSl-1064-A1-R4_A1g00239	1.65968205690965	2.7922108691062e-05
34	MvSl-1064-A1-R4_A1g00269	0.866895684741529	0.00446476185564951
35	MvSl-1064-A1-R4_A1g00270	0.678948950656515	0.0283176817410356
36	MvSl-1064-A1-R4_A1g00271	1.36542632861043	0.0340231384501712
37	MvSl-1064-A1-R4_A1g00279	1.48677384494262	0.000995227822788928
38	MvSl-1064-A1-R4_A1g00292	0.718599831664405	0.012439173486619
39	MvSl-1064-A1-R4_A1g00294	1.03475595184675	0.0104677639225029
40	MvSl-1064-A1-R4_A1g00306	4.545463780568	6.60045257786001e-22
41	MvSl-1064-A1-R4_A1g00308	1.30053204755311	0.000577310880562273
42	MvSl-1064-A1-R4_A1g00310	0.887392769709623	0.00302646022538085
43	MvSl-1064-A1-R4_A1g00312	3.12842898627054	1.77301478274322e-25
44	MvSl-1064-A1-R4_A1g00313	2.75334127184679	5.61185672749174e-15
45	MvSl-1064-A1-R4_A1g00319	1.79180682134058	9.41521275641005e-05
46	MvSl-1064-A1-R4_A1g00320	2.41521371107715	6.59980347822111e-06
47	MvSl-1064-A1-R4_A1g00321	0.874591830279169	0.022187344356593
48	MvSl-1064-A1-R4_A1g00330	1.72628648070673	3.96418410302551e-06
49	MvSl-1064-A1-R4_A1g00331	1.16060082563705	0.0172424758817825
50	MvSl-1064-A1-R4_A1g00334	1.12422177537064	0.0171563595646251
51	MvSl-1064-A1-R4_A1g00339	2.82862038457988	1.50341837701604e-11
52	MvSl-1064-A1-R4_A1g00340	4.4260019964423	2.69605850456344e-31
