gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00003	1.24071577576901	0.000914777113961243
2	MvSl-1064-A1-R4_A1g00008	0.840197153156404	0.00234109706841693
3	MvSl-1064-A1-R4_A1g00019	1.64220367747505	0.000415777108184016
4	MvSl-1064-A1-R4_A1g00020	1.90994626174054	0.000539543337542863
5	MvSl-1064-A1-R4_A1g00021	1.85199921696558	3.09411506051735e-08
6	MvSl-1064-A1-R4_A1g00025	1.53669461505305	0.0144854874523065
7	MvSl-1064-A1-R4_A1g00031	5.28089203695576	9.87450264041012e-36
8	MvSl-1064-A1-R4_A1g00033	1.00867326259872	0.00183022809217601
9	MvSl-1064-A1-R4_A1g00035	2.35203877091617	8.8603972661753e-12
10	MvSl-1064-A1-R4_A1g00039	0.88188559883874	0.000954113765841004
11	MvSl-1064-A1-R4_A1g00040	1.28008933296377	0.0203822103666655
12	MvSl-1064-A1-R4_A1g00046	1.33452420033364	0.000286863346147223
13	MvSl-1064-A1-R4_A1g00065	1.29340260099813	1.35204655909752e-07
14	MvSl-1064-A1-R4_A1g00067	2.97677735145049	1.30003181826913e-09
15	MvSl-1064-A1-R4_A1g00070	0.59264260797529	0.0217490866576599
16	MvSl-1064-A1-R4_A1g00079	0.803893319541183	0.00784427452798118
17	MvSl-1064-A1-R4_A1g00080	1.92568385162817	6.90210212786492e-09
18	MvSl-1064-A1-R4_A1g00081	4.69735978004296	1.08118962536252e-33
19	MvSl-1064-A1-R4_A1g00092	3.11310531964417	4.83803380413497e-11
20	MvSl-1064-A1-R4_A1g00099	1.20958091115918	0.00134807865231329
21	MvSl-1064-A1-R4_A1g00101	2.92451207633361	1.27448135389628e-06
22	MvSl-1064-A1-R4_A1g00106	1.6688643986914	0.00476737840915216
23	MvSl-1064-A1-R4_A1g00107	3.67024314448898	2.73133974838728e-10
24	MvSl-1064-A1-R4_A1g00108	1.4088529952019	6.64517736916487e-05
25	MvSl-1064-A1-R4_A1g00110	1.14754839383465	1.24688451790223e-05
26	MvSl-1064-A1-R4_A1g00112	1.17208172889597	0.0209846835700252
