gene	logFC
MvSl-1064-A1-R4_A1g00003	-1.12496114353826
MvSl-1064-A1-R4_A1g00019	-2.34829319894444
MvSl-1064-A1-R4_A1g00020	-2.23384361127465
MvSl-1064-A1-R4_A1g00021	-1.827461678757
MvSl-1064-A1-R4_A1g00023	-1.60383898266348
MvSl-1064-A1-R4_A1g00024	-9.62178787862542
MvSl-1064-A1-R4_A1g00028	-2.00037620829768
MvSl-1064-A1-R4_A1g00029	-1.02437565798384
MvSl-1064-A1-R4_A1g00031	-4.88513248876847
MvSl-1064-A1-R4_A1g00033	-1.60989551271945
MvSl-1064-A1-R4_A1g00035	-2.14830226447237
MvSl-1064-A1-R4_A1g00046	-1.00097482540231
MvSl-1064-A1-R4_A1g00052	-2.60782096615681
MvSl-1064-A1-R4_A1g00065	-1.12075059167146
MvSl-1064-A1-R4_A1g00067	-7.62399578938318
MvSl-1064-A1-R4_A1g00068	-4.6212294142898
MvSl-1064-A1-R4_A1g00071	-0.89723849777554
MvSl-1064-A1-R4_A1g00080	-0.951113635732353
MvSl-1064-A1-R4_A1g00081	-3.47604523255423
MvSl-1064-A1-R4_A1g00092	-3.94566917269679
MvSl-1064-A1-R4_A1g00099	-1.41795406938634
MvSl-1064-A1-R4_A1g00107	-2.83931249128602
MvSl-1064-A1-R4_A1g00108	-1.06588669174587
MvSl-1064-A1-R4_A1g00110	-0.86260621271222
MvSl-1064-A1-R4_A1g00113	-1.62652485890344
MvSl-1064-A1-R4_A1g00115	-1.62027964269251
MvSl-1064-A1-R4_A1g00124	-3.34904178888395
MvSl-1064-A1-R4_A1g00128	-2.66306085356977
MvSl-1064-A1-R4_A1g00143	-0.69275736545815
MvSl-1064-A1-R4_A1g00155	-1.01629317006726
MvSl-1064-A1-R4_A1g00160	-0.953160437853412
MvSl-1064-A1-R4_A1g00163	-4.39614018950752
MvSl-1064-A1-R4_A1g00164	-4.33104885474078
MvSl-1064-A1-R4_A1g00170	-1.38527573521062
MvSl-1064-A1-R4_A1g00172	-0.763584787079733
MvSl-1064-A1-R4_A1g00173	-1.86835299134114
MvSl-1064-A1-R4_A1g00184	-0.868113438516352
MvSl-1064-A1-R4_A1g00188	-5.46391295064968
MvSl-1064-A1-R4_A1g00190	-0.805163906496452
MvSl-1064-A1-R4_A1g00192	-1.10185934646582
MvSl-1064-A1-R4_A1g00195	-4.22067288628756
MvSl-1064-A1-R4_A1g00198	-1.23329633146872
MvSl-1064-A1-R4_A1g00200	-2.04973086484911
MvSl-1064-A1-R4_A1g00206	-7.84573712077833
MvSl-1064-A1-R4_A1g00209	-0.817606156123612
MvSl-1064-A1-R4_A1g00211	-0.923188384164751
MvSl-1064-A1-R4_A1g00212	-2.50893362496548
MvSl-1064-A1-R4_A1g00218	-1.82402237510539
MvSl-1064-A1-R4_A1g00219	-1.08275662077967
MvSl-1064-A1-R4_A1g00222	-2.1507740913561
MvSl-1064-A1-R4_A1g00223	-3.99282133135049
MvSl-1064-A1-R4_A1g00224	-3.02119085356996
MvSl-1064-A1-R4_A1g00237	-1.0675063076367
MvSl-1064-A1-R4_A1g00240	-0.873556489418453
MvSl-1064-A1-R4_A1g00241	-0.520045871776018
MvSl-1064-A1-R4_A1g00243	-1.2215616815128
MvSl-1064-A1-R4_A1g00244	-3.08822645562913
