gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00001	-0.604213235255925	0.629254047085494
2	MvSl-1064-A1-R4_A1g00002	0.137750058251252	0.844293309459066
3	MvSl-1064-A1-R4_A1g00003	0.115208090477259	0.893166812423091
4	MvSl-1064-A1-R4_A1g00004	0.000343206509090629	0.999445115877479
5	MvSl-1064-A1-R4_A1g00005	-0.236704375302913	0.593403736039632
6	MvSl-1064-A1-R4_A1g00006	0.110387937335225	0.865920610598974
7	MvSl-1064-A1-R4_A1g00007	-0.230440112075632	0.6101247100099
8	MvSl-1064-A1-R4_A1g00008	0.505368454138835	0.167101552762191
9	MvSl-1064-A1-R4_A1g00010	0.758753889765203	0.224992711894501
10	MvSl-1064-A1-R4_A1g00011	0.751208004698039	0.329929697871364
11	MvSl-1064-A1-R4_A1g00014	0.460716870588621	0.742374145173132
12	MvSl-1064-A1-R4_A1g00015	1.06405059912617	0.419285395856527
13	MvSl-1064-A1-R4_A1g00016	1.24707452505278	0.263141424094359
14	MvSl-1064-A1-R4_A1g00017	-0.104244940945024	0.939181714061653
15	MvSl-1064-A1-R4_A1g00019	-0.706551355177128	0.215796835086925
16	MvSl-1064-A1-R4_A1g00020	-0.32433434880459	0.741381855248432
17	MvSl-1064-A1-R4_A1g00021	0.0240093467002665	0.978585877479303
18	MvSl-1064-A1-R4_A1g00025	0.460803699238952	0.651451280102064
19	MvSl-1064-A1-R4_A1g00026	-0.0402272096516566	0.957966171814623
20	MvSl-1064-A1-R4_A1g00027	-0.209932542410599	0.810584638417939
21	MvSl-1064-A1-R4_A1g00031	0.39529664414397	0.459297909992158
22	MvSl-1064-A1-R4_A1g00032	0.117722251343457	0.866802949154609
23	MvSl-1064-A1-R4_A1g00033	-0.601710996423163	0.149290512975583
24	MvSl-1064-A1-R4_A1g00035	0.203246953758909	0.755600768036401
25	MvSl-1064-A1-R4_A1g00036	-0.00403294123091971	0.996781186252445
26	MvSl-1064-A1-R4_A1g00037	-0.262910757884873	0.586678759809136
27	MvSl-1064-A1-R4_A1g00039	0.528368472747328	0.127660509497438
28	MvSl-1064-A1-R4_A1g00046	0.333041768320863	0.591204513724345
29	MvSl-1064-A1-R4_A1g00047	0.21235257747059	0.68474212601968
30	MvSl-1064-A1-R4_A1g00048	0.147303637881425	0.82342385775426
31	MvSl-1064-A1-R4_A1g00049	0.106840310837581	0.857281782615709
32	MvSl-1064-A1-R4_A1g00050	0.485673438464709	0.381214107430248
33	MvSl-1064-A1-R4_A1g00051	0.663075426263564	0.0592393586421546
34	MvSl-1064-A1-R4_A1g00053	-0.398767314406306	0.245547500553679
35	MvSl-1064-A1-R4_A1g00054	-0.497923401512632	0.375376928616757
36	MvSl-1064-A1-R4_A1g00055	-0.274099283490455	0.61731673012921
37	MvSl-1064-A1-R4_A1g00056	0.463998593210094	0.616631377011814
38	MvSl-1064-A1-R4_A1g00057	-0.165024789411581	0.804982935763107
39	MvSl-1064-A1-R4_A1g00058	0.558727434428146	0.501911214451529
40	MvSl-1064-A1-R4_A1g00059	0.2000740262829	0.790085344511924
41	MvSl-1064-A1-R4_A1g00060	0.151467715716786	0.887905054348032
42	MvSl-1064-A1-R4_A1g00061	0.0956376063455338	0.860020657913081
43	MvSl-1064-A1-R4_A1g00062	-0.00119793413080497	0.998725096263271
44	MvSl-1064-A1-R4_A1g00063	-0.517919233486672	0.146044101334011
45	MvSl-1064-A1-R4_A1g00064	-0.130227820106026	0.857281782615709
46	MvSl-1064-A1-R4_A1g00065	0.172164260617576	0.712041358548429
47	MvSl-1064-A1-R4_A1g00066	-0.0935480477565854	0.889873486950277
48	MvSl-1064-A1-R4_A1g00069	-0.633808952252348	0.0949996744743607
49	MvSl-1064-A1-R4_A1g00070	0.501784645221381	0.128458827646706
50	MvSl-1064-A1-R4_A1g00071	-0.469400651872501	0.386583562243778
51	MvSl-1064-A1-R4_A1g00072	0.671020162269531	0.15504358397443
52	MvSl-1064-A1-R4_A1g00073	-0.71179529585772	0.535794476702725
53	MvSl-1064-A1-R4_A1g00074	0.520686341939016	0.313179714296262
54	MvSl-1064-A1-R4_A1g00076	0.247658449645749	0.542524190603031
55	MvSl-1064-A1-R4_A1g00077	0.279682764115024	0.522448032134054
56	MvSl-1064-A1-R4_A1g00078	0.514383301586957	0.227988753460922
57	MvSl-1064-A1-R4_A1g00092	-0.833041254028943	0.1081279175507
58	MvSl-1064-A1-R4_A1g00099	-0.208886669116309	0.771831609276169
59	MvSl-1064-A1-R4_A1g00100	0.858882391943052	0.254207431056302
60	MvSl-1064-A1-R4_A1g00106	0.707979827941979	0.385288373269627
61	MvSl-1064-A1-R4_A1g00107	0.830379742901197	0.202574857572812
62	MvSl-1064-A1-R4_A1g00108	0.342505651864606	0.561696514785114
63	MvSl-1064-A1-R4_A1g00109	0.347940535850601	0.491430698215582
64	MvSl-1064-A1-R4_A1g00110	0.284444355528406	0.511815754636832
65	MvSl-1064-A1-R4_A1g00112	0.933125830391996	0.148087380574651
66	MvSl-1064-A1-R4_A1g00113	-0.181752389806313	0.808636553950892
67	MvSl-1064-A1-R4_A1g00115	0.0139922731880749	0.988914153925106
68	MvSl-1064-A1-R4_A1g00117	-0.915853338645076	0.172726395616231
69	MvSl-1064-A1-R4_A1g00118	0.0738542519018294	0.928475560260672
70	MvSl-1064-A1-R4_A1g00119	0.632159492131111	0.479400119725518
71	MvSl-1064-A1-R4_A1g00121	0.388461095468753	0.361023622998712
72	MvSl-1064-A1-R4_A1g00122	0.538481546276082	0.26795884340751
73	MvSl-1064-A1-R4_A1g00124	0.0945044513433055	0.925208170443801
74	MvSl-1064-A1-R4_A1g00125	0.601329376029836	0.198361361259488
75	MvSl-1064-A1-R4_A1g00131	-0.343933074862854	0.581114645475639
76	MvSl-1064-A1-R4_A1g00132	0.129640792769102	0.874877443143861
77	MvSl-1064-A1-R4_A1g00134	0.248392301921208	0.691762796201455
78	MvSl-1064-A1-R4_A1g00139	-0.457196741213481	0.620224953240766
79	MvSl-1064-A1-R4_A1g00142	0.113947457986812	0.916668193918381
80	MvSl-1064-A1-R4_A1g00143	0.618643123117986	0.082722541403372
81	MvSl-1064-A1-R4_A1g00144	-0.00988035704614504	0.98850334421407
82	MvSl-1064-A1-R4_A1g00145	0.938142132904288	0.0573135216726361
83	MvSl-1064-A1-R4_A1g00146	0.763104292132083	0.2885779304204
84	MvSl-1064-A1-R4_A1g00149	0.231153158827647	0.755476641457939
85	MvSl-1064-A1-R4_A1g00152	0.217090794566286	0.643024699782128
86	MvSl-1064-A1-R4_A1g00153	0.473501211878579	0.166570427391022
87	MvSl-1064-A1-R4_A1g00154	0.598163710829673	0.137133606238774
88	MvSl-1064-A1-R4_A1g00155	0.458742148375876	0.260577758917756
89	MvSl-1064-A1-R4_A1g00156	0.164824778401894	0.831983779793582
90	MvSl-1064-A1-R4_A1g00157	0.447068613345274	0.223528327350006
91	MvSl-1064-A1-R4_A1g00163	0.533240382661015	0.421438603323606
92	MvSl-1064-A1-R4_A1g00164	0.918302430371741	0.0838025584292895
93	MvSl-1064-A1-R4_A1g00165	0.37735217420148	0.304897962346298
94	MvSl-1064-A1-R4_A1g00167	0.460108255075198	0.594226978086674
95	MvSl-1064-A1-R4_A1g00168	0.316478647478944	0.529018238424375
96	MvSl-1064-A1-R4_A1g00169	-0.0974131069836618	0.93059898803768
97	MvSl-1064-A1-R4_A1g00170	0.581452606671064	0.150800141857029
98	MvSl-1064-A1-R4_A1g00172	0.100778534846281	0.905801149122137
99	MvSl-1064-A1-R4_A1g00175	0.0562983642805438	0.927291161979297
100	MvSl-1064-A1-R4_A1g00176	0.64237308970401	0.183007140552318
101	MvSl-1064-A1-R4_A1g00178	0.0498395169606708	0.94078969400212
102	MvSl-1064-A1-R4_A1g00179	0.346693953999836	0.434973355525528
103	MvSl-1064-A1-R4_A1g00180	-0.0229138029282978	0.979008323247218
104	MvSl-1064-A1-R4_A1g00181	-0.490449977576276	0.599216957288027
105	MvSl-1064-A1-R4_A1g00182	0.185623937795192	0.829308384998239
106	MvSl-1064-A1-R4_A1g00183	0.59120563564229	0.190115145746855
107	MvSl-1064-A1-R4_A1g00185	-0.318151105952481	0.468551246003898
108	MvSl-1064-A1-R4_A1g00186	-0.407661224452601	0.284629512953424
109	MvSl-1064-A1-R4_A1g00192	0.674775654409132	0.0511185746422469
110	MvSl-1064-A1-R4_A1g00193	0.627318921758289	0.0883218802613732
111	MvSl-1064-A1-R4_A1g00194	0.417622709497557	0.446194238655788
112	MvSl-1064-A1-R4_A1g00197	0.92622489260806	0.0726249909887267
113	MvSl-1064-A1-R4_A1g00198	0.466664791018757	0.417383808932357
114	MvSl-1064-A1-R4_A1g00200	-0.56007935885229	0.367821590628847
115	MvSl-1064-A1-R4_A1g00208	0.258933327742771	0.672669625534866
116	MvSl-1064-A1-R4_A1g00209	-0.350425216885394	0.372591288150653
117	MvSl-1064-A1-R4_A1g00210	-0.122038944049705	0.829308384998239
118	MvSl-1064-A1-R4_A1g00211	0.299581118383628	0.529317199777253
119	MvSl-1064-A1-R4_A1g00212	-0.267941209303922	0.797598200407697
120	MvSl-1064-A1-R4_A1g00215	-0.55890343979387	0.242264405172774
121	MvSl-1064-A1-R4_A1g00216	0.974749981290021	0.183715267335695
122	MvSl-1064-A1-R4_A1g00217	0.645792575838822	0.132305001397878
123	MvSl-1064-A1-R4_A1g00218	-0.18026991079266	0.875156494528258
124	MvSl-1064-A1-R4_A1g00220	-0.466971052931423	0.58845664197026
125	MvSl-1064-A1-R4_A1g00222	0.0514144811184433	0.96052455181765
126	MvSl-1064-A1-R4_A1g00223	-0.785053278042468	0.308620236694993
127	MvSl-1064-A1-R4_A1g00227	0.368190268412262	0.599056930317274
128	MvSl-1064-A1-R4_A1g00228	0.609026512240475	0.191796338143042
129	MvSl-1064-A1-R4_A1g00232	-0.290584573665966	0.800186757322808
