gene	FDR	logFC
MvSl-1064-A1-R4_A1g00002	0.338569708141654	0.317348195465703
MvSl-1064-A1-R4_A1g00003	0.0011376912296353	-1.18309001563519
MvSl-1064-A1-R4_A1g00004	5.070524228655e-06	1.09966866544907
MvSl-1064-A1-R4_A1g00005	0.405429288692477	0.227926759249088
MvSl-1064-A1-R4_A1g00006	1.89767100635636e-10	1.85512472471544
MvSl-1064-A1-R4_A1g00007	0.116236436825336	-0.418461509465146
MvSl-1064-A1-R4_A1g00008	0.177724425392324	-0.386087389830916
MvSl-1064-A1-R4_A1g00009	0.0783811443608455	0.725446277268969
MvSl-1064-A1-R4_A1g00010	3.8803178126514e-09	2.61269823716367
MvSl-1064-A1-R4_A1g00011	0.0015249590140033	1.58702584801396
MvSl-1064-A1-R4_A1g00013	0.330562251256164	-0.31507178905582
MvSl-1064-A1-R4_A1g00014	0.000389966999081094	2.59627294545795
MvSl-1064-A1-R4_A1g00015	0.00162217072283508	2.75315866247319
MvSl-1064-A1-R4_A1g00016	0.00104419252669565	2.44428040687755
MvSl-1064-A1-R4_A1g00017	0.060705152574883	0.907643694251432
MvSl-1064-A1-R4_A1g00019	1.60673486197563e-08	-2.39751660721526
MvSl-1064-A1-R4_A1g00020	9.08126159394906e-06	-2.29327097672366
MvSl-1064-A1-R4_A1g00021	7.55061963923107e-09	-1.88413833617723
MvSl-1064-A1-R4_A1g00023	0.000448528574667075	-1.66122434532164
MvSl-1064-A1-R4_A1g00024	2.5392438347913e-21	-9.62735333467331
MvSl-1064-A1-R4_A1g00025	0.0622715865843005	-1.12506109165278
MvSl-1064-A1-R4_A1g00026	0.043710718171524	-0.576532372861948
MvSl-1064-A1-R4_A1g00027	0.00117930539883046	1.23809185046208
MvSl-1064-A1-R4_A1g00028	2.96898503398439e-07	-2.05544456770537
MvSl-1064-A1-R4_A1g00029	0.000713259722990309	-1.07151267308931
MvSl-1064-A1-R4_A1g00030	0.909884071817317	0.0380406979079543
MvSl-1064-A1-R4_A1g00031	3.48746713231159e-33	-4.93650637146904
MvSl-1064-A1-R4_A1g00032	0.149160997288502	-0.479348160211623
MvSl-1064-A1-R4_A1g00033	6.0038083910209e-08	-1.66310124879761
MvSl-1064-A1-R4_A1g00035	3.84414242327616e-11	-2.20456965242673
MvSl-1064-A1-R4_A1g00036	0.538984259242379	-0.178191505601204
MvSl-1064-A1-R4_A1g00037	0.00037136703514699	0.974052626015328
MvSl-1064-A1-R4_A1g00039	0.145208721148513	-0.404007961535283
MvSl-1064-A1-R4_A1g00040	0.647855007917907	0.28097981617534
MvSl-1064-A1-R4_A1g00046	0.00300576181730269	-1.05389842289512
MvSl-1064-A1-R4_A1g00047	0.000325593720617386	1.00589814998195
MvSl-1064-A1-R4_A1g00048	0.967228070010444	0.0143951129867293
MvSl-1064-A1-R4_A1g00049	0.938735827701663	-0.0241217072020373
MvSl-1064-A1-R4_A1g00050	4.47041976123315e-08	1.97193224676621
MvSl-1064-A1-R4_A1g00051	7.56723420224874e-05	1.11570288491991
MvSl-1064-A1-R4_A1g00052	6.20109405938762e-11	-2.66567629330019
MvSl-1064-A1-R4_A1g00053	0.201249929990018	-0.327372255965622
MvSl-1064-A1-R4_A1g00054	0.192566198213179	0.485552344514012
MvSl-1064-A1-R4_A1g00055	0.12398971717357	-0.505121807747147
MvSl-1064-A1-R4_A1g00056	0.995705393389979	-0.00299100557075635
MvSl-1064-A1-R4_A1g00057	0.017145030502448	0.76787053535396
MvSl-1064-A1-R4_A1g00058	0.25991382800455	0.564993587887752
MvSl-1064-A1-R4_A1g00059	2.12251554026424e-05	1.51064769761986
MvSl-1064-A1-R4_A1g00060	0.21815533258836	-0.603609682233478
MvSl-1064-A1-R4_A1g00061	0.252399211978939	0.291552570776293
MvSl-1064-A1-R4_A1g00062	0.198719406247683	0.32408946543837
MvSl-1064-A1-R4_A1g00063	0.0349440490029711	-0.567097192231356
MvSl-1064-A1-R4_A1g00064	0.356058662036379	-0.327789805780942
MvSl-1064-A1-R4_A1g00065	1.15589513315084e-06	-1.1732224353975
MvSl-1064-A1-R4_A1g00066	0.000100159837168957	1.12817200534971
MvSl-1064-A1-R4_A1g00067	1.66660086404913e-70	-7.67066310174753
MvSl-1064-A1-R4_A1g00068	9.9030882305461e-32	-4.67146323305538
MvSl-1064-A1-R4_A1g00069	0.824569637721073	-0.0738597649623772
MvSl-1064-A1-R4_A1g00070	0.612523357787705	-0.143119074056019
MvSl-1064-A1-R4_A1g00071	0.00640730174997588	-0.95263503398674
MvSl-1064-A1-R4_A1g00072	0.861571854400835	0.0708324681750249
MvSl-1064-A1-R4_A1g00073	0.0242352471761792	1.57003772545308
MvSl-1064-A1-R4_A1g00074	0.0316465665715281	0.788133538904602
MvSl-1064-A1-R4_A1g00076	0.962676787397205	-0.0134818049630386
MvSl-1064-A1-R4_A1g00077	2.11993998321738e-05	1.12041462108455
MvSl-1064-A1-R4_A1g00078	6.38356425157003e-16	2.52689523372725
MvSl-1064-A1-R4_A1g00079	0.777495516328602	-0.0970641866568451
MvSl-1064-A1-R4_A1g00080	0.00284370561332187	-1.00204317659091
MvSl-1064-A1-R4_A1g00081	2.97175905549263e-21	-3.5309503582047
MvSl-1064-A1-R4_A1g00106	0.0800500067400733	-1.0147261457307
MvSl-1064-A1-R4_A1g00107	2.67559562595771e-07	-2.8854199976833
MvSl-1064-A1-R4_A1g00108	0.0011315307143084	-1.12130026410955
MvSl-1064-A1-R4_A1g00109	4.17613945184277e-13	2.28696827928082
