gene	FDR	logFC
MvSl-1064-A1-R4_A1g00002	0.682936193412406	-0.14630781010059
MvSl-1064-A1-R4_A1g00003	0.000269410862179232	1.32970552647742
MvSl-1064-A1-R4_A1g00004	1.08807549171007e-05	-1.06705034560189
MvSl-1064-A1-R4_A1g00005	0.10171433192599	-0.433334921156545
MvSl-1064-A1-R4_A1g00006	4.25728260103046e-09	-1.71467116916543
MvSl-1064-A1-R4_A1g00007	0.441800109431531	0.218512156121612
MvSl-1064-A1-R4_A1g00008	0.000834476391734853	0.9204069532214
MvSl-1064-A1-R4_A1g00009	0.505669547292298	0.29718665145627
MvSl-1064-A1-R4_A1g00010	2.99258467299397e-05	-1.82626680059085
MvSl-1064-A1-R4_A1g00011	0.114906252336852	-0.809787735812557
MvSl-1064-A1-R4_A1g00013	0.100266958274422	-0.519282377652766
MvSl-1064-A1-R4_A1g00014	0.00407938459713945	-2.09950957155876
MvSl-1064-A1-R4_A1g00015	0.0572892952364081	-1.65139873744534
MvSl-1064-A1-R4_A1g00016	0.118146257487147	-1.16057195478688
MvSl-1064-A1-R4_A1g00017	0.0498219790852589	-0.979847114956283
MvSl-1064-A1-R4_A1g00019	0.000100919015257828	1.72170963409842
MvSl-1064-A1-R4_A1g00020	0.000143324215163279	1.99810804722929
MvSl-1064-A1-R4_A1g00021	3.33834510731864e-09	1.93867723912141
MvSl-1064-A1-R4_A1g00023	0.473831073273858	0.392322413854062
MvSl-1064-A1-R4_A1g00024	0.285045974731923	2.51458033764998
MvSl-1064-A1-R4_A1g00025	0.00640593686145125	1.61959902678272
MvSl-1064-A1-R4_A1g00026	0.0500395043144929	0.567387178572981
MvSl-1064-A1-R4_A1g00027	0.00030862821634828	-1.41667014102689
MvSl-1064-A1-R4_A1g00028	0.0596419609474732	0.793249094810914
MvSl-1064-A1-R4_A1g00029	6.51409229233024e-12	-2.30857762074283
MvSl-1064-A1-R4_A1g00030	1.3399548557029e-12	-2.04373930165495
MvSl-1064-A1-R4_A1g00031	2.92029554038315e-38	5.36142390570017
MvSl-1064-A1-R4_A1g00032	0.0567357461565355	0.62829802739845
MvSl-1064-A1-R4_A1g00033	0.000476001627143719	1.09260750653531
MvSl-1064-A1-R4_A1g00035	4.30975929779236e-13	2.43679520965061
MvSl-1064-A1-R4_A1g00036	0.483667757534867	0.205093147220275
MvSl-1064-A1-R4_A1g00037	1.20560767601755e-05	-1.20335885297691
MvSl-1064-A1-R4_A1g00039	0.000314895171249509	0.961795940909092
MvSl-1064-A1-R4_A1g00040	0.00835022306404677	1.36139058467726
MvSl-1064-A1-R4_A1g00046	6.1763316880989e-05	1.41946088917041
MvSl-1064-A1-R4_A1g00047	0.00742465806475478	-0.763197800424052
MvSl-1064-A1-R4_A1g00048	0.628057535146879	0.164298089498514
MvSl-1064-A1-R4_A1g00049	0.582122583642113	0.162740493934367
MvSl-1064-A1-R4_A1g00050	5.59794589424955e-05	-1.45377709149666
MvSl-1064-A1-R4_A1g00051	0.154756805414861	-0.423896867965318
MvSl-1064-A1-R4_A1g00052	8.83306162784642e-12	-3.00019391374359
MvSl-1064-A1-R4_A1g00053	0.896270470981961	-0.0394262537035539
MvSl-1064-A1-R4_A1g00054	0.00999444535607299	-0.951315217246358
MvSl-1064-A1-R4_A1g00055	0.458713948424972	0.260550646067811
MvSl-1064-A1-R4_A1g00056	0.405452902933564	0.48811025610854
MvSl-1064-A1-R4_A1g00057	0.00514796407737116	-0.904947041990941
MvSl-1064-A1-R4_A1g00058	0.968232879790764	0.0242690832113642
MvSl-1064-A1-R4_A1g00059	0.000361753014183114	-1.28041303862458
MvSl-1064-A1-R4_A1g00060	0.107948198935523	0.783710489638309
MvSl-1064-A1-R4_A1g00061	0.540098367768263	-0.165513077271533
MvSl-1064-A1-R4_A1g00062	0.253376725792838	-0.294236767817733
MvSl-1064-A1-R4_A1g00063	0.800018380758142	0.0807086563108179
MvSl-1064-A1-R4_A1g00064	0.542018863388898	0.226298063237477
MvSl-1064-A1-R4_A1g00065	1.30927335206006e-08	1.37600285726843
MvSl-1064-A1-R4_A1g00066	4.37770192268426e-05	-1.18951096172481
MvSl-1064-A1-R4_A1g00067	2.16051064112196e-10	3.05440339155419
MvSl-1064-A1-R4_A1g00068	0.121579634335417	0.713218050421574
MvSl-1064-A1-R4_A1g00069	0.0800138376154824	-0.524562822493042
MvSl-1064-A1-R4_A1g00070	0.00865432569595278	0.674157350597813
MvSl-1064-A1-R4_A1g00071	0.161203223611447	0.514901717307084
MvSl-1064-A1-R4_A1g00072	0.0799482728813513	0.63479757367701
MvSl-1064-A1-R4_A1g00073	0.00147016556545888	-2.24215512001492
MvSl-1064-A1-R4_A1g00074	0.551962029937729	-0.240417686844752
MvSl-1064-A1-R4_A1g00076	0.254699840732939	0.292727318762971
MvSl-1064-A1-R4_A1g00077	0.00251454277747145	-0.809165318103325
MvSl-1064-A1-R4_A1g00078	1.6507901918014e-10	-1.98112042546333
MvSl-1064-A1-R4_A1g00079	0.00339456177610298	0.885414985561173
MvSl-1064-A1-R4_A1g00080	2.18064880464711e-09	2.00441592923022
MvSl-1064-A1-R4_A1g00081	8.2401626815742e-35	4.77983598513466
MvSl-1064-A1-R4_A1g00106	0.00163475318017055	1.75318383970153
MvSl-1064-A1-R4_A1g00107	1.05265425570333e-11	3.74553157666288
MvSl-1064-A1-R4_A1g00108	1.4711124753441e-05	1.4913472949769
MvSl-1064-A1-R4_A1g00109	1.22197145733172e-09	-1.91089320051205
MvSl-1064-A1-R4_A1g00110	2.04009351903452e-06	1.23109880224064
MvSl-1064-A1-R4_A1g00112	0.00895085715721374	1.25884742560079
MvSl-1064-A1-R4_A1g00113	1.45235759674486e-05	1.53463744608036
MvSl-1064-A1-R4_A1g00118	0.830177702250483	-0.0824813314654817
MvSl-1064-A1-R4_A1g00144	0.0902697057311171	-0.472280438631078
MvSl-1064-A1-R4_A1g00153	0.224012665948013	0.327656188874064
MvSl-1064-A1-R4_A1g00154	0.138641688688294	0.477071682798736
MvSl-1064-A1-R4_A1g00155	7.10617597698722e-08	1.55500200536361
MvSl-1064-A1-R4_A1g00163	3.62427929372506e-19	5.00930549978494
MvSl-1064-A1-R4_A1g00165	0.059573331412244	0.488259071124161
MvSl-1064-A1-R4_A1g00175	0.85506807274228	-0.0535611525534936
MvSl-1064-A1-R4_A1g00184	0.94053678160925	-0.0232238085381762
MvSl-1064-A1-R4_A1g00185	0.945824116344013	-0.0237682927328154
MvSl-1064-A1-R4_A1g00186	2.92189241975649e-06	-1.22738001799308
MvSl-1064-A1-R4_A1g00193	0.284930273038731	0.334195300768117
MvSl-1064-A1-R4_A1g00209	0.0385596676798004	0.550886111583032
MvSl-1064-A1-R4_A1g00210	0.000296122467061652	-0.931632836389004
MvSl-1064-A1-R4_A1g00211	4.56855767138315e-06	1.30629006040697
MvSl-1064-A1-R4_A1g00215	0.142044161207401	-0.523392232193084
MvSl-1064-A1-R4_A1g00240	5.58161477236547e-05	1.26508398389216
MvSl-1064-A1-R4_A1g00241	0.124164966189225	0.377674006065075
MvSl-1064-A1-R4_A1g00242	4.60052052955017e-06	-1.14340343365123
MvSl-1064-A1-R4_A1g00245	0.000143313184824983	-1.15350389732043
MvSl-1064-A1-R4_A1g00246	0.878831739185133	-0.0453483899915041
MvSl-1064-A1-R4_A1g00254	0.0186800211957813	0.681078604228818
MvSl-1064-A1-R4_A1g00270	0.000908473992661528	-0.830537690779522
MvSl-1064-A1-R4_A1g00280	2.43200343770376e-06	1.12547406329821
MvSl-1064-A1-R4_A1g00281	0.743618611565218	-0.0950530172851349
MvSl-1064-A1-R4_A1g00290	0.542290750603209	0.165276297474506
MvSl-1064-A1-R4_A1g00292	0.0703833866772908	-0.456321303853978
MvSl-1064-A1-R4_A1g00307	0.0280909986845541	-0.588898386019044
MvSl-1064-A1-R4_A1g00311	0.00897981788398185	0.716060804111691
MvSl-1064-A1-R4_A1g00312	9.89913698297e-18	2.48825762384637
MvSl-1064-A1-R4_A1g00326	1	0
MvSl-1064-A1-R4_A1g00327	0.000827108569628968	-1.04448960549707
MvSl-1064-A1-R4_A1g00351	1.5151911623729e-06	1.30311480916968
MvSl-1064-A1-R4_A1g00352	0.187951074432117	0.382731429856966
MvSl-1064-A1-R4_A1g00359	2.38035899784121e-05	-1.44806136626152
MvSl-1064-A1-R4_A1g00367	1.3328369961974e-07	-1.49339037647307
MvSl-1064-A1-R4_A1g00368	0.00163666184104865	-0.799669493056273
MvSl-1064-A1-R4_A1g00369	0.261158197996149	-0.300094002481534
MvSl-1064-A1-R4_A1g00370	0.0874674115693826	0.424802565594038
MvSl-1064-A1-R4_A1g00371	0.93278479277661	0.0257148991358963
MvSl-1064-A1-R4_A1g00372	0.0499631638748377	-0.503485870734658
MvSl-1064-A1-R4_A1g00373	0.065888501325849	-0.585091393179451
MvSl-1064-A1-R4_A1g00374	4.38517788013819e-22	3.32754376965499
MvSl-1064-A1-R4_A1g00375	0.0938412810158281	0.567595145671853
MvSl-1064-A1-R4_A1g00379	0.143919677795156	-0.713261035045321
MvSl-1064-A1-R4_A1g00380	0.200741681015114	-0.320584008580516
MvSl-1064-A1-R4_A1g00390	0.00232067723512403	0.918415696682232
MvSl-1064-A1-R4_A1g00391	5.83713958333645e-05	-1.01007357483404
