gene	FDR
MvSl-1064-A1-R4_A1g00002	0.682936193412406
MvSl-1064-A1-R4_A1g00003	1
MvSl-1064-A1-R4_A1g00004	1.08807549171007e-05
MvSl-1064-A1-R4_A1g00005	0.10171433192599
MvSl-1064-A1-R4_A1g00006	4.25728260103046e-09
MvSl-1064-A1-R4_A1g00007	0.441800109431531
MvSl-1064-A1-R4_A1g00008	1
MvSl-1064-A1-R4_A1g00009	0.505669547292298
MvSl-1064-A1-R4_A1g00010	2.99258467299397e-05
MvSl-1064-A1-R4_A1g00011	0.114906252336852
MvSl-1064-A1-R4_A1g00013	0.100266958274422
MvSl-1064-A1-R4_A1g00014	0.00407938459713945
MvSl-1064-A1-R4_A1g00015	0.0572892952364081
MvSl-1064-A1-R4_A1g00016	0.118146257487147
MvSl-1064-A1-R4_A1g00017	0.0498219790852589
MvSl-1064-A1-R4_A1g00019	1
MvSl-1064-A1-R4_A1g00020	1
MvSl-1064-A1-R4_A1g00021	1
MvSl-1064-A1-R4_A1g00023	0.473831073273858
MvSl-1064-A1-R4_A1g00024	0.285045974731923
MvSl-1064-A1-R4_A1g00025	1
MvSl-1064-A1-R4_A1g00026	0.0500395043144929
MvSl-1064-A1-R4_A1g00027	0.00030862821634828
MvSl-1064-A1-R4_A1g00028	0.0596419609474732
MvSl-1064-A1-R4_A1g00029	6.51409229233024e-12
MvSl-1064-A1-R4_A1g00030	1.3399548557029e-12
MvSl-1064-A1-R4_A1g00031	1
MvSl-1064-A1-R4_A1g00032	0.0567357461565355
MvSl-1064-A1-R4_A1g00033	1
MvSl-1064-A1-R4_A1g00035	1
MvSl-1064-A1-R4_A1g00036	0.483667757534867
MvSl-1064-A1-R4_A1g00037	1.20560767601755e-05
MvSl-1064-A1-R4_A1g00039	1
MvSl-1064-A1-R4_A1g00040	1
MvSl-1064-A1-R4_A1g00046	1
MvSl-1064-A1-R4_A1g00047	0.00742465806475478
MvSl-1064-A1-R4_A1g00048	0.628057535146879
MvSl-1064-A1-R4_A1g00049	0.582122583642113
MvSl-1064-A1-R4_A1g00050	5.59794589424955e-05
MvSl-1064-A1-R4_A1g00051	0.154756805414861
MvSl-1064-A1-R4_A1g00052	8.83306162784642e-12
MvSl-1064-A1-R4_A1g00053	0.896270470981961
MvSl-1064-A1-R4_A1g00054	0.00999444535607299
