gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00003	1.32970552647742	0.000269410862179232
2	MvSl-1064-A1-R4_A1g00008	0.9204069532214	0.000834476391734853
3	MvSl-1064-A1-R4_A1g00019	1.72170963409842	0.000100919015257828
4	MvSl-1064-A1-R4_A1g00020	1.99810804722929	0.000143324215163279
5	MvSl-1064-A1-R4_A1g00021	1.93867723912141	3.33834510731864e-09
6	MvSl-1064-A1-R4_A1g00025	1.61959902678272	0.00640593686145125
7	MvSl-1064-A1-R4_A1g00031	5.36142390570017	2.92029554038315e-38
8	MvSl-1064-A1-R4_A1g00033	1.09260750653531	0.000476001627143719
9	MvSl-1064-A1-R4_A1g00035	2.43679520965061	4.30975929779236e-13
10	MvSl-1064-A1-R4_A1g00039	0.961795940909092	0.000314895171249509
11	MvSl-1064-A1-R4_A1g00040	1.36139058467726	0.00835022306404677
12	MvSl-1064-A1-R4_A1g00046	1.41946088917041	6.1763316880989e-05
13	MvSl-1064-A1-R4_A1g00065	1.37600285726843	1.30927335206006e-08
14	MvSl-1064-A1-R4_A1g00067	3.05440339155419	2.16051064112196e-10
15	MvSl-1064-A1-R4_A1g00070	0.674157350597813	0.00865432569595278
16	MvSl-1064-A1-R4_A1g00079	0.885414985561173	0.00339456177610298
17	MvSl-1064-A1-R4_A1g00080	2.00441592923022	2.18064880464711e-09
18	MvSl-1064-A1-R4_A1g00081	4.77983598513466	8.2401626815742e-35
19	MvSl-1064-A1-R4_A1g00106	1.75318383970153	0.00163475318017055
20	MvSl-1064-A1-R4_A1g00107	3.74553157666288	1.05265425570333e-11
21	MvSl-1064-A1-R4_A1g00108	1.4913472949769	1.4711124753441e-05
22	MvSl-1064-A1-R4_A1g00110	1.23109880224064	2.04009351903452e-06
23	MvSl-1064-A1-R4_A1g00112	1.25884742560079	0.00895085715721374
24	MvSl-1064-A1-R4_A1g00113	1.53463744608036	1.45235759674486e-05
25	MvSl-1064-A1-R4_A1g00155	1.55500200536361	7.10617597698722e-08
26	MvSl-1064-A1-R4_A1g00163	5.00930549978494	3.62427929372506e-19
27	MvSl-1064-A1-R4_A1g00209	0.550886111583032	0.0385596676798004
28	MvSl-1064-A1-R4_A1g00211	1.30629006040697	4.56855767138315e-06
29	MvSl-1064-A1-R4_A1g00240	1.26508398389216	5.58161477236547e-05
30	MvSl-1064-A1-R4_A1g00254	0.681078604228818	0.0186800211957813
31	MvSl-1064-A1-R4_A1g00280	1.12547406329821	2.43200343770376e-06
32	MvSl-1064-A1-R4_A1g00311	0.716060804111691	0.00897981788398185
33	MvSl-1064-A1-R4_A1g00312	2.48825762384637	9.89913698297e-18
34	MvSl-1064-A1-R4_A1g00351	1.30311480916968	1.5151911623729e-06
35	MvSl-1064-A1-R4_A1g00374	3.32754376965499	4.38517788013819e-22
36	MvSl-1064-A1-R4_A1g00390	0.918415696682232	0.00232067723512403
37	MvSl-1064-A1-R4_A1g00395	0.751872104033488	0.00461088690242667
38	MvSl-1064-A1-R4_A1g00400	2.09286810199025	5.3974519758146e-12
39	MvSl-1064-A1-R4_A1g00481	1.30304073634501	0.000931170039236005
40	MvSl-1064-A1-R4_A1g00514	1.87990115433087	1.30975128988418e-10
41	MvSl-1064-A1-R4_A1g00516	0.916519923785642	0.00207027423386506
42	MvSl-1064-A1-R4_A1g00517	5.51566546614714	2.08785727521965e-47
43	MvSl-1064-A1-R4_A1g00519	1.06296520030241	5.65575788967445e-06
44	MvSl-1064-A1-R4_A1g00527	1.04729149606258	0.00107922279550991
45	MvSl-1064-A1-R4_A1g00533	0.594357803399727	0.0319225862654935
46	MvSl-1064-A1-R4_A1g00542	0.5848767326793	0.0373998237289914
47	MvSl-1064-A1-R4_A1g00575	1.23905588201606	6.13628754650808e-07
48	MvSl-1064-A1-R4_A1g00576	0.925679936406987	0.0122312007495908
49	MvSl-1064-A1-R4_A1g00594	0.609512945828089	0.0432485133999427
50	MvSl-1064-A1-R4_A1g00624	0.75282393400101	0.00523766789424286
51	MvSl-1064-A1-R4_A1g00635	0.938211993109321	0.00930485638906715
52	MvSl-1064-A1-R4_A1g00668	1.56758704217486	5.69066167036887e-09
53	MvSl-1064-A1-R4_A1g00749	1.40196613192657	1.6152943722742e-05
54	MvSl-1064-A1-R4_A1g00750	0.815326765240988	0.00256077724589937
55	MvSl-1064-A1-R4_A1g00751	1.40111740937562	4.80727380011825e-07
56	MvSl-1064-A1-R4_A1g00853	0.67618931820477	0.00766524038783285
57	MvSl-1064-A1-R4_A1g00869	0.844918829015476	0.0414437379055639
58	MvSl-1064-A1-R4_A1g00921	0.74229332842073	0.00376158837597937
59	MvSl-1064-A1-R4_A1g00922	1.2071328131668	5.18430623208028e-07
60	MvSl-1064-A1-R4_A1g00923	0.82331733760241	0.0293767269282252
61	MvSl-1064-A1-R4_A1g00959	1.29704790046205	0.00018646350531339
62	MvSl-1064-A1-R4_A1g00960	1.88454104338829	1.06163302184909e-13
63	MvSl-1064-A1-R4_A1g00972	1.42000413350264	7.15166389874875e-08
64	MvSl-1064-A1-R4_A1g00997	1.97294436869082	9.76560756815581e-15
65	MvSl-1064-A1-R4_A1g01127	1.66177072248965	0.00336751781996472
66	MvSl-1064-A1-R4_A1g01137	1.05987637407553	5.23605584422916e-06
67	MvSl-1064-A1-R4_A1g01159	0.522361007000933	0.043821874629579
68	MvSl-1064-A1-R4_A1g01160	0.683517197256861	0.00473307048286375
69	MvSl-1064-A1-R4_A1g01219	2.04915387823897	1.73443318356486e-06
70	MvSl-1064-A1-R4_A1g01252	0.557521265943253	0.021350279330673
71	MvSl-1064-A1-R4_A1g01261	3.49799429350051	1.94676753186104e-15
72	MvSl-1064-A1-R4_A1g01367	0.690327231699684	0.0358594422262228
73	MvSl-1064-A1-R4_A1g01376	1.07412340097671	1.18760239178216e-05
74	MvSl-1064-A1-R4_A1g01389	0.543000803589316	0.0425625320778853
75	MvSl-1064-A1-R4_A1g01413	1.3393981889437	0.00315238344623308
76	MvSl-1064-A1-R4_A1g01431	0.788432858618054	0.00182351674496652
77	MvSl-1064-A1-R4_A1g01444	1.17436139689218	0.00612484353832921
78	MvSl-1064-A1-R4_A1g01451	1.07452257209209	8.34761310391727e-05
79	MvSl-1064-A1-R4_A1g01453	4.1072390181027	4.74872092988841e-57
80	MvSl-1064-A1-R4_A1g01455	0.7769834462588	0.0428552319987571
81	MvSl-1064-A1-R4_A1g01458	0.840029672833942	0.000514049157586734
82	MvSl-1064-A1-R4_A1g01465	4.05734394004917	4.70737081133687e-14
83	MvSl-1064-A1-R4_A1g01467	0.979162484686312	0.000529343017187275
84	MvSl-1064-A1-R4_A1g01468	0.791251955605256	0.00343063203428219
85	MvSl-1064-A1-R4_A1g01477	0.892882600707971	0.000452333616528822
86	MvSl-1064-A1-R4_A1g01479	0.809494839684075	0.00901859372357598
87	MvSl-1064-A1-R4_A1g01480	5.02168995420108	5.94348141799068e-11
88	MvSl-1064-A1-R4_A1g01486	2.16403680363174	2.0995020194687e-11
89	MvSl-1064-A1-R4_A1g01487	2.08681612220016	3.47553005036786e-06
90	MvSl-1064-A1-R4_A1g01488	1.82440352269435	7.46595450012661e-09
91	MvSl-1064-A1-R4_A1g01495	1.02730589348361	0.000983043789377869
92	MvSl-1064-A1-R4_A1g01503	2.07634638177724	2.01478509021743e-07
93	MvSl-1064-A1-R4_A1g01508	1.74349709487776	1.01927618941115e-09
94	MvSl-1064-A1-R4_C36g01618	1.33115788404742	4.80804910569022e-06
95	MvSl-1064-A1-R4_C41g01660	8.14826501610306	1.38176582808261e-05
96	MvSl-1064-A1-R4_MC01-1g01698	1.52902850435983	0.00165074732578995
97	MvSl-1064-A1-R4_MC01-1g01707	2.50566277045386	1.27696806912632e-06
98	MvSl-1064-A1-R4_MC01-1g01708	1.24017661881819	0.00100316917018591
99	MvSl-1064-A1-R4_MC01-1g01718	1.00621254420771	0.000860910137668418
100	MvSl-1064-A1-R4_MC01-1g01722	1.29153386846394	0.0316970228249277
101	MvSl-1064-A1-R4_MC01-1g01723	0.759039944018075	0.0365718994557629
102	MvSl-1064-A1-R4_MC01-1g01735	3.51151453950198	1.24388204139014e-09
103	MvSl-1064-A1-R4_MC01-1g01739	2.02688293634014	3.86796192850636e-06
104	MvSl-1064-A1-R4_MC01-1g01740	3.81937255661763	1.37610623602235e-15
105	MvSl-1064-A1-R4_MC01-1g01745	1.33706602352845	0.0293368319835604
106	MvSl-1064-A1-R4_MC01-1g01746	1.94908260962693	7.4383315159331e-06
107	MvSl-1064-A1-R4_MC01-1g01750	1.09923536430944	0.00289736900373143
108	MvSl-1064-A1-R4_MC01-1g01768	1.14448805961201	0.00102706683553752
109	MvSl-1064-A1-R4_MC01-1g01769	1.48278167750388	9.38090142806817e-08
