gene	FDR	logFC
MvSl-1064-A1-R4_A1g00002	0.794790187348698	0.171125469933666
MvSl-1064-A1-R4_A1g00003	0.855825835388909	0.146691023764166
MvSl-1064-A1-R4_A1g00004	0.964517268038562	0.0327099589940058
MvSl-1064-A1-R4_A1g00005	0.670234668965873	-0.20532172239243
MvSl-1064-A1-R4_A1g00006	0.824632140071662	0.140541912397101
MvSl-1064-A1-R4_A1g00007	0.686115606769846	-0.199869929960002
MvSl-1064-A1-R4_A1g00008	0.151299412367868	0.534390898354114
MvSl-1064-A1-R4_A1g00009	0.0415447692346733	1.02270977633835
MvSl-1064-A1-R4_A1g00010	0.218865496034423	0.786517903905599
MvSl-1064-A1-R4_A1g00011	0.305830109965278	0.77731103664167
MvSl-1064-A1-R4_A1g00013	0.023769195676536	-0.834284244956388
MvSl-1064-A1-R4_A1g00014	0.724952296664484	0.496787813568193
MvSl-1064-A1-R4_A1g00015	0.409462168898559	1.1017733159277
MvSl-1064-A1-R4_A1g00016	0.231629640860056	1.28375511433843
MvSl-1064-A1-R4_A1g00017	0.961383617680809	-0.0721358747777645
MvSl-1064-A1-R4_A1g00019	0.228628457093753	-0.675718738103363
MvSl-1064-A1-R4_A1g00020	0.765618646130515	-0.295112877742101
MvSl-1064-A1-R4_A1g00021	0.954935169940995	0.0546191138325833
MvSl-1064-A1-R4_A1g00023	0.0271214201450659	-1.26883426488314
MvSl-1064-A1-R4_A1g00024	2.23950994198214e-17	-7.1127631851655
MvSl-1064-A1-R4_A1g00025	0.615426259518557	0.494638582246731
MvSl-1064-A1-R4_A1g00026	0.993144747120831	-0.00905079529499951
MvSl-1064-A1-R4_A1g00027	0.841221163981615	-0.178500963936512
MvSl-1064-A1-R4_A1g00028	0.00659899826211221	-1.2621332339838
MvSl-1064-A1-R4_A1g00029	1.42244518558002e-22	-3.37999549737182
MvSl-1064-A1-R4_A1g00030	1.50381580794574e-11	-2.00560347109292
MvSl-1064-A1-R4_A1g00031	0.416229788849357	0.424997355738316
MvSl-1064-A1-R4_A1g00032	0.830106173145265	0.149035008888188
MvSl-1064-A1-R4_A1g00033	0.177260271210994	-0.57041712989232
MvSl-1064-A1-R4_A1g00035	0.716961001153528	0.232296680367317
MvSl-1064-A1-R4_A1g00036	0.972001483617522	0.02698693971515
MvSl-1064-A1-R4_A1g00037	0.662045101016539	-0.229216658854877
MvSl-1064-A1-R4_A1g00039	0.115195140754395	0.557871445336868
MvSl-1064-A1-R4_A1g00040	0.0059892067581306	1.64245156758732
MvSl-1064-A1-R4_A1g00046	0.543024267879445	0.365640997785853
MvSl-1064-A1-R4_A1g00047	0.645306294347605	0.242786913844584
MvSl-1064-A1-R4_A1g00048	0.771089765481756	0.178771299166795
MvSl-1064-A1-R4_A1g00049	0.802265250575738	0.138702431403093
MvSl-1064-A1-R4_A1g00050	0.346213380708111	0.518220827003365
MvSl-1064-A1-R4_A1g00051	0.053686697786308	0.691885304907638
MvSl-1064-A1-R4_A1g00052	1.02123384648863e-32	-5.66581432441406
MvSl-1064-A1-R4_A1g00053	0.317189128880671	-0.366715545602228
MvSl-1064-A1-R4_A1g00054	0.428578636688925	-0.465676694522715
MvSl-1064-A1-R4_A1g00055	0.688405001614072	-0.244470825589427
MvSl-1064-A1-R4_A1g00056	0.618999735741548	0.485203124995567
MvSl-1064-A1-R4_A1g00057	0.847353586429025	-0.136996701906746
MvSl-1064-A1-R4_A1g00058	0.451364003475283	0.589339677495532
MvSl-1064-A1-R4_A1g00059	0.75450735067799	0.230307740704279
MvSl-1064-A1-R4_A1g00060	0.8660319176599	0.180198950167143
MvSl-1064-A1-R4_A1g00061	0.804357197209265	0.126126532760261
MvSl-1064-A1-R4_A1g00062	0.966903816723587	0.02993507895058
MvSl-1064-A1-R4_A1g00063	0.187012529431994	-0.486306058206467
MvSl-1064-A1-R4_A1g00064	0.900705575137393	-0.101396204451926
MvSl-1064-A1-R4_A1g00065	0.657786562084452	0.202863771936357
MvSl-1064-A1-R4_A1g00066	0.938476850437917	-0.0612556526406216
MvSl-1064-A1-R4_A1g00067	8.55135074056225e-40	-4.61616439286568
MvSl-1064-A1-R4_A1g00068	2.76812015218378e-24	-3.95815842637132
MvSl-1064-A1-R4_A1g00069	0.120511401651107	-0.598332025070414
MvSl-1064-A1-R4_A1g00070	0.114120358787911	0.531123174925726
MvSl-1064-A1-R4_A1g00071	0.432414597755191	-0.43766579362581
MvSl-1064-A1-R4_A1g00072	0.133142590893212	0.705710338854451
MvSl-1064-A1-R4_A1g00073	0.57390553900109	-0.672061383655649
MvSl-1064-A1-R4_A1g00074	0.308863843077106	0.54778823653449
MvSl-1064-A1-R4_A1g00076	0.487152153542325	0.279324259624672
MvSl-1064-A1-R4_A1g00077	0.484531052664139	0.311339087742742
MvSl-1064-A1-R4_A1g00078	0.210902054123239	0.545857467901482
MvSl-1064-A1-R4_A1g00079	0.0322235785745707	0.788452480127979
MvSl-1064-A1-R4_A1g00080	0.0109782956784957	1.00247144649594
MvSl-1064-A1-R4_A1g00081	0.00127211794151267	1.24897787292084
MvSl-1064-A1-R4_A1g00106	0.340554601728127	0.738539837535381
MvSl-1064-A1-R4_A1g00107	0.163340332671284	0.86020604670972
MvSl-1064-A1-R4_A1g00108	0.524740183353306	0.370115244884555
MvSl-1064-A1-R4_A1g00109	0.469256179127839	0.376157309139218
MvSl-1064-A1-R4_A1g00110	0.458967203029684	0.316783432864872
MvSl-1064-A1-R4_A1g00112	0.120753569028456	0.965538085510043
MvSl-1064-A1-R4_A1g00113	0.850905236656954	-0.148032272314828
MvSl-1064-A1-R4_A1g00118	0.894769396359788	0.104378391864071
MvSl-1064-A1-R4_A1g00144	0.98055848629454	0.0209278821408024
MvSl-1064-A1-R4_A1g00153	0.138535328441934	0.505841990003752
MvSl-1064-A1-R4_A1g00154	0.128226259972984	0.627094165166569
MvSl-1064-A1-R4_A1g00155	0.235855533700546	0.487153928600188
MvSl-1064-A1-R4_A1g00163	0.362488328205944	0.565063282288307
MvSl-1064-A1-R4_A1g00165	0.262193197951439	0.409331841825234
MvSl-1064-A1-R4_A1g00175	0.87881481622183	0.0875698225349511
MvSl-1064-A1-R4_A1g00184	0.000584218915098251	-0.938380237690387
MvSl-1064-A1-R4_A1g00185	0.552276472195252	-0.286456859175107
MvSl-1064-A1-R4_A1g00186	0.354346243051242	-0.375329250929231
MvSl-1064-A1-R4_A1g00193	0.0820629820073546	0.657164319996309
MvSl-1064-A1-R4_A1g00209	0.446134344174151	-0.32032435194929
MvSl-1064-A1-R4_A1g00210	0.88482113925338	-0.0893390076798555
MvSl-1064-A1-R4_A1g00211	0.488797397019581	0.331046785792968
MvSl-1064-A1-R4_A1g00215	0.293123692749613	-0.528728834672113
MvSl-1064-A1-R4_A1g00240	0.523684996567936	0.338261144843114
MvSl-1064-A1-R4_A1g00241	0.665917797218334	-0.191906002699706
