gene	FDR
MvSl-1064-A1-R4_A1g00002	0.683098711979708
MvSl-1064-A1-R4_A1g00003	0.000269276014119047
MvSl-1064-A1-R4_A1g00004	1
MvSl-1064-A1-R4_A1g00005	0.101765171088745
MvSl-1064-A1-R4_A1g00006	1
MvSl-1064-A1-R4_A1g00007	0.441528801558528
MvSl-1064-A1-R4_A1g00008	0.00082669350576018
MvSl-1064-A1-R4_A1g00009	0.50548662269082
MvSl-1064-A1-R4_A1g00010	1
MvSl-1064-A1-R4_A1g00011	0.114953183451357
MvSl-1064-A1-R4_A1g00013	0.100335692664788
MvSl-1064-A1-R4_A1g00014	1
MvSl-1064-A1-R4_A1g00015	0.0572979662177827
MvSl-1064-A1-R4_A1g00016	0.118113949417622
MvSl-1064-A1-R4_A1g00017	1
MvSl-1064-A1-R4_A1g00019	0.000101028745340083
MvSl-1064-A1-R4_A1g00020	0.000143504557705084
MvSl-1064-A1-R4_A1g00021	3.33774383796982e-09
MvSl-1064-A1-R4_A1g00023	0.473754809944919
MvSl-1064-A1-R4_A1g00024	0.284969614956687
MvSl-1064-A1-R4_A1g00025	0.00639602366363903
MvSl-1064-A1-R4_A1g00026	0.0499840170311065
MvSl-1064-A1-R4_A1g00027	1
MvSl-1064-A1-R4_A1g00028	0.0596324360058099
MvSl-1064-A1-R4_A1g00029	1
MvSl-1064-A1-R4_A1g00030	1
MvSl-1064-A1-R4_A1g00031	2.92011017701219e-38
MvSl-1064-A1-R4_A1g00032	0.0566843018761038
MvSl-1064-A1-R4_A1g00033	0.000475269936686253
MvSl-1064-A1-R4_A1g00035	4.30087121197133e-13
MvSl-1064-A1-R4_A1g00036	0.48336118938371
MvSl-1064-A1-R4_A1g00037	1
MvSl-1064-A1-R4_A1g00039	0.000314370002512994
MvSl-1064-A1-R4_A1g00040	0.00833620895725597
MvSl-1064-A1-R4_A1g00046	6.17706682932157e-05
MvSl-1064-A1-R4_A1g00047	1
MvSl-1064-A1-R4_A1g00048	0.627857494714444
MvSl-1064-A1-R4_A1g00049	0.581796642968769
MvSl-1064-A1-R4_A1g00050	1
MvSl-1064-A1-R4_A1g00051	0.154806998358683
MvSl-1064-A1-R4_A1g00052	1
MvSl-1064-A1-R4_A1g00053	0.896362422184164
MvSl-1064-A1-R4_A1g00054	1
MvSl-1064-A1-R4_A1g00055	0.45844238361158
MvSl-1064-A1-R4_A1g00056	0.405312636319574
MvSl-1064-A1-R4_A1g00057	1
MvSl-1064-A1-R4_A1g00058	0.967978893820587
MvSl-1064-A1-R4_A1g00059	1
MvSl-1064-A1-R4_A1g00060	0.107962170122409
MvSl-1064-A1-R4_A1g00061	0.540299397780651
MvSl-1064-A1-R4_A1g00062	0.253478165300786
MvSl-1064-A1-R4_A1g00063	0.799651795845133
MvSl-1064-A1-R4_A1g00064	0.541839316770257
MvSl-1064-A1-R4_A1g00065	1.30695912884531e-08
MvSl-1064-A1-R4_A1g00066	1
MvSl-1064-A1-R4_A1g00067	2.17448299220791e-10
MvSl-1064-A1-R4_A1g00068	0.121569131930184
MvSl-1064-A1-R4_A1g00069	0.0800471989144824
MvSl-1064-A1-R4_A1g00070	0.00864756819389787
MvSl-1064-A1-R4_A1g00071	0.161185586376018
MvSl-1064-A1-R4_A1g00072	0.0799093211416203
MvSl-1064-A1-R4_A1g00073	1
MvSl-1064-A1-R4_A1g00074	0.552045659624313
MvSl-1064-A1-R4_A1g00076	0.254583932311075
MvSl-1064-A1-R4_A1g00077	1
MvSl-1064-A1-R4_A1g00078	1
MvSl-1064-A1-R4_A1g00079	0.00338968882248411
MvSl-1064-A1-R4_A1g00080	2.17556270637231e-09
MvSl-1064-A1-R4_A1g00081	8.24791466545956e-35
MvSl-1064-A1-R4_A1g00106	0.0016308613690137
MvSl-1064-A1-R4_A1g00107	1.05136041070942e-11
MvSl-1064-A1-R4_A1g00108	1.46912768410686e-05
MvSl-1064-A1-R4_A1g00109	1
MvSl-1064-A1-R4_A1g00110	2.03827052797579e-06
MvSl-1064-A1-R4_A1g00112	0.00895353449999454
MvSl-1064-A1-R4_A1g00113	1.47613888532964e-05
MvSl-1064-A1-R4_A1g00118	0.830333405991929
MvSl-1064-A1-R4_A1g00144	0.0902850236204518
MvSl-1064-A1-R4_A1g00153	0.22383656819666
MvSl-1064-A1-R4_A1g00154	0.138523155175481
MvSl-1064-A1-R4_A1g00155	7.09417964904558e-08
MvSl-1064-A1-R4_A1g00163	3.64811742837289e-19
MvSl-1064-A1-R4_A1g00165	0.0595566494151267
MvSl-1064-A1-R4_A1g00175	0.855140523435506
MvSl-1064-A1-R4_A1g00184	0.940748025260246
MvSl-1064-A1-R4_A1g00185	0.945994969721791
MvSl-1064-A1-R4_A1g00186	1
MvSl-1064-A1-R4_A1g00193	0.284742812371526
MvSl-1064-A1-R4_A1g00209	0.0385130592212239
MvSl-1064-A1-R4_A1g00210	1
MvSl-1064-A1-R4_A1g00211	4.55960800832808e-06
MvSl-1064-A1-R4_A1g00215	0.14210705475746
MvSl-1064-A1-R4_A1g00240	5.57221559749246e-05
MvSl-1064-A1-R4_A1g00241	0.124043034402093
MvSl-1064-A1-R4_A1g00242	1
MvSl-1064-A1-R4_A1g00245	1
MvSl-1064-A1-R4_A1g00246	0.878957819318186
MvSl-1064-A1-R4_A1g00254	0.0186608028632022
MvSl-1064-A1-R4_A1g00270	1
MvSl-1064-A1-R4_A1g00280	2.4265260213923e-06
MvSl-1064-A1-R4_A1g00281	0.743721696381813
MvSl-1064-A1-R4_A1g00290	0.541947793657693
MvSl-1064-A1-R4_A1g00292	0.0704260611408578
MvSl-1064-A1-R4_A1g00307	1
MvSl-1064-A1-R4_A1g00311	0.00896968355673111
MvSl-1064-A1-R4_A1g00312	9.82017739873718e-18
MvSl-1064-A1-R4_A1g00326	1
MvSl-1064-A1-R4_A1g00327	1
MvSl-1064-A1-R4_A1g00351	1.5119752959337e-06
MvSl-1064-A1-R4_A1g00352	0.187803313235926
MvSl-1064-A1-R4_A1g00359	1
MvSl-1064-A1-R4_A1g00367	1
MvSl-1064-A1-R4_A1g00368	1
MvSl-1064-A1-R4_A1g00369	0.261128397235944
MvSl-1064-A1-R4_A1g00370	0.0874254639680639
MvSl-1064-A1-R4_A1g00371	0.932379302380204
MvSl-1064-A1-R4_A1g00372	1
MvSl-1064-A1-R4_A1g00373	0.0659121353770088
MvSl-1064-A1-R4_A1g00374	4.40249846382016e-22
MvSl-1064-A1-R4_A1g00375	0.0937755423470805
MvSl-1064-A1-R4_A1g00379	0.143936341104421
MvSl-1064-A1-R4_A1g00380	0.200816501098777
MvSl-1064-A1-R4_A1g00390	0.00231800136420751
MvSl-1064-A1-R4_A1g00391	1
MvSl-1064-A1-R4_A1g00394	1
MvSl-1064-A1-R4_A1g00395	0.00460389995545377
MvSl-1064-A1-R4_A1g00396	0.381556182980116
MvSl-1064-A1-R4_A1g00397	0.41053445515992
MvSl-1064-A1-R4_A1g00398	1
MvSl-1064-A1-R4_A1g00399	1
MvSl-1064-A1-R4_A1g00400	5.3847478085342e-12
MvSl-1064-A1-R4_A1g00401	1
MvSl-1064-A1-R4_A1g00402	0.619586288756221
MvSl-1064-A1-R4_A1g00403	0.262534973359977
MvSl-1064-A1-R4_A1g00404	1
MvSl-1064-A1-R4_A1g00405	1
MvSl-1064-A1-R4_A1g00406	1
MvSl-1064-A1-R4_A1g00432	1
MvSl-1064-A1-R4_A1g00433	1
MvSl-1064-A1-R4_A1g00441	1
MvSl-1064-A1-R4_A1g00478	0.996785533047399
MvSl-1064-A1-R4_A1g00481	0.000932792192325243
MvSl-1064-A1-R4_A1g00492	0.0788109523935952
MvSl-1064-A1-R4_A1g00495	0.140996414908768
MvSl-1064-A1-R4_A1g00503	0.10634117396897
MvSl-1064-A1-R4_A1g00504	0.371928973975775
MvSl-1064-A1-R4_A1g00505	1
MvSl-1064-A1-R4_A1g00506	1
MvSl-1064-A1-R4_A1g00507	0.752624931365719
MvSl-1064-A1-R4_A1g00510	0.897902635732465
MvSl-1064-A1-R4_A1g00511	0.807609588344922
MvSl-1064-A1-R4_A1g00512	0.815660053756661
MvSl-1064-A1-R4_A1g00513	1
MvSl-1064-A1-R4_A1g00514	1.30693123740664e-10
MvSl-1064-A1-R4_A1g00515	0.953567896790357
MvSl-1064-A1-R4_A1g00516	0.0020664305614002
MvSl-1064-A1-R4_A1g00517	2.12839806813762e-47
MvSl-1064-A1-R4_A1g00518	0.452235566036849
MvSl-1064-A1-R4_A1g00519	5.6463600552363e-06
MvSl-1064-A1-R4_A1g00520	0.68699947603625
MvSl-1064-A1-R4_A1g00521	1
MvSl-1064-A1-R4_A1g00522	0.90247626889309
MvSl-1064-A1-R4_A1g00525	0.0624423074501361
MvSl-1064-A1-R4_A1g00527	0.00107890715792469
MvSl-1064-A1-R4_A1g00528	0.80436730370975
MvSl-1064-A1-R4_A1g00529	0.958337489975437
MvSl-1064-A1-R4_A1g00530	0.169929799919478
MvSl-1064-A1-R4_A1g00532	0.0508032494487191
MvSl-1064-A1-R4_A1g00533	0.0318776300041647
MvSl-1064-A1-R4_A1g00534	1
MvSl-1064-A1-R4_A1g00541	0.870699441896095
MvSl-1064-A1-R4_A1g00542	0.0373583363837516
MvSl-1064-A1-R4_A1g00543	0.397983849449631
MvSl-1064-A1-R4_A1g00544	0.134445838467476
MvSl-1064-A1-R4_A1g00575	6.12694898432591e-07
MvSl-1064-A1-R4_A1g00576	0.0122283021708879
MvSl-1064-A1-R4_A1g00593	0.106556140541373
MvSl-1064-A1-R4_A1g00594	0.0432032141170222
MvSl-1064-A1-R4_A1g00624	0.00522916293031551
MvSl-1064-A1-R4_A1g00635	0.00929384968828811
MvSl-1064-A1-R4_A1g00641	0.0992180702668162
MvSl-1064-A1-R4_A1g00644	0.0822135050703253
MvSl-1064-A1-R4_A1g00645	1
MvSl-1064-A1-R4_A1g00646	0.474639434618218
MvSl-1064-A1-R4_A1g00648	0.249502429000307
MvSl-1064-A1-R4_A1g00668	5.67581503307714e-09
MvSl-1064-A1-R4_A1g00669	0.569052388551797
MvSl-1064-A1-R4_A1g00693	1
MvSl-1064-A1-R4_A1g00694	0.965713968423494
MvSl-1064-A1-R4_A1g00718	1
MvSl-1064-A1-R4_A1g00726	0.0692612596358009
MvSl-1064-A1-R4_A1g00732	0.406740626611601
MvSl-1064-A1-R4_A1g00749	1.61404361637552e-05
MvSl-1064-A1-R4_A1g00750	0.00255758110191194
MvSl-1064-A1-R4_A1g00751	4.78586349890393e-07
MvSl-1064-A1-R4_A1g00757	0.0863008825115415
MvSl-1064-A1-R4_A1g00772	1
MvSl-1064-A1-R4_A1g00778	1
MvSl-1064-A1-R4_A1g00779	0.375244101209595
MvSl-1064-A1-R4_A1g00794	1
MvSl-1064-A1-R4_A1g00800	0.196268137519539
MvSl-1064-A1-R4_A1g00801	0.117834132057541
MvSl-1064-A1-R4_A1g00804	0.171120010503394
MvSl-1064-A1-R4_A1g00832	0.653534898060317
MvSl-1064-A1-R4_A1g00835	0.99996630435877
MvSl-1064-A1-R4_A1g00840	0.321405642225916
MvSl-1064-A1-R4_A1g00842	0.771713104771894
MvSl-1064-A1-R4_A1g00843	1
MvSl-1064-A1-R4_A1g00845	0.0700704685387906
MvSl-1064-A1-R4_A1g00853	0.00765309812873076
MvSl-1064-A1-R4_A1g00854	0.331639531572723
MvSl-1064-A1-R4_A1g00869	0.0414014877383925
MvSl-1064-A1-R4_A1g00886	1
MvSl-1064-A1-R4_A1g00911	1
MvSl-1064-A1-R4_A1g00912	0.0736611637735253
MvSl-1064-A1-R4_A1g00920	0.0713472989888828
MvSl-1064-A1-R4_A1g00921	0.00375456036976369
MvSl-1064-A1-R4_A1g00922	5.17426415350084e-07
MvSl-1064-A1-R4_A1g00923	0.0293853340397507
MvSl-1064-A1-R4_A1g00956	0.0827966838753731
MvSl-1064-A1-R4_A1g00957	0.159329188549088
MvSl-1064-A1-R4_A1g00958	0.923602784797313
MvSl-1064-A1-R4_A1g00959	0.000186550794077857
MvSl-1064-A1-R4_A1g00960	1.06057812765235e-13
MvSl-1064-A1-R4_A1g00968	0.159403668384245
MvSl-1064-A1-R4_A1g00969	1
MvSl-1064-A1-R4_A1g00970	1
MvSl-1064-A1-R4_A1g00971	0.887066743566902
MvSl-1064-A1-R4_A1g00972	7.12105521874328e-08
MvSl-1064-A1-R4_A1g00977	0.184834487286393
MvSl-1064-A1-R4_A1g00997	9.71967949165629e-15
MvSl-1064-A1-R4_A1g00998	1
MvSl-1064-A1-R4_A1g01017	0.112629243373534
MvSl-1064-A1-R4_A1g01038	1
MvSl-1064-A1-R4_A1g01127	0.00336516768151661
MvSl-1064-A1-R4_A1g01129	0.317255890838401
MvSl-1064-A1-R4_A1g01136	1
MvSl-1064-A1-R4_A1g01137	5.22280811929998e-06
MvSl-1064-A1-R4_A1g01154	1
MvSl-1064-A1-R4_A1g01159	0.0437687065314261
MvSl-1064-A1-R4_A1g01160	0.00468574679456352
MvSl-1064-A1-R4_A1g01161	1
MvSl-1064-A1-R4_A1g01162	1
MvSl-1064-A1-R4_A1g01163	1
MvSl-1064-A1-R4_A1g01164	0.117845450693684
MvSl-1064-A1-R4_A1g01173	1
MvSl-1064-A1-R4_A1g01184	0.178724401570081
MvSl-1064-A1-R4_A1g01189	0.355911541410845
MvSl-1064-A1-R4_A1g01212	1
MvSl-1064-A1-R4_A1g01219	1.73286507363122e-06
MvSl-1064-A1-R4_A1g01220	1
MvSl-1064-A1-R4_A1g01227	1
MvSl-1064-A1-R4_A1g01228	1
MvSl-1064-A1-R4_A1g01252	0.0213267469687538
MvSl-1064-A1-R4_A1g01253	1
MvSl-1064-A1-R4_A1g01261	1.94297583652177e-15
MvSl-1064-A1-R4_A1g01271	1
MvSl-1064-A1-R4_A1g01272	0.651804286693733
MvSl-1064-A1-R4_A1g01288	1
MvSl-1064-A1-R4_A1g01290	0.205097417282136
MvSl-1064-A1-R4_A1g01347	1
MvSl-1064-A1-R4_A1g01348	0.355536483036052
MvSl-1064-A1-R4_A1g01350	0.156420102752548
MvSl-1064-A1-R4_A1g01351	0.283564004838003
MvSl-1064-A1-R4_A1g01358	0.343578187015364
MvSl-1064-A1-R4_A1g01359	1
MvSl-1064-A1-R4_A1g01366	1
MvSl-1064-A1-R4_A1g01367	0.0358245279936269
MvSl-1064-A1-R4_A1g01368	0.57703803294073
MvSl-1064-A1-R4_A1g01369	1
MvSl-1064-A1-R4_A1g01376	1.18541520715788e-05
MvSl-1064-A1-R4_A1g01384	0.0722323933618659
MvSl-1064-A1-R4_A1g01385	1
MvSl-1064-A1-R4_A1g01388	1
MvSl-1064-A1-R4_A1g01389	0.0425112846927031
MvSl-1064-A1-R4_A1g01392	0.829681285569911
MvSl-1064-A1-R4_A1g01406	0.690781999016613
MvSl-1064-A1-R4_A1g01407	0.746198415276115
MvSl-1064-A1-R4_A1g01413	0.00315407901521476
MvSl-1064-A1-R4_A1g01415	0.0898730222425964
MvSl-1064-A1-R4_A1g01418	0.441021093759935
MvSl-1064-A1-R4_A1g01431	0.00182170033363101
MvSl-1064-A1-R4_A1g01432	1
MvSl-1064-A1-R4_A1g01440	0.0977152365477292
MvSl-1064-A1-R4_A1g01441	0.128522178171182
MvSl-1064-A1-R4_A1g01444	0.00611753485969344
MvSl-1064-A1-R4_A1g01445	0.25798721517328
MvSl-1064-A1-R4_A1g01446	0.689774696534702
MvSl-1064-A1-R4_A1g01447	0.464398799470751
MvSl-1064-A1-R4_A1g01448	0.804321202782469
MvSl-1064-A1-R4_A1g01450	0.0927607679882801
MvSl-1064-A1-R4_A1g01451	8.32674891313521e-05
MvSl-1064-A1-R4_A1g01453	4.70639833859064e-57
MvSl-1064-A1-R4_A1g01454	0.060565730431904
MvSl-1064-A1-R4_A1g01455	0.0428609280830721
MvSl-1064-A1-R4_A1g01456	0.0663766901523091
MvSl-1064-A1-R4_A1g01457	0.117079273065867
MvSl-1064-A1-R4_A1g01458	0.000513066967351754
MvSl-1064-A1-R4_A1g01460	0.632505142965163
MvSl-1064-A1-R4_A1g01461	1
MvSl-1064-A1-R4_A1g01462	1
MvSl-1064-A1-R4_A1g01465	4.75655092571985e-14
MvSl-1064-A1-R4_A1g01466	0.157885530903593
MvSl-1064-A1-R4_A1g01467	0.000528690976115517
MvSl-1064-A1-R4_A1g01468	0.00342585488847362
MvSl-1064-A1-R4_A1g01470	0.618376621491586
MvSl-1064-A1-R4_A1g01471	0.0996187713996541
MvSl-1064-A1-R4_A1g01472	1
MvSl-1064-A1-R4_A1g01473	0.898366993890206
MvSl-1064-A1-R4_A1g01474	0.886220908271103
MvSl-1064-A1-R4_A1g01476	1
MvSl-1064-A1-R4_A1g01477	0.000451736855981812
MvSl-1064-A1-R4_A1g01479	0.00900472486387258
MvSl-1064-A1-R4_A1g01480	5.90438575522369e-11
MvSl-1064-A1-R4_A1g01481	0.14502871812614
MvSl-1064-A1-R4_A1g01484	0.191774926111427
MvSl-1064-A1-R4_A1g01485	0.106968312060542
MvSl-1064-A1-R4_A1g01486	2.09913417776163e-11
MvSl-1064-A1-R4_A1g01487	3.47171408455474e-06
MvSl-1064-A1-R4_A1g01488	7.44943407152936e-09
MvSl-1064-A1-R4_A1g01489	1
MvSl-1064-A1-R4_A1g01494	0.0714789257414034
MvSl-1064-A1-R4_A1g01495	0.000981990617357997
MvSl-1064-A1-R4_A1g01496	0.963427265214134
MvSl-1064-A1-R4_A1g01497	0.405312636319574
MvSl-1064-A1-R4_A1g01498	0.463267355094558
MvSl-1064-A1-R4_A1g01500	0.730906097876193
MvSl-1064-A1-R4_A1g01501	1
MvSl-1064-A1-R4_A1g01502	1
MvSl-1064-A1-R4_A1g01503	2.02279956277715e-07
MvSl-1064-A1-R4_A1g01505	1
MvSl-1064-A1-R4_A1g01508	1.01555541123542e-09
MvSl-1064-A1-R4_A1g01509	1
MvSl-1064-A1-R4_A1g01510	1
MvSl-1064-A1-R4_A1g01515	0.923289180390833
MvSl-1064-A1-R4_C36g01618	4.80035281784609e-06
MvSl-1064-A1-R4_C41g01660	1.37989089566099e-05
MvSl-1064-A1-R4_MC01-1g01697	1
MvSl-1064-A1-R4_MC01-1g01698	0.00164948622259831
MvSl-1064-A1-R4_MC01-1g01699	0.396256153923404
MvSl-1064-A1-R4_MC01-1g01701	0.526361844763401
MvSl-1064-A1-R4_MC01-1g01702	0.74237331369976
MvSl-1064-A1-R4_MC01-1g01703	0.396141520531935
MvSl-1064-A1-R4_MC01-1g01704	0.551278028585864
MvSl-1064-A1-R4_MC01-1g01705	0.22468247567946
MvSl-1064-A1-R4_MC01-1g01707	1.27498863166402e-06
MvSl-1064-A1-R4_MC01-1g01708	0.00100174918960483
MvSl-1064-A1-R4_MC01-1g01709	1
MvSl-1064-A1-R4_MC01-1g01710	0.248399924408051
