gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00002	0.317348195465703	0.338569708141654
2	MvSl-1064-A1-R4_A1g00005	0.227926759249088	0.405429288692477
3	MvSl-1064-A1-R4_A1g00007	-0.418461509465146	0.116236436825336
4	MvSl-1064-A1-R4_A1g00008	-0.386087389830916	0.177724425392324
5	MvSl-1064-A1-R4_A1g00009	0.725446277268969	0.0783811443608455
6	MvSl-1064-A1-R4_A1g00013	-0.31507178905582	0.330562251256164
7	MvSl-1064-A1-R4_A1g00017	0.907643694251432	0.060705152574883
8	MvSl-1064-A1-R4_A1g00025	-1.12506109165278	0.0622715865843005
9	MvSl-1064-A1-R4_A1g00030	0.0380406979079543	0.909884071817317
10	MvSl-1064-A1-R4_A1g00032	-0.479348160211623	0.149160997288502
11	MvSl-1064-A1-R4_A1g00036	-0.178191505601204	0.538984259242379
12	MvSl-1064-A1-R4_A1g00039	-0.404007961535283	0.145208721148513
13	MvSl-1064-A1-R4_A1g00040	0.28097981617534	0.647855007917907
14	MvSl-1064-A1-R4_A1g00048	0.0143951129867293	0.967228070010444
15	MvSl-1064-A1-R4_A1g00049	-0.0241217072020373	0.938735827701663
16	MvSl-1064-A1-R4_A1g00053	-0.327372255965622	0.201249929990018
17	MvSl-1064-A1-R4_A1g00054	0.485552344514012	0.192566198213179
18	MvSl-1064-A1-R4_A1g00055	-0.505121807747147	0.12398971717357
19	MvSl-1064-A1-R4_A1g00056	-0.00299100557075635	0.995705393389979
20	MvSl-1064-A1-R4_A1g00058	0.564993587887752	0.25991382800455
21	MvSl-1064-A1-R4_A1g00060	-0.603609682233478	0.21815533258836
22	MvSl-1064-A1-R4_A1g00061	0.291552570776293	0.252399211978939
23	MvSl-1064-A1-R4_A1g00062	0.32408946543837	0.198719406247683
24	MvSl-1064-A1-R4_A1g00064	-0.327789805780942	0.356058662036379
25	MvSl-1064-A1-R4_A1g00069	-0.0738597649623772	0.824569637721073
26	MvSl-1064-A1-R4_A1g00070	-0.143119074056019	0.612523357787705
27	MvSl-1064-A1-R4_A1g00072	0.0708324681750249	0.861571854400835
28	MvSl-1064-A1-R4_A1g00076	-0.0134818049630386	0.962676787397205
29	MvSl-1064-A1-R4_A1g00079	-0.0970641866568451	0.777495516328602
30	MvSl-1064-A1-R4_A1g00106	-1.0147261457307	0.0800500067400733
31	MvSl-1064-A1-R4_A1g00112	-0.293398436854578	0.582510724042576
32	MvSl-1064-A1-R4_A1g00118	0.186771420859984	0.597722918838431
33	MvSl-1064-A1-R4_A1g00144	0.493125818744587	0.0731612578292116
34	MvSl-1064-A1-R4_A1g00153	0.178097942874808	0.523160152455567
35	MvSl-1064-A1-R4_A1g00154	0.149934429937264	0.66402483060314
36	MvSl-1064-A1-R4_A1g00165	-0.079011060082997	0.784524289036569
37	MvSl-1064-A1-R4_A1g00175	0.141052915435871	0.599357717270756
38	MvSl-1064-A1-R4_A1g00185	-0.262775481594966	0.376824783571611
39	MvSl-1064-A1-R4_A1g00193	0.322884320960066	0.297342147763757
40	MvSl-1064-A1-R4_A1g00215	-0.00542569637885905	0.989176715518228
41	MvSl-1064-A1-R4_A1g00281	-0.203141932061291	0.450403517703938
42	MvSl-1064-A1-R4_A1g00290	0.0707060728625259	0.800105860854966
43	MvSl-1064-A1-R4_A1g00369	0.392158691847372	0.129874601261453
44	MvSl-1064-A1-R4_A1g00370	-0.341454295690587	0.171913497039784
45	MvSl-1064-A1-R4_A1g00371	0.105101308677436	0.699985432221508
46	MvSl-1064-A1-R4_A1g00373	0.56930199621955	0.0706813406876003
47	MvSl-1064-A1-R4_A1g00396	0.282538497433577	0.317522044678803
48	MvSl-1064-A1-R4_A1g00402	0.00236140760493553	0.993425384668587
49	MvSl-1064-A1-R4_A1g00404	-0.314270150895983	0.350329484370061
50	MvSl-1064-A1-R4_A1g00406	0.507049867987252	0.0600340597181747
51	MvSl-1064-A1-R4_A1g00478	0.130448567923737	0.617939349737047
52	MvSl-1064-A1-R4_A1g00481	-0.524980914555949	0.204088699180221
53	MvSl-1064-A1-R4_A1g00503	-0.0937694036388278	0.731039245291245
54	MvSl-1064-A1-R4_A1g00504	-0.333481810768708	0.348907803631207
55	MvSl-1064-A1-R4_A1g00507	-0.395290556103698	0.153176453939182
56	MvSl-1064-A1-R4_A1g00510	-0.0348886640481015	0.904867324894393
57	MvSl-1064-A1-R4_A1g00511	-0.113983538999802	0.675714852905358
58	MvSl-1064-A1-R4_A1g00512	0.306014319113253	0.299977422830244
59	MvSl-1064-A1-R4_A1g00516	0.41624175217776	0.177303141963307
60	MvSl-1064-A1-R4_A1g00518	-0.242835558374639	0.384643198634306
61	MvSl-1064-A1-R4_A1g00520	0.255807114002672	0.351818350779533
62	MvSl-1064-A1-R4_A1g00525	0.0410414587782369	0.882913910534461
63	MvSl-1064-A1-R4_A1g00529	0.600280637984659	0.101384801997129
64	MvSl-1064-A1-R4_A1g00530	-0.0787236925476621	0.782313169442539
65	MvSl-1064-A1-R4_A1g00532	0.415442535231572	0.145793161877881
66	MvSl-1064-A1-R4_A1g00533	-0.44126540032111	0.113865437844141
67	MvSl-1064-A1-R4_A1g00541	0.11059046104233	0.746470932127024
68	MvSl-1064-A1-R4_A1g00543	0.192705534524624	0.496062834697413
69	MvSl-1064-A1-R4_A1g00576	-0.374631677129644	0.335004049611109
70	MvSl-1064-A1-R4_A1g00593	-0.297583470686518	0.285256846842139
71	MvSl-1064-A1-R4_A1g00594	0.139648056383773	0.671401402279643
72	MvSl-1064-A1-R4_A1g00635	0.538883485198973	0.148696905751396
