gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00002	-0.146222725532036	0.683098711979708
2	MvSl-1064-A1-R4_A1g00005	-0.433248481641519	0.101765171088745
3	MvSl-1064-A1-R4_A1g00007	0.218591579505144	0.441528801558528
4	MvSl-1064-A1-R4_A1g00009	0.297263499069382	0.50548662269082
5	MvSl-1064-A1-R4_A1g00011	-0.80971481137229	0.114953183451357
6	MvSl-1064-A1-R4_A1g00013	-0.519212455900568	0.100335692664788
7	MvSl-1064-A1-R4_A1g00015	-1.65138534654549	0.0572979662177827
8	MvSl-1064-A1-R4_A1g00016	-1.16052529253911	0.118113949417622
9	MvSl-1064-A1-R4_A1g00023	0.392390080438497	0.473754809944919
10	MvSl-1064-A1-R4_A1g00024	2.51459014950781	0.284969614956687
11	MvSl-1064-A1-R4_A1g00028	0.793311333721572	0.0596324360058099
12	MvSl-1064-A1-R4_A1g00032	0.628383169099811	0.0566843018761038
13	MvSl-1064-A1-R4_A1g00036	0.205178445316354	0.48336118938371
14	MvSl-1064-A1-R4_A1g00048	0.164376186180066	0.627857494714444
15	MvSl-1064-A1-R4_A1g00049	0.162824138605131	0.581796642968769
16	MvSl-1064-A1-R4_A1g00051	-0.423817580012277	0.154806998358683
17	MvSl-1064-A1-R4_A1g00053	-0.0393432896366064	0.896362422184164
18	MvSl-1064-A1-R4_A1g00055	0.26065098215772	0.45844238361158
19	MvSl-1064-A1-R4_A1g00056	0.488194130566324	0.405312636319574
20	MvSl-1064-A1-R4_A1g00058	0.0243460896077797	0.967978893820587
21	MvSl-1064-A1-R4_A1g00060	0.783808632400621	0.107962170122409
22	MvSl-1064-A1-R4_A1g00061	-0.165426038016032	0.540299397780651
23	MvSl-1064-A1-R4_A1g00062	-0.29415438648779	0.253478165300786
24	MvSl-1064-A1-R4_A1g00063	0.080791134024889	0.799651795845133
25	MvSl-1064-A1-R4_A1g00064	0.226393601329016	0.541839316770257
26	MvSl-1064-A1-R4_A1g00068	0.713304806684059	0.121569131930184
27	MvSl-1064-A1-R4_A1g00069	-0.524472260108036	0.0800471989144824
28	MvSl-1064-A1-R4_A1g00071	0.51496924036093	0.161185586376018
29	MvSl-1064-A1-R4_A1g00072	0.634877870679426	0.0799093211416203
30	MvSl-1064-A1-R4_A1g00074	-0.240345302370112	0.552045659624313
31	MvSl-1064-A1-R4_A1g00076	0.29280606458771	0.254583932311075
32	MvSl-1064-A1-R4_A1g00118	-0.0823930289959136	0.830333405991929
33	MvSl-1064-A1-R4_A1g00144	-0.472197936603784	0.0902850236204518
34	MvSl-1064-A1-R4_A1g00153	0.327744047128943	0.22383656819666
35	MvSl-1064-A1-R4_A1g00154	0.477159735229305	0.138523155175481
36	MvSl-1064-A1-R4_A1g00165	0.488342901908231	0.0595566494151267
37	MvSl-1064-A1-R4_A1g00175	-0.0534830929009197	0.855140523435506
