gene	FDR
MvSl-1064-A1-R4_A1g00001	0.0839692842953863
MvSl-1064-A1-R4_A1g00012	0.0284660241900906
MvSl-1064-A1-R4_A1g00088	1
MvSl-1064-A1-R4_A1g00090	0.186291979664637
MvSl-1064-A1-R4_A1g00094	0.0799933965290155
MvSl-1064-A1-R4_A1g00095	0.154655239467329
MvSl-1064-A1-R4_A1g00096	0.0507109574139407
MvSl-1064-A1-R4_A1g00101	0.156635526115111
MvSl-1064-A1-R4_A1g00103	0.722598535693586
MvSl-1064-A1-R4_A1g00105	1
MvSl-1064-A1-R4_A1g00114	0.946665402655597
MvSl-1064-A1-R4_A1g00117	0.0404373799974631
MvSl-1064-A1-R4_A1g00121	1
MvSl-1064-A1-R4_A1g00123	0.161040585429789
MvSl-1064-A1-R4_A1g00124	1.10194122006484e-16
MvSl-1064-A1-R4_A1g00125	1
MvSl-1064-A1-R4_A1g00131	1
MvSl-1064-A1-R4_A1g00135	1.52002284529996e-08
MvSl-1064-A1-R4_A1g00138	1
MvSl-1064-A1-R4_A1g00139	0.117005798421755
MvSl-1064-A1-R4_A1g00140	1
MvSl-1064-A1-R4_A1g00145	1
MvSl-1064-A1-R4_A1g00146	1
MvSl-1064-A1-R4_A1g00148	0.649839979514015
MvSl-1064-A1-R4_A1g00156	0.183131958147003
MvSl-1064-A1-R4_A1g00158	0.604470762729897
MvSl-1064-A1-R4_A1g00161	0.154655239467329
MvSl-1064-A1-R4_A1g00169	1
MvSl-1064-A1-R4_A1g00171	0.663539952430022
MvSl-1064-A1-R4_A1g00173	0.000860724889951607
MvSl-1064-A1-R4_A1g00176	0.187771318714813
MvSl-1064-A1-R4_A1g00177	1
MvSl-1064-A1-R4_A1g00183	1
MvSl-1064-A1-R4_A1g00187	1
MvSl-1064-A1-R4_A1g00190	0.0150484853861695
MvSl-1064-A1-R4_A1g00191	1
MvSl-1064-A1-R4_A1g00195	6.11483141090874e-29
MvSl-1064-A1-R4_A1g00196	0.0585119612428712
MvSl-1064-A1-R4_A1g00198	0.000119193252265608
MvSl-1064-A1-R4_A1g00199	0.343810665326872
MvSl-1064-A1-R4_A1g00201	0.0532459717722288
MvSl-1064-A1-R4_A1g00202	1
MvSl-1064-A1-R4_A1g00204	0.843362718202858
MvSl-1064-A1-R4_A1g00213	0.00264953168892941
MvSl-1064-A1-R4_A1g00216	1
MvSl-1064-A1-R4_A1g00219	0.000566351877290738
MvSl-1064-A1-R4_A1g00223	1.37206168891337e-13
MvSl-1064-A1-R4_A1g00224	2.23389113088529e-06
MvSl-1064-A1-R4_A1g00226	1
MvSl-1064-A1-R4_A1g00227	0.193665617522327
MvSl-1064-A1-R4_A1g00232	0.268569513957883
MvSl-1064-A1-R4_A1g00234	0.122830273214611
MvSl-1064-A1-R4_A1g00236	0.682125342647168
MvSl-1064-A1-R4_A1g00239	0.389309357167404
MvSl-1064-A1-R4_A1g00244	5.9967343397197e-14
MvSl-1064-A1-R4_A1g00250	0.815176657539511
MvSl-1064-A1-R4_A1g00255	0.923066985818549
MvSl-1064-A1-R4_A1g00257	0.639073363966349
MvSl-1064-A1-R4_A1g00266	0.415682205678548
MvSl-1064-A1-R4_A1g00267	1.52383395994663e-12
MvSl-1064-A1-R4_A1g00282	3.12023650919899e-08
MvSl-1064-A1-R4_A1g00284	1
MvSl-1064-A1-R4_A1g00286	0.186291979664637
MvSl-1064-A1-R4_A1g00288	0.397140984782058
MvSl-1064-A1-R4_A1g00293	0.391095519074913
MvSl-1064-A1-R4_A1g00294	0.00372374682147425
MvSl-1064-A1-R4_A1g00296	0.582361308643771
MvSl-1064-A1-R4_A1g00298	1
MvSl-1064-A1-R4_A1g00299	1
MvSl-1064-A1-R4_A1g00301	0.000672496895796966
MvSl-1064-A1-R4_A1g00304	1
MvSl-1064-A1-R4_A1g00314	0.347042754633045
MvSl-1064-A1-R4_A1g00315	0.333138937753907
MvSl-1064-A1-R4_A1g00317	0.343810665326872
MvSl-1064-A1-R4_A1g00324	0.303793747296483
MvSl-1064-A1-R4_A1g00325	0.722598535693586
MvSl-1064-A1-R4_A1g00328	1
MvSl-1064-A1-R4_A1g00330	1
MvSl-1064-A1-R4_A1g00332	0.521734675410512
MvSl-1064-A1-R4_A1g00333	1
MvSl-1064-A1-R4_A1g00336	0.178293620279884
MvSl-1064-A1-R4_A1g00337	1
MvSl-1064-A1-R4_A1g00338	0.0245166955594492
MvSl-1064-A1-R4_A1g00340	0.391095519074913
MvSl-1064-A1-R4_A1g00342	0.343810665326872
MvSl-1064-A1-R4_A1g00345	0.00035667355959667
MvSl-1064-A1-R4_A1g00346	0.0096269274910666
MvSl-1064-A1-R4_A1g00353	0.108679784415362
MvSl-1064-A1-R4_A1g00355	0.0799286857426654
MvSl-1064-A1-R4_A1g00356	0.130392258166852
MvSl-1064-A1-R4_A1g00362	1
MvSl-1064-A1-R4_A1g00381	0.649839979514015
MvSl-1064-A1-R4_A1g00385	0.0972274139056777
MvSl-1064-A1-R4_A1g00387	0.0836936477284099
MvSl-1064-A1-R4_A1g00388	1
MvSl-1064-A1-R4_A1g00410	0.0791950742895531
MvSl-1064-A1-R4_A1g00413	0.0523355838521173
MvSl-1064-A1-R4_A1g00415	0.643857176721666
MvSl-1064-A1-R4_A1g00416	0.343810665326872
MvSl-1064-A1-R4_A1g00417	0.700054779044201
MvSl-1064-A1-R4_A1g00419	0.0467092996098372
MvSl-1064-A1-R4_A1g00424	0.00264953168892941
MvSl-1064-A1-R4_A1g00429	7.34373484425484e-13
MvSl-1064-A1-R4_A1g00431	1.29204620112345e-24
MvSl-1064-A1-R4_A1g00435	6.45850326729184e-05
MvSl-1064-A1-R4_A1g00443	0.283017157695487
MvSl-1064-A1-R4_A1g00445	0.924967369208944
MvSl-1064-A1-R4_A1g00449	0.0278224997115276
MvSl-1064-A1-R4_A1g00450	0.0915920628887341
MvSl-1064-A1-R4_A1g00451	1
MvSl-1064-A1-R4_A1g00452	1
MvSl-1064-A1-R4_A1g00454	6.15959677606579e-14
MvSl-1064-A1-R4_A1g00456	0.367619982454131
MvSl-1064-A1-R4_A1g00457	0.367619982454131
MvSl-1064-A1-R4_A1g00460	0.0621603985276524
MvSl-1064-A1-R4_A1g00461	1
MvSl-1064-A1-R4_A1g00472	0.413028058948231
MvSl-1064-A1-R4_A1g00473	1
MvSl-1064-A1-R4_A1g00477	1
MvSl-1064-A1-R4_A1g00479	1
MvSl-1064-A1-R4_A1g00480	0.00189397011526667
MvSl-1064-A1-R4_A1g00484	0.0968031744122933
MvSl-1064-A1-R4_A1g00485	0.00905904930689097
MvSl-1064-A1-R4_A1g00486	0.604470762729897
MvSl-1064-A1-R4_A1g00488	0.515661268442511
MvSl-1064-A1-R4_A1g00489	0.521734675410512
MvSl-1064-A1-R4_A1g00493	1
MvSl-1064-A1-R4_A1g00494	0.674647040486791
MvSl-1064-A1-R4_A1g00499	0.0284660241900906
MvSl-1064-A1-R4_A1g00502	1
MvSl-1064-A1-R4_A1g00526	1
MvSl-1064-A1-R4_A1g00531	0.504336819307853
MvSl-1064-A1-R4_A1g00536	1
MvSl-1064-A1-R4_A1g00539	0.130392258166852
MvSl-1064-A1-R4_A1g00545	0.782270988326811
MvSl-1064-A1-R4_A1g00548	0.00035667355959667
MvSl-1064-A1-R4_A1g00550	0.839616913263768
MvSl-1064-A1-R4_A1g00551	0.000184879689373301
MvSl-1064-A1-R4_A1g00552	0.846996999065332
MvSl-1064-A1-R4_A1g00555	1
MvSl-1064-A1-R4_A1g00556	1
MvSl-1064-A1-R4_A1g00557	1.09483226044386e-22
MvSl-1064-A1-R4_A1g00560	0.961211116704995
MvSl-1064-A1-R4_A1g00561	0.338300403208181
MvSl-1064-A1-R4_A1g00564	1
MvSl-1064-A1-R4_A1g00565	1
MvSl-1064-A1-R4_A1g00567	5.91436755797002e-06
MvSl-1064-A1-R4_A1g00571	0.340692419333753
MvSl-1064-A1-R4_A1g00574	0.031129504595246
MvSl-1064-A1-R4_A1g00578	0.646295102666251
MvSl-1064-A1-R4_A1g00582	0.23808061419753
MvSl-1064-A1-R4_A1g00585	1
MvSl-1064-A1-R4_A1g00588	1.65720459651626e-13
MvSl-1064-A1-R4_A1g00595	0.01422777297068
MvSl-1064-A1-R4_A1g00596	0.716488042275272
MvSl-1064-A1-R4_A1g00597	1
MvSl-1064-A1-R4_A1g00600	0.527676559248321
MvSl-1064-A1-R4_A1g00601	0.0484205183780513
MvSl-1064-A1-R4_A1g00602	0.521734675410512
MvSl-1064-A1-R4_A1g00607	0.755590354983808
MvSl-1064-A1-R4_A1g00612	0.228619578653813
MvSl-1064-A1-R4_A1g00615	1
MvSl-1064-A1-R4_A1g00617	0.0507109574139407
MvSl-1064-A1-R4_A1g00619	5.26229466334883e-06
MvSl-1064-A1-R4_A1g00620	0.163231952176998
MvSl-1064-A1-R4_A1g00621	7.20424523228235e-10
MvSl-1064-A1-R4_A1g00622	2.50914802226336e-17
MvSl-1064-A1-R4_A1g00623	1.31195524454137e-09
MvSl-1064-A1-R4_A1g00625	0.0893835246693132
MvSl-1064-A1-R4_A1g00628	0.000105819186023575
MvSl-1064-A1-R4_A1g00629	1
MvSl-1064-A1-R4_A1g00630	1
MvSl-1064-A1-R4_A1g00631	1
MvSl-1064-A1-R4_A1g00632	1
MvSl-1064-A1-R4_A1g00633	1
MvSl-1064-A1-R4_A1g00634	1
MvSl-1064-A1-R4_A1g00636	0.499785594819627
MvSl-1064-A1-R4_A1g00638	6.22697228741014e-09
MvSl-1064-A1-R4_A1g00639	0.260083386127474
MvSl-1064-A1-R4_A1g00640	1
MvSl-1064-A1-R4_A1g00643	0.190764369085146
MvSl-1064-A1-R4_A1g00655	0.00211865682050917
MvSl-1064-A1-R4_A1g00658	0.346736313449244
MvSl-1064-A1-R4_A1g00659	3.45746830897229e-20
MvSl-1064-A1-R4_A1g00664	0.157656573053434
MvSl-1064-A1-R4_A1g00665	0.00749089057371534
MvSl-1064-A1-R4_A1g00666	0.521734675410512
MvSl-1064-A1-R4_A1g00673	8.83017799041676e-09
MvSl-1064-A1-R4_A1g00676	0.839616913263768
MvSl-1064-A1-R4_A1g00685	1
MvSl-1064-A1-R4_A1g00686	2.56679712206175e-11
MvSl-1064-A1-R4_A1g00687	1
MvSl-1064-A1-R4_A1g00688	0.0157028485194507
MvSl-1064-A1-R4_A1g00689	7.15583403101811e-07
MvSl-1064-A1-R4_A1g00690	0.000249125674714651
MvSl-1064-A1-R4_A1g00697	1
MvSl-1064-A1-R4_A1g00698	1
MvSl-1064-A1-R4_A1g00701	4.53230422438554e-14
MvSl-1064-A1-R4_A1g00704	0.843362718202858
MvSl-1064-A1-R4_A1g00705	1
MvSl-1064-A1-R4_A1g00707	0.769662135169694
MvSl-1064-A1-R4_A1g00716	0.186291979664637
MvSl-1064-A1-R4_A1g00717	1
MvSl-1064-A1-R4_A1g00720	1
MvSl-1064-A1-R4_A1g00724	0.0406707235433167
MvSl-1064-A1-R4_A1g00725	0.343810665326872
MvSl-1064-A1-R4_A1g00730	0.868803921035382
MvSl-1064-A1-R4_A1g00733	0.435945314691185
MvSl-1064-A1-R4_A1g00736	0.452038293849222
MvSl-1064-A1-R4_A1g00747	1
MvSl-1064-A1-R4_A1g00748	2.60958679387978e-12
MvSl-1064-A1-R4_A1g00754	0.135257490661983
MvSl-1064-A1-R4_A1g00758	1
MvSl-1064-A1-R4_A1g00759	0.0770248774289504
MvSl-1064-A1-R4_A1g00760	0.546767405214579
MvSl-1064-A1-R4_A1g00761	0.489587859795373
MvSl-1064-A1-R4_A1g00762	4.73387428064114e-10
MvSl-1064-A1-R4_A1g00765	1
MvSl-1064-A1-R4_A1g00769	0.157656573053434
MvSl-1064-A1-R4_A1g00770	0.387912441165227
MvSl-1064-A1-R4_A1g00771	1
MvSl-1064-A1-R4_A1g00776	1.1556381332038e-05
MvSl-1064-A1-R4_A1g00780	0.00262281580053802
MvSl-1064-A1-R4_A1g00781	0.462817385638711
MvSl-1064-A1-R4_A1g00787	3.25260719445701e-17
MvSl-1064-A1-R4_A1g00790	1
MvSl-1064-A1-R4_A1g00791	0.186291979664637
MvSl-1064-A1-R4_A1g00795	1
MvSl-1064-A1-R4_A1g00797	0.43771563672563
MvSl-1064-A1-R4_A1g00810	1
MvSl-1064-A1-R4_A1g00811	0.0314280527119555
MvSl-1064-A1-R4_A1g00813	2.02480738910228e-15
MvSl-1064-A1-R4_A1g00814	0.025405176353223
MvSl-1064-A1-R4_A1g00815	1.58186395507489e-26
MvSl-1064-A1-R4_A1g00816	1.39759802012676e-05
MvSl-1064-A1-R4_A1g00818	0.478374974914757
MvSl-1064-A1-R4_A1g00821	0.699675243597495
MvSl-1064-A1-R4_A1g00824	0.352510387523189
MvSl-1064-A1-R4_A1g00826	1
MvSl-1064-A1-R4_A1g00827	0.40578410693215
MvSl-1064-A1-R4_A1g00828	1
MvSl-1064-A1-R4_A1g00830	0.214694581627573
MvSl-1064-A1-R4_A1g00831	0.0902070338137764
MvSl-1064-A1-R4_A1g00833	1
MvSl-1064-A1-R4_A1g00839	1
MvSl-1064-A1-R4_A1g00841	1
MvSl-1064-A1-R4_A1g00849	1
MvSl-1064-A1-R4_A1g00851	0.901175489481208
MvSl-1064-A1-R4_A1g00852	0.339769401728041
MvSl-1064-A1-R4_A1g00857	1
MvSl-1064-A1-R4_A1g00859	1
MvSl-1064-A1-R4_A1g00861	0.639073363966349
MvSl-1064-A1-R4_A1g00863	0.0490060043655919
MvSl-1064-A1-R4_A1g00864	0.314667678642283
MvSl-1064-A1-R4_A1g00865	0.846996999065332
