gene	logFC
MvSl-1064-A1-R4_A1g00012	-4.44335707723162
MvSl-1064-A1-R4_A1g00117	-0.926761866879691
MvSl-1064-A1-R4_A1g00124	-3.45300198102213
MvSl-1064-A1-R4_A1g00135	-4.30516228741257
MvSl-1064-A1-R4_A1g00173	-1.97026343063364
MvSl-1064-A1-R4_A1g00190	-0.906953863550783
MvSl-1064-A1-R4_A1g00195	-4.31886493874273
MvSl-1064-A1-R4_A1g00198	-1.31983651558389
MvSl-1064-A1-R4_A1g00213	-1.81864219884805
MvSl-1064-A1-R4_A1g00219	-1.15157499310497
MvSl-1064-A1-R4_A1g00223	-4.09189517894059
MvSl-1064-A1-R4_A1g00224	-3.15297441376184
MvSl-1064-A1-R4_A1g00244	-3.15877504123525
MvSl-1064-A1-R4_A1g00267	-6.16117292033795
MvSl-1064-A1-R4_A1g00282	-7.66016976814058
MvSl-1064-A1-R4_A1g00294	-0.936189275352413
MvSl-1064-A1-R4_A1g00301	-2.47763587866336
MvSl-1064-A1-R4_A1g00338	-1.90340334896886
MvSl-1064-A1-R4_A1g00345	-2.72933080043396
MvSl-1064-A1-R4_A1g00346	-0.907014696128585
MvSl-1064-A1-R4_A1g00419	-2.63944503485911
MvSl-1064-A1-R4_A1g00424	-5.25592149034179
MvSl-1064-A1-R4_A1g00429	-2.59238753381243
MvSl-1064-A1-R4_A1g00431	-3.76417871904702
MvSl-1064-A1-R4_A1g00435	-1.25021548033426
MvSl-1064-A1-R4_A1g00449	-4.44373968290348
MvSl-1064-A1-R4_A1g00454	-3.17914650504858
MvSl-1064-A1-R4_A1g00480	-1.59367184283502
MvSl-1064-A1-R4_A1g00485	-3.22137440707063
MvSl-1064-A1-R4_A1g00499	-4.44586666709883
MvSl-1064-A1-R4_A1g00548	-1.33616720480723
MvSl-1064-A1-R4_A1g00551	-1.22004479663676
MvSl-1064-A1-R4_A1g00557	-6.27553669544132
MvSl-1064-A1-R4_A1g00567	-1.36129094488407
MvSl-1064-A1-R4_A1g00574	-1.5027676097276
MvSl-1064-A1-R4_A1g00588	-8.50833335706566
MvSl-1064-A1-R4_A1g00595	-0.860967820563477
MvSl-1064-A1-R4_A1g00601	-1.26346491567337
MvSl-1064-A1-R4_A1g00619	-3.13557154348755
MvSl-1064-A1-R4_A1g00621	-5.55294898229446
MvSl-1064-A1-R4_A1g00622	-2.87681161353475
MvSl-1064-A1-R4_A1g00623	-2.46187813899254
MvSl-1064-A1-R4_A1g00628	-1.67275800934555
MvSl-1064-A1-R4_A1g00638	-5.38311368251717
MvSl-1064-A1-R4_A1g00655	-5.90281347862829
MvSl-1064-A1-R4_A1g00659	-3.86263965550095
MvSl-1064-A1-R4_A1g00665	-2.74561533270192
MvSl-1064-A1-R4_A1g00673	-3.47565603873769
MvSl-1064-A1-R4_A1g00686	-3.0411134880014
MvSl-1064-A1-R4_A1g00688	-1.68802033294782
MvSl-1064-A1-R4_A1g00689	-1.68956128244246
MvSl-1064-A1-R4_A1g00690	-1.18405705169698
MvSl-1064-A1-R4_A1g00701	-8.7012588710738
MvSl-1064-A1-R4_A1g00724	-0.889711521483348
MvSl-1064-A1-R4_A1g00748	-2.26409872986744
MvSl-1064-A1-R4_A1g00762	-3.04589409010292
MvSl-1064-A1-R4_A1g00776	-2.87210900902658
MvSl-1064-A1-R4_A1g00780	-1.32807060021943
MvSl-1064-A1-R4_A1g00787	-3.29681453735094
MvSl-1064-A1-R4_A1g00811	-0.968045437298012
