gene	FDR
MvSl-1064-A1-R4_A1g00001	0.0839692842953863
MvSl-1064-A1-R4_A1g00012	1
MvSl-1064-A1-R4_A1g00088	0.00416899428694076
MvSl-1064-A1-R4_A1g00090	0.186291979664637
MvSl-1064-A1-R4_A1g00094	0.0799933965290155
MvSl-1064-A1-R4_A1g00095	0.154655239467329
MvSl-1064-A1-R4_A1g00096	0.0507109574139407
MvSl-1064-A1-R4_A1g00101	0.156635526115111
MvSl-1064-A1-R4_A1g00103	0.722598535693586
MvSl-1064-A1-R4_A1g00105	1
MvSl-1064-A1-R4_A1g00114	0.946665402655597
MvSl-1064-A1-R4_A1g00117	1
MvSl-1064-A1-R4_A1g00121	0.00059727371068324
MvSl-1064-A1-R4_A1g00123	0.161040585429789
MvSl-1064-A1-R4_A1g00124	1
MvSl-1064-A1-R4_A1g00125	0.00377549478000136
MvSl-1064-A1-R4_A1g00131	1
MvSl-1064-A1-R4_A1g00135	1
MvSl-1064-A1-R4_A1g00138	1
MvSl-1064-A1-R4_A1g00139	0.117005798421755
MvSl-1064-A1-R4_A1g00140	1
MvSl-1064-A1-R4_A1g00145	3.3377338254599e-20
MvSl-1064-A1-R4_A1g00146	3.00492632411361e-15
MvSl-1064-A1-R4_A1g00148	0.649839979514015
MvSl-1064-A1-R4_A1g00156	0.183131958147003
MvSl-1064-A1-R4_A1g00158	0.604470762729897
MvSl-1064-A1-R4_A1g00161	0.154655239467329
MvSl-1064-A1-R4_A1g00169	0.00133042948784778
MvSl-1064-A1-R4_A1g00171	0.663539952430022
MvSl-1064-A1-R4_A1g00173	1
MvSl-1064-A1-R4_A1g00176	0.187771318714813
MvSl-1064-A1-R4_A1g00177	1
MvSl-1064-A1-R4_A1g00183	0.000391583966160436
MvSl-1064-A1-R4_A1g00187	0.00460528848373
MvSl-1064-A1-R4_A1g00190	1
MvSl-1064-A1-R4_A1g00191	5.26229466334883e-06
MvSl-1064-A1-R4_A1g00195	1
MvSl-1064-A1-R4_A1g00196	0.0585119612428712
MvSl-1064-A1-R4_A1g00198	1
MvSl-1064-A1-R4_A1g00199	0.343810665326872
MvSl-1064-A1-R4_A1g00201	0.0532459717722288
MvSl-1064-A1-R4_A1g00202	0.0461679932582724
MvSl-1064-A1-R4_A1g00204	0.843362718202858
MvSl-1064-A1-R4_A1g00213	1
MvSl-1064-A1-R4_A1g00216	0.00015077088322683
MvSl-1064-A1-R4_A1g00219	1
MvSl-1064-A1-R4_A1g00223	1
MvSl-1064-A1-R4_A1g00224	1
MvSl-1064-A1-R4_A1g00226	0.00505916047234028
MvSl-1064-A1-R4_A1g00227	0.193665617522327
MvSl-1064-A1-R4_A1g00232	0.268569513957883
MvSl-1064-A1-R4_A1g00234	0.122830273214611
MvSl-1064-A1-R4_A1g00236	0.682125342647168
MvSl-1064-A1-R4_A1g00239	0.389309357167404
MvSl-1064-A1-R4_A1g00244	1
MvSl-1064-A1-R4_A1g00250	0.815176657539511
MvSl-1064-A1-R4_A1g00255	0.923066985818549
MvSl-1064-A1-R4_A1g00257	0.639073363966349
