gene	logFC
MvSl-1064-A1-R4_A1g00088	1.10196416270439
MvSl-1064-A1-R4_A1g00101	1.52529864673199
MvSl-1064-A1-R4_A1g00173	4.84860038463034
MvSl-1064-A1-R4_A1g00201	1.33025786075833
MvSl-1064-A1-R4_A1g00234	2.01623143558364
MvSl-1064-A1-R4_A1g00236	1.21496725550488
MvSl-1064-A1-R4_A1g00239	1.0398605384232
MvSl-1064-A1-R4_A1g00330	1.08343374766414
MvSl-1064-A1-R4_A1g00333	4.45023804403783
MvSl-1064-A1-R4_A1g00340	3.81981881285016
MvSl-1064-A1-R4_A1g00342	1.32253908417472
MvSl-1064-A1-R4_A1g00353	1.36217154737982
MvSl-1064-A1-R4_A1g00355	1.46708734791701
MvSl-1064-A1-R4_A1g00356	1.25850963065455
MvSl-1064-A1-R4_A1g00387	1.64512628497405
MvSl-1064-A1-R4_A1g00410	1.19392292807268
MvSl-1064-A1-R4_A1g00413	1.4780841338903
MvSl-1064-A1-R4_A1g00443	0.812958084232944
MvSl-1064-A1-R4_A1g00484	3.26719035240538
MvSl-1064-A1-R4_A1g00545	1.88623841632958
MvSl-1064-A1-R4_A1g00550	0.770899793387095
MvSl-1064-A1-R4_A1g00578	2.02277128233673
MvSl-1064-A1-R4_A1g00582	1.33423919218654
MvSl-1064-A1-R4_A1g00601	1.28747281775182
MvSl-1064-A1-R4_A1g00621	2.25343733269084
MvSl-1064-A1-R4_A1g00636	1.52481928597906
MvSl-1064-A1-R4_A1g00639	0.92607573556492
MvSl-1064-A1-R4_A1g00658	1.83158404285057
MvSl-1064-A1-R4_A1g00676	1.49242992840944
MvSl-1064-A1-R4_A1g00770	1.99145386215215
MvSl-1064-A1-R4_A1g00824	1.03026484882161
MvSl-1064-A1-R4_A1g00852	3.40186193475493
MvSl-1064-A1-R4_A1g00865	1.51932670623779
MvSl-1064-A1-R4_A1g00914	1.60730695803481
MvSl-1064-A1-R4_A1g00915	2.42038814495863
MvSl-1064-A1-R4_A1g00976	1.13145569171824
MvSl-1064-A1-R4_A1g00994	1.826798032481
MvSl-1064-A1-R4_A1g01043	5.29382771189845
MvSl-1064-A1-R4_A1g01140	1.70083768628244
MvSl-1064-A1-R4_A1g01218	1.45432533933333
MvSl-1064-A1-R4_A1g01255	1.66409029260853
MvSl-1064-A1-R4_A1g01300	1.33931882721819
MvSl-1064-A1-R4_A1g01305	0.951790137715113
MvSl-1064-A1-R4_A1g01338	1.4328911321733
MvSl-1064-A1-R4_A1g01401	3.63917578123181
