gene	logFC
MvSl-1064-A1-R4_A1g00094	-4.81037614538804
MvSl-1064-A1-R4_A1g00095	-2.62077848497563
MvSl-1064-A1-R4_A1g00121	-1.49796474166664
MvSl-1064-A1-R4_A1g00125	-0.985120626222162
MvSl-1064-A1-R4_A1g00131	-0.977486917762381
MvSl-1064-A1-R4_A1g00145	-3.12233993596687
MvSl-1064-A1-R4_A1g00146	-2.95374389962673
MvSl-1064-A1-R4_A1g00169	-2.08274803418912
MvSl-1064-A1-R4_A1g00183	-1.19400735230418
MvSl-1064-A1-R4_A1g00191	-1.56267446368945
MvSl-1064-A1-R4_A1g00202	-5.02629826142477
MvSl-1064-A1-R4_A1g00216	-1.27695250436697
MvSl-1064-A1-R4_A1g00226	-3.01159732896071
MvSl-1064-A1-R4_A1g00227	-0.7782854185679
MvSl-1064-A1-R4_A1g00232	-1.46769335000167
MvSl-1064-A1-R4_A1g00255	-1.1484790494377
MvSl-1064-A1-R4_A1g00257	-1.02261485942845
MvSl-1064-A1-R4_A1g00288	-1.81300691138936
MvSl-1064-A1-R4_A1g00298	-1.19002611053921
MvSl-1064-A1-R4_A1g00299	-1.20124036599414
MvSl-1064-A1-R4_A1g00324	-2.32407903435893
MvSl-1064-A1-R4_A1g00328	-1.94987514508116
MvSl-1064-A1-R4_A1g00362	-1.52450143571151
MvSl-1064-A1-R4_A1g00431	-1.18374586648999
MvSl-1064-A1-R4_A1g00450	-2.00842575830611
MvSl-1064-A1-R4_A1g00452	-0.910437908407011
MvSl-1064-A1-R4_A1g00472	-1.56308219905966
MvSl-1064-A1-R4_A1g00477	-1.444806969145
MvSl-1064-A1-R4_A1g00526	-1.82072833575629
MvSl-1064-A1-R4_A1g00536	-0.905453482120405
MvSl-1064-A1-R4_A1g00555	-2.97478807995265
MvSl-1064-A1-R4_A1g00564	-9.14643201308006
MvSl-1064-A1-R4_A1g00565	-1.29563490915139
MvSl-1064-A1-R4_A1g00612	-1.66967073384536
MvSl-1064-A1-R4_A1g00629	-1.02353516716864
MvSl-1064-A1-R4_A1g00630	-2.27591868821629
MvSl-1064-A1-R4_A1g00631	-3.89634716226269
MvSl-1064-A1-R4_A1g00632	-1.58462346241803
MvSl-1064-A1-R4_A1g00633	-1.65081362681916
MvSl-1064-A1-R4_A1g00634	-1.5516451379937
MvSl-1064-A1-R4_A1g00685	-1.19612829988272
MvSl-1064-A1-R4_A1g00697	-1.42916257397628
MvSl-1064-A1-R4_A1g00698	-2.20527108757404
MvSl-1064-A1-R4_A1g00705	-0.993338766663511
MvSl-1064-A1-R4_A1g00716	-2.56284048183082
MvSl-1064-A1-R4_A1g00717	-3.05445540977216
MvSl-1064-A1-R4_A1g00720	-1.70569717314685
MvSl-1064-A1-R4_A1g00758	-0.808655407555836
MvSl-1064-A1-R4_A1g00759	-0.642687412894259
MvSl-1064-A1-R4_A1g00760	-1.22860666924127
MvSl-1064-A1-R4_A1g00761	-1.13243742753527
MvSl-1064-A1-R4_A1g00769	-1.89242275192373
MvSl-1064-A1-R4_A1g00787	-1.15810103581907
MvSl-1064-A1-R4_A1g00790	-1.81682066066582
MvSl-1064-A1-R4_A1g00791	-3.05164773516638
MvSl-1064-A1-R4_A1g00810	-0.833073878068152
MvSl-1064-A1-R4_A1g00814	-0.819449506215197
MvSl-1064-A1-R4_A1g00828	-2.46309671162355
MvSl-1064-A1-R4_A1g00833	-1.57238356787428
MvSl-1064-A1-R4_A1g00841	-3.27095977020884
MvSl-1064-A1-R4_A1g00857	-0.902701020227532
MvSl-1064-A1-R4_A1g00859	-1.87072630808061
MvSl-1064-A1-R4_A1g00919	-2.4198708228703
MvSl-1064-A1-R4_A1g00976	-1.53075391939178
MvSl-1064-A1-R4_A1g00980	-2.82296693950575
MvSl-1064-A1-R4_A1g00981	-4.13041615015381
MvSl-1064-A1-R4_A1g01010	-1.7101706964977
MvSl-1064-A1-R4_A1g01011	-1.90547127678952
MvSl-1064-A1-R4_A1g01019	-0.724974635985919
MvSl-1064-A1-R4_A1g01117	-4.22992455184297
MvSl-1064-A1-R4_A1g01138	-1.60287221630171
MvSl-1064-A1-R4_A1g01142	-1.187805658551
MvSl-1064-A1-R4_A1g01165	-4.6928102216027
MvSl-1064-A1-R4_A1g01170	-1.4921263460634
MvSl-1064-A1-R4_A1g01183	-1.71842254457581
MvSl-1064-A1-R4_A1g01186	-0.982314254984884
MvSl-1064-A1-R4_A1g01188	-3.0825989285309
MvSl-1064-A1-R4_A1g01191	-2.34256794891978
MvSl-1064-A1-R4_A1g01209	-9.14645477275637
MvSl-1064-A1-R4_A1g01214	-9.14640933282104
MvSl-1064-A1-R4_A1g01217	-2.16609554388807
MvSl-1064-A1-R4_A1g01254	-2.41414342626573
MvSl-1064-A1-R4_A1g01294	-1.8996985091213
MvSl-1064-A1-R4_A1g01315	-1.22313643527213
MvSl-1064-A1-R4_A1g01352	-0.925625598544822
MvSl-1064-A1-R4_A1g01395	-1.79543117924159
MvSl-1064-A1-R4_A1g01400	-1.97493328784531
MvSl-1064-A1-R4_A1g01425	-1.39117559812666
MvSl-1064-A1-R4_A1g01427	-2.61908839430513
MvSl-1064-A1-R4_A1g01428	-3.07204783585746
MvSl-1064-A1-R4_A1g01429	-2.14718156443495
