gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00088	1.10196416270439	0.00893537247142363
2	MvSl-1064-A1-R4_A1g00101	1.52529864673199	0.00221171865429308
3	MvSl-1064-A1-R4_A1g00173	4.84860038463034	3.18882291997804e-14
4	MvSl-1064-A1-R4_A1g00201	1.33025786075833	0.000925707514520805
5	MvSl-1064-A1-R4_A1g00234	2.01623143558364	4.12160707827347e-05
6	MvSl-1064-A1-R4_A1g00236	1.21496725550488	0.0215321524322058
7	MvSl-1064-A1-R4_A1g00239	1.0398605384232	0.0210042522047717
8	MvSl-1064-A1-R4_A1g00330	1.08343374766414	0.00336175526154858
9	MvSl-1064-A1-R4_A1g00333	4.45023804403783	0.0295640305538614
10	MvSl-1064-A1-R4_A1g00340	3.81981881285016	5.26385334028695e-17
11	MvSl-1064-A1-R4_A1g00342	1.32253908417472	0.000152782701380081
12	MvSl-1064-A1-R4_A1g00353	1.36217154737982	0.000973624278924465
13	MvSl-1064-A1-R4_A1g00355	1.46708734791701	0.00999124087809959
14	MvSl-1064-A1-R4_A1g00356	1.25850963065455	0.00625574201346791
15	MvSl-1064-A1-R4_A1g00387	1.64512628497405	0.00229620541946415
16	MvSl-1064-A1-R4_A1g00410	1.19392292807268	0.00211394936505744
17	MvSl-1064-A1-R4_A1g00413	1.4780841338903	0.00701660797663086
18	MvSl-1064-A1-R4_A1g00443	0.812958084232944	0.0285786676698577
19	MvSl-1064-A1-R4_A1g00484	3.26719035240538	0.0144058904317363
20	MvSl-1064-A1-R4_A1g00545	1.88623841632958	4.00825866909065e-05
21	MvSl-1064-A1-R4_A1g00550	0.770899793387095	0.0408678295334129
22	MvSl-1064-A1-R4_A1g00578	2.02277128233673	0.000427230823554585
23	MvSl-1064-A1-R4_A1g00582	1.33423919218654	0.00245514926271012
24	MvSl-1064-A1-R4_A1g00601	1.28747281775182	0.0247381250917576
25	MvSl-1064-A1-R4_A1g00621	2.25343733269084	2.79085431553183e-06
26	MvSl-1064-A1-R4_A1g00636	1.52481928597906	0.000573095865440599
27	MvSl-1064-A1-R4_A1g00639	0.92607573556492	0.0222967236670189
28	MvSl-1064-A1-R4_A1g00658	1.83158404285057	0.004764069239085
29	MvSl-1064-A1-R4_A1g00676	1.49242992840944	0.000343385100628438
30	MvSl-1064-A1-R4_A1g00770	1.99145386215215	0.0035929510240483
31	MvSl-1064-A1-R4_A1g00824	1.03026484882161	0.0109628751786494
32	MvSl-1064-A1-R4_A1g00852	3.40186193475493	1.84529604609757e-05
33	MvSl-1064-A1-R4_A1g00865	1.51932670623779	0.00120545529394014
34	MvSl-1064-A1-R4_A1g00914	1.60730695803481	0.00382056732420593
35	MvSl-1064-A1-R4_A1g00915	2.42038814495863	0.00245514926271012
36	MvSl-1064-A1-R4_A1g00976	1.13145569171824	0.0126617184654718
37	MvSl-1064-A1-R4_A1g00994	1.826798032481	0.0267780184001788
38	MvSl-1064-A1-R4_A1g01043	5.29382771189845	0.00229620541946415
39	MvSl-1064-A1-R4_A1g01140	1.70083768628244	0.000181715476348065
40	MvSl-1064-A1-R4_A1g01218	1.45432533933333	0.00106492406760013
41	MvSl-1064-A1-R4_A1g01255	1.66409029260853	0.0029094941520553
42	MvSl-1064-A1-R4_A1g01300	1.33931882721819	0.00880529276148164
43	MvSl-1064-A1-R4_A1g01305	0.951790137715113	0.0134851275835617
44	MvSl-1064-A1-R4_A1g01338	1.4328911321733	4.69238166355758e-05
45	MvSl-1064-A1-R4_A1g01401	3.63917578123181	1.43529970116744e-08
