gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00101	2.38869020740723	2.22383616523019e-06
2	MvSl-1064-A1-R4_A1g00123	1.37492944410851	0.0455528197282221
3	MvSl-1064-A1-R4_A1g00124	2.91808978080335	2.96193984468038e-12
4	MvSl-1064-A1-R4_A1g00161	2.65855945836684	0.00854563251220957
5	MvSl-1064-A1-R4_A1g00173	6.81886381526398	1.24743371010314e-22
6	MvSl-1064-A1-R4_A1g00190	1.49263524774049	2.86190387573182e-05
7	MvSl-1064-A1-R4_A1g00198	1.13971565884694	0.00112140642806092
8	MvSl-1064-A1-R4_A1g00213	1.64788114061656	0.00751687055792197
9	MvSl-1064-A1-R4_A1g00219	1.72822666271228	1.3882672078353e-07
10	MvSl-1064-A1-R4_A1g00223	2.69419017346437	7.07482416302147e-06
11	MvSl-1064-A1-R4_A1g00234	1.17855566339197	0.013838312440255
12	MvSl-1064-A1-R4_A1g00239	1.44704030129832	0.000483584595826862
13	MvSl-1064-A1-R4_A1g00244	3.06780749146591	4.8827172581793e-13
14	MvSl-1064-A1-R4_A1g00282	7.50228147630891	1.24831447754545e-07
15	MvSl-1064-A1-R4_A1g00294	1.32495499791271	2.63067722598103e-05
16	MvSl-1064-A1-R4_A1g00301	2.27147686898869	0.00217529437030953
17	MvSl-1064-A1-R4_A1g00336	2.5873759141681	0.00637669725223791
18	MvSl-1064-A1-R4_A1g00338	2.49943071849659	0.00103741136645917
19	MvSl-1064-A1-R4_A1g00340	3.38578807299834	4.06981314548858e-14
20	MvSl-1064-A1-R4_A1g00342	0.948645751396169	0.00596751375468713
21	MvSl-1064-A1-R4_A1g00345	1.67786829465416	0.0463707404881433
22	MvSl-1064-A1-R4_A1g00355	2.44248571962405	5.13437094065145e-06
23	MvSl-1064-A1-R4_A1g00356	2.05342354854263	5.89835333588367e-06
24	MvSl-1064-A1-R4_A1g00387	2.85691918955063	5.44243113238988e-07
25	MvSl-1064-A1-R4_A1g00429	1.51321584918565	4.08276171227171e-05
26	MvSl-1064-A1-R4_A1g00435	1.01520811751322	0.00157338702350372
27	MvSl-1064-A1-R4_A1g00443	1.23941057305344	0.00028859672864774
28	MvSl-1064-A1-R4_A1g00454	2.68930939915542	5.63738389354051e-10
29	MvSl-1064-A1-R4_A1g00499	4.20105127225874	0.0461758034767613
30	MvSl-1064-A1-R4_A1g00545	1.67879026216046	0.000167679658688889
