gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00001	-1.31403829379006	0.103211450325006
2	MvSl-1064-A1-R4_A1g00012	-0.54686245236344	0.753040180330559
3	MvSl-1064-A1-R4_A1g00090	-3.21820247943225	0.206641527476364
4	MvSl-1064-A1-R4_A1g00094	-2.36639644456618	0.392911020841726
5	MvSl-1064-A1-R4_A1g00103	1.60217135388958	0.0530347917586856
6	MvSl-1064-A1-R4_A1g00105	0	1
7	MvSl-1064-A1-R4_A1g00114	0.580246957737234	0.163946732844134
8	MvSl-1064-A1-R4_A1g00121	-0.250451282638667	0.635545244258341
9	MvSl-1064-A1-R4_A1g00123	0.345255914309414	0.691564572259256
10	MvSl-1064-A1-R4_A1g00124	-0.534912200218781	0.279622749269537
11	MvSl-1064-A1-R4_A1g00125	-0.0418561471396399	0.996643377060791
12	MvSl-1064-A1-R4_A1g00138	0.143456143296467	0.967841854788366
13	MvSl-1064-A1-R4_A1g00140	-0.414828247486608	0.771520186829005
14	MvSl-1064-A1-R4_A1g00145	0.274001244728487	0.635545244258341
15	MvSl-1064-A1-R4_A1g00146	0.135001832425266	0.916639415828509
16	MvSl-1064-A1-R4_A1g00148	1.53301587165186	0.426504018989656
17	MvSl-1064-A1-R4_A1g00156	-0.475394380218529	0.265878934475352
18	MvSl-1064-A1-R4_A1g00158	0.442851433460313	0.524016034845547
19	MvSl-1064-A1-R4_A1g00161	0.892507550368645	0.379559213066209
20	MvSl-1064-A1-R4_A1g00169	-0.695305566077109	0.207437126586389
21	MvSl-1064-A1-R4_A1g00171	0.410691382170895	0.679010640081936
22	MvSl-1064-A1-R4_A1g00176	-0.00646801211967381	1
23	MvSl-1064-A1-R4_A1g00177	-0.0827230220773442	0.996907186667482
24	MvSl-1064-A1-R4_A1g00183	-0.0442211635987403	0.996643377060791
25	MvSl-1064-A1-R4_A1g00187	0.321029569104707	0.491206800195207
26	MvSl-1064-A1-R4_A1g00190	0.585681384189711	0.180634673065416
27	MvSl-1064-A1-R4_A1g00191	0.298349026068308	0.611052056488909
28	MvSl-1064-A1-R4_A1g00196	0.15193819118099	0.996643377060791
29	MvSl-1064-A1-R4_A1g00198	-0.180120856736945	0.744822915349637
30	MvSl-1064-A1-R4_A1g00199	2.99137556173772	0.279622749269537
31	MvSl-1064-A1-R4_A1g00202	-2.36453201784204	0.392911020841726
32	MvSl-1064-A1-R4_A1g00204	-3.75108716463933	0.101974325089174
33	MvSl-1064-A1-R4_A1g00213	-0.170761058231488	0.882306093742515
34	MvSl-1064-A1-R4_A1g00216	0.348740888360122	0.595426659756812
35	MvSl-1064-A1-R4_A1g00219	0.576651669607312	0.148591047362391
36	MvSl-1064-A1-R4_A1g00226	-0.231279114533547	0.991021922513532
37	MvSl-1064-A1-R4_A1g00227	-0.269932346704172	0.595426659756812
38	MvSl-1064-A1-R4_A1g00232	-0.916537411343562	0.09947971949204
39	MvSl-1064-A1-R4_A1g00244	-0.090967549769341	0.948332574968239
40	MvSl-1064-A1-R4_A1g00250	0.447572214468876	0.4360088078355
41	MvSl-1064-A1-R4_A1g00266	0.0201364126979731	1
42	MvSl-1064-A1-R4_A1g00282	-0.157888291831671	0.948332574968239
43	MvSl-1064-A1-R4_A1g00284	0	1
44	MvSl-1064-A1-R4_A1g00286	-3.21820247943225	0.206641527476364
45	MvSl-1064-A1-R4_A1g00288	-1.06672851990447	0.392911020841726
46	MvSl-1064-A1-R4_A1g00293	0.13221376984882	0.829440498742912
47	MvSl-1064-A1-R4_A1g00294	0.388765722560298	0.35489722777067
48	MvSl-1064-A1-R4_A1g00296	-0.429230370982837	0.388578225977764
49	MvSl-1064-A1-R4_A1g00298	-0.0934246988090912	0.929398681951536
50	MvSl-1064-A1-R4_A1g00299	-0.42837756169166	0.392911020841726
51	MvSl-1064-A1-R4_A1g00301	-0.206159009674674	0.880816497577807
52	MvSl-1064-A1-R4_A1g00304	0	1
53	MvSl-1064-A1-R4_A1g00314	-0.689146713437929	0.186220913945428
54	MvSl-1064-A1-R4_A1g00315	0.446072778316676	0.595426659756812
55	MvSl-1064-A1-R4_A1g00324	-1.57658127331616	0.088993416020721
56	MvSl-1064-A1-R4_A1g00325	-3.21917032829441	0.206641527476364
57	MvSl-1064-A1-R4_A1g00328	-0.884877358617468	0.0693045094055008
58	MvSl-1064-A1-R4_A1g00332	0.756161349890882	0.426348289362606
59	MvSl-1064-A1-R4_A1g00336	1.03146651469886	0.287958418488986
60	MvSl-1064-A1-R4_A1g00337	2.16227244368138	0.463945932678847
61	MvSl-1064-A1-R4_A1g00338	0.596027369527738	0.46326794003362
62	MvSl-1064-A1-R4_A1g00345	-1.0514625057798	0.206893815394595
63	MvSl-1064-A1-R4_A1g00346	-0.573019362782909	0.180065163874756
64	MvSl-1064-A1-R4_A1g00362	0.40573675024213	0.57173519022551
65	MvSl-1064-A1-R4_A1g00381	-2.36551174647355	0.392911020841726
66	MvSl-1064-A1-R4_A1g00385	0.147947311580715	0.996643377060791
67	MvSl-1064-A1-R4_A1g00388	0.714158434861617	0.17447390449404
68	MvSl-1064-A1-R4_A1g00415	-0.257813890997425	0.892674240847743
69	MvSl-1064-A1-R4_A1g00416	-0.107419662483868	0.89327802830264
70	MvSl-1064-A1-R4_A1g00417	-0.622236379151965	0.179964468408297
71	MvSl-1064-A1-R4_A1g00419	-0.901525623628133	0.463945932678847
72	MvSl-1064-A1-R4_A1g00435	-0.235007362821038	0.595426659756812
73	MvSl-1064-A1-R4_A1g00445	-0.119882689956607	0.929398681951536
74	MvSl-1064-A1-R4_A1g00451	-0.873992296347247	0.454621316935322
75	MvSl-1064-A1-R4_A1g00452	-0.00995308634865263	1
76	MvSl-1064-A1-R4_A1g00454	-0.489837105893155	0.30259574076356
77	MvSl-1064-A1-R4_A1g00456	0.62596546507515	0.858532343817199
78	MvSl-1064-A1-R4_A1g00457	-2.36543233781676	0.392911020841726
79	MvSl-1064-A1-R4_A1g00460	-0.255954053143011	0.634753696654756
80	MvSl-1064-A1-R4_A1g00461	0.889855409359868	0.0679965350165405
81	MvSl-1064-A1-R4_A1g00472	-1.03784477742546	0.180034906781501
82	MvSl-1064-A1-R4_A1g00473	-0.20311703614842	0.996907186667482
83	MvSl-1064-A1-R4_A1g00477	0.046564024999354	0.996907186667482
84	MvSl-1064-A1-R4_A1g00479	1.75228453616992	0.238494487628233
85	MvSl-1064-A1-R4_A1g00480	-0.857209264621175	0.144218624147653
86	MvSl-1064-A1-R4_A1g00486	0.867828943193302	0.507841533936918
87	MvSl-1064-A1-R4_A1g00488	0.302776469127265	0.774356351413604
88	MvSl-1064-A1-R4_A1g00489	0.422926849773212	0.392911020841726
89	MvSl-1064-A1-R4_A1g00493	0.180395649902158	0.865044399341584
90	MvSl-1064-A1-R4_A1g00494	-1.17059485302063	0.262812485530353
91	MvSl-1064-A1-R4_A1g00499	-0.244815394840084	0.948332574968239
92	MvSl-1064-A1-R4_A1g00502	0	1
93	MvSl-1064-A1-R4_A1g00526	-0.0409710047381204	0.996907186667482
94	MvSl-1064-A1-R4_A1g00531	-1.01733160224284	0.141305978305848
95	MvSl-1064-A1-R4_A1g00536	-0.0645294808442837	0.981019044507337
96	MvSl-1064-A1-R4_A1g00539	0.677467211887568	0.170837025739769
97	MvSl-1064-A1-R4_A1g00551	0.0223111061430627	1
98	MvSl-1064-A1-R4_A1g00552	0.630489859190724	0.24707444433096
99	MvSl-1064-A1-R4_A1g00555	0.0403222585301815	1
