gene	logFC
MvSl-1064-A2-R4_A2g00013	-0.848371189885608
MvSl-1064-A2-R4_A2g00015	-1.35387636134792
MvSl-1064-A2-R4_A2g00023	-1.77136201843929
MvSl-1064-A2-R4_A2g00024	-10.9645684228242
MvSl-1064-A2-R4_A2g00052	-5.47468482398201
MvSl-1064-A2-R4_A2g00053	-0.512169209863938
MvSl-1064-A2-R4_A2g00063	-0.599875343116989
MvSl-1064-A2-R4_A2g00067	-4.44135195142971
MvSl-1064-A2-R4_A2g00068	-3.61239956287155
MvSl-1064-A2-R4_A2g00071	-1.0103859104708
MvSl-1064-A2-R4_A2g00079	-0.907183847932571
MvSl-1064-A2-R4_A2g00081	-1.42855358779841
MvSl-1064-A2-R4_A2g00117	-1.81791316094911
MvSl-1064-A2-R4_A2g00124	-1.3993164579207
MvSl-1064-A2-R4_A2g00166	-1.03814565070087
MvSl-1064-A2-R4_A2g00196	-0.692875523360218
MvSl-1064-A2-R4_A2g00205	-6.55161101829377
MvSl-1064-A2-R4_A2g00208	-7.14090244400916
MvSl-1064-A2-R4_A2g00209	-4.26238756762453
MvSl-1064-A2-R4_A2g00214	-1.10553916263589
MvSl-1064-A2-R4_A2g00231	-2.44590678411194
MvSl-1064-A2-R4_A2g00233	-5.62305976682776
MvSl-1064-A2-R4_A2g00238	-4.75852989512589
MvSl-1064-A2-R4_A2g00285	-10.1170306645733
MvSl-1064-A2-R4_A2g00292	-1.21824208799895
MvSl-1064-A2-R4_A2g00300	-1.90747915487505
MvSl-1064-A2-R4_A2g00310	-2.63176184655806
MvSl-1064-A2-R4_A2g00318	-2.80839122550312
MvSl-1064-A2-R4_A2g00322	-2.33098844280784
MvSl-1064-A2-R4_A2g00362	-2.4330232225155
MvSl-1064-A2-R4_A2g00366	-0.69949353833434
MvSl-1064-A2-R4_A2g00370	-1.9188179456773
MvSl-1064-A2-R4_A2g00380	-3.87792390525194
MvSl-1064-A2-R4_A2g00400	-2.44451836471583
MvSl-1064-A2-R4_A2g00402	-2.54896547800443
MvSl-1064-A2-R4_A2g00425	-1.50241112859651
MvSl-1064-A2-R4_A2g00426	-5.03434927964764
MvSl-1064-A2-R4_A2g00431	-0.683293756852279
MvSl-1064-A2-R4_A2g00506	-2.8782137542311
MvSl-1064-A2-R4_A2g00549	-1.15065156078851
MvSl-1064-A2-R4_A2g00558	-8.66736020659392
MvSl-1064-A2-R4_A2g00568	-6.1153065863812
MvSl-1064-A2-R4_A2g00575	-1.54620612841284
MvSl-1064-A2-R4_A2g00576	-1.72255926379504
MvSl-1064-A2-R4_A2g00578	-1.4269290102939
MvSl-1064-A2-R4_A2g00621	-2.01185102110116
MvSl-1064-A2-R4_A2g00622	-2.93866159266375
MvSl-1064-A2-R4_A2g00627	-1.79153612586924
MvSl-1064-A2-R4_A2g00639	-1.96668391755126
MvSl-1064-A2-R4_A2g00648	-8.42116986837522
MvSl-1064-A2-R4_A2g00651	-2.90902656416907
MvSl-1064-A2-R4_A2g00652	-8.39314010929632
MvSl-1064-A2-R4_A2g00663	-1.08114633515866
MvSl-1064-A2-R4_A2g00664	-2.65944688527721
MvSl-1064-A2-R4_A2g00689	-4.6341722410363
MvSl-1064-A2-R4_A2g00758	-3.8982237152488
MvSl-1064-A2-R4_A2g00811	-7.14214585843587
MvSl-1064-A2-R4_A2g00821	-4.37846086366541
MvSl-1064-A2-R4_A2g00826	-2.96156822645881
MvSl-1064-A2-R4_A2g00841	-1.46451053821259
MvSl-1064-A2-R4_A2g00843	-1.44638733677661
MvSl-1064-A2-R4_A2g00878	-1.62585060977315
MvSl-1064-A2-R4_A2g00904	-6.2450902275997
MvSl-1064-A2-R4_A2g01002	-0.915771026709129
MvSl-1064-A2-R4_A2g01023	-1.28737638765573
MvSl-1064-A2-R4_A2g01038	-0.612938083283137
MvSl-1064-A2-R4_A2g01086	-5.13970765247192
MvSl-1064-A2-R4_A2g01089	-3.38146203417194
MvSl-1064-A2-R4_A2g01108	-0.966159580308122
MvSl-1064-A2-R4_A2g01112	-1.20000796927457
MvSl-1064-A2-R4_A2g01153	-2.56565899455874
MvSl-1064-A2-R4_A2g01165	-1.86454230587697
MvSl-1064-A2-R4_A2g01172	-4.65439643260903
MvSl-1064-A2-R4_A2g01190	-3.61820950449105
MvSl-1064-A2-R4_A2g01213	-1.22439240555092
MvSl-1064-A2-R4_A2g01227	-0.84016365731765
MvSl-1064-A2-R4_A2g01252	-0.674924595519434
MvSl-1064-A2-R4_A2g01272	-1.15075936735866
MvSl-1064-A2-R4_A2g01281	-1.19753971847781
MvSl-1064-A2-R4_A2g01288	-0.751611511249633
MvSl-1064-A2-R4_A2g01289	-2.39844280323174
MvSl-1064-A2-R4_A2g01310	-1.58922278740235
MvSl-1064-A2-R4_A2g01311	-2.62376512289777
MvSl-1064-A2-R4_A2g01322	-0.536986708851647
MvSl-1064-A2-R4_A2g01366	-1.45426587349819
MvSl-1064-A2-R4_A2g01379	-1.04804392370997
MvSl-1064-A2-R4_A2g01391	-3.31895496761843
MvSl-1064-A2-R4_A2g01392	-0.723013139791212
MvSl-1064-A2-R4_A2g01417	-6.42456642250934
MvSl-1064-A2-R4_A2g01426	-0.927356114530941
MvSl-1064-A2-R4_A2g01442	-2.60655750169361
MvSl-1064-A2-R4_A2g01476	-2.00348121835757
MvSl-1064-A2-R4_A2g01494	-2.65006245200481
MvSl-1064-A2-R4_A2g01506	-0.797391404161066
MvSl-1064-A2-R4_A2g01507	-1.44322965623583
MvSl-1064-A2-R4_A2g01529	-2.60655755209027
MvSl-1064-A2-R4_A2g01534	-0.678128267981485
MvSl-1064-A2-R4_A2g01564	-0.769616558428958
MvSl-1064-A2-R4_A2g01566	-1.76735988481471
MvSl-1064-A2-R4_A2g01571	-1.07040411570183
MvSl-1064-A2-R4_A2g01587	-5.68548422340279
MvSl-1064-A2-R4_A2g01589	-1.0954396611697
MvSl-1064-A2-R4_A2g01590	-2.4589506691703
MvSl-1064-A2-R4_A2g01593	-4.52729074179189
MvSl-1064-A2-R4_A2g01595	-1.9776045441624
MvSl-1064-A2-R4_A2g01616	-1.31197705486454
MvSl-1064-A2-R4_A2g01642	-0.762976795260116
MvSl-1064-A2-R4_A2g01651	-1.22036208305772
MvSl-1064-A2-R4_A2g01702	-1.65479588140479
MvSl-1064-A2-R4_A2g01703	-5.38567939290605
MvSl-1064-A2-R4_A2g01715	-0.932579106419558
MvSl-1064-A2-R4_A2g01717	-4.75902636855648
MvSl-1064-A2-R4_A2g01753	-0.625164932514892
MvSl-1064-A2-R4_A2g01761	-0.952259583669146
MvSl-1064-A2-R4_A2g01762	-1.46288140715858
MvSl-1064-A2-R4_A2g01763	-1.03738566510084
MvSl-1064-A2-R4_A2g01797	-2.13260762357203
MvSl-1064-A2-R4_A2g01810	-0.708658381262938
MvSl-1064-A2-R4_C26g01892	-0.81995897953617
MvSl-1064-A2-R4_C28g01908	-1.28633902328858
MvSl-1064-A2-R4_C28g01909	-9.39600167454951
MvSl-1064-A2-R4_C33g01957	-0.819958977863715
MvSl-1064-A2-R4_MC01g02010	-0.823730871620601
MvSl-1064-A2-R4_MC01g02038	-1.92470825696264
MvSl-1064-A2-R4_MC01g02040	-4.87727748010688
MvSl-1064-A2-R4_MC01g02041	-4.86737489532262
MvSl-1064-A2-R4_MC01g02086	-0.94802989585214
MvSl-1064-A2-R4_MC01g02095	-0.691507313600702
MvSl-1064-A2-R4_MC01g02115	-2.75290587801993
MvSl-1064-A2-R4_MC01g02117	-1.38776791226571
MvSl-1064-A2-R4_MC01g02120	-5.10963949533257
MvSl-1064-A2-R4_MC01g02121	-2.82069258098967
MvSl-1064-A2-R4_MC01g02171	-1.21692068787889
MvSl-1064-A2-R4_MC01g02173	-3.34578838259372
MvSl-1064-A2-R4_MC01g02177	-0.804503688216338
MvSl-1064-A2-R4_MC01g02192	-0.913645587007891
MvSl-1064-A2-R4_MC01g02193	-0.741161612842374
MvSl-1064-A2-R4_MC01g02197	-0.533095874313252
MvSl-1064-A2-R4_MC01g02204	-1.2970434073362
MvSl-1064-A2-R4_MC01g02215	-0.58113301384484
MvSl-1064-A2-R4_MC01g02225	-0.788232690249525
MvSl-1064-A2-R4_MC01g02248	-0.57705590527393
MvSl-1064-A2-R4_MC01g02256	-0.719542226159427
MvSl-1064-A2-R4_MC01g02283	-0.722099096509213
MvSl-1064-A2-R4_MC01g02286	-4.73154097439529
MvSl-1064-A2-R4_MC01g02292	-0.836666997285063
MvSl-1064-A2-R4_MC01g02301	-0.820577494604899
MvSl-1064-A2-R4_MC01g02307	-0.989475215668147
MvSl-1064-A2-R4_MC01g02326	-1.2338253655149
MvSl-1064-A2-R4_MC01g02335	-0.633372497743157
MvSl-1064-A2-R4_MC01g02341	-1.30852951931161
MvSl-1064-A2-R4_MC01g02349	-0.747691572280768
MvSl-1064-A2-R4_MC01g02353	-0.760426817576918
MvSl-1064-A2-R4_MC01g02363	-0.597847717997586
MvSl-1064-A2-R4_MC01g02369	-0.694556639532654
MvSl-1064-A2-R4_MC01g02370	-1.03377701714159
MvSl-1064-A2-R4_MC01g02374	-0.774361799739238
MvSl-1064-A2-R4_MC01g02403	-0.911510288323763
MvSl-1064-A2-R4_MC01g02431	-1.1510473631849
MvSl-1064-A2-R4_MC01g02438	-1.2959341601817
MvSl-1064-A2-R4_MC01g02442	-3.90727066214219
MvSl-1064-A2-R4_MC01g02458	-1.27847541929453
MvSl-1064-A2-R4_MC01g02463	-0.843745726292189
MvSl-1064-A2-R4_MC01g02471	-0.686786264884567
MvSl-1064-A2-R4_MC01g02481	-0.928186732009602
MvSl-1064-A2-R4_MC01g02484	-1.21229376345761
MvSl-1064-A2-R4_MC01g02486	-1.06839993943673
MvSl-1064-A2-R4_MC01g02494	-2.75067813521982
MvSl-1064-A2-R4_MC01g02513	-0.515332657589467
MvSl-1064-A2-R4_MC01g02514	-4.33094981833115
MvSl-1064-A2-R4_MC01g02516	-0.517255601707512
MvSl-1064-A2-R4_MC01g02524	-0.850789791110824
MvSl-1064-A2-R4_MC01g02525	-0.878920575178646
MvSl-1064-A2-R4_MC01g02526	-0.604403512196303
MvSl-1064-A2-R4_MC01g02563	-0.937010454829573
MvSl-1064-A2-R4_MC01g02581	-2.03048606798995
MvSl-1064-A2-R4_MC01g02582	-2.63157725914114
MvSl-1064-A2-R4_MC01g02587	-0.767989060529302
MvSl-1064-A2-R4_MC01g02593	-0.655322359046484
MvSl-1064-A2-R4_MC01g02594	-0.837283325635429
MvSl-1064-A2-R4_MC01g02616	-1.16463544702246
MvSl-1064-A2-R4_MC01g02620	-0.829762372138921
MvSl-1064-A2-R4_MC01g02631	-0.794100715064549
MvSl-1064-A2-R4_MC01g02639	-0.864093998345432
MvSl-1064-A2-R4_MC01g02645	-0.541793327610009
MvSl-1064-A2-R4_MC01g02654	-0.644495797922301
MvSl-1064-A2-R4_MC01g02703	-0.733762719884259
MvSl-1064-A2-R4_MC01g02715	-0.807858675977448
MvSl-1064-A2-R4_MC01g02747	-0.80448586970648
MvSl-1064-A2-R4_MC01g02758	-1.79826921917772
MvSl-1064-A2-R4_MC01g02766	-1.25019683246278
MvSl-1064-A2-R4_MC01g02805	-0.803243134104212
MvSl-1064-A2-R4_MC01g02813	-0.634888818548937
MvSl-1064-A2-R4_MC01g02821	-0.546811336262698
MvSl-1064-A2-R4_MC01g02827	-0.984844370729512
MvSl-1064-A2-R4_MC01g02829	-1.31182264873414
MvSl-1064-A2-R4_MC01g02838	-0.462049649302546
MvSl-1064-A2-R4_MC01g02847	-2.84620669497292
MvSl-1064-A2-R4_MC01g02851	-2.08470391961113
MvSl-1064-A2-R4_MC01g02852	-1.61497901922458
MvSl-1064-A2-R4_MC01g02854	-0.611307628395632
MvSl-1064-A2-R4_MC01g02858	-0.534911527075572
MvSl-1064-A2-R4_MC01g02859	-1.10596142608907
MvSl-1064-A2-R4_MC01g02884	-0.629484062621251
MvSl-1064-A2-R4_MC01g02885	-1.60436877480698
MvSl-1064-A2-R4_MC01g02891	-0.848477249991553
MvSl-1064-A2-R4_MC01g02907	-0.671003541028535
MvSl-1064-A2-R4_MC01g02910	-0.710800972197295
MvSl-1064-A2-R4_MC01g02912	-0.51336143585836
MvSl-1064-A2-R4_MC01g02916	-1.96309202054321
MvSl-1064-A2-R4_MC01g02937	-1.10881120953107
MvSl-1064-A2-R4_MC01g02940	-3.6713863338786
MvSl-1064-A2-R4_MC01g02943	-1.10609453692701
MvSl-1064-A2-R4_MC01g02947	-0.558296129537711
MvSl-1064-A2-R4_MC01g02960	-0.77979449496844
MvSl-1064-A2-R4_MC01g02963	-0.819653756744702
MvSl-1064-A2-R4_MC01g02970	-0.617658590454719
MvSl-1064-A2-R4_MC01g02971	-0.637647027123994
MvSl-1064-A2-R4_MC01g02976	-0.534362408735683
MvSl-1064-A2-R4_MC01g02984	-0.650583976877963
MvSl-1064-A2-R4_MC01g02990	-6.05033512400594
MvSl-1064-A2-R4_MC01g02993	-1.49021634851212
MvSl-1064-A2-R4_MC01g02994	-2.22754863905131
MvSl-1064-A2-R4_MC01g02995	-1.64497800264541
MvSl-1064-A2-R4_MC01g03012	-1.25385082158936
MvSl-1064-A2-R4_MC01g03015	-1.4224796974536
MvSl-1064-A2-R4_MC01g03018	-1.58268398093193
MvSl-1064-A2-R4_MC01g03019	-1.52764524200928
MvSl-1064-A2-R4_MC01g03032	-1.18722222019458
MvSl-1064-A2-R4_MC01g03038	-0.615314102656436
MvSl-1064-A2-R4_MC01g03044	-1.27082523895823
MvSl-1064-A2-R4_MC01g03052	-0.544763094236151
MvSl-1064-A2-R4_MC01g03068	-0.739536874934224
MvSl-1064-A2-R4_MC01g03071	-7.45603633703235
MvSl-1064-A2-R4_MC01g03094	-0.535810632081659
MvSl-1064-A2-R4_MC01g03121	-1.12635815475355
MvSl-1064-A2-R4_MC01g03134	-2.15584871054694
MvSl-1064-A2-R4_MC01g03146	-0.654642352532582
MvSl-1064-A2-R4_MC01g03179	-5.14447099994915
MvSl-1064-A2-R4_MC01g03236	-10.247168049865
MvSl-1064-A2-R4_MC01g03249	-1.49053005703574
MvSl-1064-A2-R4_MC01g03328	-0.637298863319598
MvSl-1064-A2-R4_MC01g03341	-0.615745472354165
MvSl-1064-A2-R4_MC01g03357	-0.664531550222479
MvSl-1064-A2-R4_MC01g03371	-0.738853818932826
MvSl-1064-A2-R4_MC01g03373	-0.738853658255234
MvSl-1064-A2-R4_MC01g03407	-0.487957625610885
MvSl-1064-A2-R4_MC01g03413	-0.511896730567812
MvSl-1064-A2-R4_MC01g03415	-0.556055830251786
MvSl-1064-A2-R4_MC01g03421	-0.52733978077384
MvSl-1064-A2-R4_MC01g03429	-0.984241053513903
MvSl-1064-A2-R4_MC01g03451	-0.685710801840294
MvSl-1064-A2-R4_MC01g03456	-0.819958974048411
MvSl-1064-A2-R4_MC02g03520	-0.77632815463364
MvSl-1064-A2-R4_MC02g03523	-0.548384539373318
MvSl-1064-A2-R4_MC02g03538	-1.29713569702572
MvSl-1064-A2-R4_MC02g03543	-1.60569028958383
MvSl-1064-A2-R4_MC02g03544	-0.836557873493854
MvSl-1064-A2-R4_MC02g03585	-0.679110559087443
MvSl-1064-A2-R4_MC02g03616	-0.456875102221543
MvSl-1064-A2-R4_MC02g03619	-1.26045229146593
MvSl-1064-A2-R4_MC02g03620	-1.55704026761751
MvSl-1064-A2-R4_MC02g03621	-1.71403286123474
MvSl-1064-A2-R4_MC02g03623	-0.606627884171539
MvSl-1064-A2-R4_MC02g03630	-0.925406185466706
MvSl-1064-A2-R4_MC02g03636	-0.62241000128009
MvSl-1064-A2-R4_MC02g03647	-0.631651126918318
MvSl-1064-A2-R4_MC02g03661	-0.828145340207544
MvSl-1064-A2-R4_MC02g03672	-0.954583770911401
MvSl-1064-A2-R4_MC02g03705	-8.07665957858277
MvSl-1064-A2-R4_MC02g03708	-3.88332037174529
