gene	logFC	FDR
1	MvSl-1064-A2-R4_A2g00001	-1.8403587834455	0.000327097006199158
2	MvSl-1064-A2-R4_A2g00003	-1.29524843863443	2.4464782043652e-06
3	MvSl-1064-A2-R4_A2g00007	-0.555790711512102	0.00583472122905061
4	MvSl-1064-A2-R4_A2g00014	-2.43937224962573	8.9919507095826e-07
5	MvSl-1064-A2-R4_A2g00015	-3.24208318804358	1.22387205446269e-08
6	MvSl-1064-A2-R4_A2g00016	-2.36324309645499	0.000215934981685642
7	MvSl-1064-A2-R4_A2g00019	-3.092352362377	1.36434077332646e-10
8	MvSl-1064-A2-R4_A2g00020	-4.24227914293907	1.00132025363239e-16
9	MvSl-1064-A2-R4_A2g00021	-3.65278277347518	3.80194567959415e-26
10	MvSl-1064-A2-R4_A2g00023	-1.35528800147565	0.00117776251624532
11	MvSl-1064-A2-R4_A2g00024	-10.9645399947038	1.73811370825605e-37
12	MvSl-1064-A2-R4_A2g00025	-2.23286817048886	0.000198862776209102
13	MvSl-1064-A2-R4_A2g00026	-0.755727789834972	0.00140915475167869
14	MvSl-1064-A2-R4_A2g00028	-1.20470073171023	0.000285571481110548
15	MvSl-1064-A2-R4_A2g00031	-5.21721755589866	2.31097562268609e-38
16	MvSl-1064-A2-R4_A2g00033	-1.14228969201172	2.33910425216259e-06
17	MvSl-1064-A2-R4_A2g00035	-3.62511884006547	7.7575975349834e-23
18	MvSl-1064-A2-R4_A2g00039	-0.695050584977782	0.00159077220829687
19	MvSl-1064-A2-R4_A2g00046	-1.02409824878503	0.000578114784467149
20	MvSl-1064-A2-R4_A2g00052	-4.1884632409339	7.22089362374801e-28
21	MvSl-1064-A2-R4_A2g00053	-0.655007706577443	0.000681639929541756
22	MvSl-1064-A2-R4_A2g00063	-0.595068142615269	0.00725422044451646
23	MvSl-1064-A2-R4_A2g00064	-0.540493915582654	0.021281919865311
24	MvSl-1064-A2-R4_A2g00065	-1.27050931305737	2.48850041496339e-11
25	MvSl-1064-A2-R4_A2g00067	-8.50190531317276	3.08165134829821e-74
26	MvSl-1064-A2-R4_A2g00068	-3.71722522163018	5.30731302734987e-22
27	MvSl-1064-A2-R4_A2g00071	-1.37471810592007	5.41008468513256e-07
28	MvSl-1064-A2-R4_A2g00072	-0.488624164264097	0.0396036623623086
29	MvSl-1064-A2-R4_A2g00080	-0.842424518517991	0.00449153154881358
30	MvSl-1064-A2-R4_A2g00081	-4.95836992921105	6.90073237908813e-31
31	MvSl-1064-A2-R4_A2g00099	-1.73013108987426	0.00153760987682898
32	MvSl-1064-A2-R4_A2g00110	-1.73013167183163	0.00153562607065594
33	MvSl-1064-A2-R4_A2g00116	-1.33222097408702	0.0439223300251587
34	MvSl-1064-A2-R4_A2g00117	-3.86297180664687	2.00223223998199e-09
35	MvSl-1064-A2-R4_A2g00118	-1.5493193447242	3.59119917789403e-08
36	MvSl-1064-A2-R4_A2g00120	-0.973196692012348	1.7293296411054e-06
37	MvSl-1064-A2-R4_A2g00123	-2.25888761582028	2.15940470574801e-27
38	MvSl-1064-A2-R4_A2g00127	-0.382356068382996	0.0428424200611637
39	MvSl-1064-A2-R4_A2g00131	-3.42367039770491	2.45733621062725e-59
40	MvSl-1064-A2-R4_A2g00132	-3.45988735772546	5.09598981873598e-14
41	MvSl-1064-A2-R4_A2g00133	-1.69825530372679	6.98578883871102e-08
42	MvSl-1064-A2-R4_A2g00136	-1.4216452985746	1.60096613208399e-05
43	MvSl-1064-A2-R4_A2g00152	-2.42597101809298	3.81143252913681e-08
44	MvSl-1064-A2-R4_A2g00155	-1.54645588511141	1.40490636088267e-11
45	MvSl-1064-A2-R4_A2g00167	-1.16980840766046	0.0463718851158458
46	MvSl-1064-A2-R4_A2g00168	-1.00916380702977	0.00789715511244705
47	MvSl-1064-A2-R4_A2g00176	-2.23286244985885	2.79895264939669e-20
48	MvSl-1064-A2-R4_A2g00177	-1.19116085437335	0.0092729608325522
49	MvSl-1064-A2-R4_A2g00178	-0.583987585839045	0.0167739324381149
50	MvSl-1064-A2-R4_A2g00187	-0.97515399329328	0.000726657777165969
51	MvSl-1064-A2-R4_A2g00188	-1.63914093890065	0.00589554220472395
52	MvSl-1064-A2-R4_A2g00189	-0.876267421615237	0.00201876271913901
53	MvSl-1064-A2-R4_A2g00194	-2.27662398258698	4.65642451242586e-06
54	MvSl-1064-A2-R4_A2g00197	-2.67246234973152	5.74474472874578e-07
55	MvSl-1064-A2-R4_A2g00202	-3.56139813779786	3.6118421512904e-13
56	MvSl-1064-A2-R4_A2g00205	-5.07335023968327	4.48288210370487e-66
57	MvSl-1064-A2-R4_A2g00208	-11.012292617002	1.12864974917003e-142
58	MvSl-1064-A2-R4_A2g00209	-10.1175447200335	1.45706046730925e-130
59	MvSl-1064-A2-R4_A2g00214	-1.51637573574367	1.60051652706943e-05
60	MvSl-1064-A2-R4_A2g00215	-1.48014213800121	2.75023055323709e-11
61	MvSl-1064-A2-R4_A2g00216	-1.6982228500171	1.15716088231301e-09
62	MvSl-1064-A2-R4_A2g00218	-1.2110017700011	0.0163907365193728
63	MvSl-1064-A2-R4_A2g00219	-2.00101487351207	0.000159994464995358
64	MvSl-1064-A2-R4_A2g00225	-0.962414845765576	0.0168819291501064
65	MvSl-1064-A2-R4_A2g00226	-1.76807105906642	2.61608083422813e-12
66	MvSl-1064-A2-R4_A2g00227	-1.58895921711855	0.00273598881841736
67	MvSl-1064-A2-R4_A2g00231	-2.90883276909819	2.64051351669739e-17
68	MvSl-1064-A2-R4_A2g00233	-4.82503511736386	4.13216921408655e-17
69	MvSl-1064-A2-R4_A2g00235	-1.25242722399297	9.33158461749414e-10
70	MvSl-1064-A2-R4_A2g00236	-0.87140891109064	0.000123648921042996
71	MvSl-1064-A2-R4_A2g00237	-1.10363182403363	0.00041797939891707
72	MvSl-1064-A2-R4_A2g00238	-7.36682759629376	2.91494611193361e-26
73	MvSl-1064-A2-R4_A2g00251	-1.36057465269121	0.00974366005416672
74	MvSl-1064-A2-R4_A2g00253	-1.76056128827056	4.18599530061798e-05
