gene	logFC	FDR
1	MvSl-1064-A2-R4_A2g00013	-0.84838683289054	2.59647587749207e-05
2	MvSl-1064-A2-R4_A2g00015	-1.35391293841603	0.0354289180910646
3	MvSl-1064-A2-R4_A2g00023	-1.77138117296084	0.000160817418258467
4	MvSl-1064-A2-R4_A2g00024	-10.9645399947038	4.83725010887105e-35
5	MvSl-1064-A2-R4_A2g00052	-5.47472147719349	2.04326092629135e-39
6	MvSl-1064-A2-R4_A2g00053	-0.51219060135398	0.0258211979057263
7	MvSl-1064-A2-R4_A2g00063	-0.599891460081535	0.0215724941012572
8	MvSl-1064-A2-R4_A2g00067	-4.44137163415434	7.61802813382727e-37
9	MvSl-1064-A2-R4_A2g00068	-3.61241495551588	4.24055635957442e-20
10	MvSl-1064-A2-R4_A2g00071	-1.01040345847044	0.00096445457238773
11	MvSl-1064-A2-R4_A2g00079	-0.907186661160925	0.00193162375046693
12	MvSl-1064-A2-R4_A2g00081	-1.42855772203668	0.000345912820201084
13	MvSl-1064-A2-R4_A2g00117	-1.8179050133945	0.00357056649978713
14	MvSl-1064-A2-R4_A2g00124	-1.39933157447892	1.75752484390597e-07
15	MvSl-1064-A2-R4_A2g00166	-1.03815641174024	0.0344048365708295
16	MvSl-1064-A2-R4_A2g00196	-0.692903320809302	0.00603750647317313
17	MvSl-1064-A2-R4_A2g00205	-6.55162400527598	4.88007632651277e-86
18	MvSl-1064-A2-R4_A2g00208	-7.14090398788496	4.20877394190605e-104
19	MvSl-1064-A2-R4_A2g00209	-4.26238229444371	3.02527004448504e-48
20	MvSl-1064-A2-R4_A2g00214	-1.10555100056899	0.00580946212336452
21	MvSl-1064-A2-R4_A2g00231	-2.4459231748284	2.50369290871351e-12
22	MvSl-1064-A2-R4_A2g00233	-5.62309424995414	4.19296204803098e-18
23	MvSl-1064-A2-R4_A2g00238	-4.75854909705697	1.80335781469123e-17
24	MvSl-1064-A2-R4_A2g00285	-10.1169953475899	1.70402937019946e-24
25	MvSl-1064-A2-R4_A2g00292	-1.21824721619538	0.0266370719029576
26	MvSl-1064-A2-R4_A2g00300	-1.9074816266742	2.68309142814495e-14
27	MvSl-1064-A2-R4_A2g00310	-2.63175832718322	0.00015623919323371
28	MvSl-1064-A2-R4_A2g00318	-2.8083896305079	1.49582770971346e-06
29	MvSl-1064-A2-R4_A2g00322	-2.33096755042777	0.000285634882248837
30	MvSl-1064-A2-R4_A2g00362	-2.43306370219562	2.16327539604923e-05
31	MvSl-1064-A2-R4_A2g00366	-0.699508963824706	0.028616088184519
32	MvSl-1064-A2-R4_A2g00370	-1.91881424592079	4.64768897436663e-10
33	MvSl-1064-A2-R4_A2g00380	-3.87793800494596	2.38398822103508e-51
34	MvSl-1064-A2-R4_A2g00400	-2.44452931125105	1.94241105706048e-06
35	MvSl-1064-A2-R4_A2g00402	-2.54898656846895	3.12424340170318e-07
36	MvSl-1064-A2-R4_A2g00425	-1.50242325842762	0.000142868377038383
37	MvSl-1064-A2-R4_A2g00426	-5.0343531270222	1.48281067982873e-13
38	MvSl-1064-A2-R4_A2g00431	-0.683312588899146	0.00216717669306642
39	MvSl-1064-A2-R4_A2g00506	-2.87821680231168	2.49603940682243e-16
40	MvSl-1064-A2-R4_A2g00549	-1.1506585560808	0.00917458922627571
41	MvSl-1064-A2-R4_A2g00558	-8.66736701836334	5.5964705929596e-55
42	MvSl-1064-A2-R4_A2g00568	-6.11533557028378	3.24128783822292e-56
43	MvSl-1064-A2-R4_A2g00575	-1.5462054016252	0.00440463156326394
44	MvSl-1064-A2-R4_A2g00576	-1.72254836919015	1.00487919198237e-07
45	MvSl-1064-A2-R4_A2g00578	-1.42693538430114	0.000593007691313932
46	MvSl-1064-A2-R4_A2g00621	-2.01186645277592	1.55349050681167e-05
47	MvSl-1064-A2-R4_A2g00622	-2.93866618355801	2.53936872722539e-23
48	MvSl-1064-A2-R4_A2g00627	-1.79154884867664	6.43571954265849e-06
49	MvSl-1064-A2-R4_A2g00639	-1.96669556514493	7.77008038771177e-09
50	MvSl-1064-A2-R4_A2g00648	-8.42119585691536	2.97008431695996e-96
51	MvSl-1064-A2-R4_A2g00651	-2.90902210723044	1.49877146305786e-24
52	MvSl-1064-A2-R4_A2g00652	-8.39316827132685	6.71344546068039e-39
53	MvSl-1064-A2-R4_A2g00663	-1.08115577648607	0.0098590464319019
54	MvSl-1064-A2-R4_A2g00664	-2.65945817986125	2.7226959943878e-16
55	MvSl-1064-A2-R4_A2g00689	-4.6341958552936	1.20963450068605e-12
56	MvSl-1064-A2-R4_A2g00758	-3.89823430931671	4.99395258985643e-23
57	MvSl-1064-A2-R4_A2g00811	-7.1421496134194	1.50707732552755e-14
58	MvSl-1064-A2-R4_A2g00821	-4.37846970641237	2.22743426753134e-16
59	MvSl-1064-A2-R4_A2g00826	-2.96158300662668	6.57878503607091e-19
60	MvSl-1064-A2-R4_A2g00841	-1.46452933549876	8.1385927600518e-06
61	MvSl-1064-A2-R4_A2g00843	-1.44640208551982	1.61074967122912e-08
62	MvSl-1064-A2-R4_A2g00878	-1.62588317871009	0.00244238500896943
63	MvSl-1064-A2-R4_A2g00904	-6.24511838548154	1.14172941235874e-95
64	MvSl-1064-A2-R4_A2g01002	-0.915778015619419	0.00250040327025121
65	MvSl-1064-A2-R4_A2g01023	-1.28738684656577	0.00284748942210179
66	MvSl-1064-A2-R4_A2g01038	-0.612948218748911	0.0177456783456205
67	MvSl-1064-A2-R4_A2g01086	-5.13974391983486	1.19191601645873e-29
68	MvSl-1064-A2-R4_A2g01089	-3.38147092579047	4.13694133100019e-08
69	MvSl-1064-A2-R4_A2g01108	-0.966178240279157	0.0114181225109434
70	MvSl-1064-A2-R4_A2g01112	-1.20002186527049	2.35265925631755e-09
71	MvSl-1064-A2-R4_A2g01153	-2.56566792097259	6.10213969447819e-24
72	MvSl-1064-A2-R4_A2g01165	-1.8645241280706	0.00298463521192583
73	MvSl-1064-A2-R4_A2g01172	-4.65441343154143	1.54962007779704e-15
74	MvSl-1064-A2-R4_A2g01190	-3.61820049421578	2.72596725572302e-10
75	MvSl-1064-A2-R4_A2g01213	-1.22439413154257	0.0144251793779794
76	MvSl-1064-A2-R4_A2g01227	-0.840187953016606	0.00012509386611758
77	MvSl-1064-A2-R4_A2g01252	-0.674928472294813	0.0116493773997442
78	MvSl-1064-A2-R4_A2g01272	-1.15076870521924	0.00332113039583425
79	MvSl-1064-A2-R4_A2g01281	-1.19754761176962	0.000942950379046898
80	MvSl-1064-A2-R4_A2g01288	-0.751637201274334	0.00719109099935458
81	MvSl-1064-A2-R4_A2g01289	-2.39845923398763	4.30995535475848e-32
82	MvSl-1064-A2-R4_A2g01310	-1.58923190234225	3.01293865479071e-05
83	MvSl-1064-A2-R4_A2g01311	-2.62378125736758	4.41886457276566e-11
