gene	FDR	logFC
MvSl-1064-A2-R4_A2g00001	0.977999537405908	0.0336802328693197
MvSl-1064-A2-R4_A2g00002	0.628747342346184	0.218654905293817
MvSl-1064-A2-R4_A2g00003	0.189144602707883	0.479424332471721
MvSl-1064-A2-R4_A2g00004	0.854917863510866	0.0738441334035108
MvSl-1064-A2-R4_A2g00005	0.537574864253708	-0.197815515918777
MvSl-1064-A2-R4_A2g00006	0.864370443143123	0.0804393004071754
MvSl-1064-A2-R4_A2g00007	0.0633779288578046	-0.461242718622374
MvSl-1064-A2-R4_A2g00008	0.930919646179789	0.0477490825411826
MvSl-1064-A2-R4_A2g00009	0.593754094789971	0.266577264930278
MvSl-1064-A2-R4_A2g00010	0.381772269142075	0.516987206338252
MvSl-1064-A2-R4_A2g00011	0.919977284815314	0.110517263962597
MvSl-1064-A2-R4_A2g00013	2.59647587749207e-05	-0.84838683289054
MvSl-1064-A2-R4_A2g00014	0.0847069860279363	-1.03550578980791
MvSl-1064-A2-R4_A2g00015	0.0354289180910646	-1.35391293841603
MvSl-1064-A2-R4_A2g00016	0.145032627522367	-1.13768758524428
MvSl-1064-A2-R4_A2g00017	0.187205981188362	0.767327726115331
MvSl-1064-A2-R4_A2g00019	0.506934775731065	-0.440619093599269
MvSl-1064-A2-R4_A2g00020	0.51891300576736	-0.410608640722843
MvSl-1064-A2-R4_A2g00021	0.697121385688119	-0.21298710042678
MvSl-1064-A2-R4_A2g00023	0.000160817418258467	-1.77138117296084
MvSl-1064-A2-R4_A2g00024	4.83725010887105e-35	-10.9645399947038
MvSl-1064-A2-R4_A2g00025	0.441560349378918	0.590230927703036
MvSl-1064-A2-R4_A2g00026	0.924684970446874	0.0524483707425797
MvSl-1064-A2-R4_A2g00027	0.922433378341254	-0.0917165235405299
MvSl-1064-A2-R4_A2g00028	0.918477502045769	-0.0788111645753178
MvSl-1064-A2-R4_A2g00029	0.791801577109337	-0.203997776682764
MvSl-1064-A2-R4_A2g00030	0.509436184247486	-0.213277803230377
MvSl-1064-A2-R4_A2g00031	0.246285163484796	0.495431619912699
MvSl-1064-A2-R4_A2g00032	0.955099181079622	0.0360158273148807
MvSl-1064-A2-R4_A2g00033	0.335660233414728	-0.336950057249905
MvSl-1064-A2-R4_A2g00035	0.679133309514658	-0.245249655635055
MvSl-1064-A2-R4_A2g00036	0.959965825754634	-0.0271422945212119
MvSl-1064-A2-R4_A2g00037	0.192747783303209	-0.418520871286514
MvSl-1064-A2-R4_A2g00039	0.560645897465102	0.21080227317266
MvSl-1064-A2-R4_A2g00040	0.00152582334516249	1.74604464550829
MvSl-1064-A2-R4_A2g00046	0.80696062318375	0.140285897730709
MvSl-1064-A2-R4_A2g00047	0.847893386626372	0.0898681466140686
MvSl-1064-A2-R4_A2g00048	0.795387514324758	0.119900009417443
MvSl-1064-A2-R4_A2g00049	0.887301894429632	0.0718393272637573
MvSl-1064-A2-R4_A2g00050	0.0250249136121982	0.769141477377285
MvSl-1064-A2-R4_A2g00051	0.784287819096514	0.114034252380023
MvSl-1064-A2-R4_A2g00052	2.04326092629135e-39	-5.47472147719349
MvSl-1064-A2-R4_A2g00053	0.0258211979057263	-0.51219060135398
MvSl-1064-A2-R4_A2g00054	0.672666970716693	-0.255708140586471
MvSl-1064-A2-R4_A2g00055	0.703018826090837	0.175315013416102
MvSl-1064-A2-R4_A2g00056	0.721666033805506	0.300384556268353
MvSl-1064-A2-R4_A2g00057	0.790614689218565	-0.132580864904285
MvSl-1064-A2-R4_A2g00058	0.842699660837411	0.190109443859996
MvSl-1064-A2-R4_A2g00059	0.753042325888277	0.170867985537414
MvSl-1064-A2-R4_A2g00060	0.983816797812177	-0.0239452334725265
MvSl-1064-A2-R4_A2g00061	0.81406493047479	-0.0872282585771802
MvSl-1064-A2-R4_A2g00062	0.726094770960833	0.126950732402349
MvSl-1064-A2-R4_A2g00063	0.0215724941012572	-0.599891460081535
MvSl-1064-A2-R4_A2g00064	0.969844818390834	0.0222018589754847
MvSl-1064-A2-R4_A2g00065	0.77958810324975	-0.104163606049391
MvSl-1064-A2-R4_A2g00066	0.79160959178409	-0.144653865840375
MvSl-1064-A2-R4_A2g00067	7.61802813382727e-37	-4.44137163415434
MvSl-1064-A2-R4_A2g00068	4.24055635957442e-20	-3.61241495551588
MvSl-1064-A2-R4_A2g00069	0.291194743195847	-0.389250727237974
MvSl-1064-A2-R4_A2g00070	0.711831317731233	0.143461742603187
MvSl-1064-A2-R4_A2g00071	0.00096445457238773	-1.01040345847044
MvSl-1064-A2-R4_A2g00072	0.054243741088341	0.551291616821251
MvSl-1064-A2-R4_A2g00073	0.935684707922174	0.0802034921741254
MvSl-1064-A2-R4_A2g00074	0.905647270241742	-0.0733504522169917
MvSl-1064-A2-R4_A2g00076	0.298741656398598	0.270693247008979
MvSl-1064-A2-R4_A2g00077	0.500008843468813	0.206452536841742
MvSl-1064-A2-R4_A2g00078	0.156380849480086	-0.503991167405399
MvSl-1064-A2-R4_A2g00079	0.00193162375046693	-0.907186661160925
MvSl-1064-A2-R4_A2g00080	0.35669778706239	-0.398177652170971
MvSl-1064-A2-R4_A2g00081	0.000345912820201084	-1.42855772203668
MvSl-1064-A2-R4_A2g00087	0.00849339686077628	1.37188957444897
MvSl-1064-A2-R4_A2g00099	0.214846035357588	0.820763325050102
MvSl-1064-A2-R4_A2g00106	0.00849339686077628	1.37188966832222
MvSl-1064-A2-R4_A2g00110	0.214792139405074	0.820763573902457
MvSl-1064-A2-R4_A2g00116	2.33498822996696e-05	2.29321445668589
MvSl-1064-A2-R4_A2g00117	0.00357056649978713	-1.8179050133945
MvSl-1064-A2-R4_A2g00118	0.99891249411484	-0.00116260457183596
MvSl-1064-A2-R4_A2g00119	0.795512272221197	0.120867354661929
MvSl-1064-A2-R4_A2g00120	0.0414390527615489	0.505282597977936
MvSl-1064-A2-R4_A2g00122	8.06370083204088e-10	2.3544506754468
MvSl-1064-A2-R4_A2g00123	0.348571810009385	-0.281068521601245
MvSl-1064-A2-R4_A2g00124	1.75752484390597e-07	-1.39933157447892
MvSl-1064-A2-R4_A2g00125	0.921867229883028	-0.0479567538448745
MvSl-1064-A2-R4_A2g00126	0.918055013723575	-0.0488766060671259
MvSl-1064-A2-R4_A2g00127	0.928358221317451	-0.0397702259910942
MvSl-1064-A2-R4_A2g00128	0.660850186842555	-0.148699229794677
MvSl-1064-A2-R4_A2g00129	0.630621550997795	0.171132756188096
MvSl-1064-A2-R4_A2g00130	0.472884598869293	0.241691815533745
MvSl-1064-A2-R4_A2g00131	0.916441780512237	0.0490632988063111
MvSl-1064-A2-R4_A2g00132	0.00052014796183209	1.46190555548651
MvSl-1064-A2-R4_A2g00133	0.00161787832988622	1.0808176491341
MvSl-1064-A2-R4_A2g00134	0.558695352982017	0.340482096580411
MvSl-1064-A2-R4_A2g00135	0.00149661364125304	1.18517303778425
MvSl-1064-A2-R4_A2g00136	0.0259729193644196	0.844392036394611
MvSl-1064-A2-R4_A2g00139	0.000199945787308525	2.0849842437438
MvSl-1064-A2-R4_A2g00140	9.46665339785322e-06	1.28020045251866
MvSl-1064-A2-R4_A2g00141	0.0431548233897833	0.805800411855638
MvSl-1064-A2-R4_A2g00142	3.16091425981192e-09	2.48775131869495
MvSl-1064-A2-R4_A2g00144	0.0514184086815709	0.968601756742851
MvSl-1064-A2-R4_A2g00146	0.867240664877427	0.231403854366966
MvSl-1064-A2-R4_A2g00148	0.0899096503182075	-1.29287446756984
MvSl-1064-A2-R4_A2g00149	0.941352809789974	0.0495106923805865
MvSl-1064-A2-R4_A2g00150	2.52656963780671e-08	1.69647428875459
MvSl-1064-A2-R4_A2g00152	0.00772524053019696	1.19688644207856
MvSl-1064-A2-R4_A2g00153	0.985269745808135	-0.0103037353473344
MvSl-1064-A2-R4_A2g00154	0.284052552762706	0.283306596361961
MvSl-1064-A2-R4_A2g00155	8.28392897739901e-30	2.68801739550966
MvSl-1064-A2-R4_A2g00156	3.59648137554198e-06	2.76649204764914
MvSl-1064-A2-R4_A2g00157	2.55291440789984e-06	3.00332133496773
MvSl-1064-A2-R4_A2g00158	2.79937091500639e-13	2.13075952782739
MvSl-1064-A2-R4_A2g00159	0.00157119190402322	2.06862579435121
MvSl-1064-A2-R4_A2g00160	0.141298444705448	0.480297224930333
MvSl-1064-A2-R4_A2g00161	0.150572144322896	0.383972560479527
MvSl-1064-A2-R4_A2g00162	0.140110381182217	0.618730885528287
MvSl-1064-A2-R4_A2g00163	0.913605078273633	0.0533627305035228
MvSl-1064-A2-R4_A2g00164	0.000320235479175693	0.875372542499981
MvSl-1064-A2-R4_A2g00165	0.309661531718529	0.572624921583415
MvSl-1064-A2-R4_A2g00166	0.0344048365708295	-1.03815641174024
MvSl-1064-A2-R4_A2g00167	8.34688934236753e-06	2.31578756434436
MvSl-1064-A2-R4_A2g00168	0.0106443210910366	1.08759038631159
MvSl-1064-A2-R4_A2g00169	0.280211506651859	0.358521580176838
MvSl-1064-A2-R4_A2g00170	0.000436604063765426	1.05585620380908
MvSl-1064-A2-R4_A2g00171	6.72737771466663e-05	1.10861081998438
MvSl-1064-A2-R4_A2g00172	0.203079329505459	0.385153498119158
MvSl-1064-A2-R4_A2g00173	1.49963352485599e-09	1.77717185036769
MvSl-1064-A2-R4_A2g00174	5.87118367347435e-26	2.31202857295353
MvSl-1064-A2-R4_A2g00176	2.23623562917675e-30	2.81123386175909
MvSl-1064-A2-R4_A2g00177	0.075440617504335	0.964497016134093
MvSl-1064-A2-R4_A2g00178	7.53741090773012e-05	1.02452087124051
MvSl-1064-A2-R4_A2g00179	0.382002287044267	-0.335324203219612
MvSl-1064-A2-R4_A2g00182	0.528953221579319	0.402182725738559
MvSl-1064-A2-R4_A2g00183	0.528841998978372	0.227883710642105
MvSl-1064-A2-R4_A2g00184	1.88416602075431e-05	1.23958710064903
MvSl-1064-A2-R4_A2g00185	0.415854432734569	0.258205196570455
MvSl-1064-A2-R4_A2g00186	0.37007146526483	0.288376216216514
MvSl-1064-A2-R4_A2g00187	1.31986945438625e-06	1.4514359675501
MvSl-1064-A2-R4_A2g00188	0.0513025602191003	1.17592894055892
MvSl-1064-A2-R4_A2g00189	3.94001623036338e-07	1.51450939225169
MvSl-1064-A2-R4_A2g00190	7.82289828960734e-05	1.80335030279496
MvSl-1064-A2-R4_A2g00191	0.370719340937368	-0.609115480624042
MvSl-1064-A2-R4_A2g00192	0.0315101070718299	1.2632238754048
MvSl-1064-A2-R4_A2g00193	1.77804049835278e-10	2.12657098020242
MvSl-1064-A2-R4_A2g00194	3.86631544477386e-05	1.87452285513215
MvSl-1064-A2-R4_A2g00195	0.108290798566227	0.383903760330483
MvSl-1064-A2-R4_A2g00196	0.00603750647317313	-0.692903320809302
MvSl-1064-A2-R4_A2g00197	0.179453530338729	-0.843531670208016
MvSl-1064-A2-R4_A2g00199	6.63843954490347e-13	1.98553266537314
MvSl-1064-A2-R4_A2g00200	0.00146245121688367	0.884969732992302
MvSl-1064-A2-R4_A2g00201	1.48684414802251e-07	1.12622972719892
MvSl-1064-A2-R4_A2g00202	0.00230209035960298	1.28770401808084
MvSl-1064-A2-R4_A2g00203	0.81878307342951	0.0850302568428726
MvSl-1064-A2-R4_A2g00204	0.95956551158502	-0.0361038228187309
MvSl-1064-A2-R4_A2g00205	4.88007632651277e-86	-6.55162400527598
MvSl-1064-A2-R4_A2g00206	0.232199125936529	-0.752859089619201
MvSl-1064-A2-R4_A2g00208	4.20877394190605e-104	-7.14090398788496
MvSl-1064-A2-R4_A2g00209	3.02527004448504e-48	-4.26238229444371
MvSl-1064-A2-R4_A2g00210	0.688259578338899	0.152936183437728
MvSl-1064-A2-R4_A2g00212	0.236583961388052	0.53600746776622
MvSl-1064-A2-R4_A2g00213	0.11446892842683	0.60040361796643
MvSl-1064-A2-R4_A2g00214	0.00580946212336452	-1.10555100056899
MvSl-1064-A2-R4_A2g00215	2.56934038218153e-23	2.21698277284129
MvSl-1064-A2-R4_A2g00216	0.117774596311262	-0.560774071407666
MvSl-1064-A2-R4_A2g00218	0.664208061974474	0.367497200218423
MvSl-1064-A2-R4_A2g00219	0.0187916822140324	1.32600375474836
MvSl-1064-A2-R4_A2g00220	0.215693012506056	-1.48523368794068
MvSl-1064-A2-R4_A2g00222	0.00250040327025121	1.56414721640586
MvSl-1064-A2-R4_A2g00224	0.628001001663219	-0.394113565626688
