gene	FDR	logFC
MvSl-1064-A2-R4_A2g00001	0.222195302850424	-0.706521525052545
MvSl-1064-A2-R4_A2g00012	0.337067066023929	-1.69209640534233
MvSl-1064-A2-R4_A2g00137	1	0
MvSl-1064-A2-R4_A2g00138	0.807133926004664	0.432589356735572
MvSl-1064-A2-R4_A2g00149	0.0326589250461911	-0.664981397064693
MvSl-1064-A2-R4_A2g00151	0.651562119940018	-0.347761834407788
MvSl-1064-A2-R4_A2g00152	0.310809211391935	0.485676789370002
MvSl-1064-A2-R4_A2g00155	4.61689570243807e-08	1.97300400958909
MvSl-1064-A2-R4_A2g00156	0.000623148811312875	2.04631177279501
MvSl-1064-A2-R4_A2g00159	0.0357985954707296	1.35145556385298
MvSl-1064-A2-R4_A2g00165	0.806824333434293	-0.1494406074907
MvSl-1064-A2-R4_A2g00166	9.73559721741957e-06	-1.76773907053775
MvSl-1064-A2-R4_A2g00167	0.000590743173439967	1.58089433447894
MvSl-1064-A2-R4_A2g00173	0.000356138591591778	1.05659909403998
MvSl-1064-A2-R4_A2g00174	7.10112539450111e-09	1.60690701471375
MvSl-1064-A2-R4_A2g00175	0.000412505005830259	2.18841414500212
MvSl-1064-A2-R4_A2g00177	0.610402308439696	0.290442072279611
MvSl-1064-A2-R4_A2g00178	0.427910625038814	0.305626439326533
MvSl-1064-A2-R4_A2g00180	0.337067066023929	2.77721810107349
MvSl-1064-A2-R4_A2g00188	0.421349474685689	0.471456846743062
MvSl-1064-A2-R4_A2g00189	0.0352556169998919	0.833171043595619
MvSl-1064-A2-R4_A2g00190	0.020421827011682	1.10154511181324
MvSl-1064-A2-R4_A2g00191	0.0129311481918446	-1.28367621384054
MvSl-1064-A2-R4_A2g00198	0.0909364172492074	1.03938080328453
MvSl-1064-A2-R4_A2g00212	0.688342523525083	-0.199619711753692
MvSl-1064-A2-R4_A2g00213	0.803183388739073	-0.128408764239534
MvSl-1064-A2-R4_A2g00214	1.91518851887583e-07	-1.79852961748342
MvSl-1064-A2-R4_A2g00219	0.320234376042637	0.582555623708716
MvSl-1064-A2-R4_A2g00221	0.48211941740189	0.800959173568909
MvSl-1064-A2-R4_A2g00224	0.0339555226313124	-1.11832682051956
MvSl-1064-A2-R4_A2g00228	0.163017550463508	-1.59455485651539
MvSl-1064-A2-R4_A2g00230	0.131323574567964	-0.561259013338057
MvSl-1064-A2-R4_A2g00233	2.60830829835415e-31	-6.30706215891483
MvSl-1064-A2-R4_A2g00234	0.362489111307548	-2.40939742651192
MvSl-1064-A2-R4_A2g00236	0.165051825502345	0.479996066351918
MvSl-1064-A2-R4_A2g00243	0.79415943765472	0.231277455505693
MvSl-1064-A2-R4_A2g00244	0.526916650218807	0.33712420870983
MvSl-1064-A2-R4_A2g00252	0.0152200032440743	1.7329884364959
MvSl-1064-A2-R4_A2g00254	0.410022716298828	-0.416181329479029
MvSl-1064-A2-R4_A2g00257	0.496478900167674	1.96339051470714
MvSl-1064-A2-R4_A2g00259	0.496478900167674	1.98409297398439
MvSl-1064-A2-R4_A2g00260	0.156543841501923	-2.52287000504787
MvSl-1064-A2-R4_A2g00262	0.362533355562047	-2.41292789118729
MvSl-1064-A2-R4_A2g00271	0.049515263614448	-1.18273112690312
MvSl-1064-A2-R4_A2g00275	0.165227888612422	3.64124285568499
MvSl-1064-A2-R4_A2g00276	0.354796713503106	1.80748431678028
MvSl-1064-A2-R4_A2g00282	0.0270456571257388	0.937191238443798
MvSl-1064-A2-R4_A2g00284	0.222195302850424	0.856869679749371
MvSl-1064-A2-R4_A2g00285	1.12481741756847e-38	-10.2584794977632
MvSl-1064-A2-R4_A2g00287	0.496478900167674	1.96711637190853
MvSl-1064-A2-R4_A2g00291	0.718323463386015	-0.152607901439957
MvSl-1064-A2-R4_A2g00302	0.935037401156019	-0.140850974332654
MvSl-1064-A2-R4_A2g00305	1	0
MvSl-1064-A2-R4_A2g00316	0.300161803675839	0.374622976697678
