gene	FDR
MvSl-1064-A2-R4_A2g00001	1
MvSl-1064-A2-R4_A2g00012	0.0587201309382644
MvSl-1064-A2-R4_A2g00137	1
MvSl-1064-A2-R4_A2g00138	0.0154310024850722
MvSl-1064-A2-R4_A2g00149	3.25291265504757e-05
MvSl-1064-A2-R4_A2g00151	0.777934540733062
MvSl-1064-A2-R4_A2g00152	1
MvSl-1064-A2-R4_A2g00155	1
MvSl-1064-A2-R4_A2g00156	0.448678315877944
MvSl-1064-A2-R4_A2g00159	2.9470623064343e-26
MvSl-1064-A2-R4_A2g00165	2.32584465709959e-06
MvSl-1064-A2-R4_A2g00166	0.0370334729734601
MvSl-1064-A2-R4_A2g00167	0.218495575635804
MvSl-1064-A2-R4_A2g00173	9.95854686890685e-06
MvSl-1064-A2-R4_A2g00174	3.20889595448657e-05
MvSl-1064-A2-R4_A2g00175	0.194742906879031
MvSl-1064-A2-R4_A2g00177	0.114860328682664
MvSl-1064-A2-R4_A2g00178	0.662479234232152
MvSl-1064-A2-R4_A2g00180	0.0131729952153051
MvSl-1064-A2-R4_A2g00188	1
MvSl-1064-A2-R4_A2g00189	0.275942511092577
MvSl-1064-A2-R4_A2g00190	0.754287737528947
MvSl-1064-A2-R4_A2g00191	0.423579475742317
MvSl-1064-A2-R4_A2g00198	0.503875418201857
MvSl-1064-A2-R4_A2g00212	2.30621037676493e-05
MvSl-1064-A2-R4_A2g00213	0.000601244693447387
MvSl-1064-A2-R4_A2g00214	1
MvSl-1064-A2-R4_A2g00219	1
MvSl-1064-A2-R4_A2g00221	0.135345987310157
MvSl-1064-A2-R4_A2g00224	0.818394006478853
MvSl-1064-A2-R4_A2g00228	1
MvSl-1064-A2-R4_A2g00230	4.54256500147302e-08
MvSl-1064-A2-R4_A2g00233	1
MvSl-1064-A2-R4_A2g00234	0.228038913470627
MvSl-1064-A2-R4_A2g00236	0.14309346973766
MvSl-1064-A2-R4_A2g00243	0.00106986049846227
MvSl-1064-A2-R4_A2g00244	0.0236082533186184
MvSl-1064-A2-R4_A2g00252	0.810254254348721
MvSl-1064-A2-R4_A2g00254	0.000724731961399801
MvSl-1064-A2-R4_A2g00257	0.315649994939747
MvSl-1064-A2-R4_A2g00259	1
MvSl-1064-A2-R4_A2g00260	0.911495688747281
MvSl-1064-A2-R4_A2g00262	0.421946117816138
MvSl-1064-A2-R4_A2g00271	1
MvSl-1064-A2-R4_A2g00275	1
MvSl-1064-A2-R4_A2g00276	0.968541117617847
MvSl-1064-A2-R4_A2g00282	1
MvSl-1064-A2-R4_A2g00284	0.759784229996
MvSl-1064-A2-R4_A2g00285	1
MvSl-1064-A2-R4_A2g00287	0.000947317962937039
MvSl-1064-A2-R4_A2g00291	0.0279634021856265
MvSl-1064-A2-R4_A2g00302	9.15196235263753e-13
MvSl-1064-A2-R4_A2g00305	1
MvSl-1064-A2-R4_A2g00316	0.877422184644806
MvSl-1064-A2-R4_A2g00317	1
MvSl-1064-A2-R4_A2g00320	0.331987831846035
MvSl-1064-A2-R4_A2g00321	0.162729958914433
MvSl-1064-A2-R4_A2g00330	1
MvSl-1064-A2-R4_A2g00331	1
MvSl-1064-A2-R4_A2g00332	0.322554578648872
MvSl-1064-A2-R4_A2g00334	1
MvSl-1064-A2-R4_A2g00337	0.106239423444844
MvSl-1064-A2-R4_A2g00338	1
MvSl-1064-A2-R4_A2g00340	0.119222738052483
MvSl-1064-A2-R4_A2g00341	0.0563898293225837
MvSl-1064-A2-R4_A2g00342	0.103250359061025
MvSl-1064-A2-R4_A2g00343	0.673139467573263
MvSl-1064-A2-R4_A2g00344	1
MvSl-1064-A2-R4_A2g00346	1
MvSl-1064-A2-R4_A2g00347	0.584013831819168
MvSl-1064-A2-R4_A2g00348	0.000896490634004975
MvSl-1064-A2-R4_A2g00350	0.261873149760445
MvSl-1064-A2-R4_A2g00359	1
MvSl-1064-A2-R4_A2g00360	0.105884095770713
MvSl-1064-A2-R4_A2g00361	1
MvSl-1064-A2-R4_A2g00362	1
MvSl-1064-A2-R4_A2g00364	0.029623037885981
MvSl-1064-A2-R4_A2g00385	0.871820822247524
MvSl-1064-A2-R4_A2g00390	1.22098298472169e-15
MvSl-1064-A2-R4_A2g00396	0.0532902740494351
MvSl-1064-A2-R4_A2g00399	0.911819405028068
MvSl-1064-A2-R4_A2g00401	0.0657795299161637
MvSl-1064-A2-R4_A2g00402	0.826582381523737
MvSl-1064-A2-R4_A2g00404	1
MvSl-1064-A2-R4_A2g00408	0.223206041969432
MvSl-1064-A2-R4_A2g00411	0.968541117617847
MvSl-1064-A2-R4_A2g00412	1
MvSl-1064-A2-R4_A2g00415	0.0279810626305742
MvSl-1064-A2-R4_A2g00419	0.669697062906256
MvSl-1064-A2-R4_A2g00424	2.41914842893666e-08
