gene	FDR	logFC
MvSl-1064-A1-R4_A1g00001	0.153664878091139	-1.07861715040773
MvSl-1064-A1-R4_A1g00002	0.281546509788104	0.368128556218049
MvSl-1064-A1-R4_A1g00003	0.00258651283154891	-1.12496114353826
MvSl-1064-A1-R4_A1g00004	2.43077317074934e-06	1.14688745726957
MvSl-1064-A1-R4_A1g00005	0.31504374346415	0.275373930552899
MvSl-1064-A1-R4_A1g00006	4.54303424324112e-11	1.90278784034839
MvSl-1064-A1-R4_A1g00007	0.178053676258422	-0.367499666060677
MvSl-1064-A1-R4_A1g00008	0.250428485443283	-0.334388047052257
MvSl-1064-A1-R4_A1g00009	0.0566110856815077	0.776224235306778
MvSl-1064-A1-R4_A1g00010	2.3603417035267e-09	2.65959634870244
MvSl-1064-A1-R4_A1g00011	0.00155736736707896	1.63800377628715
MvSl-1064-A1-R4_A1g00013	0.4447242051918	-0.259491880827386
MvSl-1064-A1-R4_A1g00014	0.000384588663719218	2.65242706651864
MvSl-1064-A1-R4_A1g00015	0.00156624741445784	2.80772244496706
MvSl-1064-A1-R4_A1g00016	0.00150068283583711	2.49964223553013
MvSl-1064-A1-R4_A1g00017	0.0649985672178508	0.958928697024069
MvSl-1064-A1-R4_A1g00019	1.3977891959997e-07	-2.34829319894444
MvSl-1064-A1-R4_A1g00020	3.90977582771337e-05	-2.23384361127465
MvSl-1064-A1-R4_A1g00021	4.01579439838322e-08	-1.827461678757
MvSl-1064-A1-R4_A1g00023	0.00140234815236099	-1.60383898266348
MvSl-1064-A1-R4_A1g00024	5.3038022202322e-19	-9.62178787862542
MvSl-1064-A1-R4_A1g00025	0.0913967083746878	-1.07547522305245
MvSl-1064-A1-R4_A1g00026	0.0678438149594316	-0.525714617230685
MvSl-1064-A1-R4_A1g00027	0.00116998707640492	1.28938610598833
MvSl-1064-A1-R4_A1g00028	1.25895275111085e-06	-2.00037620829768
MvSl-1064-A1-R4_A1g00029	0.00145499525369381	-1.02437565798384
MvSl-1064-A1-R4_A1g00030	0.79897003125569	0.0840760791569228
MvSl-1064-A1-R4_A1g00031	2.97413422580126e-31	-4.88513248876847
MvSl-1064-A1-R4_A1g00032	0.190821524360322	-0.429801072209381
MvSl-1064-A1-R4_A1g00033	3.77243261623495e-07	-1.60989551271945
MvSl-1064-A1-R4_A1g00035	3.45725981087159e-10	-2.14830226447237
MvSl-1064-A1-R4_A1g00036	0.671681758435628	-0.128323259389519
MvSl-1064-A1-R4_A1g00037	0.000231219300279132	1.02178955494733
MvSl-1064-A1-R4_A1g00039	0.208459712858867	-0.353059963695509
MvSl-1064-A1-R4_A1g00040	0.606180724216579	0.331272777380636
MvSl-1064-A1-R4_A1g00046	0.00681317907911933	-1.00097482540231
MvSl-1064-A1-R4_A1g00047	0.000165952274128638	1.05374121513613
MvSl-1064-A1-R4_A1g00048	0.851407964088713	0.067338967578223
MvSl-1064-A1-R4_A1g00049	0.935669124895533	0.0258711454323204
MvSl-1064-A1-R4_A1g00050	3.70807307402133e-08	2.01738363053384
MvSl-1064-A1-R4_A1g00051	3.39546376265433e-05	1.16446531506249
MvSl-1064-A1-R4_A1g00052	4.00102527272259e-10	-2.60782096615681
MvSl-1064-A1-R4_A1g00053	0.286421270933514	-0.279475079962094
MvSl-1064-A1-R4_A1g00054	0.162254357292034	0.531576413060777
MvSl-1064-A1-R4_A1g00055	0.167044397241277	-0.455534124408057
MvSl-1064-A1-R4_A1g00056	0.935819332111176	0.0511146351385645
MvSl-1064-A1-R4_A1g00057	0.0110680884415051	0.818829818004795
MvSl-1064-A1-R4_A1g00058	0.249868109251367	0.616027259013192
MvSl-1064-A1-R4_A1g00059	1.74654626370864e-05	1.55877785685316
MvSl-1064-A1-R4_A1g00060	0.272613872280669	-0.547657565653738
MvSl-1064-A1-R4_A1g00061	0.179803781161811	0.341238241322243
MvSl-1064-A1-R4_A1g00062	0.143835106334884	0.375175758356522
MvSl-1064-A1-R4_A1g00063	0.0619560469636205	-0.516931383235542
MvSl-1064-A1-R4_A1g00064	0.429715219269916	-0.280856539282701
MvSl-1064-A1-R4_A1g00065	4.80211269315319e-06	-1.12075059167146
MvSl-1064-A1-R4_A1g00066	5.21269599060188e-05	1.17594088160877
MvSl-1064-A1-R4_A1g00067	8.52067388577554e-66	-7.62399578938318
MvSl-1064-A1-R4_A1g00068	2.11220770816425e-30	-4.6212294142898
MvSl-1064-A1-R4_A1g00069	0.942374312957381	-0.0256940728302718
MvSl-1064-A1-R4_A1g00070	0.759401464770738	-0.0903801758219061
MvSl-1064-A1-R4_A1g00071	0.0134508391818861	-0.89723849777554
MvSl-1064-A1-R4_A1g00072	0.761238684482173	0.125807322781198
MvSl-1064-A1-R4_A1g00073	0.0216240638127343	1.62841331097692
MvSl-1064-A1-R4_A1g00074	0.0197590278831329	0.840356519953167
MvSl-1064-A1-R4_A1g00076	0.897220135050706	0.0371981509603863
MvSl-1064-A1-R4_A1g00077	7.78750412421436e-06	1.16625597353485
MvSl-1064-A1-R4_A1g00078	1.62999551652357e-16	2.57308484978339
MvSl-1064-A1-R4_A1g00079	0.896416396758835	-0.0461415854946396
MvSl-1064-A1-R4_A1g00080	0.00452601565483917	-0.951113635732353
MvSl-1064-A1-R4_A1g00081	1.37891221843731e-20	-3.47604523255423
MvSl-1064-A1-R4_A1g00087	0.000108454988440284	1.31947651991119
MvSl-1064-A1-R4_A1g00088	0.00724383562417422	1.21865886451202
MvSl-1064-A1-R4_A1g00092	3.30011529955257e-17	-3.94566917269679
MvSl-1064-A1-R4_A1g00093	0.417249502783345	0.442602819147481
MvSl-1064-A1-R4_A1g00095	0.0652392993870915	0.723285653523132
MvSl-1064-A1-R4_A1g00099	0.000133527134719414	-1.41795406938634
MvSl-1064-A1-R4_A1g00100	0.338545666507238	0.554162121679615
MvSl-1064-A1-R4_A1g00101	0.238279899374818	-0.792543030590922
MvSl-1064-A1-R4_A1g00106	0.118050035063914	-0.960687964392544
MvSl-1064-A1-R4_A1g00107	1.39133154139912e-06	-2.83931249128602
