gene	FDR	logFC
MvSl-1064-A1-R4_A1g00002	0.0780843205802316	0.752633015548309
MvSl-1064-A1-R4_A1g00004	0.96514632838591	0.0302854459934928
MvSl-1064-A1-R4_A1g00005	0.930506179619185	0.0579965518045631
MvSl-1064-A1-R4_A1g00006	0.836341769836213	0.137393905853279
MvSl-1064-A1-R4_A1g00007	0.68040219389001	0.185661880222674
MvSl-1064-A1-R4_A1g00008	0.887195214024849	0.0789033701665667
MvSl-1064-A1-R4_A1g00009	0.389182290358018	0.367214705522732
MvSl-1064-A1-R4_A1g00010	0.0115604606050775	1.23654272656974
MvSl-1064-A1-R4_A1g00011	0.05259771592636	1.15937542459905
MvSl-1064-A1-R4_A1g00013	0.810919253777709	0.16016499915184
MvSl-1064-A1-R4_A1g00014	0.000133818902557475	3.08193560009518
MvSl-1064-A1-R4_A1g00015	0.00102169579900926	3.12488595971769
MvSl-1064-A1-R4_A1g00016	0.000997788976736887	3.04083066560822
MvSl-1064-A1-R4_A1g00017	0.867115123234981	0.19399352740223
MvSl-1064-A1-R4_A1g00021	6.67480615757622e-10	3.12038893912181
MvSl-1064-A1-R4_A1g00023	0.868918742969201	-0.235738464027248
MvSl-1064-A1-R4_A1g00026	0.820010509056438	0.149508245737361
MvSl-1064-A1-R4_A1g00027	0.00334943261159416	1.5513923862645
MvSl-1064-A1-R4_A1g00028	0.814399066345881	-0.25744260835647
MvSl-1064-A1-R4_A1g00029	9.92697241709091e-06	1.76196699277755
MvSl-1064-A1-R4_A1g00030	0.00265850334682947	0.953058257179038
MvSl-1064-A1-R4_A1g00032	0.655580734131917	-0.22458719303624
MvSl-1064-A1-R4_A1g00033	0.444894190615509	-0.470648178460166
MvSl-1064-A1-R4_A1g00035	0.0232614183191063	1.47671860145982
MvSl-1064-A1-R4_A1g00036	0.80180789413005	-0.151737165642764
MvSl-1064-A1-R4_A1g00037	0.728662694641149	-0.165841013870381
MvSl-1064-A1-R4_A1g00039	0.332541578217507	0.339926363604084
MvSl-1064-A1-R4_A1g00046	0.987746760769	0.020961803919628
MvSl-1064-A1-R4_A1g00047	0.172657711862874	0.525512695568333
MvSl-1064-A1-R4_A1g00048	0.982429227847579	0.0217489446424559
MvSl-1064-A1-R4_A1g00049	0.212899396247832	-0.48633184439867
MvSl-1064-A1-R4_A1g00050	0.00184642080186797	-1.04354397879072
MvSl-1064-A1-R4_A1g00051	0.475798286511901	0.288093495145266
MvSl-1064-A1-R4_A1g00052	0.0172430248890209	1.58021616919764
MvSl-1064-A1-R4_A1g00053	0.289017464783202	0.37419081620589
MvSl-1064-A1-R4_A1g00054	0.0712920618524461	-0.858637112322054
MvSl-1064-A1-R4_A1g00055	0.0211364350825667	-0.83112425760923
MvSl-1064-A1-R4_A1g00056	0.942214975258106	-0.056847197964645
MvSl-1064-A1-R4_A1g00057	0.766764926432472	0.174098250196456
MvSl-1064-A1-R4_A1g00058	0.655665241718739	0.44106477939061
MvSl-1064-A1-R4_A1g00059	0.33048098261097	0.481954850574725
MvSl-1064-A1-R4_A1g00060	0.980646638713408	-0.0353630273795595
MvSl-1064-A1-R4_A1g00061	0.369340452128382	0.316088491782882
MvSl-1064-A1-R4_A1g00062	0.46892330908148	-0.283919366211981
MvSl-1064-A1-R4_A1g00063	0.924237977041254	0.0755917669058733
MvSl-1064-A1-R4_A1g00064	0.634031554405924	0.258038531611801
MvSl-1064-A1-R4_A1g00065	0.774866682859231	0.147056224982543
MvSl-1064-A1-R4_A1g00066	0.448487481910273	-0.384050640205043
MvSl-1064-A1-R4_A1g00068	0.240081880795709	-0.905869321971759
MvSl-1064-A1-R4_A1g00069	0.000415229867096806	-1.01249983945876
MvSl-1064-A1-R4_A1g00070	0.530949826903865	0.254692113287422
MvSl-1064-A1-R4_A1g00071	0.508617498385848	0.473729887321713
MvSl-1064-A1-R4_A1g00072	0.188826218763628	0.612103920869286
MvSl-1064-A1-R4_A1g00073	0.00906092751207973	2.02588825583004
MvSl-1064-A1-R4_A1g00074	0.00972708810753289	0.818129573086044
MvSl-1064-A1-R4_A1g00076	0.824724487768503	0.112556389445844
MvSl-1064-A1-R4_A1g00077	0.770450955740471	0.15402761802715
MvSl-1064-A1-R4_A1g00078	0.683529973835184	0.247592101714999
MvSl-1064-A1-R4_A1g00079	0.000294359921936354	-1.0399407369769
MvSl-1064-A1-R4_A1g00080	0.91007467888951	-0.100451986766007
MvSl-1064-A1-R4_A1g00081	0.00766206682655998	1.71063200911828
MvSl-1064-A1-R4_A1g00108	0.441842024041387	0.479381708426943
MvSl-1064-A1-R4_A1g00109	0.971706617489994	0.0301808188519105
MvSl-1064-A1-R4_A1g00110	0.844044966412493	0.107736060730474
MvSl-1064-A1-R4_A1g00112	0.917539411563318	-0.141274606441484
MvSl-1064-A1-R4_A1g00113	0.202005298552921	0.625513095445156
MvSl-1064-A1-R4_A1g00367	0.0480264544086277	0.712333575995919
MvSl-1064-A1-R4_A1g00368	0.914705227066907	0.0662241661031679
MvSl-1064-A1-R4_A1g00369	0.766764926432472	-0.144613650575535
MvSl-1064-A1-R4_A1g00370	0.874027168030494	0.0897399338397209
MvSl-1064-A1-R4_A1g00371	0.259335308716381	0.374013279986584
MvSl-1064-A1-R4_A1g00372	0.594176280801669	-0.228670192676268
MvSl-1064-A1-R4_A1g00373	0.874027168030494	-0.10615066034019
MvSl-1064-A1-R4_A1g00374	0.904524468566969	0.12273593523479
MvSl-1064-A1-R4_A1g00375	1.31717619754718e-22	5.0786268772223
MvSl-1064-A1-R4_A1g01392	0.0730585240031657	-0.577593946697693
MvSl-1064-A1-R4_A1g00209	0.00193738486070765	1.01506437420044
MvSl-1064-A1-R4_A1g01415	0.00819408315796003	-0.739896233831776
MvSl-1064-A1-R4_A1g00290	5.28541553618001e-06	-1.30494917247023
MvSl-1064-A1-R4_A1g00772	0.277702689270387	-0.435726194691272
MvSl-1064-A1-R4_A1g01389	0.182209423017234	0.444973974321977
MvSl-1064-A1-R4_A1g01388	0.108598547258555	-0.506782322108173
MvSl-1064-A1-R4_A1g01252	0.0144837780641378	-0.688361043544266
MvSl-1064-A1-R4_A1g01253	0.354692813239896	0.377440432199839
MvSl-1064-A1-R4_A1g00800	0.000976791317569924	0.929544721394153
MvSl-1064-A1-R4_A1g00801	0.345641865735672	-0.465453402370644
MvSl-1064-A1-R4_A1g00593	0.25153949678491	-0.406723446188298
MvSl-1064-A1-R4_A1g00641	1.48626207178639e-06	2.21006890107848
MvSl-1064-A1-R4_A1g00726	0.762388292962724	0.164446498268509
MvSl-1064-A1-R4_A1g00246	0.00660234014232114	-0.752600799010957
MvSl-1064-A1-R4_A1g00215	0.94727959871151	-0.0697971165618184
MvSl-1064-A1-R4_A1g00165	0.781325525325965	0.134323829890753
MvSl-1064-A1-R4_A1g00481	0.00356392344130691	-1.48662111923526
MvSl-1064-A1-R4_A1g00718	0.910757322306513	-0.0659317982157765
MvSl-1064-A1-R4_A1g00254	1.17638243362788e-15	-2.16855085720261
MvSl-1064-A1-R4_A1g00359	0.022795583606956	-0.976942830465556
MvSl-1064-A1-R4_A1g00281	0.0128393604606423	-0.748838840061361
MvSl-1064-A1-R4_A1g00280	0.0236814093746382	-0.641196759835184
MvSl-1064-A1-R4_A1g00240	0.251478985129317	-0.566463921563952
MvSl-1064-A1-R4_A1g00648	0.0242200275849123	-0.659579085996833
MvSl-1064-A1-R4_A1g00492	6.14081302988504e-07	2.15896982537408
MvSl-1064-A1-R4_A1g00778	0.135781759123052	-0.518947432922779
MvSl-1064-A1-R4_A1g00779	0.487721848565085	-0.275774630214537
MvSl-1064-A1-R4_A1g01282	9.85358254561663e-28	-7.83434609810706
MvSl-1064-A1-R4_A1g00869	0.218988722696421	0.482940789353476
MvSl-1064-A1-R4_A1g00405	0.682683350327103	-0.215088232310776
MvSl-1064-A1-R4_A1g00404	0.609018570618723	-0.312508273724605
MvSl-1064-A1-R4_A1g00403	0.988555920064546	-0.00976925836868467
MvSl-1064-A1-R4_A1g00402	0.847090324893423	-0.106891009115382
MvSl-1064-A1-R4_A1g00401	0.609018570618723	-0.319952780221149
MvSl-1064-A1-R4_A1g00400	0.320345124908241	0.621942457119263
MvSl-1064-A1-R4_A1g00399	0.173272834188831	-0.62393947305762
MvSl-1064-A1-R4_A1g00398	0.809376939465744	0.162155030310464
MvSl-1064-A1-R4_A1g00397	0.499474252368581	0.339543830366966
MvSl-1064-A1-R4_A1g00396	0.976350452121761	0.0222785828322658
MvSl-1064-A1-R4_A1g00395	0.722439522618618	0.166878200383162
MvSl-1064-A1-R4_A1g00394	0.529797167038567	0.281161981863807
MvSl-1064-A1-R4_A1g00391	0.522950292851493	-0.269582409742429
MvSl-1064-A1-R4_A1g00390	0.987055722199305	0.0167680217730511
MvSl-1064-A1-R4_A1g00380	0.930919704587334	0.0550107486647522
MvSl-1064-A1-R4_A1g00379	1.15455323416543e-05	3.09605015846789
MvSl-1064-A1-R4_A1g01189	0.62900686513483	-0.214846173948652
MvSl-1064-A1-R4_A1g01376	4.86635509938005e-06	-1.17717242859966
MvSl-1064-A1-R4_A1g00624	0.680322462804294	-0.186968161125723
MvSl-1064-A1-R4_A1g00185	0.465607472564009	-0.30791723546081
MvSl-1064-A1-R4_A1g00186	0.195955258079725	0.480097005859179
MvSl-1064-A1-R4_A1g01038	0.70706074934633	-0.229577061261148
MvSl-1064-A1-R4_A1g00575	0.913948459697804	0.0661481921772601
MvSl-1064-A1-R4_A1g00576	0.940657769416374	-0.0824781154078672
MvSl-1064-A1-R4_A1g00757	0.00745935258875748	1.84061607685014
MvSl-1064-A1-R4_A1g00751	0.445363136947986	0.308216538118626
MvSl-1064-A1-R4_A1g00750	0.699231492398921	-0.219623519488439
MvSl-1064-A1-R4_A1g00594	3.18890007757881e-08	3.49115737257629
MvSl-1064-A1-R4_A1g00749	4.15889139841362e-09	1.84105818687529
MvSl-1064-A1-R4_A1g00245	0.855171118970616	0.104676771953478
MvSl-1064-A1-R4_A1g00635	3.38089378697775e-21	4.93079534812209
MvSl-1064-A1-R4_A1g00241	0.722209056229167	0.16252036298706
MvSl-1064-A1-R4_A1g00242	0.795293788843889	-0.143592157245408
MvSl-1064-A1-R4_A1g00270	0.0134093213657269	0.93342655442273
MvSl-1064-A1-R4_A1g00211	0.772525885343705	0.145908657392451
MvSl-1064-A1-R4_A1g00210	0.53723401004002	-0.252041204754081
