gene	logFC
MvSl-1064-A1-R4_A1g00073	-0.809204712641861
MvSl-1064-A1-R4_A1g00112	-5.95840826488845
MvSl-1064-A1-R4_A1g01138	-7.52377124334621
MvSl-1064-A1-R4_A1g00246	-1.02832465334654
MvSl-1064-A1-R4_A1g00718	-1.04002528310331
MvSl-1064-A1-R4_A1g00648	-0.644498367083798
MvSl-1064-A1-R4_A1g01282	-6.35116170795067
MvSl-1064-A1-R4_A1g00383	-0.985947337832548
MvSl-1064-A1-R4_A1g01376	-0.864988348327237
MvSl-1064-A1-R4_A1g01038	-2.44806442371147
MvSl-1064-A1-R4_A1g01383	-1.24019886790372
MvSl-1064-A1-R4_A1g00230	-4.43910579084493
MvSl-1064-A1-R4_A1g00745	-2.0160478506648
MvSl-1064-A1-R4_A1g01135	-1.2245430396532
MvSl-1064-A1-R4_A1g00241	-0.658064511783454
MvSl-1064-A1-R4_A1g00242	-0.637006835211749
MvSl-1064-A1-R4_A1g00326	-12.5221633376205
MvSl-1064-A1-R4_A1g01162	-5.48392608789366
MvSl-1064-A1-R4_A1g01163	-3.61451721978
MvSl-1064-A1-R4_A1g01049	-2.48793342577648
MvSl-1064-A1-R4_A1g01007	-3.32282157509227
MvSl-1064-A1-R4_A1g01021	-4.74847943372028
MvSl-1064-A1-R4_A1g00350	-0.881041070589524
MvSl-1064-A1-R4_A1g00642	-7.56716085828945
MvSl-1064-A1-R4_A1g00349	-2.54660602875889
MvSl-1064-A1-R4_A1g00546	-3.55837421623038
MvSl-1064-A1-R4_A1g01358	-1.31033751939149
MvSl-1064-A1-R4_A1g00854	-0.778284080048294
MvSl-1064-A1-R4_A1g01432	-1.19416985457912
MvSl-1064-A1-R4_A1g00956	-1.57053383508067
MvSl-1064-A1-R4_A1g00959	-2.47124190432894
MvSl-1064-A1-R4_A1g01045	-3.34931736757082
MvSl-1064-A1-R4_A1g00970	-0.874140933014803
MvSl-1064-A1-R4_A1g01220	-3.30447332160901
MvSl-1064-A1-R4_A1g00283	-4.37263564160294
MvSl-1064-A1-R4_A1g01302	-5.07218292421031
MvSl-1064-A1-R4_A1g01347	-1.10028892092118
MvSl-1064-A1-R4_A1g01127	-1.58495555821649
MvSl-1064-A1-R4_A1g00923	-1.12624344233425
MvSl-1064-A1-R4_A1g01515	-1.10211856255253
MvSl-1064-A1-R4_MC01-1g01739	-1.03907084622141
MvSl-1064-A1-R4_MC01-1g01777	-1.9126799386524
MvSl-1064-A1-R4_MC01-1g01829	-0.827097236922513
MvSl-1064-A1-R4_MC01-1g01970	-3.08164479915531
MvSl-1064-A1-R4_MC01-1g01977	-1.20674833982673
MvSl-1064-A1-R4_MC01-1g01978	-0.905219125626444
MvSl-1064-A1-R4_MC01-1g02005	-2.56008413388982
MvSl-1064-A1-R4_MC01-1g02046	-1.06543467746196
MvSl-1064-A1-R4_MC01-1g02176	-1.06776470670707
MvSl-1064-A1-R4_MC01-1g02382	-1.01284369417192
MvSl-1064-A1-R4_MC01-1g02422	-1.30358530978277
MvSl-1064-A1-R4_MC01-1g02545	-0.711811649501014
MvSl-1064-A1-R4_MC01-1g02588	-14.083452178571
MvSl-1064-A1-R4_MC01-1g02628	-0.69456778279606
MvSl-1064-A1-R4_MC01-1g02725	-1.38321837507806
MvSl-1064-A1-R4_MC01-1g02734	-1.83061590832888
MvSl-1064-A1-R4_MC01-1g02753	-1.45870798107046
MvSl-1064-A1-R4_MC01-1g02763	-0.785979806462817
MvSl-1064-A1-R4_MC01-1g02764	-0.945075522516618
MvSl-1064-A1-R4_MC01-1g02769	-1.03688165409833
MvSl-1064-A1-R4_MC01-1g02787	-1.5030814906242
MvSl-1064-A1-R4_MC01-1g02805	-1.72652828667584
MvSl-1064-A1-R4_MC01-1g02832	-3.26507170950225
MvSl-1064-A1-R4_MC01-1g02854	-0.947287744174
MvSl-1064-A1-R4_MC01-1g02885	-4.9831448686741
MvSl-1064-A1-R4_MC01-1g02912	-2.13454790535457
MvSl-1064-A1-R4_MC01-2g02957	-2.20413331053639
MvSl-1064-A1-R4_MC01-2g02970	-4.81135588072144
MvSl-1064-A1-R4_MC01-2g03005	-1.19322292463861
MvSl-1064-A1-R4_MC01-2g03006	-7.96568017893807
MvSl-1064-A1-R4_MC02g03205	-0.990674120773229
MvSl-1064-A1-R4_MC02g03229	-0.803268435711437
MvSl-1064-A1-R4_MC02g03274	-1.64342448011494
MvSl-1064-A1-R4_MC02g03288	-1.2617374840277
MvSl-1064-A1-R4_MC02g03352	-1.02671476536388
MvSl-1064-A1-R4_MC02g03366	-2.30327415295059
MvSl-1064-A1-R4_MC02g03373	-1.27162526441224
MvSl-1064-A1-R4_MC02g03374	-0.602683825589319
MvSl-1064-A1-R4_MC02g03515	-0.897413357694643
MvSl-1064-A1-R4_MC02g03565	-2.19695137283963
MvSl-1064-A1-R4_MC02g03567	-0.873897070336365
MvSl-1064-A1-R4_MC02g03579	-2.32849010327695
MvSl-1064-A1-R4_MC02g03606	-1.4072699707628
MvSl-1064-A1-R4_MC02g03617	-0.852387232919116
MvSl-1064-A1-R4_MC02g03808	-0.902210758654569
MvSl-1064-A1-R4_MC02g03891	-1.45483313413163
MvSl-1064-A1-R4_MC02g03922	-1.25615440179993
