gene	FDR
MvSl-1064-A1-R4_A1g00002	0.9557658875461
MvSl-1064-A1-R4_A1g00003	0.828954637300352
MvSl-1064-A1-R4_A1g00004	0.998600795879527
MvSl-1064-A1-R4_A1g00005	0.998600795879527
MvSl-1064-A1-R4_A1g00006	0.998600795879527
MvSl-1064-A1-R4_A1g00007	0.912461052417241
MvSl-1064-A1-R4_A1g00008	0.606461278618383
MvSl-1064-A1-R4_A1g00009	0.160404947844794
MvSl-1064-A1-R4_A1g00010	0.798841468852949
MvSl-1064-A1-R4_A1g00011	0.729357150181086
MvSl-1064-A1-R4_A1g00013	0.961927356176078
MvSl-1064-A1-R4_A1g00014	0.417598173623321
MvSl-1064-A1-R4_A1g00015	0.998600795879527
MvSl-1064-A1-R4_A1g00016	0.0065703267146942
MvSl-1064-A1-R4_A1g00017	0.39440916589231
MvSl-1064-A1-R4_A1g00019	0.998413943531211
MvSl-1064-A1-R4_A1g00020	0.998600795879527
MvSl-1064-A1-R4_A1g00021	0.000401646592628697
MvSl-1064-A1-R4_A1g00023	0.775926945188631
MvSl-1064-A1-R4_A1g00025	0.998600795879527
MvSl-1064-A1-R4_A1g00026	0.733858539403717
MvSl-1064-A1-R4_A1g00027	0.998600795879527
MvSl-1064-A1-R4_A1g00028	0.190801237152978
MvSl-1064-A1-R4_A1g00029	0.998600795879527
MvSl-1064-A1-R4_A1g00030	0.998600795879527
MvSl-1064-A1-R4_A1g00031	0.998600795879527
MvSl-1064-A1-R4_A1g00032	0.998600795879527
MvSl-1064-A1-R4_A1g00033	0.839249003483599
MvSl-1064-A1-R4_A1g00035	0.476744690774598
MvSl-1064-A1-R4_A1g00036	0.998600795879527
MvSl-1064-A1-R4_A1g00037	0.998600795879527
MvSl-1064-A1-R4_A1g00039	0.782157117113742
MvSl-1064-A1-R4_A1g00040	0.998600795879527
MvSl-1064-A1-R4_A1g00046	0.998600795879527
MvSl-1064-A1-R4_A1g00047	0.998600795879527
MvSl-1064-A1-R4_A1g00048	0.998600795879527
MvSl-1064-A1-R4_A1g00049	0.998600795879527
MvSl-1064-A1-R4_A1g00050	0.912461052417241
MvSl-1064-A1-R4_A1g00051	0.270530040159408
MvSl-1064-A1-R4_A1g00052	0.998600795879527
MvSl-1064-A1-R4_A1g00053	0.998600795879527
MvSl-1064-A1-R4_A1g00054	0.992166211285786
MvSl-1064-A1-R4_A1g00055	0.414462769478966
MvSl-1064-A1-R4_A1g00056	0.998600795879527
MvSl-1064-A1-R4_A1g00057	0.998600795879527
