gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00002	-0.227257648557907	0.9557658875461
2	MvSl-1064-A1-R4_A1g00004	-0.0927689874889056	0.998600795879527
3	MvSl-1064-A1-R4_A1g00005	-0.0595055716120114	0.998600795879527
4	MvSl-1064-A1-R4_A1g00006	0.00407829343656082	0.998600795879527
5	MvSl-1064-A1-R4_A1g00007	0.210191552043718	0.912461052417241
6	MvSl-1064-A1-R4_A1g00008	0.432754166754119	0.606461278618383
7	MvSl-1064-A1-R4_A1g00009	0.705685541179736	0.160404947844794
8	MvSl-1064-A1-R4_A1g00010	0.544212016680184	0.798841468852949
9	MvSl-1064-A1-R4_A1g00011	0.63102018867722	0.729357150181086
10	MvSl-1064-A1-R4_A1g00013	0.167813006494559	0.961927356176078
11	MvSl-1064-A1-R4_A1g00014	-0.863818255483603	0.417598173623321
12	MvSl-1064-A1-R4_A1g00015	-0.193882627506699	0.998600795879527
13	MvSl-1064-A1-R4_A1g00017	-0.895437015171932	0.39440916589231
14	MvSl-1064-A1-R4_A1g00019	-0.280128288989239	0.998413943531211
15	MvSl-1064-A1-R4_A1g00020	-0.0621845250210081	0.998600795879527
16	MvSl-1064-A1-R4_A1g00023	0.716964430152288	0.775926945188631
17	MvSl-1064-A1-R4_A1g00025	-0.205040134436637	0.998600795879527
18	MvSl-1064-A1-R4_A1g00026	-0.361746430441253	0.733858539403717
19	MvSl-1064-A1-R4_A1g00027	-0.137090041124283	0.998600795879527
20	MvSl-1064-A1-R4_A1g00028	-0.759345482109964	0.190801237152978
21	MvSl-1064-A1-R4_A1g00029	-0.033634216842391	0.998600795879527
22	MvSl-1064-A1-R4_A1g00030	0.09262420405755	0.998600795879527
23	MvSl-1064-A1-R4_A1g00031	-0.141193133940238	0.998600795879527
24	MvSl-1064-A1-R4_A1g00032	0.0608790739114701	0.998600795879527
25	MvSl-1064-A1-R4_A1g00033	-0.287809225854135	0.839249003483599
26	MvSl-1064-A1-R4_A1g00035	0.425698669744822	0.476744690774598
27	MvSl-1064-A1-R4_A1g00036	0.00362834918084528	0.998600795879527
28	MvSl-1064-A1-R4_A1g00037	0.136470800226401	0.998600795879527
29	MvSl-1064-A1-R4_A1g00039	0.297121865584542	0.782157117113742
30	MvSl-1064-A1-R4_A1g00040	-0.208871205890109	0.998600795879527
31	MvSl-1064-A1-R4_A1g00046	0.170485379441905	0.998600795879527
32	MvSl-1064-A1-R4_A1g00047	0.0980970533220033	0.998600795879527
33	MvSl-1064-A1-R4_A1g00048	0.00756273225322242	0.998600795879527
34	MvSl-1064-A1-R4_A1g00049	0.0158359986785439	0.998600795879527
35	MvSl-1064-A1-R4_A1g00050	-0.305137639119298	0.912461052417241
36	MvSl-1064-A1-R4_A1g00051	0.5236680346042	0.270530040159408
37	MvSl-1064-A1-R4_A1g00052	-0.232895602927233	0.998600795879527
38	MvSl-1064-A1-R4_A1g00053	0.0850050090740297	0.998600795879527
39	MvSl-1064-A1-R4_A1g00054	-0.264704627520615	0.992166211285786
40	MvSl-1064-A1-R4_A1g00055	-0.466161376046589	0.414462769478966
41	MvSl-1064-A1-R4_A1g00056	0.139922484481874	0.998600795879527
42	MvSl-1064-A1-R4_A1g00057	-0.0524957899353082	0.998600795879527
43	MvSl-1064-A1-R4_A1g00058	0.956543691612412	0.495144953840862
44	MvSl-1064-A1-R4_A1g00059	0.000565080147589086	0.999676960305752
