gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00002	0.224918017506058	0.894359344119026
2	MvSl-1064-A1-R4_A1g00004	0.0886848049719743	0.985901749404726
3	MvSl-1064-A1-R4_A1g00005	0.0560988252323343	0.99411873206084
4	MvSl-1064-A1-R4_A1g00006	-0.00654596756756275	0.998642411195443
5	MvSl-1064-A1-R4_A1g00007	-0.214983330633015	0.84456895731971
6	MvSl-1064-A1-R4_A1g00008	-0.437556219221664	0.516209593278383
7	MvSl-1064-A1-R4_A1g00009	-0.71027715637545	0.112171799750283
8	MvSl-1064-A1-R4_A1g00010	0.780217890857848	0.253095239416429
9	MvSl-1064-A1-R4_A1g00011	-0.660330194353422	0.594494585777844
10	MvSl-1064-A1-R4_A1g00013	0.326768715932159	0.450619971663127
11	MvSl-1064-A1-R4_A1g00017	0.892397145356718	0.305829222862687
12	MvSl-1064-A1-R4_A1g00019	0.421377213888782	0.784992939659951
13	MvSl-1064-A1-R4_A1g00020	0.210682959482932	0.97154707270973
14	MvSl-1064-A1-R4_A1g00021	0.185222138473702	0.907867112553074
15	MvSl-1064-A1-R4_A1g00023	-0.875527235224229	0.464320990838883
16	MvSl-1064-A1-R4_A1g00024	0.63328511550557	0.171184061427437
17	MvSl-1064-A1-R4_A1g00025	-0.0165972109724761	0.998642411195443
18	MvSl-1064-A1-R4_A1g00026	0.479912601717086	0.368816383376966
19	MvSl-1064-A1-R4_A1g00027	0.13439230007871	0.992467723800383
20	MvSl-1064-A1-R4_A1g00028	0.431545651012123	0.401994110288677
21	MvSl-1064-A1-R4_A1g00031	0.138338157868816	0.978494783007304
22	MvSl-1064-A1-R4_A1g00032	-0.0633095681523215	0.997040019327081
23	MvSl-1064-A1-R4_A1g00033	0.285236350802772	0.772127405356971
24	MvSl-1064-A1-R4_A1g00035	-0.42917756025524	0.373089077642474
25	MvSl-1064-A1-R4_A1g00036	-0.00616493480789572	0.998642411195443
26	MvSl-1064-A1-R4_A1g00037	-0.14040169295608	0.970015221514953
27	MvSl-1064-A1-R4_A1g00039	-0.299823566372601	0.698856789649881
28	MvSl-1064-A1-R4_A1g00040	0.206124112678382	0.980093106249032
29	MvSl-1064-A1-R4_A1g00046	-0.172886869707539	0.962356917075835
30	MvSl-1064-A1-R4_A1g00047	-0.111515451272395	0.984513825274284
31	MvSl-1064-A1-R4_A1g00048	-0.00890591771902655	0.998642411195443
32	MvSl-1064-A1-R4_A1g00049	-0.0168577934496934	0.997957093475357
33	MvSl-1064-A1-R4_A1g00050	0.302236885758434	0.849727881712654
34	MvSl-1064-A1-R4_A1g00051	-0.526652662363511	0.207581777228385
35	MvSl-1064-A1-R4_A1g00052	0.230622557472596	0.980064688477911
36	MvSl-1064-A1-R4_A1g00053	-0.087931636004024	0.986692492124458
37	MvSl-1064-A1-R4_A1g00054	0.26230267905856	0.948442277087156
38	MvSl-1064-A1-R4_A1g00055	0.460353499841755	0.334543782322939
39	MvSl-1064-A1-R4_A1g00056	-0.142777492429774	0.973429797831959
40	MvSl-1064-A1-R4_A1g00057	0.0497993270191533	0.997957093475357
41	MvSl-1064-A1-R4_A1g00058	-0.959304878994576	0.376964076407276
42	MvSl-1064-A1-R4_A1g00059	-0.00339543632574101	0.999122138017693
43	MvSl-1064-A1-R4_A1g00060	-0.15438258530498	0.98968002833215
44	MvSl-1064-A1-R4_A1g00061	-0.166437653499019	0.898798133290778
45	MvSl-1064-A1-R4_A1g00062	0.154028635649169	0.931180149036695
46	MvSl-1064-A1-R4_A1g00063	-0.0670224270236296	0.993546682353884
47	MvSl-1064-A1-R4_A1g00064	0.171149163179571	0.939745087092246
