gene	FDR	logFC
MvSl-1064-A1-R4_A1g00002	0.92532192151497	0.229671835438926
MvSl-1064-A1-R4_A1g00004	0.993528898269249	0.0938594964180604
MvSl-1064-A1-R4_A1g00005	0.9999499217523	0.0611322118738889
MvSl-1064-A1-R4_A1g00006	0.9999499217523	-0.00143316706248552
MvSl-1064-A1-R4_A1g00007	0.898238152767885	-0.209759380503603
MvSl-1064-A1-R4_A1g00008	0.58254490237592	-0.432955455167697
MvSl-1064-A1-R4_A1g00009	0.136338273572717	-0.705217972738376
MvSl-1064-A1-R4_A1g00010	0.281932917648396	0.785609424034767
MvSl-1064-A1-R4_A1g00013	0.482892360004799	0.331950935790617
MvSl-1064-A1-R4_A1g00014	1.40154314366982e-05	-1.64774375649811
MvSl-1064-A1-R4_A1g00015	1.4191088107024e-13	-2.42129815562364
MvSl-1064-A1-R4_A1g00016	5.81637136663316e-08	-2.67197280147795
MvSl-1064-A1-R4_A1g00017	0.337911733784089	0.898515206004783
MvSl-1064-A1-R4_A1g00019	0.822900113383786	0.427156680658319
MvSl-1064-A1-R4_A1g00021	0.935167005731389	0.190013271726407
MvSl-1064-A1-R4_A1g00023	0.522740713060864	-0.871091372473289
MvSl-1064-A1-R4_A1g00024	0.186429362920325	0.637897266063426
MvSl-1064-A1-R4_A1g00025	0.9999499217523	-0.0112261796390811
MvSl-1064-A1-R4_A1g00026	0.401730443402629	0.485450892262096
MvSl-1064-A1-R4_A1g00028	0.423674698966433	0.436824572510979
MvSl-1064-A1-R4_A1g00029	1.88075239987586e-84	4.98899395461794
MvSl-1064-A1-R4_A1g00030	4.35506027118814e-28	2.63788847215524
MvSl-1064-A1-R4_A1g00031	0.993007797927194	0.14428874446757
MvSl-1064-A1-R4_A1g00032	0.9999499217523	-0.0582554515038039
MvSl-1064-A1-R4_A1g00033	0.801997470448847	0.290462863667827
MvSl-1064-A1-R4_A1g00035	0.422873419614606	-0.424209879592128
MvSl-1064-A1-R4_A1g00036	0.9999499217523	-0.00104087327709181
MvSl-1064-A1-R4_A1g00037	0.993007797927194	-0.13506736788456
MvSl-1064-A1-R4_A1g00039	0.764211794254581	-0.294988642005303
MvSl-1064-A1-R4_A1g00040	0.993007797927194	0.211689929518908
MvSl-1064-A1-R4_A1g00046	0.989914144654795	-0.167998148724177
MvSl-1064-A1-R4_A1g00047	0.9999499217523	-0.106373770719188
MvSl-1064-A1-R4_A1g00048	0.9999499217523	-0.00377303250601446
MvSl-1064-A1-R4_A1g00049	0.9999499217523	-0.0113282060424346
MvSl-1064-A1-R4_A1g00050	0.88702443022276	0.307636600659134
MvSl-1064-A1-R4_A1g00051	0.247880851632075	-0.521803824936771
MvSl-1064-A1-R4_A1g00052	0.993007797927194	0.234775283060621
MvSl-1064-A1-R4_A1g00053	0.9999499217523	-0.0829587643509224
MvSl-1064-A1-R4_A1g00054	0.975879371094849	0.266858021188327
MvSl-1064-A1-R4_A1g00055	0.361530277250963	0.465758998330972
MvSl-1064-A1-R4_A1g00056	0.993007797927194	-0.137229583787185
MvSl-1064-A1-R4_A1g00057	0.9999499217523	0.0550845417449379
MvSl-1064-A1-R4_A1g00058	0.425210499153831	-0.954050107798131
MvSl-1064-A1-R4_A1g00059	0.9999499217523	0.00203833567129206
MvSl-1064-A1-R4_A1g00060	0.9999499217523	-0.148656285712594
MvSl-1064-A1-R4_A1g00061	0.94433655071454	-0.161410320698012
MvSl-1064-A1-R4_A1g00062	0.95483548806377	0.158931977379066
MvSl-1064-A1-R4_A1g00063	0.9999499217523	-0.0618885855726578
MvSl-1064-A1-R4_A1g00064	0.968252113582761	0.176179425088168
MvSl-1064-A1-R4_A1g00065	0.757967536264617	-0.254011220337958
MvSl-1064-A1-R4_A1g00066	0.9999499217523	-0.0171489516629536
MvSl-1064-A1-R4_A1g00067	0.993007797927194	0.226069090285925
MvSl-1064-A1-R4_A1g00068	0.930761766663468	0.417722846566229
MvSl-1064-A1-R4_A1g00069	0.816470775178212	0.262994687900466
MvSl-1064-A1-R4_A1g00070	0.523187984353196	-0.335137522534514
MvSl-1064-A1-R4_A1g00071	0.416053140115243	-0.507412605320405
MvSl-1064-A1-R4_A1g00072	0.9999499217523	-0.101394529961486
MvSl-1064-A1-R4_A1g00073	0.0257436078515382	0.81147763696156
MvSl-1064-A1-R4_A1g00074	0.401730443402629	-0.556269442876985
MvSl-1064-A1-R4_A1g00076	0.9999499217523	0.0458653390854888
MvSl-1064-A1-R4_A1g00077	0.9999499217523	-0.0468506162955282
MvSl-1064-A1-R4_A1g00078	0.00205611794928002	-0.993002655877421
MvSl-1064-A1-R4_A1g00079	3.79183393154517e-08	-1.64669364938284
MvSl-1064-A1-R4_A1g00080	2.48887108281164e-08	-1.36763053925464
MvSl-1064-A1-R4_A1g00081	4.516611910044e-26	-2.76441324922341
MvSl-1064-A1-R4_A1g00106	0.0375718222056164	1.29735483166464
MvSl-1064-A1-R4_A1g00108	0.759104735398055	-0.318077290087634
MvSl-1064-A1-R4_A1g00109	0.985538073668086	-0.14434256784896
MvSl-1064-A1-R4_A1g00110	0.881068661006142	0.241287932782269
MvSl-1064-A1-R4_A1g00113	0.9999499217523	-0.0750357517154855
MvSl-1064-A1-R4_A1g00367	0.328427608083673	-0.553218187916693
MvSl-1064-A1-R4_A1g00368	0.9999499217523	-0.0435655280903146
MvSl-1064-A1-R4_A1g00369	0.9999499217523	-0.0864628960453616
MvSl-1064-A1-R4_A1g00370	0.9999499217523	0.0162113119584387
MvSl-1064-A1-R4_A1g00371	0.885412864265265	-0.196176703334668
MvSl-1064-A1-R4_A1g00372	0.944737247660336	0.168740361977577
MvSl-1064-A1-R4_A1g00373	0.733962222330366	0.31210241525266
MvSl-1064-A1-R4_A1g00374	0.993007797927194	0.129086182807544
MvSl-1064-A1-R4_A1g00375	0.9999499217523	0.0581679281700053
MvSl-1064-A1-R4_A1g01392	0.881068661006142	-0.243712596807346
MvSl-1064-A1-R4_A1g01393	0.325370750343271	0.3978728000702
MvSl-1064-A1-R4_A1g00209	0.976188213737989	0.161720777245257
MvSl-1064-A1-R4_A1g01415	0.331759086801752	0.399820179775075
MvSl-1064-A1-R4_A1g00290	0.935410770781451	0.178481472753225
