gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00029	4.98899395461794	1.88075239987586e-84
2	MvSl-1064-A1-R4_A1g00030	2.63788847215524	4.35506027118814e-28
3	MvSl-1064-A1-R4_A1g00073	0.81147763696156	0.0257436078515382
4	MvSl-1064-A1-R4_A1g00106	1.29735483166464	0.0375718222056164
5	MvSl-1064-A1-R4_A1g01138	2.36543372638174	7.43825580824814e-20
6	MvSl-1064-A1-R4_A1g00246	1.48992197456472	1.02824619661979e-13
7	MvSl-1064-A1-R4_A1g00481	1.42978111118687	0.000511192216322105
8	MvSl-1064-A1-R4_A1g00718	1.04223984140124	0.00101330417756421
9	MvSl-1064-A1-R4_A1g00648	0.646589945723975	0.0115195314296969
10	MvSl-1064-A1-R4_A1g00779	0.677992554798653	0.0208014936563317
11	MvSl-1064-A1-R4_A1g00383	1.95826132639452	3.7717007227465e-05
12	MvSl-1064-A1-R4_A1g01375	0.846875735749152	0.0101112326068359
13	MvSl-1064-A1-R4_A1g01376	0.760387736827012	0.0186550824344956
14	MvSl-1064-A1-R4_A1g01383	1.91842935122488	1.27363234231882e-15
15	MvSl-1064-A1-R4_A1g00230	1.40267274639202	1.31808245661592e-07
16	MvSl-1064-A1-R4_A1g00745	1.86815355489501	2.95250533409837e-15
17	MvSl-1064-A1-R4_A1g01135	0.91701978600882	0.000281898969270758
18	MvSl-1064-A1-R4_A1g00242	0.6678946204786	0.0155764839777787
19	MvSl-1064-A1-R4_A1g01418	3.35122140360322	4.49841503110428e-17
20	MvSl-1064-A1-R4_A1g01290	1.44812184917338	9.03887829152261e-10
21	MvSl-1064-A1-R4_A1g01288	1.13732798221784	3.26411375544663e-05
22	MvSl-1064-A1-R4_A1g01162	5.63900876461223	2.0087048181123e-23
23	MvSl-1064-A1-R4_A1g01163	3.61722515080325	9.85348293186247e-28
24	MvSl-1064-A1-R4_A1g01049	0.997497082781669	7.38369321202038e-05
25	MvSl-1064-A1-R4_A1g00542	1.13599045279167	1.67362009077839e-06
26	MvSl-1064-A1-R4_A1g01007	3.10020839186857	1.6573121565107e-30
27	MvSl-1064-A1-R4_A1g01021	4.38716507976427	4.99929122267563e-09
28	MvSl-1064-A1-R4_A1g00350	0.902069080948187	0.0129753770663361
29	MvSl-1064-A1-R4_A1g00642	5.10281698205399	2.25557705464077e-94
30	MvSl-1064-A1-R4_A1g00349	2.44834575616446	8.58419690303687e-09
31	MvSl-1064-A1-R4_A1g00854	0.751578847712186	0.00685326054723919
32	MvSl-1064-A1-R4_A1g01432	1.19652808975305	0.000311293259367985
33	MvSl-1064-A1-R4_A1g00970	0.874880084523172	0.000192240811273027
34	MvSl-1064-A1-R4_A1g01220	3.39666455070441	4.64103050047977e-50
35	MvSl-1064-A1-R4_A1g00283	4.44953500383191	2.15856187917502e-36
36	MvSl-1064-A1-R4_A1g01302	6.30718683106387	2.06179650553882e-102
37	MvSl-1064-A1-R4_A1g01347	1.10200975814097	2.29177908273036e-07
38	MvSl-1064-A1-R4_A1g00923	1.12518111491411	0.00214846464273549
39	MvSl-1064-A1-R4_A1g00929	1.83408372147673	0.00287546441178902
40	MvSl-1064-A1-R4_A1g00118	1.36697613927196	1.45015385203846e-07
41	MvSl-1064-A1-R4_A1g01459	5.48360974426558	2.35303203860169e-12
42	MvSl-1064-A1-R4_MC06g07032	2.95217856373984	2.5157303380368e-10
43	MvSl-1064-A1-R4_MC06g07033	1.35701394868753	0.000126659999125437
44	MvSl-1064-A1-R4_MC01-1g01722	1.5775948886523	0.00401261645330755
45	MvSl-1064-A1-R4_MC01-1g01740	0.895446107542376	0.0375783348883176
46	MvSl-1064-A1-R4_MC01-1g01777	1.69655926134731	0.00426975519291838
47	MvSl-1064-A1-R4_MC01-1g01783	3.17905727678028	3.21492515625113e-09
48	MvSl-1064-A1-R4_MC01-1g01827	1.98851460250994	6.98411194174521e-10
49	MvSl-1064-A1-R4_MC01-1g01829	0.721753446305824	0.0196956419880545
50	MvSl-1064-A1-R4_MC01-1g01917	0.686271397975776	0.0133423131521317
51	MvSl-1064-A1-R4_MC01-1g01975	1.83145412408088	3.95654213578708e-11
52	MvSl-1064-A1-R4_MC01-1g01978	2.10500970635389	5.28223997092317e-14
53	MvSl-1064-A1-R4_MC01-1g01992	0.782766935310449	0.00774428236757441
54	MvSl-1064-A1-R4_MC01-1g02004	4.1683417427872	6.08704529297981e-17
55	MvSl-1064-A1-R4_MC01-1g02007	0.729014746769918	0.0387790254423892
56	MvSl-1064-A1-R4_MC01-1g02022	1.68438405775345	1.39192396752299e-05
57	MvSl-1064-A1-R4_MC01-1g02046	1.06833938990692	0.0101964082820823
58	MvSl-1064-A1-R4_MC01-1g02186	0.865460841444836	0.0068366345019444
59	MvSl-1064-A1-R4_MC01-1g02207	8.9328948771329	4.57159620949424e-07
60	MvSl-1064-A1-R4_MC01-1g02258	0.709559331164834	0.0293243400949418
61	MvSl-1064-A1-R4_MC01-1g02327	1.30208939348291	2.72885817356967e-05
62	MvSl-1064-A1-R4_MC01-1g02352	1.31388111209048	0.0205045321043697
63	MvSl-1064-A1-R4_MC01-1g02353	1.00210006312558	0.048619332170924
64	MvSl-1064-A1-R4_MC01-1g02382	1.01560034918587	0.0325314483476002
65	MvSl-1064-A1-R4_MC01-1g02398	1.47762746999123	0.000148119270768661
66	MvSl-1064-A1-R4_MC01-1g02419	1.58694582985597	0.0143177509159297
67	MvSl-1064-A1-R4_MC01-1g02422	1.30680223868804	0.0187615643800613
68	MvSl-1064-A1-R4_MC01-1g02440	1.36113381866955	0.0141932733243499
69	MvSl-1064-A1-R4_MC01-1g02509	0.92421790990648	0.0360596071256762
70	MvSl-1064-A1-R4_MC01-1g02511	1.26949428482688	0.0217314486041584
71	MvSl-1064-A1-R4_MC01-1g02545	0.713898684232401	0.0245993064821921
72	MvSl-1064-A1-R4_MC01-1g02647	0.68443681700071	0.0432734529952491
73	MvSl-1064-A1-R4_MC01-1g02686	1.06794888052148	0.00381217137815909
74	MvSl-1064-A1-R4_MC01-1g02725	1.20674615755228	0.000228581094452376
