gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00014	-1.64774375649811	1.40154314366982e-05
2	MvSl-1064-A1-R4_A1g00015	-2.42129815562364	1.4191088107024e-13
3	MvSl-1064-A1-R4_A1g00016	-2.67197280147795	5.81637136663316e-08
4	MvSl-1064-A1-R4_A1g00078	-0.993002655877421	0.00205611794928002
5	MvSl-1064-A1-R4_A1g00079	-1.64669364938284	3.79183393154517e-08
6	MvSl-1064-A1-R4_A1g00080	-1.36763053925464	2.48887108281164e-08
7	MvSl-1064-A1-R4_A1g00081	-2.76441324922341	4.516611910044e-26
8	MvSl-1064-A1-R4_A1g01253	-0.854931712843268	0.00119310903396382
9	MvSl-1064-A1-R4_A1g00591	-4.27235892354258	1.34920888459774e-22
10	MvSl-1064-A1-R4_A1g00165	-0.801032568165435	0.00126035619861089
11	MvSl-1064-A1-R4_A1g00254	-1.92950017001683	1.51041462399921e-10
12	MvSl-1064-A1-R4_A1g00168	-1.4202378459564	0.00204172880980919
13	MvSl-1064-A1-R4_A1g00400	-1.08040559519985	0.00340559958367567
14	MvSl-1064-A1-R4_A1g00624	-0.708893365785996	0.00254142668938075
15	MvSl-1064-A1-R4_A1g00752	-5.75445442507586	2.69075766462566e-40
16	MvSl-1064-A1-R4_A1g00594	-1.83591027063648	5.02032831839893e-11
17	MvSl-1064-A1-R4_A1g00635	-1.41265676128806	0.00127281888807657
18	MvSl-1064-A1-R4_A1g00270	-1.16855811383242	7.28004103618773e-06
19	MvSl-1064-A1-R4_A1g00269	-4.21628927073878	1.55823778550198e-58
20	MvSl-1064-A1-R4_A1g00763	-4.02943388936938	1.77133261116009e-08
21	MvSl-1064-A1-R4_A1g00292	-0.906844921508254	0.000186341774746048
22	MvSl-1064-A1-R4_A1g01404	-5.51666392412234	4.07716679746677e-29
23	MvSl-1064-A1-R4_A1g01137	-0.592036628840566	0.0300202189283334
24	MvSl-1064-A1-R4_A1g01212	-1.9167595748157	1.23112890127639e-05
25	MvSl-1064-A1-R4_A1g00522	-4.65590890937119	1.02545929083173e-14
26	MvSl-1064-A1-R4_A1g00668	-5.71187301790625	3.68234197132242e-93
27	MvSl-1064-A1-R4_A1g00312	-3.60166226454205	3.71180010753696e-33
28	MvSl-1064-A1-R4_A1g00644	-1.30657523459233	2.99543924607639e-06
29	MvSl-1064-A1-R4_A1g00853	-1.48730140148375	2.29777669832445e-13
30	MvSl-1064-A1-R4_A1g01384	-0.94779204512888	0.000134121044847088
31	MvSl-1064-A1-R4_A1g00628	-3.01880858862758	3.11371687062314e-35
32	MvSl-1064-A1-R4_A1g00997	-3.50937828864906	4.40237766617056e-52
33	MvSl-1064-A1-R4_A1g00958	-0.561034723857785	0.0445608658066426
34	MvSl-1064-A1-R4_A1g00972	-1.73438167108415	1.57959228426329e-13
35	MvSl-1064-A1-R4_A1g00252	-3.1475066999698	3.31507876333609e-10
36	MvSl-1064-A1-R4_A1g01174	-1.34368868293586	5.2570829858179e-09
37	MvSl-1064-A1-R4_A1g01261	-2.18867754788844	1.88153515819762e-10
38	MvSl-1064-A1-R4_A1g00154	-0.909654782320044	0.00128607200560506
39	MvSl-1064-A1-R4_A1g00626	-1.25464439893052	0.00214385403047395
40	MvSl-1064-A1-R4_A1g00516	-0.952952225932099	0.00443054986862088
41	MvSl-1064-A1-R4_A1g00646	-1.50637324148735	5.46438114594855e-08
42	MvSl-1064-A1-R4_A1g01164	-0.782988706147172	0.0273754037355871
43	MvSl-1064-A1-R4_A1g00977	-3.06503397882804	5.89131029204738e-39
44	MvSl-1064-A1-R4_A1g00448	-2.20089345654378	2.24594148725262e-23
45	MvSl-1064-A1-R4_A1g00495	-1.95293058806368	1.65444688984345e-21
46	MvSl-1064-A1-R4_A1g01493	-2.93002396848639	5.14749155680281e-05
47	MvSl-1064-A1-R4_A1g01494	-0.924508323456817	0.00295677454631206
48	MvSl-1064-A1-R4_MC09-2g09580	-1.35916818538271	3.26411375544663e-05
49	MvSl-1064-A1-R4_MC01-1g01699	-1.31958321757356	2.37439279455578e-08
50	MvSl-1064-A1-R4_MC01-1g01952	-0.60724426053151	0.0288139238899317
51	MvSl-1064-A1-R4_MC01-1g02005	-1.56253053637214	4.42214210265064e-10
52	MvSl-1064-A1-R4_MC01-1g02008	-1.07063334862245	0.0233931310047989
53	MvSl-1064-A1-R4_MC01-1g02009	-0.883746689992225	0.0280049569344957
54	MvSl-1064-A1-R4_MC01-1g02082	-1.78206289246969	2.38052286679653e-12
55	MvSl-1064-A1-R4_MC01-1g02161	-1.61238921104966	0.000997114225253637
56	MvSl-1064-A1-R4_MC01-1g02180	-1.01967686379668	0.00774379078658961
57	MvSl-1064-A1-R4_MC01-1g02267	-0.991272367029161	0.0186747407335435
58	MvSl-1064-A1-R4_MC01-1g02299	-0.871000447370762	0.0277454556945056
59	MvSl-1064-A1-R4_MC01-1g02347	-3.64365361394245	7.76745444761391e-19
60	MvSl-1064-A1-R4_MC01-1g02351	-0.69166359131221	0.0498786030909701
61	MvSl-1064-A1-R4_MC01-1g02359	-1.09547034512489	0.0012663834029678
62	MvSl-1064-A1-R4_MC01-1g02603	-0.994476218620095	0.0266905186559158
63	MvSl-1064-A1-R4_MC01-1g02724	-1.49633329111919	0.0144442451659525
64	MvSl-1064-A1-R4_MC01-1g02828	-3.85726996307054	1.41011475373695e-08
65	MvSl-1064-A1-R4_MC01-1g02837	-1.87684873364298	7.93152520733208e-08
66	MvSl-1064-A1-R4_MC01-1g02838	-0.88505480025868	0.00650111944874978
67	MvSl-1064-A1-R4_MC01-1g02839	-1.6714225908978	9.82448245947701e-08
68	MvSl-1064-A1-R4_MC01-1g02848	-0.704662555742945	0.0169048707640578
69	MvSl-1064-A1-R4_MC01-1g02849	-0.916923322618459	0.00238198279182889
70	MvSl-1064-A1-R4_MC01-1g02852	-1.69385588497475	1.63819566293234e-09
71	MvSl-1064-A1-R4_MC01-1g02857	-5.47851614157306	5.23525740407649e-15
72	MvSl-1064-A1-R4_MC01-1g02861	-1.84242984238371	1.46298258946934e-13
73	MvSl-1064-A1-R4_MC01-1g02899	-1.51286852598415	0.000665916562467583
74	MvSl-1064-A1-R4_MC01-2g02971	-1.62420769152516	0.000328081130018404
75	MvSl-1064-A1-R4_MC01-2g03112	-0.753072656932437	0.0335886164734171
76	MvSl-1064-A1-R4_MC01-2g03113	-1.19090281723685	0.0034816859053912
