gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00029	-4.46820652412741	1.42693261645369e-71
2	MvSl-1064-A1-R4_A1g00030	-2.46263390264241	1.4514164033332e-20
3	MvSl-1064-A1-R4_A1g00073	-0.810212418627011	0.0260782831812603
4	MvSl-1064-A1-R4_A1g00106	-1.3508134492233	0.0311101822512599
5	MvSl-1064-A1-R4_A1g01138	-2.26972011643707	4.22612026739936e-18
6	MvSl-1064-A1-R4_A1g00246	-1.48893629313546	6.63449284099759e-14
7	MvSl-1064-A1-R4_A1g00481	-1.39989375450217	0.000418259495711362
8	MvSl-1064-A1-R4_A1g00718	-1.04235466452776	0.00105998021276026
9	MvSl-1064-A1-R4_A1g00648	-0.645400101062765	0.0106185939006854
10	MvSl-1064-A1-R4_A1g00779	-0.676824120603478	0.0204467647803667
11	MvSl-1064-A1-R4_A1g00383	-1.95703825511057	3.70259941173355e-05
12	MvSl-1064-A1-R4_A1g01375	-0.845716938890584	0.00951522628171806
13	MvSl-1064-A1-R4_A1g01376	-0.757935422266271	0.0198741909619382
14	MvSl-1064-A1-R4_A1g01383	-2.01530297508752	2.36587567541996e-17
15	MvSl-1064-A1-R4_A1g00230	-1.40145900914562	1.72812909841195e-07
16	MvSl-1064-A1-R4_A1g00745	-1.86536212095401	2.33738935930599e-15
17	MvSl-1064-A1-R4_A1g01135	-0.915849624967911	0.000317778201211548
18	MvSl-1064-A1-R4_A1g00242	-0.666681514357707	0.0152409517683674
19	MvSl-1064-A1-R4_A1g01418	-3.36761204103238	1.59931520253768e-17
20	MvSl-1064-A1-R4_A1g01290	-1.44696167229821	1.07133790673337e-09
21	MvSl-1064-A1-R4_A1g01288	-1.13661804441691	3.79623787834147e-05
22	MvSl-1064-A1-R4_A1g01162	-5.63774460326955	4.58206828267769e-23
23	MvSl-1064-A1-R4_A1g01163	-3.61603735036725	1.28560647441792e-27
24	MvSl-1064-A1-R4_A1g01049	-1.09696654191944	1.92976137715068e-06
25	MvSl-1064-A1-R4_A1g00542	-1.13479427273306	2.09319910917203e-06
26	MvSl-1064-A1-R4_A1g01007	-1.90097821166231	4.78275320020078e-16
27	MvSl-1064-A1-R4_A1g01021	-4.42841116163052	9.39261468624415e-09
28	MvSl-1064-A1-R4_A1g00350	-0.898620869017764	0.0122298188137713
29	MvSl-1064-A1-R4_A1g00642	-5.09383279879449	4.30454801173921e-94
30	MvSl-1064-A1-R4_A1g00349	-2.41087060305327	6.79099431350049e-09
31	MvSl-1064-A1-R4_A1g00546	-1.02711067355372	0.000124869869378893
32	MvSl-1064-A1-R4_A1g00854	-0.750350506324645	0.00684878908811808
33	MvSl-1064-A1-R4_A1g01432	-1.19525602396892	0.000355908239075585
34	MvSl-1064-A1-R4_A1g00970	-0.873741349287244	0.000181212044504172
35	MvSl-1064-A1-R4_A1g01220	-3.39558471733821	4.62115809059765e-51
36	MvSl-1064-A1-R4_A1g00283	-4.2475912250078	3.91284386144822e-40
37	MvSl-1064-A1-R4_A1g01302	-6.30594239681322	1.67269433645739e-101
38	MvSl-1064-A1-R4_A1g01347	-1.10081975349252	2.13088887609067e-07
39	MvSl-1064-A1-R4_A1g00923	-1.0687360914731	0.00294386093775047
40	MvSl-1064-A1-R4_A1g00929	-1.85289297884508	0.00303919022816684
41	MvSl-1064-A1-R4_A1g00118	-1.3977240951907	4.37137949317746e-08
42	MvSl-1064-A1-R4_A1g01459	-5.49521577748554	6.82564578962886e-12
43	MvSl-1064-A1-R4_MC06g07032	-2.92919738673231	3.64271074014689e-10
44	MvSl-1064-A1-R4_MC06g07033	-1.34742079331202	0.000155718812185381
45	MvSl-1064-A1-R4_MC01-1g01722	-1.60119010819959	0.00419115906814958
46	MvSl-1064-A1-R4_MC01-1g01740	-0.894281225063045	0.0354016730798936
