gene	logFC
MvSl-1064-A1-R4_A1g00029	-4.46820652412741
MvSl-1064-A1-R4_A1g00030	-2.46263390264241
MvSl-1064-A1-R4_A1g00073	-0.810212418627011
MvSl-1064-A1-R4_A1g00106	-1.3508134492233
MvSl-1064-A1-R4_A1g01138	-2.26972011643707
MvSl-1064-A1-R4_A1g00246	-1.48893629313546
MvSl-1064-A1-R4_A1g00481	-1.39989375450217
MvSl-1064-A1-R4_A1g00718	-1.04235466452776
MvSl-1064-A1-R4_A1g00648	-0.645400101062765
MvSl-1064-A1-R4_A1g00779	-0.676824120603478
MvSl-1064-A1-R4_A1g00383	-1.95703825511057
MvSl-1064-A1-R4_A1g01375	-0.845716938890584
MvSl-1064-A1-R4_A1g01376	-0.757935422266271
MvSl-1064-A1-R4_A1g01383	-2.01530297508752
MvSl-1064-A1-R4_A1g00230	-1.40145900914562
MvSl-1064-A1-R4_A1g00745	-1.86536212095401
MvSl-1064-A1-R4_A1g01135	-0.915849624967911
MvSl-1064-A1-R4_A1g00242	-0.666681514357707
MvSl-1064-A1-R4_A1g01418	-3.36761204103238
MvSl-1064-A1-R4_A1g01290	-1.44696167229821
MvSl-1064-A1-R4_A1g01288	-1.13661804441691
MvSl-1064-A1-R4_A1g01162	-5.63774460326955
MvSl-1064-A1-R4_A1g01163	-3.61603735036725
MvSl-1064-A1-R4_A1g01049	-1.09696654191944
MvSl-1064-A1-R4_A1g00542	-1.13479427273306
MvSl-1064-A1-R4_A1g01007	-1.90097821166231
MvSl-1064-A1-R4_A1g01021	-4.42841116163052
MvSl-1064-A1-R4_A1g00350	-0.898620869017764
MvSl-1064-A1-R4_A1g00642	-5.09383279879449
MvSl-1064-A1-R4_A1g00349	-2.41087060305327
MvSl-1064-A1-R4_A1g00546	-1.02711067355372
MvSl-1064-A1-R4_A1g00854	-0.750350506324645
MvSl-1064-A1-R4_A1g01432	-1.19525602396892
MvSl-1064-A1-R4_A1g00970	-0.873741349287244
MvSl-1064-A1-R4_A1g01220	-3.39558471733821
MvSl-1064-A1-R4_A1g00283	-4.2475912250078
MvSl-1064-A1-R4_A1g01302	-6.30594239681322
MvSl-1064-A1-R4_A1g01347	-1.10081975349252
MvSl-1064-A1-R4_A1g00923	-1.0687360914731
MvSl-1064-A1-R4_A1g00929	-1.85289297884508
MvSl-1064-A1-R4_A1g00118	-1.3977240951907
MvSl-1064-A1-R4_A1g01459	-5.49521577748554
MvSl-1064-A1-R4_MC06g07032	-2.92919738673231
MvSl-1064-A1-R4_MC06g07033	-1.34742079331202
MvSl-1064-A1-R4_MC01-1g01722	-1.60119010819959
MvSl-1064-A1-R4_MC01-1g01740	-0.894281225063045
MvSl-1064-A1-R4_MC01-1g01777	-1.42001082120438
