gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00002	-0.391413796425623	0.803047851398763
2	MvSl-1064-A1-R4_A1g00004	-0.0926687485638694	0.992220679213562
3	MvSl-1064-A1-R4_A1g00005	-0.0604843592671089	0.998959978276458
4	MvSl-1064-A1-R4_A1g00006	0.00241482684554608	0.998959978276458
5	MvSl-1064-A1-R4_A1g00007	0.210761030830309	0.886284834868361
6	MvSl-1064-A1-R4_A1g00008	0.433951575623529	0.560362809911725
7	MvSl-1064-A1-R4_A1g00009	0.706691829591301	0.130861944443467
8	MvSl-1064-A1-R4_A1g00010	-0.612992255220028	0.519681118292892
9	MvSl-1064-A1-R4_A1g00013	-0.380318343900724	0.307375999974152
10	MvSl-1064-A1-R4_A1g00017	-0.897518641826346	0.347921067671326
11	MvSl-1064-A1-R4_A1g00019	-0.295595735810564	0.871379988904333
12	MvSl-1064-A1-R4_A1g00021	-0.273365440377927	0.731486094544325
13	MvSl-1064-A1-R4_A1g00023	0.924772391863982	0.401491413132782
14	MvSl-1064-A1-R4_A1g00024	-0.636657307482239	0.176182457221408
15	MvSl-1064-A1-R4_A1g00025	0.0125516371644026	0.998959978276458
16	MvSl-1064-A1-R4_A1g00026	-0.48497364154368	0.396170270847204
17	MvSl-1064-A1-R4_A1g00028	-0.514015491489942	0.253233531107686
18	MvSl-1064-A1-R4_A1g00031	-0.143159472589932	0.990336156539578
19	MvSl-1064-A1-R4_A1g00032	0.0594010403573645	0.998959978276458
20	MvSl-1064-A1-R4_A1g00033	-0.289282081871868	0.780457928714394
21	MvSl-1064-A1-R4_A1g00035	0.425398521451628	0.411735643548
22	MvSl-1064-A1-R4_A1g00036	0.00140839596576674	0.998959978276458
23	MvSl-1064-A1-R4_A1g00037	0.136255457478896	0.988653194388477
24	MvSl-1064-A1-R4_A1g00039	0.295654365773951	0.74634468472579
25	MvSl-1064-A1-R4_A1g00040	-0.210587364566967	0.992220679213562
26	MvSl-1064-A1-R4_A1g00046	0.169211791794258	0.982846646554263
27	MvSl-1064-A1-R4_A1g00047	0.107545890091348	0.996305526724478
28	MvSl-1064-A1-R4_A1g00048	0.00496340440285218	0.998959978276458
29	MvSl-1064-A1-R4_A1g00049	0.0124921250770444	0.998959978276458
30	MvSl-1064-A1-R4_A1g00050	-0.306528717607816	0.87633891049644
31	MvSl-1064-A1-R4_A1g00051	0.52324713019088	0.234053415448639
32	MvSl-1064-A1-R4_A1g00052	-0.23356881850306	0.992217368924189
33	MvSl-1064-A1-R4_A1g00053	0.0841445263714498	0.996305526724478
34	MvSl-1064-A1-R4_A1g00054	-0.265655342459964	0.96854111569541
35	MvSl-1064-A1-R4_A1g00055	-0.46523462257468	0.35539153673734
36	MvSl-1064-A1-R4_A1g00056	0.138355447703629	0.990336156539578
37	MvSl-1064-A1-R4_A1g00057	-0.0539267132736016	0.998959978276458
38	MvSl-1064-A1-R4_A1g00058	0.955066395281425	0.449622401587386
39	MvSl-1064-A1-R4_A1g00059	-0.000920076805941984	0.999135049016917
40	MvSl-1064-A1-R4_A1g00060	0.149859433145931	0.996860773033651
41	MvSl-1064-A1-R4_A1g00061	0.162603277402293	0.933436580819944
42	MvSl-1064-A1-R4_A1g00062	-0.157143643717482	0.949405164799578
43	MvSl-1064-A1-R4_A1g00063	0.0630736617570665	0.998959978276458
44	MvSl-1064-A1-R4_A1g00064	-0.174728640271034	0.960701363524654
45	MvSl-1064-A1-R4_A1g00065	0.255212945066144	0.740307063847785
46	MvSl-1064-A1-R4_A1g00066	0.0183821844581853	0.998959978276458
