gene	FDR
MvSl-1064-A1-R4_A1g00002	0.807221914447532
MvSl-1064-A1-R4_A1g00004	0.998466237699648
MvSl-1064-A1-R4_A1g00005	1
MvSl-1064-A1-R4_A1g00006	1
MvSl-1064-A1-R4_A1g00007	0.870919747888273
MvSl-1064-A1-R4_A1g00008	0.557616992179461
MvSl-1064-A1-R4_A1g00009	0.133183997364752
MvSl-1064-A1-R4_A1g00010	0.518852128619487
MvSl-1064-A1-R4_A1g00013	0.321421598069636
MvSl-1064-A1-R4_A1g00014	1.64101742140632e-05
MvSl-1064-A1-R4_A1g00015	1.57003188524878e-13
MvSl-1064-A1-R4_A1g00016	2.02794715803369e-08
MvSl-1064-A1-R4_A1g00017	0.309293809484247
MvSl-1064-A1-R4_A1g00018	1
MvSl-1064-A1-R4_A1g00019	0.870919747888273
MvSl-1064-A1-R4_A1g00021	0.744999215518835
MvSl-1064-A1-R4_A1g00022	0.226584542612037
MvSl-1064-A1-R4_A1g00023	0.364242597727753
MvSl-1064-A1-R4_A1g00024	0.181700101400115
MvSl-1064-A1-R4_A1g00025	1
MvSl-1064-A1-R4_A1g00026	0.40595303791603
MvSl-1064-A1-R4_A1g00028	0.258552443172427
MvSl-1064-A1-R4_A1g00029	1
MvSl-1064-A1-R4_A1g00030	1
MvSl-1064-A1-R4_A1g00031	0.991657930349994
MvSl-1064-A1-R4_A1g00032	1
MvSl-1064-A1-R4_A1g00033	0.792244164691056
MvSl-1064-A1-R4_A1g00034	0.782291060339318
MvSl-1064-A1-R4_A1g00035	0.409080744911638
MvSl-1064-A1-R4_A1g00036	1
MvSl-1064-A1-R4_A1g00037	0.986655743407074
MvSl-1064-A1-R4_A1g00038	0.339480392451537
MvSl-1064-A1-R4_A1g00039	0.7403791917099
MvSl-1064-A1-R4_A1g00040	0.990687849035763
MvSl-1064-A1-R4_A1g00041	0.990276133311483
MvSl-1064-A1-R4_A1g00043	0.00630267866674767
MvSl-1064-A1-R4_A1g00044	1
MvSl-1064-A1-R4_A1g00045	0.782291060339318
MvSl-1064-A1-R4_A1g00046	0.980847349423469
MvSl-1064-A1-R4_A1g00047	0.998466237699648
MvSl-1064-A1-R4_A1g00048	1
MvSl-1064-A1-R4_A1g00049	1
MvSl-1064-A1-R4_A1g00050	0.873889815761678
MvSl-1064-A1-R4_A1g00051	0.238484317157447
MvSl-1064-A1-R4_A1g00052	0.99167900926952
MvSl-1064-A1-R4_A1g00053	0.998466237699648
MvSl-1064-A1-R4_A1g00054	0.968298975021991
MvSl-1064-A1-R4_A1g00055	0.364539190089928
MvSl-1064-A1-R4_A1g00056	0.990162992466088
MvSl-1064-A1-R4_A1g00057	1
MvSl-1064-A1-R4_A1g00058	0.421379056507354
MvSl-1064-A1-R4_A1g00059	1
MvSl-1064-A1-R4_A1g00060	1
MvSl-1064-A1-R4_A1g00061	0.923111953789493
MvSl-1064-A1-R4_A1g00062	0.951163379558527
MvSl-1064-A1-R4_A1g00063	1
MvSl-1064-A1-R4_A1g00064	0.959373690028154
MvSl-1064-A1-R4_A1g00065	0.729515565487941
MvSl-1064-A1-R4_A1g00066	1
MvSl-1064-A1-R4_A1g00067	0.990276133311483
MvSl-1064-A1-R4_A1g00068	0.914544930234545
MvSl-1064-A1-R4_A1g00069	0.815957220834249
MvSl-1064-A1-R4_A1g00070	0.494991091198177
MvSl-1064-A1-R4_A1g00071	0.398294425420385
MvSl-1064-A1-R4_A1g00072	0.998466237699648
MvSl-1064-A1-R4_A1g00073	1
MvSl-1064-A1-R4_A1g00074	0.379086666737109
MvSl-1064-A1-R4_A1g00075	0.976550288447401
MvSl-1064-A1-R4_A1g00076	1
MvSl-1064-A1-R4_A1g00077	1
MvSl-1064-A1-R4_A1g00078	0.00227414140146091
MvSl-1064-A1-R4_A1g00079	3.37074148964262e-08
MvSl-1064-A1-R4_A1g00080	2.90148301495161e-08
MvSl-1064-A1-R4_A1g00081	4.63121782628487e-26
MvSl-1064-A1-R4_A1g00083	0.990276133311483
MvSl-1064-A1-R4_A1g00084	0.526566672563717
MvSl-1064-A1-R4_A1g00106	1
MvSl-1064-A1-R4_A1g00107	0.998466237699648
MvSl-1064-A1-R4_A1g00108	0.740685700673325
MvSl-1064-A1-R4_A1g00109	0.975862411125269
MvSl-1064-A1-R4_A1g00110	0.868677606414807
MvSl-1064-A1-R4_A1g00111	0.782291060339318
MvSl-1064-A1-R4_A1g00113	1
MvSl-1064-A1-R4_A1g00367	0.314891914521076
MvSl-1064-A1-R4_A1g00368	1
MvSl-1064-A1-R4_A1g00369	0.998466237699648
MvSl-1064-A1-R4_A1g00370	1
MvSl-1064-A1-R4_A1g00371	0.85938566834934
MvSl-1064-A1-R4_A1g00372	0.936629706241686
MvSl-1064-A1-R4_A1g00373	0.729515565487941
MvSl-1064-A1-R4_A1g00374	0.990162992466088
MvSl-1064-A1-R4_A1g00375	1
MvSl-1064-A1-R4_A1g01392	0.860851547769345
MvSl-1064-A1-R4_A1g01393	0.331772935001742
MvSl-1064-A1-R4_A1g00209	0.951535841396692
MvSl-1064-A1-R4_A1g01415	0.332266292250582
MvSl-1064-A1-R4_A1g00290	0.930213801405902
MvSl-1064-A1-R4_A1g01138	1
MvSl-1064-A1-R4_A1g00772	0.75896917329985
MvSl-1064-A1-R4_A1g01388	0.702504044640252
MvSl-1064-A1-R4_A1g01252	0.980847349423469
MvSl-1064-A1-R4_A1g01253	0.00131266686823658
MvSl-1064-A1-R4_A1g00800	0.968298975021991
MvSl-1064-A1-R4_A1g00801	1
MvSl-1064-A1-R4_A1g00589	0.649835440220129
MvSl-1064-A1-R4_A1g00591	1.47241097929266e-22
MvSl-1064-A1-R4_A1g00593	1
MvSl-1064-A1-R4_A1g00726	0.597435613021956
MvSl-1064-A1-R4_A1g00120	0.998466237699648
MvSl-1064-A1-R4_A1g00246	1
MvSl-1064-A1-R4_A1g00165	0.00124407484664566
MvSl-1064-A1-R4_A1g00481	1
MvSl-1064-A1-R4_A1g00718	1
MvSl-1064-A1-R4_A1g00254	1.08028001969541e-10
MvSl-1064-A1-R4_A1g00359	0.901918932989055
MvSl-1064-A1-R4_A1g00281	1
MvSl-1064-A1-R4_A1g00280	0.864267641619009
MvSl-1064-A1-R4_A1g00168	0.0013621636980888
MvSl-1064-A1-R4_A1g00648	1
MvSl-1064-A1-R4_A1g00647	1
MvSl-1064-A1-R4_A1g00778	0.650221078569574
MvSl-1064-A1-R4_A1g00779	1
MvSl-1064-A1-R4_A1g01282	0.263943206159173
MvSl-1064-A1-R4_A1g00869	0.142970487010862
MvSl-1064-A1-R4_A1g00405	0.321421598069636
MvSl-1064-A1-R4_A1g00404	0.807401405090547
MvSl-1064-A1-R4_A1g00403	0.110542958628983
MvSl-1064-A1-R4_A1g00402	0.976550288447401
MvSl-1064-A1-R4_A1g00401	0.814195827509339
MvSl-1064-A1-R4_A1g00400	0.00321125715797137
MvSl-1064-A1-R4_A1g00399	1
MvSl-1064-A1-R4_A1g00398	0.974902305023904
MvSl-1064-A1-R4_A1g00397	0.998466237699648
MvSl-1064-A1-R4_A1g00396	0.945635085677877
MvSl-1064-A1-R4_A1g00395	0.780467167993889
MvSl-1064-A1-R4_A1g00394	1
MvSl-1064-A1-R4_A1g00393	0.998466237699648
MvSl-1064-A1-R4_A1g00392	0.701479246947833
MvSl-1064-A1-R4_A1g00391	1
MvSl-1064-A1-R4_A1g00390	1
MvSl-1064-A1-R4_A1g00389	0.929719627546076
MvSl-1064-A1-R4_A1g00384	1
MvSl-1064-A1-R4_A1g00383	1
MvSl-1064-A1-R4_A1g00380	0.0616823175880263
MvSl-1064-A1-R4_A1g01189	0.135760139571724
MvSl-1064-A1-R4_A1g01375	1
MvSl-1064-A1-R4_A1g01376	1
MvSl-1064-A1-R4_A1g01378	0.939285095384227
MvSl-1064-A1-R4_A1g00624	0.00248733958598533
MvSl-1064-A1-R4_A1g00185	0.474059382510702
MvSl-1064-A1-R4_A1g00186	1
MvSl-1064-A1-R4_A1g01383	1
MvSl-1064-A1-R4_A1g00230	1
MvSl-1064-A1-R4_A1g00824	2.81845995937837e-07
MvSl-1064-A1-R4_A1g00568	0.767131468303497
MvSl-1064-A1-R4_A1g00575	0.26942035546547
MvSl-1064-A1-R4_A1g00576	0.995507563852482
MvSl-1064-A1-R4_A1g00757	1
MvSl-1064-A1-R4_A1g00756	0.998466237699648
MvSl-1064-A1-R4_A1g00752	1.25864566873345e-39
MvSl-1064-A1-R4_A1g00751	0.630398987346879
MvSl-1064-A1-R4_A1g00750	1
MvSl-1064-A1-R4_A1g00594	4.86981424304031e-11
MvSl-1064-A1-R4_A1g00749	0.752122397427674
MvSl-1064-A1-R4_A1g00745	1
MvSl-1064-A1-R4_A1g01135	1
MvSl-1064-A1-R4_A1g00245	0.136190962416374
MvSl-1064-A1-R4_A1g00635	0.0010632338257848
MvSl-1064-A1-R4_A1g00241	0.0560943028529177
MvSl-1064-A1-R4_A1g00242	1
MvSl-1064-A1-R4_A1g00270	6.10860908035684e-06
MvSl-1064-A1-R4_A1g00269	2.82428789695591e-51
MvSl-1064-A1-R4_A1g00763	1.62880333309323e-08
MvSl-1064-A1-R4_A1g00211	0.97277911365394
MvSl-1064-A1-R4_A1g00210	0.997171059816016
MvSl-1064-A1-R4_A1g01418	1
MvSl-1064-A1-R4_A1g00292	0.000185241056491079
MvSl-1064-A1-R4_A1g00406	0.813850123149013
MvSl-1064-A1-R4_A1g00441	0.93597503047873
MvSl-1064-A1-R4_A1g00144	0.371344551014266
MvSl-1064-A1-R4_A1g01369	0.163748296627724
MvSl-1064-A1-R4_A1g01368	0.968298975021991
MvSl-1064-A1-R4_A1g01367	0.934975483007686
MvSl-1064-A1-R4_A1g01366	0.99883464412172
MvSl-1064-A1-R4_A1g00194	0.274298327167765
MvSl-1064-A1-R4_A1g01290	1
MvSl-1064-A1-R4_A1g01288	1
MvSl-1064-A1-R4_A1g00327	1
MvSl-1064-A1-R4_A1g01404	7.6151657214364e-29
MvSl-1064-A1-R4_A1g01405	1
MvSl-1064-A1-R4_A1g01137	0.0293112057803
MvSl-1064-A1-R4_A1g01154	1
MvSl-1064-A1-R4_A1g01159	0.424341366972697
MvSl-1064-A1-R4_A1g01160	0.627134674632086
MvSl-1064-A1-R4_A1g01161	0.822017730930285
MvSl-1064-A1-R4_A1g01162	1
MvSl-1064-A1-R4_A1g01163	1
MvSl-1064-A1-R4_A1g01212	1.39324706855505e-05
MvSl-1064-A1-R4_A1g01049	1
MvSl-1064-A1-R4_A1g00533	0.984366337939605
MvSl-1064-A1-R4_A1g00534	0.506254434152532
MvSl-1064-A1-R4_A1g00541	0.998466237699648
MvSl-1064-A1-R4_A1g00542	1
MvSl-1064-A1-R4_A1g00543	1
MvSl-1064-A1-R4_A1g00544	1
MvSl-1064-A1-R4_A1g00525	0.258874719005952
MvSl-1064-A1-R4_A1g00524	0.000145258611176381
MvSl-1064-A1-R4_A1g00522	4.14936692936293e-16
MvSl-1064-A1-R4_A1g01007	1
MvSl-1064-A1-R4_A1g00669	1
MvSl-1064-A1-R4_A1g00668	9.05618490670779e-92
MvSl-1064-A1-R4_A1g00312	2.79792651377531e-33
MvSl-1064-A1-R4_A1g00311	1
MvSl-1064-A1-R4_A1g00842	0.627239202139474
MvSl-1064-A1-R4_A1g00843	0.439503032140578
MvSl-1064-A1-R4_A1g00844	0.00150815140224144
MvSl-1064-A1-R4_A1g01021	1
MvSl-1064-A1-R4_A1g01317	1
MvSl-1064-A1-R4_A1g01022	0.839992727331727
MvSl-1064-A1-R4_A1g00352	0.986655743407074
MvSl-1064-A1-R4_A1g00351	0.946931454333766
MvSl-1064-A1-R4_A1g00350	1
MvSl-1064-A1-R4_A1g00694	0.889598906922348
MvSl-1064-A1-R4_A1g00693	1
MvSl-1064-A1-R4_A1g00642	1
MvSl-1064-A1-R4_A1g00193	0.5200325083229
MvSl-1064-A1-R4_A1g00433	0.593928891689521
MvSl-1064-A1-R4_A1g00432	0.951535841396692
MvSl-1064-A1-R4_A1g00349	1
MvSl-1064-A1-R4_A1g00644	2.55218828965123e-06
MvSl-1064-A1-R4_MC03g04896	1
MvSl-1064-A1-R4_A1g00835	1
MvSl-1064-A1-R4_A1g00845	1
MvSl-1064-A1-R4_A1g00546	1
MvSl-1064-A1-R4_A1g01346	0.820489162764085
MvSl-1064-A1-R4_A1g01359	0.125408095641109
MvSl-1064-A1-R4_A1g00854	1
MvSl-1064-A1-R4_A1g00853	2.44346062535577e-13
MvSl-1064-A1-R4_A1g01384	0.000121821686128129
MvSl-1064-A1-R4_A1g00628	3.93625842335921e-35
MvSl-1064-A1-R4_A1g01431	0.913557868962465
MvSl-1064-A1-R4_A1g01432	1
MvSl-1064-A1-R4_A1g00997	9.05916103937445e-52
MvSl-1064-A1-R4_A1g00998	0.669176076801342
MvSl-1064-A1-R4_A1g00957	0.527129481318839
MvSl-1064-A1-R4_A1g00958	0.0428662478320005
MvSl-1064-A1-R4_A1g00960	0.681350891463432
MvSl-1064-A1-R4_A1g00968	0.774311959912333
MvSl-1064-A1-R4_A1g00184	0.946931454333766
MvSl-1064-A1-R4_A1g00316	0.984366337939605
MvSl-1064-A1-R4_A1g00515	0.0667154422392891
MvSl-1064-A1-R4_A1g00514	0.992522567305831
MvSl-1064-A1-R4_A1g00503	0.597435613021956
