gene	FDR	logFC
MvSl-1064-A1-R4_A1g00002	0.999958419202852	-0.102083278241776
MvSl-1064-A1-R4_A1g00004	0.999958419202852	-0.092774478414517
MvSl-1064-A1-R4_A1g00005	0.999958419202852	-0.059029749066909
MvSl-1064-A1-R4_A1g00006	0.999958419202852	0.00868639912546976
MvSl-1064-A1-R4_A1g00007	0.945084765505755	0.210262502434326
MvSl-1064-A1-R4_A1g00008	0.659023585911921	0.432991251916051
MvSl-1064-A1-R4_A1g00009	0.186231830233831	0.706101623770608
MvSl-1064-A1-R4_A1g00010	0.797923637001234	0.529466873804616
MvSl-1064-A1-R4_A1g00011	0.779702415685909	0.617651920880462
MvSl-1064-A1-R4_A1g00013	0.999958419202852	0.0516768768708922
MvSl-1064-A1-R4_A1g00014	0.887058953770969	-0.536342382964726
MvSl-1064-A1-R4_A1g00015	0.929495058525326	-0.530987916459304
MvSl-1064-A1-R4_A1g00016	0.943680004380573	0.541950925430417
MvSl-1064-A1-R4_A1g00017	0.4487787820362	-0.889547079313115
MvSl-1064-A1-R4_A1g00019	0.999958419202852	0.0400837588407447
MvSl-1064-A1-R4_A1g00020	0.999958419202852	0.211570810839829
MvSl-1064-A1-R4_A1g00021	7.50723361659063e-08	1.51409448514308
MvSl-1064-A1-R4_A1g00023	0.931558813601799	0.460352737866826
MvSl-1064-A1-R4_A1g00025	0.999958419202852	-0.216576115201585
MvSl-1064-A1-R4_A1g00026	0.999958419202852	-0.188268233740296
MvSl-1064-A1-R4_A1g00027	0.999958419202852	-0.137248026392745
MvSl-1064-A1-R4_A1g00028	0.288975641194615	-0.694990529739373
MvSl-1064-A1-R4_A1g00029	0.10964502970278	1.0675820761227
MvSl-1064-A1-R4_A1g00030	0.976804263822725	0.185886543530826
MvSl-1064-A1-R4_A1g00031	0.999958419202852	-0.118574157069426
MvSl-1064-A1-R4_A1g00032	0.999958419202852	0.0612407543504193
MvSl-1064-A1-R4_A1g00033	0.882867968757444	-0.284616012954925
MvSl-1064-A1-R4_A1g00035	0.529848335276237	0.425650311099996
MvSl-1064-A1-R4_A1g00036	0.999958419202852	0.00355139788152048
MvSl-1064-A1-R4_A1g00037	0.999958419202852	0.137660031865189
MvSl-1064-A1-R4_A1g00039	0.830462168847266	0.295471115866702
MvSl-1064-A1-R4_A1g00040	0.999958419202852	-0.153782550552387
MvSl-1064-A1-R4_A1g00046	0.999958419202852	0.172808323749179
MvSl-1064-A1-R4_A1g00047	0.999958419202852	0.101448808656902
MvSl-1064-A1-R4_A1g00048	0.999958419202852	0.0074852677672013
MvSl-1064-A1-R4_A1g00049	0.999958419202852	0.0165017889379636
MvSl-1064-A1-R4_A1g00050	0.945084765505755	-0.3055659034626
MvSl-1064-A1-R4_A1g00051	0.303485108920575	0.525224842731537
MvSl-1064-A1-R4_A1g00052	0.999958419202852	-0.246962770077076
MvSl-1064-A1-R4_A1g00053	0.999958419202852	0.0927223712898448
MvSl-1064-A1-R4_A1g00054	0.999958419202852	-0.264670367562133
MvSl-1064-A1-R4_A1g00055	0.453473626012509	-0.468008417939855
MvSl-1064-A1-R4_A1g00056	0.999958419202852	0.138986425015022
MvSl-1064-A1-R4_A1g00057	0.999958419202852	-0.0544388801445056
MvSl-1064-A1-R4_A1g00058	0.999958419202852	0.34834027490337
MvSl-1064-A1-R4_A1g00059	0.999958419202852	0.00734310070384613
MvSl-1064-A1-R4_A1g00060	0.999958419202852	0.159124155901782
MvSl-1064-A1-R4_A1g00061	0.986847619595283	0.162009487585316
MvSl-1064-A1-R4_A1g00062	0.999958419202852	-0.149956868748848
MvSl-1064-A1-R4_A1g00063	0.999958419202852	0.0619045482440714
MvSl-1064-A1-R4_A1g00064	0.999958419202852	-0.174246288694909
MvSl-1064-A1-R4_A1g00065	0.822268879271857	0.256054292225132
MvSl-1064-A1-R4_A1g00066	0.999958419202852	0.0315934112653318
MvSl-1064-A1-R4_A1g00067	0.999958419202852	-0.223086763307051
MvSl-1064-A1-R4_A1g00068	0.999958419202852	-0.392762524974695
MvSl-1064-A1-R4_A1g00069	0.890868542482603	-0.260923672475478
MvSl-1064-A1-R4_A1g00070	0.601406989816305	0.338336875142065
MvSl-1064-A1-R4_A1g00071	0.502085314805065	0.520825110580756
MvSl-1064-A1-R4_A1g00072	0.999958419202852	0.103669735356542
MvSl-1064-A1-R4_A1g00073	0.0497620419016892	-0.809919470236329
MvSl-1064-A1-R4_A1g00074	0.460354433588413	0.569611228968345
MvSl-1064-A1-R4_A1g00076	0.999958419202852	-0.0429677151778728
MvSl-1064-A1-R4_A1g00077	0.999958419202852	0.0499289039924081
MvSl-1064-A1-R4_A1g00078	0.00397020148602942	0.994579565995959
MvSl-1064-A1-R4_A1g00079	7.95667880543292e-08	1.64719802954929
MvSl-1064-A1-R4_A1g00080	8.67213076302195e-08	1.36180363566686
MvSl-1064-A1-R4_A1g00081	8.16958068934906e-26	2.86252310336993
MvSl-1064-A1-R4_A1g00106	0.707465373225716	-0.635472111346173
MvSl-1064-A1-R4_A1g00107	3.52200752654611e-06	2.47124817063347
MvSl-1064-A1-R4_A1g00108	0.836808331178939	0.321456545220364
MvSl-1064-A1-R4_A1g00109	0.976804263822725	0.203157286403178
MvSl-1064-A1-R4_A1g00110	0.940149944012569	-0.239746971263684
MvSl-1064-A1-R4_A1g00112	0.0159814522741522	-1.25286845349048
MvSl-1064-A1-R4_A1g00113	0.999958419202852	0.0782260363949858
MvSl-1064-A1-R4_A1g00367	0.436857924928601	0.553171469978447
MvSl-1064-A1-R4_A1g00368	0.999958419202852	0.0476311594610428
