gene	FDR
MvSl-1064-A1-R4_A1g00002	0.999958419202852
MvSl-1064-A1-R4_A1g00003	0.12378634105985
MvSl-1064-A1-R4_A1g00004	0.999958419202852
MvSl-1064-A1-R4_A1g00005	0.999958419202852
MvSl-1064-A1-R4_A1g00006	0.999958419202852
MvSl-1064-A1-R4_A1g00007	0.945084765505755
MvSl-1064-A1-R4_A1g00008	0.659023585911921
MvSl-1064-A1-R4_A1g00009	0.186231830233831
MvSl-1064-A1-R4_A1g00010	0.797923637001234
MvSl-1064-A1-R4_A1g00011	0.779702415685909
MvSl-1064-A1-R4_A1g00013	0.999958419202852
MvSl-1064-A1-R4_A1g00014	0.887058953770969
MvSl-1064-A1-R4_A1g00015	0.929495058525326
MvSl-1064-A1-R4_A1g00016	0.943680004380573
MvSl-1064-A1-R4_A1g00017	0.4487787820362
MvSl-1064-A1-R4_A1g00019	0.999958419202852
MvSl-1064-A1-R4_A1g00020	0.999958419202852
MvSl-1064-A1-R4_A1g00021	1
MvSl-1064-A1-R4_A1g00023	0.931558813601799
MvSl-1064-A1-R4_A1g00025	0.999958419202852
MvSl-1064-A1-R4_A1g00026	0.999958419202852
MvSl-1064-A1-R4_A1g00027	0.999958419202852
MvSl-1064-A1-R4_A1g00028	0.288975641194615
MvSl-1064-A1-R4_A1g00029	0.10964502970278
MvSl-1064-A1-R4_A1g00030	0.976804263822725
MvSl-1064-A1-R4_A1g00031	0.999958419202852
MvSl-1064-A1-R4_A1g00032	0.999958419202852
MvSl-1064-A1-R4_A1g00033	0.882867968757444
MvSl-1064-A1-R4_A1g00035	0.529848335276237
MvSl-1064-A1-R4_A1g00036	0.999958419202852
MvSl-1064-A1-R4_A1g00037	0.999958419202852
MvSl-1064-A1-R4_A1g00039	0.830462168847266
MvSl-1064-A1-R4_A1g00040	0.999958419202852
MvSl-1064-A1-R4_A1g00046	0.999958419202852
MvSl-1064-A1-R4_A1g00047	0.999958419202852
MvSl-1064-A1-R4_A1g00048	0.999958419202852
MvSl-1064-A1-R4_A1g00049	0.999958419202852
MvSl-1064-A1-R4_A1g00050	0.945084765505755
MvSl-1064-A1-R4_A1g00051	0.303485108920575
MvSl-1064-A1-R4_A1g00052	0.999958419202852
MvSl-1064-A1-R4_A1g00053	0.999958419202852
MvSl-1064-A1-R4_A1g00054	0.999958419202852
MvSl-1064-A1-R4_A1g00055	0.453473626012509
MvSl-1064-A1-R4_A1g00056	0.999958419202852
MvSl-1064-A1-R4_A1g00057	0.999958419202852
MvSl-1064-A1-R4_A1g00058	0.999958419202852
MvSl-1064-A1-R4_A1g00059	0.999958419202852
MvSl-1064-A1-R4_A1g00060	0.999958419202852
MvSl-1064-A1-R4_A1g00061	0.986847619595283
MvSl-1064-A1-R4_A1g00062	0.999958419202852
MvSl-1064-A1-R4_A1g00063	0.999958419202852
MvSl-1064-A1-R4_A1g00064	0.999958419202852
MvSl-1064-A1-R4_A1g00065	0.822268879271857
MvSl-1064-A1-R4_A1g00066	0.999958419202852
MvSl-1064-A1-R4_A1g00067	0.999958419202852
MvSl-1064-A1-R4_A1g00068	0.999958419202852
MvSl-1064-A1-R4_A1g00069	0.890868542482603
MvSl-1064-A1-R4_A1g00070	0.601406989816305
MvSl-1064-A1-R4_A1g00071	0.502085314805065
MvSl-1064-A1-R4_A1g00072	0.999958419202852
MvSl-1064-A1-R4_A1g00073	0.0497620419016892
MvSl-1064-A1-R4_A1g00074	0.460354433588413
MvSl-1064-A1-R4_A1g00076	0.999958419202852
MvSl-1064-A1-R4_A1g00077	0.999958419202852
MvSl-1064-A1-R4_A1g00078	1
MvSl-1064-A1-R4_A1g00079	1
MvSl-1064-A1-R4_A1g00080	1
MvSl-1064-A1-R4_A1g00081	1
MvSl-1064-A1-R4_A1g00106	0.707465373225716
MvSl-1064-A1-R4_A1g00107	1
MvSl-1064-A1-R4_A1g00108	0.836808331178939
MvSl-1064-A1-R4_A1g00109	0.976804263822725
MvSl-1064-A1-R4_A1g00110	0.940149944012569
MvSl-1064-A1-R4_A1g00112	0.0159814522741522
MvSl-1064-A1-R4_A1g00113	0.999958419202852
MvSl-1064-A1-R4_A1g00118	0.21762443173323
MvSl-1064-A1-R4_A1g00144	0.608315059288994
MvSl-1064-A1-R4_A1g00153	0.941690387543478
MvSl-1064-A1-R4_A1g00154	1
MvSl-1064-A1-R4_A1g00155	0.354405552223499
MvSl-1064-A1-R4_A1g00163	1
MvSl-1064-A1-R4_A1g00165	1
MvSl-1064-A1-R4_A1g00175	0.979464615686792
MvSl-1064-A1-R4_A1g00184	0.999958419202852
MvSl-1064-A1-R4_A1g00185	0.621441974827841
MvSl-1064-A1-R4_A1g00186	0.999958419202852
MvSl-1064-A1-R4_A1g00193	0.0762080797978445
MvSl-1064-A1-R4_A1g00209	1
MvSl-1064-A1-R4_A1g00210	0.999958419202852
MvSl-1064-A1-R4_A1g00211	0.999958419202852
MvSl-1064-A1-R4_A1g00215	0.29307148821213
MvSl-1064-A1-R4_A1g00240	0.531593845438264
MvSl-1064-A1-R4_A1g00241	0.0311289132622566
MvSl-1064-A1-R4_A1g00242	0.0497374429948889
MvSl-1064-A1-R4_A1g00245	0.177739450420678
MvSl-1064-A1-R4_A1g00246	0.00016678047750142
MvSl-1064-A1-R4_A1g00254	1
MvSl-1064-A1-R4_A1g00270	1
MvSl-1064-A1-R4_A1g00280	0.934316152201256
MvSl-1064-A1-R4_A1g00281	0.999958419202852
MvSl-1064-A1-R4_A1g00290	0.992710750292431
MvSl-1064-A1-R4_A1g00292	1
MvSl-1064-A1-R4_A1g00307	0.203878151817698
MvSl-1064-A1-R4_A1g00311	0.999958419202852
MvSl-1064-A1-R4_A1g00312	1
MvSl-1064-A1-R4_A1g00326	3.75386552371612e-68
MvSl-1064-A1-R4_A1g00327	0.999958419202852
MvSl-1064-A1-R4_A1g00351	0.945084765505755
MvSl-1064-A1-R4_A1g00352	0.988867199848635
MvSl-1064-A1-R4_A1g00359	0.945084765505755
MvSl-1064-A1-R4_A1g00367	0.436857924928601
MvSl-1064-A1-R4_A1g00368	0.999958419202852
MvSl-1064-A1-R4_A1g00369	0.999958419202852
MvSl-1064-A1-R4_A1g00370	0.999958419202852
MvSl-1064-A1-R4_A1g00371	0.638844931280066
MvSl-1064-A1-R4_A1g00372	0.999958419202852
MvSl-1064-A1-R4_A1g00373	0.817155424039138
MvSl-1064-A1-R4_A1g00374	0.999958419202852
MvSl-1064-A1-R4_A1g00375	0.368264993508562
MvSl-1064-A1-R4_A1g00379	0.233035894315321
MvSl-1064-A1-R4_A1g00380	0.109693541556699
MvSl-1064-A1-R4_A1g00390	0.999958419202852
MvSl-1064-A1-R4_A1g00391	0.999958419202852
MvSl-1064-A1-R4_A1g00394	0.999958419202852
MvSl-1064-A1-R4_A1g00395	0.859012644268271
MvSl-1064-A1-R4_A1g00396	0.999958419202852
MvSl-1064-A1-R4_A1g00397	0.999958419202852
MvSl-1064-A1-R4_A1g00398	0.999958419202852
MvSl-1064-A1-R4_A1g00399	0.999958419202852
MvSl-1064-A1-R4_A1g00400	1
MvSl-1064-A1-R4_A1g00401	0.881451766163737
MvSl-1064-A1-R4_A1g00402	0.999958419202852
MvSl-1064-A1-R4_A1g00403	0.160255471034219
MvSl-1064-A1-R4_A1g00404	0.939766940058334
