gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00073	-0.809938536458476	0.0457931662369362
2	MvSl-1064-A1-R4_A1g00112	-1.2528508222821	0.0144382351079366
3	MvSl-1064-A1-R4_A1g01138	-10.7779550553827	5.05894243728625e-159
4	MvSl-1064-A1-R4_A1g00120	-0.7928475873062	0.0197038001818771
5	MvSl-1064-A1-R4_A1g00246	-0.870182789900514	0.000142691107729596
6	MvSl-1064-A1-R4_A1g00718	-1.04001649638261	0.00201373184413655
7	MvSl-1064-A1-R4_A1g00648	-0.643522375228785	0.0163205135583845
8	MvSl-1064-A1-R4_A1g01282	-6.17657567289036	3.19719491257155e-28
9	MvSl-1064-A1-R4_A1g00383	-0.871056138325611	0.00229266557015372
10	MvSl-1064-A1-R4_A1g01376	-0.932897325429224	0.000340661040367846
11	MvSl-1064-A1-R4_A1g01038	-2.44810496270769	1.21035881726868e-12
12	MvSl-1064-A1-R4_A1g01383	-0.970293611138581	0.000101103093122969
13	MvSl-1064-A1-R4_A1g00230	-4.3777088948649	1.07133332691175e-58
14	MvSl-1064-A1-R4_A1g00745	-2.59351542891222	4.05292276965192e-35
15	MvSl-1064-A1-R4_A1g01135	-1.20492938661197	4.38450790226231e-08
16	MvSl-1064-A1-R4_A1g00241	-0.662091766266858	0.0277013422272524
17	MvSl-1064-A1-R4_A1g00242	-0.639040425549416	0.0457931662369362
18	MvSl-1064-A1-R4_A1g00326	-12.5204229141095	1.95117737839185e-68
19	MvSl-1064-A1-R4_A1g01162	-5.46682487287211	2.57468386939486e-29
20	MvSl-1064-A1-R4_A1g01163	-3.61809912824152	2.60462771045372e-26
21	MvSl-1064-A1-R4_A1g01049	-3.77767432219208	1.47097730185916e-63
22	MvSl-1064-A1-R4_A1g01007	-3.8460082912488	3.89850905576761e-35
23	MvSl-1064-A1-R4_A1g01021	-6.87520802481936	1.87192402322583e-31
24	MvSl-1064-A1-R4_A1g00350	-0.874838284729675	0.0101247763135023
25	MvSl-1064-A1-R4_A1g00642	-7.84412510380759	3.32721511937598e-146
26	MvSl-1064-A1-R4_A1g00349	-2.63195528573119	6.22205167119536e-08
27	MvSl-1064-A1-R4_A1g00835	-4.21141033112473	1.07388156646537e-35
28	MvSl-1064-A1-R4_A1g00546	-5.17803520645858	7.00022892431554e-25
29	MvSl-1064-A1-R4_A1g01358	-1.31075176929803	0.0099661958532008
30	MvSl-1064-A1-R4_A1g00854	-0.78165259433394	0.0152745423747134
31	MvSl-1064-A1-R4_A1g01432	-1.15964623084237	0.0012570042041914
32	MvSl-1064-A1-R4_A1g00956	-1.56859790695709	1.74829355953581e-11
33	MvSl-1064-A1-R4_A1g00959	-1.92938051011923	5.68689201288188e-13
34	MvSl-1064-A1-R4_A1g01045	-2.98498755983259	2.13409322140166e-07
35	MvSl-1064-A1-R4_A1g00970	-0.87336306800763	0.000317868676338913
36	MvSl-1064-A1-R4_A1g00804	-2.26728956811184	1.54376559262096e-05
37	MvSl-1064-A1-R4_A1g01220	-3.43354345648981	1.4665910234796e-50
38	MvSl-1064-A1-R4_A1g00283	-4.38507828077469	3.93501996981643e-39
39	MvSl-1064-A1-R4_A1g01302	-5.12064643068	8.34577525369845e-61
40	MvSl-1064-A1-R4_A1g00653	-1.22531606076296	0.00703637953545845
41	MvSl-1064-A1-R4_A1g01347	-1.10087044089602	2.60241637721726e-07
42	MvSl-1064-A1-R4_A1g00923	-1.14939527689572	0.00579724143764454
43	MvSl-1064-A1-R4_A1g00929	-2.77797328920779	0.000177348428093244
44	MvSl-1064-A1-R4_A1g01515	-1.61854259478052	1.08599958553811e-10
45	MvSl-1064-A1-R4_MC01-1g01829	-0.804346272667807	0.0320655041988888
46	MvSl-1064-A1-R4_MC01-1g01957	-0.738962711229637	0.0125199625283882
47	MvSl-1064-A1-R4_MC01-1g01970	-2.96651579895204	1.41312097180755e-30
48	MvSl-1064-A1-R4_MC01-1g02046	-1.33480762825128	0.00169165365031332
49	MvSl-1064-A1-R4_MC01-1g02422	-1.30833050824943	0.0211378143728785
50	MvSl-1064-A1-R4_MC01-1g02545	-0.712920114842643	0.0426537516624148
51	MvSl-1064-A1-R4_MC01-1g02628	-0.682529250560674	0.0301852865912416
52	MvSl-1064-A1-R4_MC01-1g02725	-1.35929044051645	3.7501497074019e-06
53	MvSl-1064-A1-R4_MC01-1g02734	-2.26730822304278	5.37565442214041e-14
54	MvSl-1064-A1-R4_MC01-1g02753	-1.25856973381893	0.00407474349665553
55	MvSl-1064-A1-R4_MC01-1g02763	-0.786351087664652	0.0441147325884299
56	MvSl-1064-A1-R4_MC01-1g02764	-0.967973199104823	0.00121854648563876
57	MvSl-1064-A1-R4_MC01-1g02769	-1.02543906056998	0.0105926520209571
58	MvSl-1064-A1-R4_MC01-1g02779	-0.828561828800907	0.0022932021425864
59	MvSl-1064-A1-R4_MC01-1g02787	-1.95926718307026	0.00377075566895493
60	MvSl-1064-A1-R4_MC01-1g02805	-1.93904441437527	0.0124252935382258
61	MvSl-1064-A1-R4_MC01-1g02827	-3.39796457085577	1.8659636217802e-05
62	MvSl-1064-A1-R4_MC01-1g02885	-9.03657795942506	1.04475887066441e-16
63	MvSl-1064-A1-R4_MC01-1g02924	-2.59068788913112	0.00428570926405069
64	MvSl-1064-A1-R4_MC01-1g02916	-10.9137565345894	1.61804465219685e-26
65	MvSl-1064-A1-R4_MC01-1g02912	-3.20888661143597	1.30473445407751e-10
66	MvSl-1064-A1-R4_MC01-2g02957	-1.78260390968649	0.00435568382608506
67	MvSl-1064-A1-R4_MC01-2g02970	-6.83434786008191	8.13125222103513e-50
68	MvSl-1064-A1-R4_MC01-2g03005	-1.19311062129471	4.24828736794778e-05
69	MvSl-1064-A1-R4_MC01-2g03006	-7.96271854066874	4.34837285483933e-46
70	MvSl-1064-A1-R4_MC01-2g03070	-0.907767262603003	0.0208308066871646
71	MvSl-1064-A1-R4_MC01-2g03146	-0.846453933935679	0.00694662563069691
72	MvSl-1064-A1-R4_MC02g03205	-0.991142722615331	0.000255472507783161
