gene	logFC	FDR
1	MvSl-1064-A1-R4_A1g00002	-0.1020997211503	0.999948200629833
2	MvSl-1064-A1-R4_A1g00004	-0.092779822764117	0.999948200629833
3	MvSl-1064-A1-R4_A1g00005	-0.0590526615836985	0.999948200629833
4	MvSl-1064-A1-R4_A1g00006	0.00866565570584076	0.999948200629833
5	MvSl-1064-A1-R4_A1g00007	0.210247651777719	0.936577408170126
6	MvSl-1064-A1-R4_A1g00008	0.432933132201882	0.642749317528224
7	MvSl-1064-A1-R4_A1g00009	0.706049450872488	0.176287493298745
8	MvSl-1064-A1-R4_A1g00010	0.529434852257217	0.785815274675871
9	MvSl-1064-A1-R4_A1g00011	0.617613835481953	0.76664434054037
10	MvSl-1064-A1-R4_A1g00013	0.0516676424681896	0.999948200629833
11	MvSl-1064-A1-R4_A1g00014	-0.536424151162726	0.87735575588722
12	MvSl-1064-A1-R4_A1g00015	-0.53107086810394	0.919843126548505
13	MvSl-1064-A1-R4_A1g00016	0.541878650238369	0.935326154978239
14	MvSl-1064-A1-R4_A1g00017	-0.889549944484069	0.435819001580659
15	MvSl-1064-A1-R4_A1g00019	0.0401030088875981	0.999948200629833
16	MvSl-1064-A1-R4_A1g00020	0.211522242428606	0.999948200629833
17	MvSl-1064-A1-R4_A1g00023	0.460336562123917	0.921693387837587
18	MvSl-1064-A1-R4_A1g00025	-0.21653110679572	0.999948200629833
19	MvSl-1064-A1-R4_A1g00026	-0.18824904634592	0.997594911780213
20	MvSl-1064-A1-R4_A1g00027	-0.137248591796839	0.999948200629833
21	MvSl-1064-A1-R4_A1g00028	-0.695007262038884	0.277108546101868
22	MvSl-1064-A1-R4_A1g00029	1.06756818665018	0.102953606298389
23	MvSl-1064-A1-R4_A1g00030	0.185870798137486	0.969542394608989
24	MvSl-1064-A1-R4_A1g00031	-0.118557462631805	0.999948200629833
25	MvSl-1064-A1-R4_A1g00032	0.0612249610000717	0.999948200629833
26	MvSl-1064-A1-R4_A1g00033	-0.284624019414572	0.870851015601803
27	MvSl-1064-A1-R4_A1g00035	0.425626028101311	0.514620942994298
28	MvSl-1064-A1-R4_A1g00036	0.00353916360831077	0.999948200629833
29	MvSl-1064-A1-R4_A1g00037	0.137665587727244	0.999948200629833
30	MvSl-1064-A1-R4_A1g00039	0.29544145077894	0.817610736822435
31	MvSl-1064-A1-R4_A1g00040	-0.153791321797792	0.999948200629833
32	MvSl-1064-A1-R4_A1g00046	0.172793869385946	0.999948200629833
33	MvSl-1064-A1-R4_A1g00047	0.101429368605317	0.999948200629833
34	MvSl-1064-A1-R4_A1g00048	0.00747577634201957	0.999948200629833
35	MvSl-1064-A1-R4_A1g00049	0.0165083791681846	0.999948200629833
36	MvSl-1064-A1-R4_A1g00050	-0.305609667218733	0.936577408170126
37	MvSl-1064-A1-R4_A1g00051	0.525177702225711	0.29019536604784
38	MvSl-1064-A1-R4_A1g00052	-0.24702650622296	0.999948200629833
39	MvSl-1064-A1-R4_A1g00053	0.0926971308304806	0.999948200629833
40	MvSl-1064-A1-R4_A1g00054	-0.264718171543149	0.999948200629833
41	MvSl-1064-A1-R4_A1g00055	-0.467992182685471	0.436500381063084
42	MvSl-1064-A1-R4_A1g00056	0.138967105375953	0.999948200629833
43	MvSl-1064-A1-R4_A1g00057	-0.054460259645476	0.999948200629833
44	MvSl-1064-A1-R4_A1g00058	0.348322569769293	0.999948200629833
45	MvSl-1064-A1-R4_A1g00059	0.00731291130115238	0.999948200629833
46	MvSl-1064-A1-R4_A1g00060	0.15917443773724	0.999948200629833
47	MvSl-1064-A1-R4_A1g00061	0.161992594424498	0.979618820334621
48	MvSl-1064-A1-R4_A1g00062	-0.149977226215711	0.999948200629833
49	MvSl-1064-A1-R4_A1g00063	0.0618924701930001	0.999948200629833
50	MvSl-1064-A1-R4_A1g00064	-0.174267495216099	0.999948200629833
51	MvSl-1064-A1-R4_A1g00065	0.256044104181547	0.809388891102339
52	MvSl-1064-A1-R4_A1g00066	0.0315530914639104	0.999948200629833
53	MvSl-1064-A1-R4_A1g00067	-0.22304895734513	0.999948200629833
54	MvSl-1064-A1-R4_A1g00068	-0.392719197843527	0.994591452580421
55	MvSl-1064-A1-R4_A1g00069	-0.260906426877861	0.878971353933431
56	MvSl-1064-A1-R4_A1g00070	0.338336564226869	0.582751566432734
57	MvSl-1064-A1-R4_A1g00071	0.520811320406994	0.486394427672778
58	MvSl-1064-A1-R4_A1g00072	0.103692159267942	0.999948200629833
59	MvSl-1064-A1-R4_A1g00074	0.569564753002316	0.445521125755725
60	MvSl-1064-A1-R4_A1g00076	-0.0429783450174603	0.999948200629833
61	MvSl-1064-A1-R4_A1g00077	0.0499012319224313	0.999948200629833
62	MvSl-1064-A1-R4_A1g00106	-0.635472295503936	0.694114289087443
63	MvSl-1064-A1-R4_A1g00108	0.321433286745664	0.824539880643814
64	MvSl-1064-A1-R4_A1g00109	0.203115065018125	0.969542394608989
65	MvSl-1064-A1-R4_A1g00110	-0.239746004766463	0.930986844341097
66	MvSl-1064-A1-R4_A1g00113	0.0782249313794305	0.999948200629833
67	MvSl-1064-A1-R4_A1g00367	0.553161585978857	0.421297939977147
68	MvSl-1064-A1-R4_A1g00368	0.0475929139795903	0.999948200629833
69	MvSl-1064-A1-R4_A1g00369	0.0879994189317133	0.999948200629833
70	MvSl-1064-A1-R4_A1g00370	0.0718254995275463	0.999948200629833
71	MvSl-1064-A1-R4_A1g00371	0.323677202705666	0.624893558698376
72	MvSl-1064-A1-R4_A1g00372	-0.153104397720192	0.999948200629833
73	MvSl-1064-A1-R4_A1g00373	-0.310028582383305	0.804312487979728
74	MvSl-1064-A1-R4_A1g00374	-0.126021999071461	0.999948200629833
75	MvSl-1064-A1-R4_A1g00375	0.630384444555721	0.352046936066732
76	MvSl-1064-A1-R4_A1g01392	0.221414842806431	0.945671896696667
77	MvSl-1064-A1-R4_A1g01393	-0.402967273834383	0.330413100239359
78	MvSl-1064-A1-R4_A1g01415	-0.393879679014979	0.402822197472466
79	MvSl-1064-A1-R4_A1g00290	-0.171909532429483	0.98595525534811
80	MvSl-1064-A1-R4_A1g00772	0.408142724515733	0.85917820160944
81	MvSl-1064-A1-R4_A1g01389	0.424706092976927	0.410205575186767
82	MvSl-1064-A1-R4_A1g01388	-0.4053210706661	0.76775972812284
83	MvSl-1064-A1-R4_A1g01252	-0.196304169521877	0.928326094497037
84	MvSl-1064-A1-R4_A1g00801	0.0314543986470718	0.999948200629833
85	MvSl-1064-A1-R4_A1g00593	-0.0331529685710938	0.999948200629833
86	MvSl-1064-A1-R4_A1g00608	1.69818488525715	0.408451933726546
87	MvSl-1064-A1-R4_A1g00726	0.311593185503652	0.714290726256873
88	MvSl-1064-A1-R4_A1g00215	0.696370826819037	0.28427918186154
89	MvSl-1064-A1-R4_A1g00481	-0.00185780407681742	0.999948200629833
90	MvSl-1064-A1-R4_A1g00359	0.26803027454755	0.936577408170126
91	MvSl-1064-A1-R4_A1g00281	-0.0660601557788695	0.999948200629833
92	MvSl-1064-A1-R4_A1g00280	-0.225704153121955	0.924738822975831
93	MvSl-1064-A1-R4_A1g00647	0.21311904388727	0.999948200629833
94	MvSl-1064-A1-R4_A1g00492	0.443390826935125	0.804312487979728
95	MvSl-1064-A1-R4_A1g00778	-0.385906143055037	0.741020587749992
96	MvSl-1064-A1-R4_A1g00779	-0.654128226197171	0.0664285353573098
97	MvSl-1064-A1-R4_A1g00869	0.783091013628747	0.189096605146315
98	MvSl-1064-A1-R4_A1g00405	0.555765335210092	0.405204534739452
99	MvSl-1064-A1-R4_A1g00404	-0.312515818775277	0.930520732695239
100	MvSl-1064-A1-R4_A1g00403	0.477105226495181	0.14937358443905
101	MvSl-1064-A1-R4_A1g00402	0.0290431156366975	0.999948200629833
102	MvSl-1064-A1-R4_A1g00401	0.358394779690124	0.870851015601803
103	MvSl-1064-A1-R4_A1g00399	-0.0359704609424882	0.999948200629833
104	MvSl-1064-A1-R4_A1g00398	0.150711911957063	0.999948200629833
105	MvSl-1064-A1-R4_A1g00397	0.122116537086455	0.999948200629833
106	MvSl-1064-A1-R4_A1g00396	0.170068652221299	0.999948200629833
107	MvSl-1064-A1-R4_A1g00395	0.272235421426201	0.847572273067297
108	MvSl-1064-A1-R4_A1g00394	0.0266521724114117	0.999948200629833
109	MvSl-1064-A1-R4_A1g00391	-0.0258287216681049	0.999948200629833
110	MvSl-1064-A1-R4_A1g00390	0.0255710430945787	0.999948200629833
111	MvSl-1064-A1-R4_A1g00380	0.520485831486311	0.101226905691693
112	MvSl-1064-A1-R4_A1g00379	1.17176328203769	0.225257869392845
113	MvSl-1064-A1-R4_A1g01189	-0.517446498590474	0.170594248829522
114	MvSl-1064-A1-R4_A1g01375	-0.391557619753393	0.53300702915625
115	MvSl-1064-A1-R4_A1g01378	0.735954900941636	0.409983570239171
116	MvSl-1064-A1-R4_A1g00185	-0.39118649369975	0.607367349158606
117	MvSl-1064-A1-R4_A1g00186	-0.0526467421807079	0.999948200629833
118	MvSl-1064-A1-R4_A1g00568	0.130502003550433	0.999948200629833
119	MvSl-1064-A1-R4_A1g00575	0.421893590441749	0.394337007130519
120	MvSl-1064-A1-R4_A1g00576	0.180987063535043	0.999948200629833
121	MvSl-1064-A1-R4_A1g00757	0.22776810008224	0.999948200629833
122	MvSl-1064-A1-R4_A1g00756	0.00214351932874347	0.999948200629833
123	MvSl-1064-A1-R4_A1g00751	0.330966903111575	0.711517620568917
124	MvSl-1064-A1-R4_A1g00750	-0.0123094169256847	0.999948200629833
125	MvSl-1064-A1-R4_A1g00749	0.496734443130268	0.614078746910751
126	MvSl-1064-A1-R4_A1g00245	0.8226967464652	0.167008180376476
127	MvSl-1064-A1-R4_A1g00211	-0.182895684577134	0.999948200629833
128	MvSl-1064-A1-R4_A1g00210	0.0943543199474292	0.999948200629833
129	MvSl-1064-A1-R4_A1g01418	0.285795747428749	0.97384423868022
130	MvSl-1064-A1-R4_A1g00406	-0.245103074853126	0.877884605004602
131	MvSl-1064-A1-R4_A1g00441	0.104224605251708	0.999948200629833
132	MvSl-1064-A1-R4_A1g00144	0.362224387122803	0.590609419330054
133	MvSl-1064-A1-R4_A1g01369	-0.615151010121123	0.298724455463851
134	MvSl-1064-A1-R4_A1g01368	0.200653656924401	0.995970456153656
135	MvSl-1064-A1-R4_A1g01367	-0.3600291730062	0.748694079881199
136	MvSl-1064-A1-R4_A1g01366	0.0716228223305413	0.999948200629833
137	MvSl-1064-A1-R4_A1g00194	0.11152489967366	0.999948200629833
138	MvSl-1064-A1-R4_A1g01290	-0.0864687306230999	0.999948200629833
139	MvSl-1064-A1-R4_A1g01288	0.255243070886519	0.977825903639669
140	MvSl-1064-A1-R4_A1g00327	0.0928377912519038	0.999948200629833
141	MvSl-1064-A1-R4_A1g01405	0.436519583436642	0.538811833936607
142	MvSl-1064-A1-R4_A1g01154	0.0722583019729246	0.999948200629833
143	MvSl-1064-A1-R4_A1g01159	-0.337286718510846	0.5558060998387
144	MvSl-1064-A1-R4_A1g01160	-0.323265233235415	0.617718024516671
145	MvSl-1064-A1-R4_A1g01161	0.274484451356591	0.808039039070307
146	MvSl-1064-A1-R4_A1g00533	-0.341658707672086	0.515117533756552
147	MvSl-1064-A1-R4_A1g00534	0.347963910787759	0.585391683932586
148	MvSl-1064-A1-R4_A1g00541	0.128995889573516	0.999948200629833
149	MvSl-1064-A1-R4_A1g00542	-0.323484549343409	0.723098441835424
150	MvSl-1064-A1-R4_A1g00543	-0.0525467839263066	0.999948200629833
151	MvSl-1064-A1-R4_A1g00544	-0.0867975803092168	0.999948200629833
152	MvSl-1064-A1-R4_A1g00527	0.581914837063869	0.399068133845725
153	MvSl-1064-A1-R4_A1g00525	0.428597346476546	0.317737742956624
154	MvSl-1064-A1-R4_A1g00669	0.154032079355325	0.999948200629833
155	MvSl-1064-A1-R4_A1g00311	-0.0242308969087315	0.999948200629833
156	MvSl-1064-A1-R4_A1g00842	0.358782089204024	0.716609589866657
157	MvSl-1064-A1-R4_A1g00843	0.646949068049666	0.283483285827007
158	MvSl-1064-A1-R4_A1g01317	-0.35647624749363	0.614720809521173
159	MvSl-1064-A1-R4_A1g00352	-0.189273919981991	0.981876544592994
160	MvSl-1064-A1-R4_A1g00351	-0.242201679706811	0.936577408170126
161	MvSl-1064-A1-R4_A1g00694	-0.197913235028582	0.937900433146566
162	MvSl-1064-A1-R4_A1g00693	0.0125190918714111	0.999948200629833
163	MvSl-1064-A1-R4_A1g00193	0.702589769395339	0.0710676950523001
164	MvSl-1064-A1-R4_A1g00433	0.348280484453118	0.690807503835521
165	MvSl-1064-A1-R4_A1g00432	0.147675076209754	0.999948200629833
166	MvSl-1064-A1-R4_MC03g04896	0.66922972562696	0.310020884193179
167	MvSl-1064-A1-R4_A1g01129	0.370493680067632	0.403838488005856
168	MvSl-1064-A1-R4_A1g00845	-0.0382575705160003	0.999948200629833
169	MvSl-1064-A1-R4_A1g00407	0.419646144081001	0.515665476441133
170	MvSl-1064-A1-R4_A1g01385	-0.108267120887647	0.999948200629833
171	MvSl-1064-A1-R4_A1g01431	-0.0596749786868148	0.999948200629833
172	MvSl-1064-A1-R4_A1g00998	-0.369875178625636	0.756329244305782
173	MvSl-1064-A1-R4_A1g00957	-0.331632960205331	0.746631460795377
