gene	logFC
MvSl-1064-A1-R4_A1g00021	1.51386596677985
MvSl-1064-A1-R4_A1g00078	0.994331539206832
MvSl-1064-A1-R4_A1g00079	1.64699169268128
MvSl-1064-A1-R4_A1g00080	1.36157796779827
MvSl-1064-A1-R4_A1g00081	2.86231669366848
MvSl-1064-A1-R4_A1g00107	2.47103632809118
MvSl-1064-A1-R4_A1g00209	1.27502886718881
MvSl-1064-A1-R4_A1g01253	0.883684193975422
MvSl-1064-A1-R4_A1g00800	0.846357266166824
MvSl-1064-A1-R4_A1g00808	2.86895584505862
MvSl-1064-A1-R4_A1g00591	4.37568885896532
MvSl-1064-A1-R4_A1g00641	2.24111737778287
MvSl-1064-A1-R4_A1g00102	2.02261806590015
MvSl-1064-A1-R4_A1g00165	0.648423694277951
MvSl-1064-A1-R4_A1g00254	1.9339235842047
MvSl-1064-A1-R4_A1g00168	1.52512269857256
MvSl-1064-A1-R4_A1g00400	1.07183396518199
MvSl-1064-A1-R4_A1g00389	2.25331026651372
MvSl-1064-A1-R4_A1g00624	0.807869153199062
MvSl-1064-A1-R4_A1g00652	1.35004249869313
MvSl-1064-A1-R4_A1g00355	5.40524308889685
MvSl-1064-A1-R4_A1g00752	4.80099641565836
MvSl-1064-A1-R4_A1g00594	1.1888081950118
MvSl-1064-A1-R4_A1g00635	3.59746989121114
MvSl-1064-A1-R4_A1g00270	1.14638479873732
MvSl-1064-A1-R4_A1g00269	4.65521956295965
MvSl-1064-A1-R4_A1g00763	1.92828440318602
MvSl-1064-A1-R4_A1g01267	3.97547839836434
MvSl-1064-A1-R4_A1g00292	0.909615546888922
MvSl-1064-A1-R4_A1g01404	6.29156827826777
MvSl-1064-A1-R4_A1g01137	0.6359773755277
MvSl-1064-A1-R4_A1g01136	3.95060573142093
MvSl-1064-A1-R4_A1g01212	1.97983716388738
MvSl-1064-A1-R4_A1g00522	4.65785117573784
MvSl-1064-A1-R4_A1g00668	5.49573771341477
MvSl-1064-A1-R4_A1g00312	3.50609789944624
MvSl-1064-A1-R4_A1g00644	1.32053674562422
MvSl-1064-A1-R4_A1g00163	2.30677503318822
MvSl-1064-A1-R4_A1g01346	1.1731315773014
MvSl-1064-A1-R4_A1g01359	0.921254842025495
MvSl-1064-A1-R4_A1g00853	1.60181463961331
MvSl-1064-A1-R4_A1g01384	0.95699963510125
MvSl-1064-A1-R4_A1g00997	2.95432758957472
MvSl-1064-A1-R4_A1g00972	1.76121287456976
MvSl-1064-A1-R4_A1g00252	2.34732154888386
MvSl-1064-A1-R4_A1g01174	1.58312688927179
MvSl-1064-A1-R4_A1g00130	0.750646916935848
MvSl-1064-A1-R4_A1g01261	2.08287115375091
MvSl-1064-A1-R4_A1g00154	1.19968807367038
MvSl-1064-A1-R4_A1g00516	0.995490474221689
MvSl-1064-A1-R4_A1g00646	1.50942536684496
MvSl-1064-A1-R4_A1g01164	0.771216471251315
MvSl-1064-A1-R4_A1g00913	0.827314257031574
MvSl-1064-A1-R4_A1g00920	0.945326737417552
MvSl-1064-A1-R4_A1g00448	2.07023621480981
MvSl-1064-A1-R4_A1g00495	2.06748327269681
MvSl-1064-A1-R4_MC06g07033	2.93496146701444
MvSl-1064-A1-R4_MC12g11286	1.59794308225641
MvSl-1064-A1-R4_MC01-1g01952	0.612475373359682
MvSl-1064-A1-R4_MC01-1g02022	1.014064762527
MvSl-1064-A1-R4_MC01-1g02161	1.61406392121996
MvSl-1064-A1-R4_MC01-1g02176	1.70669963540897
MvSl-1064-A1-R4_MC01-1g02598	2.02501961022095
MvSl-1064-A1-R4_MC01-1g02603	0.996127844735092
MvSl-1064-A1-R4_MC01-1g02785	1.81000832046889
MvSl-1064-A1-R4_MC01-1g02837	1.87917816017114
MvSl-1064-A1-R4_MC01-1g02869	5.23642346781082
MvSl-1064-A1-R4_MC01-1g02870	3.42106369156038
MvSl-1064-A1-R4_MC01-2g02960	0.934833028690576
MvSl-1064-A1-R4_MC01-2g03112	0.760959457684968
MvSl-1064-A1-R4_MC01-2g03113	1.19556912058956
MvSl-1064-A1-R4_MC01-2g03166	3.82458510623681
MvSl-1064-A1-R4_MC02g03224	0.829264082216145
