gene	FDR
MvSl-1064-A1-R4_A1g00002	0.999982397702758
MvSl-1064-A1-R4_A1g00004	0.999982397702758
MvSl-1064-A1-R4_A1g00005	0.999982397702758
MvSl-1064-A1-R4_A1g00006	0.999982397702758
MvSl-1064-A1-R4_A1g00007	0.937569010634069
MvSl-1064-A1-R4_A1g00008	0.641854713184142
MvSl-1064-A1-R4_A1g00009	0.176167016956534
MvSl-1064-A1-R4_A1g00010	0.784697582406633
MvSl-1064-A1-R4_A1g00011	0.766228779155608
MvSl-1064-A1-R4_A1g00013	0.999982397702758
MvSl-1064-A1-R4_A1g00014	0.87623559095449
MvSl-1064-A1-R4_A1g00015	0.919452955494175
MvSl-1064-A1-R4_A1g00016	0.935267602085691
MvSl-1064-A1-R4_A1g00017	0.434725430045168
MvSl-1064-A1-R4_A1g00019	0.999982397702758
MvSl-1064-A1-R4_A1g00020	0.999982397702758
MvSl-1064-A1-R4_A1g00021	1
MvSl-1064-A1-R4_A1g00023	0.922224913093127
MvSl-1064-A1-R4_A1g00025	0.999982397702758
MvSl-1064-A1-R4_A1g00026	0.996824304431838
MvSl-1064-A1-R4_A1g00027	0.999982397702758
MvSl-1064-A1-R4_A1g00028	0.275754057981539
MvSl-1064-A1-R4_A1g00029	0.0997226079327224
MvSl-1064-A1-R4_A1g00030	0.969295244984685
MvSl-1064-A1-R4_A1g00031	0.999982397702758
MvSl-1064-A1-R4_A1g00032	0.999982397702758
MvSl-1064-A1-R4_A1g00033	0.870362523638062
MvSl-1064-A1-R4_A1g00035	0.513260720339961
MvSl-1064-A1-R4_A1g00036	0.999982397702758
MvSl-1064-A1-R4_A1g00037	0.999982397702758
MvSl-1064-A1-R4_A1g00039	0.820080568540031
MvSl-1064-A1-R4_A1g00040	0.999982397702758
MvSl-1064-A1-R4_A1g00046	0.999982397702758
MvSl-1064-A1-R4_A1g00047	0.999982397702758
MvSl-1064-A1-R4_A1g00048	0.999982397702758
MvSl-1064-A1-R4_A1g00049	0.999982397702758
MvSl-1064-A1-R4_A1g00050	0.93685408625678
MvSl-1064-A1-R4_A1g00051	0.289743039064047
MvSl-1064-A1-R4_A1g00052	0.999982397702758
MvSl-1064-A1-R4_A1g00053	0.999982397702758
MvSl-1064-A1-R4_A1g00054	0.999982397702758
MvSl-1064-A1-R4_A1g00055	0.436268259945344
MvSl-1064-A1-R4_A1g00056	0.999982397702758
MvSl-1064-A1-R4_A1g00057	0.999982397702758
MvSl-1064-A1-R4_A1g00058	0.999982397702758
MvSl-1064-A1-R4_A1g00059	0.999982397702758
MvSl-1064-A1-R4_A1g00060	0.999982397702758
MvSl-1064-A1-R4_A1g00061	0.9804000659501
MvSl-1064-A1-R4_A1g00062	0.999982397702758
MvSl-1064-A1-R4_A1g00063	0.999982397702758
MvSl-1064-A1-R4_A1g00064	0.999982397702758
MvSl-1064-A1-R4_A1g00065	0.808641488281021
MvSl-1064-A1-R4_A1g00066	0.999982397702758
MvSl-1064-A1-R4_A1g00067	0.999982397702758
MvSl-1064-A1-R4_A1g00068	0.994098201945052
MvSl-1064-A1-R4_A1g00069	0.877405467374868
MvSl-1064-A1-R4_A1g00070	0.583933734027842
MvSl-1064-A1-R4_A1g00071	0.485864574168509
MvSl-1064-A1-R4_A1g00072	0.999982397702758
MvSl-1064-A1-R4_A1g00073	0.0453312350084449
MvSl-1064-A1-R4_A1g00074	0.448754171263355
MvSl-1064-A1-R4_A1g00076	0.999982397702758
MvSl-1064-A1-R4_A1g00077	0.999982397702758
MvSl-1064-A1-R4_A1g00078	1
MvSl-1064-A1-R4_A1g00079	1
MvSl-1064-A1-R4_A1g00080	1
MvSl-1064-A1-R4_A1g00081	1
MvSl-1064-A1-R4_A1g00106	0.691863906299483
MvSl-1064-A1-R4_A1g00107	1
MvSl-1064-A1-R4_A1g00108	0.824726004323817
MvSl-1064-A1-R4_A1g00109	0.969270261841245
MvSl-1064-A1-R4_A1g00110	0.931347538104488
