gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid
MvSl-1064-A2-R4_A2g00014	MvSl-1064-A2-R4_A2g00014	aMAT	31094	31765	2.60526537364294	1.40386645981782	-1.03550578980791	-2.43937224962573	0.00274814878852763	0.021569254633667	3.05939151361538e-07	0.00469761104444878	0.0847069860279363	8.9919507095826e-07
MvSl-1064-A2-R4_A2g00015	MvSl-1064-A2-R4_A2g00015	aMAT	31816	32664	3.13810097721584	1.88817024962754	-1.35391293841603	-3.24208318804358	0.000345309168191663	0.0074177113518077	3.34090517431235e-09	0.000668723255436107	0.0354289180910646	1.22387205446269e-08
MvSl-1064-A2-R4_A2g00016	MvSl-1064-A2-R4_A2g00016	aMAT	32781	32948	0.0642116536023605	1.22555551121071	-1.13768758524428	-2.36324309645499	0.0514049389631206	0.0432872858529712	0.000101046497840076	0.0715407742363496	0.145032627522367	0.000215934981685642
MvSl-1064-A2-R4_A2g00019	MvSl-1064-A2-R4_A2g00019	aMAT	37910	39345	1.22561280000441	2.65173326877773	-0.440619093599269	-3.092352362377	1.65375450664122e-08	0.261466358685747	3.00989182438983e-11	5.46936421961576e-08	0.506934775731065	1.36434077332646e-10
MvSl-1064-A2-R4_A2g00020	MvSl-1064-A2-R4_A2g00020	aMAT	39800	40075	1.34776405503761	3.83167050221623	-0.410608640722843	-4.24227914293907	2.1459849751629e-14	0.271111180905619	1.215606737891e-17	1.27926441200187e-13	0.51891300576736	1.00132025363239e-16
MvSl-1064-A2-R4_A2g00021	MvSl-1064-A2-R4_A2g00021	aMAT	40174	40525	3.54743697823716	3.4397956730484	-0.21298710042678	-3.65278277347518	1.34295142686167e-24	0.457464534268292	2.32091161308558e-27	1.81325265890511e-23	0.697121385688119	3.80194567959415e-26
MvSl-1064-A2-R4_A2g00024	MvSl-1064-A2-R4_A2g00024	aMAT	44625	45530	1.6721462038082	0	-10.9645399947038	-10.9645399947038	1	2.33752717292585e-37	5.60515959171331e-39	1	4.83725010887105e-35	1.73811370825605e-37
MvSl-1064-A2-R4_A2g00025	MvSl-1064-A2-R4_A2g00025	aMAT	46543	48779	0.0841383499611229	2.82309909819189	0.590230927703036	-2.23286817048886	4.97760560006295e-07	0.208500093967087	9.25869000476498e-05	1.39350968483264e-06	0.441560349378918	0.000198862776209102
MvSl-1064-A2-R4_A2g00031	MvSl-1064-A2-R4_A2g00031	aMAT	61521	63131	3.70805180384879	5.71264917581136	0.495431619912699	-5.21721755589866	9.70562159337656e-47	0.08940588627096	7.1106942236495e-40	4.94547753551951e-45	0.246285163484796	2.31097562268609e-38
MvSl-1064-A2-R4_A2g00035	MvSl-1064-A2-R4_A2g00035	aMAT	68749	70134	4.31241232582546	3.37986918443041	-0.245249655635055	-3.62511884006547	2.48825234465246e-21	0.435660728872085	5.8602758498987e-24	2.59746592149951e-20	0.679133309514658	7.7575975349834e-23
