gene	A1	A2			start	end		intron_nr	mean	sum		ave_count											
MvSl-1064-A1-R4_A1g00001	37.0852	23.9241	MvSl-1064-A1-R4_A1	aMAT	209	209	NA	1	89	89	hemi	30.5033											299
MvSl-1064-A1-R4_A1g00088	95.194	103.082	MvSl-1064-A1-R4_A1	aMAT	207367	207265	NA	2	91.5	183	hemi	99.138											
MvSl-1064-A1-R4_A1g00095	41.1687	76.6547	MvSl-1064-A1-R4_A1	aMAT	217471	217971	NA	1	499	499	hemi	58.9117											
MvSl-1064-A1-R4_A1g00103	21.1714	18.5803	MvSl-1064-A1-R4_A1	aMAT	229275	229128	NA	11	91.1818	1003	hemi	19.8758	209 Ê Ê Ê Ê Ê Ê 299 Ê Ê 89Ê Ê Ê 89										
MvSl-1064-A1-R4_A1g00114	519.883	744.758	MvSl-1064-A1-R4_A1	aMAT	258449	258520	NA	3	71.6667	215	hemi	632.321											
MvSl-1064-A1-R4_A1g00117	27.3236	32.6825	MvSl-1064-A1-R4_A1	aMAT	268405	268160	NA	1	244	244	hemi	30.003											
MvSl-1064-A1-R4_A1g00121	551.565	760.871	MvSl-1064-A1-R4_A1	aMAT	274980	274863	NA	1	116	116	hemi	656.218											
MvSl-1064-A1-R4_A1g00123	19.09	22.1797	MvSl-1064-A1-R4_A1	aMAT	282060	282018	NA	2	59	118	hemi	20.6349											
MvSl-1064-A1-R4_A1g00124	238.991	291.34	MvSl-1064-A1-R4_A1	aMAT	282428	282502	NA	4	81	324	hemi	265.166											
MvSl-1064-A1-R4_A1g00125	245.412	235.2	MvSl-1064-A1-R4_A1	aMAT	284068	284117	NA	7	61.7143	432	hemi	240.306											
MvSl-1064-A1-R4_A1g00131	95	118	MvSl-1064-A1-R4_A1	aMAT	293270	293001	NA	1	268	268	hemi	106.5											
MvSl-1064-A1-R4_A1g00138	8.0487	19.0552	MvSl-1064-A1-R4_A1	aMAT	309431	309561	NA	3	86.6667	260	hemi	13.5519											
MvSl-1064-A1-R4_A1g00139	32.463	22.2681	MvSl-1064-A1-R4_A1	aMAT	311881	311950	NA	3	70.3333	211	hemi	27.3655											
MvSl-1064-A1-R4_A1g00145	68.8491	63.0948	MvSl-1064-A1-R4_A1	aMAT	321891	321771	NA	2	113.5	227	hemi	65.972											
MvSl-1064-A1-R4_A1g00146	31	29	MvSl-1064-A1-R4_A1	aMAT	322490	322370	NA	2	110	220	hemi	30											
MvSl-1064-A1-R4_A1g00158	5675.21	7409.76	MvSl-1064-A1-R4_A1	aMAT	350341	350229	NA	6	73.5	441	hemi	6542.49											
MvSl-1064-A1-R4_A1g00161	9.07961	9	MvSl-1064-A1-R4_A1	aMAT	353911	354017	NA	1	105	105	hemi	9.03981											
MvSl-1064-A1-R4_A1g00171	13.0534	23.245	MvSl-1064-A1-R4_A1	aMAT	374855	374933	NA	1	77	77	hemi	18.1492											
MvSl-1064-A1-R4_A1g00173	53353	50768	MvSl-1064-A1-R4_A1	aMAT	378319	378197	NA	1	121	121	hemi	52060.5											
MvSl-1064-A1-R4_A1g00176	183.744	243.415	MvSl-1064-A1-R4_A1	aMAT	383600	383641	NA	3	68	204	hemi	213.579											
MvSl-1064-A1-R4_A1g00177	9	9	MvSl-1064-A1-R4_A1	aMAT	384400	384462	NA	1	61	61	hemi	9											
