gida1	part8	youngold	genea10k	up5k	upk10	upk15	upk20	down5k	down10k	down15k	down20k	DE	DE2	haploid 
MvSl-1064-A1-R4_MC07g07648	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03433	Auto	Auto	7	1	0	2	3	0	3	0	2	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00752	Black	OldStrata	1	0	0	0	3	1	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00668	Orange	ColorStrata	0	1	2	0	0	0	0	0	3	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01404	Black	OldStrata	0	5	1	3	1	0	0	3	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04885	Auto	Auto	0	3	1	2	1	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02857	Auto	Auto	0	0	0	0	3	0	1	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03442	Auto	Auto	3	2	1	2	3	3	4	2	3	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-1g09843	Auto	Auto	0	2	2	1	1	4	5	4	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g07137	Auto	Auto	0	0	0	0	4	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00522	Black	OldStrata	0	0	0	0	0	0	1	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03522	Auto	Auto	2	0	2	2	1	0	3	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-1g09819	Auto	Auto	3	0	1	0	0	2	2	1	4	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00591	Black	OldStrata	0	1	2	0	0	0	3	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00269	Black	OldStrata	0	0	1	1	2	0	2	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC08g08450	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC14g11898	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00763	Black	OldStrata	1	0	1	1	0	4	1	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02828	Auto	Auto	0	0	0	0	0	0	0	1	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03432	Auto	Auto	2	0	2	3	4	4	2	3	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02347	Auto	Auto	0	0	0	2	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00312	Black	OldStrata	0	0	0	0	0	3	6	2	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00997	Blue	OldStrata	0	0	0	2	1	0	2	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC12g10810	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g04225	Auto	Auto	0	0	0	2	0	2	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06747	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00252	Black	OldStrata	1	0	4	0	1	0	0	0	2	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00977	Black	OldStrata	0	2	0	0	1	0	0	2	1	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00628	Black	OldStrata	1	3	0	0	1	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g06947	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g06945	Auto	Auto	0	0	0	0	1	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01493	bPAR	bPAR	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00081	Black	OldStrata	0	0	0	0	0	0	1	2	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-1g09820	Auto	Auto	2	3	1	0	0	0	2	1	4	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00016	bPAR	bPAR	0	0	0	0	0	0	1	0	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03451	Auto	Auto	0	3	4	3	3	3	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g06946	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-2g06420	Auto	Auto	0	0	0	0	0	0	0	4	3	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g04185	Auto	Auto	0	0	0	0	2	0	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06523	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00015	bPAR	bPAR	0	0	0	0	0	0	1	0	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC04-1g06073	Auto	Auto	0	0	0	0	2	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC08g08318	Auto	Auto	0	0	3	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03508	Auto	Auto	0	0	0	0	0	1	2	2	1	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00448	Black	OldStrata	0	1	0	1	1	0	2	2	6	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01261	Orange	ColorStrata	0	4	0	3	0	0	4	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC07g08233	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g04217	Auto	Auto	2	0	0	0	1	0	2	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g07079	Auto	Auto	0	2	2	3	3	5	1	2	3	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g07412	Auto	Auto	0	4	0	0	0	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g06944	Auto	Auto	0	0	0	1	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00495	Blue	OldStrata	0	1	2	0	8	4	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03360	Auto	Auto	1	1	1	2	1	1	1	4	1	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00254	Black	OldStrata	0	0	1	4	0	0	0	2	2	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01212	Black	OldStrata	0	1	0	0	2	1	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03392	Auto	Auto	0	0	0	0	0	4	2	2	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-2g10078	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g05082	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02837	Auto	Auto	0	0	0	0	0	2	0	2	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04879	Auto	Auto	0	3	0	0	0	3	2	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02861	Auto	Auto	1	0	0	0	0	0	0	3	3	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00594	Black	OldStrata	3	0	1	2	0	0	0	0	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC11g10730	Auto	Auto	1	1	0	0	0	5	2	2	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC15g12082	Auto	Auto	0	0	0	0	1	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02082	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC14g11980	Auto	Auto	2	0	0	0	0	0	5	3	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g05235	Auto	Auto	0	1	0	0	0	0	0	1	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04807	Auto	Auto	0	0	0	0	0	0	1	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00972	Black	OldStrata	0	0	1	1	3	2	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC04-1g05279	Auto	Auto	0	0	1	0	0	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02852	Auto	Auto	0	0	3	1	1	0	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC09-2g09232	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
