gid	gname	chr	start	end	logCPM	logFC.water.diploid	FDR.water.diploid
MvSl-1064-A2-R4_A2g01224	MvSl-1064-A2-R4_A2g01224	aMAT	2631665	2632900	3.428394322	1.003461724	0.013029819
MvSl-1064-A2-R4_A2g00398	MvSl-1064-A2-R4_A2g00398	aMAT	871383	875670	5.583949001	1.00415927	0.00100749
MvSl-1064-A2-R4_A2g01097	MvSl-1064-A2-R4_A2g01097	aMAT	2385782	2387997	2.198375811	1.005115899	0.020567613
MvSl-1064-A2-R4_A2g00916	MvSl-1064-A2-R4_A2g00916	aMAT	1952534	1952924	3.873010245	1.005673791	0.010511324
MvSl-1064-A2-R4_A2g01503	MvSl-1064-A2-R4_A2g01503	aMAT	3304207	3304542	2.253961582	1.013790843	0.01246173
MvSl-1064-A2-R4_A2g01584	MvSl-1064-A2-R4_A2g01584	aMAT	3478357	3481413	3.226317288	1.019160691	0.014223788
MvSl-1064-A2-R4_A2g01226	MvSl-1064-A2-R4_A2g01226	aMAT	2636346	2638546	6.803692666	1.019449977	4.62E-07
MvSl-1064-A2-R4_A2g01482	MvSl-1064-A2-R4_A2g01482	aMAT	3282483	3283010	2.757856298	1.020841888	0.006469017
MvSl-1064-A2-R4_A2g00178	MvSl-1064-A2-R4_A2g00178	aMAT	406590	407326	4.84759659	1.024545059	7.65E-05
MvSl-1064-A2-R4_A2g00667	MvSl-1064-A2-R4_A2g00667	aMAT	1421125	1422227	6.807800803	1.029821462	0.000114813
MvSl-1064-A2-R4_A2g01746	MvSl-1064-A2-R4_A2g01746	aMAT	3842260	3843102	2.887933031	1.034232995	0.009543085
MvSl-1064-A2-R4_A2g01201	MvSl-1064-A2-R4_A2g01201	aMAT	2591387	2593827	4.260809008	1.035402703	0.00077344
MvSl-1064-A2-R4_A2g01662	MvSl-1064-A2-R4_A2g01662	aMAT	3660791	3663044	2.546422442	1.03699949	0.024939948
MvSl-1064-A2-R4_A2g00438	MvSl-1064-A2-R4_A2g00438	aMAT	971289	972629	1.930479045	1.037734991	0.014371644
MvSl-1064-A2-R4_A2g01396	MvSl-1064-A2-R4_A2g01396	aMAT	3085685	3087529	3.114064004	1.045873185	0.003422306
MvSl-1064-A2-R4_A2g01446	MvSl-1064-A2-R4_A2g01446	aMAT	3205571	3205876	4.393100464	1.047464186	0.000275755
MvSl-1064-A2-R4_A2g00312	MvSl-1064-A2-R4_A2g00312	aMAT	681001	681469	3.795184948	1.049586478	0.000535641
MvSl-1064-A2-R4_A2g01463	MvSl-1064-A2-R4_A2g01463	aMAT	3243506	3245092	2.17842017	1.050798783	0.031465196
MvSl-1064-A2-R4_A2g00988	MvSl-1064-A2-R4_A2g00988	aMAT	2131598	2132504	4.537207789	1.051508623	0.000169553
MvSl-1064-A2-R4_A2g00973	MvSl-1064-A2-R4_A2g00973	aMAT	2097700	2099698	4.88803568	1.053262675	1.89E-05
MvSl-1064-A2-R4_A2g01043	MvSl-1064-A2-R4_A2g01043	aMAT	2281549	2282769	4.175621889	1.054011219	0.000884042
MvSl-1064-A2-R4_A2g00170	MvSl-1064-A2-R4_A2g00170	aMAT	392472	393470	3.771218636	1.055875728	0.000539781
MvSl-1064-A2-R4_A2g00922	MvSl-1064-A2-R4_A2g00922	aMAT	1967167	1969411	4.697901768	1.056273575	0.000398498
MvSl-1064-A2-R4_A2g01388	MvSl-1064-A2-R4_A2g01388	aMAT	3071089	3072565	7.492525286	1.061339723	1.10E-06
MvSl-1064-A2-R4_A2g00607	MvSl-1064-A2-R4_A2g00607	aMAT	1285920	1286808	3.966271106	1.061942362	0.000678508
MvSl-1064-A2-R4_A2g00603	MvSl-1064-A2-R4_A2g00603	aMAT	1274081	1276967	6.092222166	1.0642285	1.23E-06
MvSl-1064-A2-R4_A2g01114	MvSl-1064-A2-R4_A2g01114	aMAT	2417378	2418600	4.682652709	1.06512356	3.88E-05
