gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	aMAT	59218	59891	7.24446460949371	-4.46440770236495	6.54912855323106e-76	6.83656252862287e-73
MvSl-1064-A1-R4_A1g00591	MvSl-1064-A1-R4_A1	aMAT	552007	553387	3.85455302745151	4.27769468471314	1.06571523780629e-24	1.47241097929266e-22
MvSl-1064-A1-R4_A1g00384	MvSl-1064-A1-R4_A1	aMAT	893412	893740	-1.30201958229287	-3.18129019178556	0.00103211040794226	0.0181926403050985
MvSl-1064-A1-R4_A1g00824	MvSl-1064-A1-R4_A1	aMAT	924447	925599	-0.790725716469676	7.35509410317265	6.45416992415242e-09	2.81845995937837e-07
MvSl-1064-A1-R4_A1g00752	MvSl-1064-A1-R4_A1	aMAT	1010063	1012204	3.5478337128589	5.76265011994471	3.88512234095476e-42	1.25864566873345e-39
MvSl-1064-A1-R4_A1g00269	MvSl-1064-A1-R4_A1	aMAT	1139524	1144406	6.33320192858938	3.93494120936142	5.41108910539717e-54	2.82428789695591e-51
MvSl-1064-A1-R4_A1g00763	MvSl-1064-A1-R4_A1	aMAT	1144687	1148015	0.591026515363762	4.03446274963648	3.12064502348889e-10	1.62880333309323e-08
MvSl-1064-A1-R4_A1g01418	MvSl-1064-A1-R4_A1	aMAT	1151741	1153580	3.65389746977982	-3.36420892053046	4.03380743162547e-19	4.51162152620492e-17
MvSl-1064-A1-R4_A1g01404	MvSl-1064-A1-R4_A1	aMAT	1207176	1208666	2.61561811649464	5.52083076452548	3.89066476454441e-31	7.6151657214364e-29
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A1-R4_A1	aMAT	1294048	1294371	2.33952809907566	-5.635636429691	1.41967219327702e-25	2.1512613315867e-23
MvSl-1064-A1-R4_A1g01163	MvSl-1064-A1-R4_A1	aMAT	1297181	1298512	3.97519124998114	-3.61271883177148	1.26130759590754e-29	2.27884324299064e-27
MvSl-1064-A1-R4_A1g00524	MvSl-1064-A1-R4_A1	aMAT	1396587	1398849	-1.5152682953451	6.43932640476193	5.10221838086277e-06	0.000145258611176381
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1399296	1400598	1.43479933933616	4.75073172587494	3.93074674521874e-18	4.14936692936293e-16
MvSl-1064-A1-R4_A1g00668	MvSl-1064-A1-R4_A1	aMAT	1441050	1443387	6.09624903424725	5.71549337287705	4.81968329255338e-95	9.05618490670779e-92
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	1486271	1487768	8.4675310383582	3.60644610014302	1.25080269907997e-35	2.79792651377531e-33
MvSl-1064-A1-R4_A1g01021	MvSl-1064-A1-R4_A1	aMAT	1578575	1582088	0.486001726028012	-4.42390946892981	8.23063255864168e-11	4.71504834685601e-09
MvSl-1064-A1-R4_A1g00642	MvSl-1064-A1-R4_A1	aMAT	1645733	1648754	6.18273327809727	-5.09040895649684	1.07176034923663e-96	2.51729712026954e-93
MvSl-1064-A1-R4_A1g00628	MvSl-1064-A1-R4_A1	aMAT	1872072	1874749	6.54760469351102	3.02106591818172	1.55020289158372e-37	3.93625842335921e-35
MvSl-1064-A1-R4_A1g00997	MvSl-1064-A1-R4_A1	aMAT	1970332	1974462	5.90861829808738	3.51434687780986	1.54280549898873e-54	9.05916103937445e-52
MvSl-1064-A1-R4_A1g00252	MvSl-1064-A1-R4_A1	aMAT	2519820	2520678	1.42719989699947	3.14384929976907	7.34689479828054e-13	5.15105049476461e-11
MvSl-1064-A1-R4_A1g01220	MvSl-1064-A1-R4_A1	aMAT	2575916	2576612	7.44279949655555	-3.39255084391614	3.59108180952802e-53	1.77569545265872e-50
MvSl-1064-A1-R4_A1g00283	MvSl-1064-A1-R4_A1	aMAT	2725136	2725813	4.48027462970319	-4.24417038474197	6.34347810786913e-43	2.48320736764293e-40
MvSl-1064-A1-R4_A1g01302	MvSl-1064-A1-R4_A1	aMAT	2775123	2776609	6.12336008850526	-6.30347804688177	1.50957064408248e-104	7.09120810057745e-101
MvSl-1064-A1-R4_A1g00977	MvSl-1064-A1-R4_A1	aMAT	3035765	3037588	5.5938737062736	3.10397774030775	1.37751916761026e-42	4.7932565109994e-40
MvSl-1064-A1-R4_A1g01459	MvSl-1064-A1-R4_A1	aMAT	3256296	3256583	0.590639053602074	-5.49176509443827	8.82079085243238e-15	7.0830196631284e-13
MvSl-1064-A1-R4_C24g01523	MvSl-1064-A1-R4_C24	random	8651	13258	-2.15908598309528	5.45104096502928	0.000955574211227269	0.0170677180883654
MvSl-1064-A1-R4_MC14g11997	MvSl-1064-A1-R4_C26	random	24549	28153	1.48801809668187	6.17727795053046	1.53792409920138e-16	1.47436703183643e-14
MvSl-1064-A1-R4_MC01-1g01783	MvSl-1064-A1-R4_MC01-1	Chr01	107424	108928	2.12297662550879	-3.71460941395272	1.85108239781196e-15	1.62531954462088e-13
MvSl-1064-A1-R4_MC01-1g02004	MvSl-1064-A1-R4_MC01-1	Chr01	379579	380191	2.36237465283611	-4.36777639987499	2.50363894789638e-21	3.01560101480596e-19
MvSl-1064-A1-R4_MC01-1g02006	MvSl-1064-A1-R4_MC01-1	Chr01	380746	387552	-0.576489700142645	-7.46586075613237	4.36368413194759e-09	1.94297689192642e-07
MvSl-1064-A1-R4_MC01-1g02207	MvSl-1064-A1-R4_MC01-1	Chr01	720371	720718	0.728345389990992	-8.92643427939506	1.70759798557024e-08	6.88535754267486e-07
MvSl-1064-A1-R4_MC01-1g02347	MvSl-1064-A1-R4_MC01-1	Chr01	1042881	1043799	3.16893095303108	3.64811074544918	3.06968854505701e-20	3.56045973837168e-18
MvSl-1064-A1-R4_MC01-1g02589	MvSl-1064-A1-R4_MC01-1	Chr01	1643740	1645465	-0.246473139196262	3.27884493970648	5.71296154388402e-06	0.00016069842426584
MvSl-1064-A1-R4_MC01-1g02828	MvSl-1064-A1-R4_MC01-1	Chr01	2213276	2215089	0.254229017643801	3.6484122469289	9.35193832939258e-10	4.48272758186956e-08
MvSl-1064-A1-R4_MC01-1g02832	MvSl-1064-A1-R4_MC01-1	Chr01	2224752	2226292	8.98753477337139	-5.79644046527529	5.77129080322601e-66	4.92920700875531e-63
MvSl-1064-A1-R4_MC01-1g02833	MvSl-1064-A1-R4_MC01-1	Chr01	2227350	2228536	7.03038118651825	-9.42701497127807	2.07526289206286e-179	1.94970948709305e-175
MvSl-1064-A1-R4_MC01-1g02857	MvSl-1064-A1-R4_MC01-1	Chr01	2286759	2287328	0.904866485175802	5.57108946539107	9.11388717246614e-19	9.95639185875807e-17
MvSl-1064-A1-R4_MC01-1g02885	MvSl-1064-A1-R4_MC01-1	Chr01	2382803	2384819	2.00305582286078	-3.98372982447734	1.18058875868071e-16	1.14346715338199e-14
MvSl-1064-A1-R4_MC01-2g02969	MvSl-1064-A1-R4_MC01-2	Chr01	2551682	2553176	2.16231316841018	-4.15381087039332	3.08837253592847e-19	3.49581445482506e-17
MvSl-1064-A1-R4_MC01-2g03006	MvSl-1064-A1-R4_MC01-2	Chr01	2639620	2640860	3.45652819080122	-7.96376971414431	4.72365995263619e-48	2.11327548833414e-45
MvSl-1064-A1-R4_MC01-2g03166	MvSl-1064-A1-R4_MC02	Chr02	1	793	6.267173379837	-3.7753632595366	1.10713588157719e-29	2.03951796223877e-27
MvSl-1064-A1-R4_MC02g03432	MvSl-1064-A1-R4_MC02	Chr02	707663	711864	4.03584280639189	3.92908223719578	2.05726424786435e-22	2.57706634782474e-20
MvSl-1064-A1-R4_MC02g03433	MvSl-1064-A1-R4_MC02	Chr02	712271	712823	3.95909548359535	6.34954433655167	8.13116096434457e-47	3.32140248956597e-44
MvSl-1064-A1-R4_MC02g03442	MvSl-1064-A1-R4_MC02	Chr02	714322	716738	4.36571606430326	3.97720908915775	4.499479919682e-34	9.39391418786942e-32
MvSl-1064-A1-R4_MC02g03450	MvSl-1064-A1-R4_MC02	Chr02	722894	723079	-2.09368899430102	-5.39733923274824	0.00123167510060704	0.0208825832164077
MvSl-1064-A1-R4_MC02g03522	MvSl-1064-A1-R4_MC02	Chr02	843831	845750	4.21453800369782	4.17191306816123	8.15157970350375e-33	1.66487155031343e-30
MvSl-1064-A1-R4_MC02g03579	MvSl-1064-A1-R4_MC02	Chr02	974889	975798	6.6544191799355	-5.13173900800976	4.53328360808488e-82	6.08431421399391e-79
MvSl-1064-A1-R4_MC02g03663	MvSl-1064-A1-R4_MC02	Chr02	1191973	1193730	1.44669767948064	-4.02692121326306	4.00900461583254e-12	2.66034126109617e-10
MvSl-1064-A1-R4_MC02g03805	MvSl-1064-A1-R4_MC02	Chr02	1511821	1513467	0.188589780710423	-4.07929134790919	1.18188612780988e-09	5.57980913104214e-08
MvSl-1064-A1-R4_MC02g03806	MvSl-1064-A1-R4_MC02	Chr02	1513616	1517224	-0.926844048547862	-7.04354421046667	1.44045699304247e-07	5.2251326060363e-06
MvSl-1064-A1-R4_MC02g04216	MvSl-1064-A1-R4_MC02	Chr02	2493883	2495696	-0.572304556093525	-3.15610249206113	2.4836940739816e-05	0.000653622011906363
MvSl-1064-A1-R4_MC02g04245	MvSl-1064-A1-R4_MC02	Chr02	2560247	2562613	5.59583886910213	-3.28409125841583	1.07986251068737e-36	2.66981797050205e-34
MvSl-1064-A1-R4_MC03g04350	MvSl-1064-A1-R4_MC03	Chr03	214412	216650	4.06468321666372	-9.97646234224488	1.104598779683e-64	8.64808794593484e-62
MvSl-1064-A1-R4_MC03g04376	MvSl-1064-A1-R4_MC03	Chr03	282857	285372	0.560252772374435	-3.69011026964869	1.61407184527896e-10	8.97290235881408e-09
MvSl-1064-A1-R4_MC03g04424	MvSl-1064-A1-R4_MC03	Chr03	404345	405628	5.35035209754721	-3.33863606107847	4.64533632559801e-41	1.36384171184354e-38
MvSl-1064-A1-R4_MC03g04706	MvSl-1064-A1-R4_MC03	Chr03	1088463	1089617	0.482770709911252	-8.66088002298227	3.74390690456761e-13	2.74796916940724e-11
MvSl-1064-A1-R4_MC03g04707	MvSl-1064-A1-R4_MC03	Chr03	1089857	1091821	5.36433998217355	-4.42181741960406	2.42364554206516e-57	1.51800999118015e-54
MvSl-1064-A1-R4_MC03g04877	MvSl-1064-A1-R4_MC03	Chr03	1504690	1506478	2.26952646669844	-4.66589332879703	1.31619061990933e-21	1.60592349013613e-19
MvSl-1064-A1-R4_MC03g04884	MvSl-1064-A1-R4_MC03	Chr03	1524735	1525630	0.973321447232337	-3.48460316643617	1.78732019104415e-10	9.70628508373399e-09
MvSl-1064-A1-R4_MC03g04885	MvSl-1064-A1-R4_MC03	Chr03	1526781	1528843	2.75682961067872	5.53879343928878	2.56680628702735e-24	3.49494856038e-22
MvSl-1064-A1-R4_MC03g04941	MvSl-1064-A1-R4_MC03	Chr03	1681672	1687691	3.53072395282492	-3.69913321054006	4.09984478145411e-19	4.53153432020722e-17
MvSl-1064-A1-R4_MC03g05011	MvSl-1064-A1-R4_MC03	Chr03	1829633	1832669	-1.70101118334937	-6.0129102099443	0.00012842835679032	0.0028796764010622
MvSl-1064-A1-R4_MC03g05097	MvSl-1064-A1-R4_MC03	Chr03	2054587	2059584	4.23362341543652	-3.82369760349467	2.07761845613897e-34	4.43618758986946e-32
MvSl-1064-A1-R4_MC03g05107	MvSl-1064-A1-R4_MC03	Chr03	2075352	2077060	-1.46631112338845	3.28178753593666	0.00080573000554574	0.0146987056351499
MvSl-1064-A1-R4_MC03g05134	MvSl-1064-A1-R4_MC03	Chr03	2130759	2136537	0.734132631042049	-4.12213838431667	3.76640984095355e-10	1.91449042086881e-08
MvSl-1064-A1-R4_MC04-1g05282	MvSl-1064-A1-R4_MC04-1	Chr04	16788	17024	3.83345518039126	-5.29347872872853	1.34426852040201e-40	3.71453022034615e-38
MvSl-1064-A1-R4_MC04-1g05315	MvSl-1064-A1-R4_MC04-1	Chr04	59297	59753	2.97533931690418	-5.65649484861151	8.49139960796786e-29	1.45048544212469e-26
MvSl-1064-A1-R4_MC04-1g05348	MvSl-1064-A1-R4_MC04-1	Chr04	99640	99891	-0.583505902175121	4.45394166989619	6.68881990413586e-08	2.55218828965123e-06
MvSl-1064-A1-R4_MC04-1g05389	MvSl-1064-A1-R4_MC04-1	Chr04	201540	202270	1.19920185950322	-3.36893921655092	3.16057772783403e-11	1.89131386961788e-09
